Date/Time,5260_O_USCL,5078_O_JNTP,6704_O_PERN,5870_O_ETNA,6170_O_OAKM,5284_O_MTLE,2711_O_MAAC,3446_O_OHBE,6530_O_CASC,2508_O_DOWN,4431_O_WBG,5571_O_BUFF,5624_O_BUFF,4351_O_DORM,7867_O_STDT
2020-09-05 15:00:00,55.42857142857143,39.142857142857146,0.0,,53.642857142857146,78.42857142857143,25.357142857142858,44.0,126.78571428571429,49.714285714285715,42.714285714285715,42.357142857142854,42.357142857142854,43.07142857142857,
2020-09-05 15:15:00,50.53333333333333,48.86666666666667,0.0,,55.0,54.13333333333333,25.2,43.6,116.86666666666666,385.0,41.93333333333333,53.46666666666667,53.46666666666667,40.93333333333333,
2020-09-05 15:30:00,51.53333333333333,43.53333333333333,0.0,,57.266666666666666,26.933333333333334,26.0,44.86666666666667,122.06666666666666,75.66666666666667,40.666666666666664,44.93333333333333,44.93333333333333,39.6,
2020-09-05 15:45:00,52.0,44.93333333333333,0.0,,52.93333333333333,27.933333333333334,25.066666666666666,46.4,148.33333333333334,49.4,39.93333333333333,72.4,72.4,39.2,
2020-09-05 16:00:00,50.266666666666666,44.6,0.0,,54.0,13.866666666666667,27.866666666666667,165.93333333333334,153.66666666666666,35.93333333333333,40.53333333333333,45.266666666666666,45.266666666666666,44.2,
2020-09-05 16:15:00,52.53333333333333,46.666666666666664,0.0,,55.4,20.333333333333332,24.0,48.6,176.26666666666668,31.8,40.4,43.06666666666667,43.06666666666667,40.6,
2020-09-05 16:30:00,53.333333333333336,45.333333333333336,0.0,,56.46666666666667,16.066666666666666,25.733333333333334,43.13333333333333,161.26666666666668,30.733333333333334,40.6,47.666666666666664,47.666666666666664,40.333333333333336,
2020-09-05 16:45:00,56.86666666666667,48.13333333333333,0.0,,55.93333333333333,16.933333333333334,24.533333333333335,54.333333333333336,247.06666666666666,33.4,39.666666666666664,49.06666666666667,49.06666666666667,40.333333333333336,
2020-09-05 17:00:00,55.93333333333333,48.333333333333336,0.0,,63.13333333333333,8.533333333333333,24.8,44.06666666666667,295.73333333333335,41.0,43.46666666666667,54.6,54.6,39.86666666666667,
2020-09-05 17:15:00,53.46666666666667,49.2,0.0,,58.6,13.666666666666666,24.8,48.333333333333336,244.13333333333333,37.266666666666666,43.0,51.733333333333334,51.733333333333334,44.53333333333333,
2020-09-05 17:30:00,53.666666666666664,48.733333333333334,0.0,,60.733333333333334,4.666666666666667,25.466666666666665,47.666666666666664,237.6,31.733333333333334,44.46666666666667,49.6,49.6,42.0,
2020-09-05 17:45:00,53.333333333333336,50.2,0.0,,60.4,5.266666666666667,24.733333333333334,48.266666666666666,274.53333333333336,32.333333333333336,44.4,46.13333333333333,46.13333333333333,42.266666666666666,
2020-09-05 18:00:00,52.93333333333333,50.8,0.0,,58.46666666666667,15.6,25.933333333333334,52.46666666666667,273.93333333333334,33.93333333333333,45.666666666666664,46.53333333333333,46.53333333333333,42.733333333333334,
2020-09-05 18:15:00,54.6,48.733333333333334,0.0,,60.53333333333333,10.666666666666666,24.466666666666665,53.266666666666666,325.26666666666665,34.0,56.46666666666667,53.93333333333333,53.93333333333333,41.8,
2020-09-05 18:30:00,55.0,51.733333333333334,0.0,,60.46666666666667,40.4,25.933333333333334,57.333333333333336,353.2,36.4,44.733333333333334,49.266666666666666,49.266666666666666,38.2,
2020-09-05 18:45:00,55.8,51.46666666666667,0.0,,58.13333333333333,65.26666666666667,27.066666666666666,57.2,378.6666666666667,36.86666666666667,46.733333333333334,50.0,50.0,41.06666666666667,
2020-09-05 19:00:00,55.733333333333334,49.46666666666667,0.0,,57.6,55.53333333333333,33.2,53.333333333333336,409.1333333333333,34.666666666666664,51.86666666666667,47.93333333333333,47.93333333333333,42.2,
2020-09-05 19:15:00,60.06666666666667,56.4,0.0,,56.4,52.06666666666667,35.333333333333336,51.333333333333336,438.6666666666667,35.2,60.333333333333336,48.6,48.6,41.733333333333334,
2020-09-05 19:30:00,60.86666666666667,54.6,0.0,,59.2,63.266666666666666,33.4,52.8,456.53333333333336,34.266666666666666,58.93333333333333,46.53333333333333,46.53333333333333,39.733333333333334,
2020-09-05 19:45:00,71.06666666666666,56.666666666666664,0.0,,56.8,54.53333333333333,36.4,54.92857142857143,475.1333333333333,36.733333333333334,62.86666666666667,52.333333333333336,52.333333333333336,42.4,
2020-09-05 20:00:00,60.333333333333336,59.93333333333333,0.0,,57.06666666666667,55.8,34.4,57.733333333333334,472.6,38.333333333333336,59.733333333333334,54.0,54.0,43.8,
2020-09-05 20:15:00,60.4,58.733333333333334,0.0,,58.0,57.53333333333333,43.2,55.0,479.6666666666667,37.266666666666666,59.333333333333336,56.0,56.0,45.93333333333333,
2020-09-05 20:30:00,57.6,54.2,0.0,,61.13333333333333,58.8,40.53333333333333,55.0,485.26666666666665,41.53333333333333,61.8,63.13333333333333,63.13333333333333,47.4,
2020-09-05 20:45:00,60.53333333333333,52.46666666666667,0.0,,57.666666666666664,55.266666666666666,43.2,57.8,484.4,42.0,59.733333333333334,62.666666666666664,62.666666666666664,46.13333333333333,
2020-09-05 21:00:00,52.266666666666666,57.666666666666664,0.0,,55.53333333333333,61.733333333333334,40.666666666666664,54.86666666666667,493.73333333333335,41.0,61.86666666666667,58.53333333333333,58.53333333333333,44.2,
2020-09-05 21:15:00,53.266666666666666,57.46666666666667,0.0,,59.6,69.53333333333333,40.666666666666664,54.333333333333336,490.2,40.6,61.86666666666667,59.13333333333333,59.13333333333333,46.06666666666667,
