Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL
2026-05-02 00:45:00,,6.0,,,42.0,17.73333333,23.0,16.93333333
2026-05-02 01:00:00,,9.93333333,,,38.0,18.93333333,18.2,17.93333333
2026-05-02 01:15:00,,15.13333333,,,31.46666667,19.2,16.86666667,18.13333333
2026-05-02 01:30:00,,17.73333333,,,30.26666667,20.33333333,21.66666667,18.8
2026-05-02 01:45:00,,17.53333333,,,32.4,20.33333333,20.26666667,19.93333333
2026-05-02 02:00:00,,17.33333333,,,32.53333333,157.8,20.0,18.4
2026-05-02 02:15:00,,16.8,,,35.2,19.4,22.8,18.86666667
2026-05-02 02:30:00,,16.0,,,30.6,23.2,24.2,20.2
2026-05-02 02:45:00,,16.06666667,,,30.46666667,25.4,23.2,18.73333333
2026-05-02 03:00:00,,17.8,,,27.8,25.86666667,25.93333333,20.46666667
2026-05-02 03:15:00,,17.0,,,28.66666667,25.0,24.93333333,18.66666667
2026-05-02 03:30:00,,17.73333333,,,27.6,26.93333333,31.33333333,18.93333333
2026-05-02 03:45:00,,18.86666667,,,24.6,25.6,32.86666667,20.06666667
2026-05-02 04:00:00,,17.13333333,,,23.66666667,27.8,33.4,21.2
2026-05-02 04:15:00,,17.26666667,,,23.33333333,30.0,34.8,21.93333333
2026-05-02 04:30:00,,18.26666667,,,21.0,30.13333333,47.53333333,20.6
2026-05-02 04:45:00,,19.46666667,,,20.93333333,27.93333333,279.86666667,19.8
2026-05-02 05:00:00,,17.86666667,,,23.93333333,27.53333333,61.46666667,23.53333333
2026-05-02 05:15:00,,16.86666667,,,19.26666667,23.2,49.46666667,25.13333333
2026-05-02 05:30:00,,16.8,,,20.0,19.33333333,47.6,27.46666667
2026-05-02 05:45:00,,16.6,,,23.8,19.53333333,1168.06666667,30.66666667
2026-05-02 06:00:00,,17.46666667,,,25.26666667,23.8,267.2,29.46666667
2026-05-02 06:15:00,,26.4,,,25.06666667,24.46666667,28.46666667,25.93333333
2026-05-02 06:30:00,,26.13333333,,,30.8,24.4,42.86666667,26.0
