Date/Time,6257_O_PETE,7946_O_MONG,8206_O_CPLS,8290_O_SQHL,6708_O_SLRK,4210_O_WLKG,8940_O_MUNH,1772_O_MNDU_MN,8862_O_BKTN,7661_O_JNTN,1969_O_MRSD,2925_O_CLVL,1875_O_LWCV,4462_O_WASH,6912_O_FRHL,4128_O_DOWN,1266_O_WBG
2023-11-10 15:00:00,,0.0,65.85714285714286,,,,,,,,,,,,,,
2023-11-10 15:15:00,,0.0,57.53333333333333,,,,,,,,,,,,,,
2023-11-10 15:30:00,,0.0,38.53333333333333,,,,,,,,,,,,,,
2023-11-10 15:45:00,,0.0,32.2,,,,,,,,,,,,,,
2023-11-10 16:00:00,,0.0,32.0,,,,,,,,,,,,,,
2023-11-10 16:15:00,,0.0,31.8,,,,,,,,,,,,,,
2023-11-10 16:30:00,,0.0,34.4,,,,,,,,,,,,,,
2023-11-10 16:45:00,,0.0,28.8,,,,,,,,,,,,,,
2023-11-10 17:00:00,,0.0,29.933333333333334,,,,,,,,,,,,,,
2023-11-10 17:15:00,,0.0,30.6,,,,,,,,,,,,,,
2023-11-10 17:30:00,,0.0,29.733333333333334,,,,,,,,,,,,,,
2023-11-10 17:45:00,,0.0,37.06666666666667,,,,,,,,,,,,,,
2023-11-10 18:00:00,,0.0,27.466666666666665,,,,,,,,,,,,,,
2023-11-10 18:15:00,,0.0,42.13333333333333,,,,,,,,,,,,,,
2023-11-10 18:30:00,,0.0,29.533333333333335,,,,,,,,,,,,,,
2023-11-10 18:45:00,,0.0,33.46666666666667,,,,,,,,,,,,,,
2023-11-10 19:00:00,,0.0,34.6,,,,,,,,,,,,,,
2023-11-10 19:15:00,,0.0,28.333333333333332,,,,,,,,,,,,,,
2023-11-10 19:30:00,,0.0,31.666666666666668,,,,,,,,,,,,,,
2023-11-10 19:45:00,,0.0,33.86666666666667,,,,,,,,,,,,,,
2023-11-10 20:00:00,,0.0,31.066666666666666,,,,,,,,,,,,,,
2023-11-10 20:15:00,,0.0,30.333333333333332,,,,,,,,,,,,,,
2023-11-10 20:30:00,,0.0,27.4,,,,,,,,,,,,,,
2023-11-10 20:45:00,,0.0,26.533333333333335,,,,,,,,,,,,,,
2023-11-10 21:00:00,,0.0,27.4,,,,,,,,,,,,,,
2023-11-10 21:15:00,,0.0,28.733333333333334,,,,,,,,,,,,,,
2023-11-10 21:30:00,,0.0,41.4,,,,,,,,,,,,,,
2023-11-10 21:45:00,,0.0,41.06666666666667,,,,,,,,,,,,,,
2023-11-10 22:00:00,,0.0,51.86666666666667,,,,,,,,,,,,,,
2023-11-10 22:15:00,,0.0,41.93333333333333,,,,,,,,,,,,,,
2023-11-10 22:30:00,,0.0,34.06666666666667,,,,,,,,,,,,,,
2023-11-10 22:45:00,,0.0,42.4,,,,,,,,,,,,,,
2023-11-10 23:00:00,,0.0,52.0,,,,,,,,,,,,,,
2023-11-10 23:15:00,,0.0,45.93333333333333,,,,,,,,,,,,,,
2023-11-10 23:30:00,,0.0,47.53333333333333,,,,,,,,,,,,,,
2023-11-10 23:45:00,,0.0,59.733333333333334,,,,,,,,,,,,,,
2023-11-11 00:00:00,,0.0,64.0,,,,,,,,,,,,,,
2023-11-11 00:15:00,,0.0,50.86666666666667,,,,,,,,,,,,,,
2023-11-11 00:30:00,,0.0,49.333333333333336,,,,,,,,,,,,,,
2023-11-11 00:45:00,,0.0,47.46666666666667,,,,,,,,,,,,,,
2023-11-11 01:00:00,,0.0,46.46666666666667,,,,,,,,,,,,,,
2023-11-11 01:15:00,,0.0,47.0,,,,,,,,,,,,,,
2023-11-11 01:30:00,,0.0,54.666666666666664,,,,,,,,,,,,,,
2023-11-11 01:45:00,,0.0,52.53333333333333,,,,,,,,,,,,,,
2023-11-11 02:00:00,,0.0,40.333333333333336,,,,,,,,,,,,,,
2023-11-11 02:15:00,,0.0,35.46666666666667,,,,,,,,,,,,,,
2023-11-11 02:30:00,,0.0,40.46666666666667,,,,,,,,,,,,,,
2023-11-11 02:45:00,,0.0,41.333333333333336,,,,,,,,,,,,,,
2023-11-11 03:00:00,,0.0,42.6,,,,,,,,,,,,,,
2023-11-11 03:15:00,,0.0,42.733333333333334,,,,,,,,,,,,,,
2023-11-11 03:30:00,,0.0,40.8,,,,,,,,,,,,,,
2023-11-11 03:45:00,,0.0,60.86666666666667,,,,,,,,,,,,,,
2023-11-11 04:00:00,,0.0,43.93333333333333,,,,,,,,,,,,,,
2023-11-11 04:15:00,,0.0,43.333333333333336,,,,,,,,,,,,,,
2023-11-11 04:30:00,,0.0,43.8,,,,,,,,,,,,,,
2023-11-11 04:45:00,,0.0,58.13333333333333,,,,,,,,,,,,,,
2023-11-11 05:00:00,,0.0,69.93333333333334,,,,,,,,,,,,,,
2023-11-11 05:15:00,,0.0,74.8,,,,,,,,,,,,,,
2023-11-11 05:30:00,,0.0,79.8,,,,,,,,,,,,,,
2023-11-11 05:45:00,,0.0,88.53333333333333,,,,,,,,,,,,,,
2023-11-11 06:00:00,,0.0,61.86666666666667,,,,,,,,,,,,,,
2023-11-11 06:15:00,,0.0,71.06666666666666,,,,,,,,,,,,,,
2023-11-11 06:30:00,,0.0,83.86666666666666,,,,,,,,,,,,,,
2023-11-11 06:45:00,,0.0,70.93333333333334,,,,,,,,,,,,,,
2023-11-11 07:00:00,,0.0,64.2,,,,,,,,,,,,,,
2023-11-11 07:15:00,,0.0,69.73333333333333,,,,,,,,,,,,,,
2023-11-11 07:30:00,,0.0,79.6,,,,,,,,,,,,,,
