Date/Time,4008_O_OHRA,1399_O_LWCV,1414_O_LWCV,3487_O_LWCV,8598_O_GNFD,1396_O_CRFT,4530_O_CNTP,8941_O_DOWN,5571_O_BUFF,4431_O_WBG,2229_O_BAHT,5624_O_BUFF,2413_O_XXXX,2071_O_NOSD,2759_O_BRHT,2220_O_NSEW,6089_O_XXXX,3883_O_NOSD,3555_O_SCLL
2019-03-22 15:00:00,,,,,,,66.85714285714286,282.57142857142856,405.2857142857143,664.0714285714286,,405.2857142857143,,,,1544.7142857142858,304.0,,
2019-03-22 15:15:00,,,,,,,60.46666666666667,236.66666666666666,243.0,482.2,,243.0,,,,1843.0666666666666,238.26666666666668,,
2019-03-22 15:30:00,,,,,,,42.2,313.2,163.46666666666667,448.1333333333333,,163.46666666666667,,,,2165.6,173.06666666666666,,
2019-03-22 15:45:00,,,,,,,57.0,382.1333333333333,107.73333333333333,353.3333333333333,,107.73333333333333,,,,2329.733333333333,136.66666666666666,,
2019-03-22 16:00:00,,,,,,,63.266666666666666,403.06666666666666,95.33333333333333,179.06666666666666,,95.33333333333333,,,,1703.0666666666666,115.46666666666667,,
2019-03-22 16:15:00,,,,,,,59.266666666666666,427.46666666666664,86.86666666666666,129.66666666666666,,86.86666666666666,,,,1312.3333333333333,106.66666666666667,,
2019-03-22 16:30:00,,,,,,,77.93333333333334,425.46666666666664,73.6,120.53333333333333,,73.6,,,,747.8666666666667,95.33333333333333,,
2019-03-22 16:45:00,,,,,,,85.46666666666667,360.46666666666664,82.26666666666667,103.6,,82.26666666666667,,,,350.8,96.66666666666667,,
2019-03-22 17:00:00,,,,,,,97.53333333333333,393.2,83.8,95.0,,83.8,,,,325.53333333333336,78.53333333333333,,
2019-03-22 17:15:00,,,,,,,127.6,531.0,96.53333333333333,94.33333333333333,,96.53333333333333,,,,451.8,103.13333333333334,,
2019-03-22 17:30:00,,,,,,,122.8,419.3333333333333,172.8,99.46666666666667,,172.8,,,,266.8666666666667,128.53333333333333,,
2019-03-22 17:45:00,,,,,,,95.13333333333334,376.1333333333333,182.26666666666668,105.93333333333334,,182.26666666666668,,,,164.73333333333332,132.66666666666666,,
2019-03-22 18:00:00,,,,,,,98.73333333333333,384.26666666666665,230.53333333333333,167.93333333333334,,230.53333333333333,,,,153.2,120.73333333333333,,
2019-03-22 18:15:00,,,,,,,144.73333333333332,379.8,182.53333333333333,185.33333333333334,,182.53333333333333,,,,199.73333333333332,128.73333333333332,,
2019-03-22 18:30:00,,,,,,,200.33333333333334,497.3333333333333,175.0,174.33333333333334,,175.0,,,,349.46666666666664,140.73333333333332,,
2019-03-22 18:45:00,,,,,,,212.06666666666666,476.3333333333333,183.66666666666666,158.2,,183.66666666666666,,,,414.8,140.66666666666666,,
2019-03-22 19:00:00,,,,,,,278.6,445.8,207.06666666666666,184.4,,207.06666666666666,,,,499.0,213.4,,
2019-03-22 19:15:00,,,,,,,285.73333333333335,498.4,261.0,232.86666666666667,,261.0,,,,452.2,302.46666666666664,,
2019-03-22 19:30:00,,,,,,,291.3333333333333,512.4666666666667,271.53333333333336,294.8666666666667,,271.53333333333336,,,,510.0,227.6,,
2019-03-22 19:45:00,,,,,,,337.1333333333333,512.3333333333334,303.8666666666667,299.3333333333333,,303.8666666666667,,,,567.7333333333333,249.93333333333334,,
2019-03-22 20:00:00,,,,,,,362.93333333333334,601.1333333333333,233.86666666666667,278.6666666666667,,233.86666666666667,,,,587.4666666666667,284.6666666666667,,
2019-03-22 20:15:00,,,,,,,402.8,658.2666666666667,200.73333333333332,345.06666666666666,,200.73333333333332,,,,655.6666666666666,471.06666666666666,,
2019-03-22 20:30:00,,,,,,,466.2,705.8666666666667,217.33333333333334,333.26666666666665,,217.33333333333334,,,,696.0,392.2,,
2019-03-22 20:45:00,,,,,,,569.8,725.5333333333333,231.33333333333334,216.0,,231.33333333333334,,,,1071.7333333333333,391.8,,
2019-03-22 21:00:00,,,,,,,731.8666666666667,705.1333333333333,253.73333333333332,180.0,,253.73333333333332,,,,965.2,454.6,,
2019-03-22 21:15:00,,,,,,,876.1333333333333,728.6,275.0,185.86666666666667,,275.0,,,,1089.8,451.06666666666666,,
2019-03-22 21:30:00,,,,,,,942.8,737.5333333333333,372.2,201.33333333333334,,372.2,,,,1239.1333333333334,536.6,,
2019-03-22 21:45:00,,,,,,,981.0,750.2,408.26666666666665,215.53333333333333,,408.26666666666665,,,,1364.8666666666666,589.1333333333333,,
2019-03-22 22:00:00,,,,,,,1022.0666666666667,776.8666666666667,540.0666666666667,262.6666666666667,,540.0666666666667,,,,1375.0666666666666,613.4666666666667,,
2019-03-22 22:15:00,,,,,,,1069.9333333333334,751.8666666666667,616.9333333333333,269.53333333333336,,616.9333333333333,,,,1411.8666666666666,673.4666666666667,,
2019-03-22 22:30:00,,,,,,,1131.9333333333334,738.6,595.1333333333333,330.0,,595.1333333333333,,,,1444.7333333333333,730.3333333333334,,
2019-03-22 22:45:00,,,,,,,1189.4666666666667,729.4,586.9333333333333,547.4,,586.9333333333333,,,,1416.8666666666666,908.2666666666667,,
2019-03-22 23:00:00,,,,,,,1175.0666666666666,725.8,656.8666666666667,548.0,,656.8666666666667,,,,1462.2,1043.2,,
2019-03-22 23:15:00,,,,,,,1187.6,780.0,721.2,575.0666666666667,,721.2,,,,1472.8,1106.6,,
2019-03-22 23:30:00,,,,,,,1202.0,768.8666666666667,838.0666666666667,594.8666666666667,,838.0666666666667,,,,1460.9333333333334,1144.4,,
