Date/Time,2693_O_BRKN,4431_O_WBG,2508_O_DOWN,6132_O_PTBR,3532_O_MONG,8508_O_OHCU_OH,2039_O_MNSP_MN,6416_O_CLRN,4661_O_ALPK,6389_O_MTLE,5175_O_MTLE,4041_O_BRHT,7210_O_MTLE,7295_O_WIJK_WI,8309_O_MEPL_ME,6771_O_MUNH,2020_O_XXXX
2021-04-10 15:00:00,530.7857142857143,,260.92857142857144,,565.8571428571429,,91.14285714285714,582.5714285714286,,789.6428571428571,,680.0714285714286,626.9285714285714,201.71428571428572,,923.9285714285714,580.9285714285714
2021-04-10 15:15:00,535.1333333333333,,151.93333333333334,,546.3333333333334,,115.4,552.8,,486.8,,951.5333333333333,514.6666666666666,582.8,,759.3333333333334,506.8
2021-04-10 15:30:00,591.1333333333333,,141.26666666666668,,578.5333333333333,,93.93333333333334,675.6,,875.1333333333333,,648.4666666666667,695.5333333333333,339.53333333333336,,751.5333333333333,513.2
2021-04-10 15:45:00,522.3333333333334,,150.13333333333333,,595.1333333333333,,118.86666666666666,1146.1333333333334,,1697.857142857143,,594.0,797.8,748.0,,754.6,514.5333333333333
2021-04-10 16:00:00,511.93333333333334,,54.4,,630.8666666666667,,96.2,895.6666666666666,,,,693.9333333333333,647.8666666666667,634.0,,694.5333333333333,542.3333333333334
2021-04-10 16:15:00,536.0666666666667,,46.6,,622.8,,99.6,1259.6666666666667,,,608.6,526.9333333333333,739.5333333333333,682.8,,801.8666666666667,550.1333333333333
2021-04-10 16:30:00,525.8,,22.533333333333335,,639.6666666666666,,108.2,930.2666666666667,,,585.0666666666667,577.0666666666667,640.3333333333334,211.8,,691.5333333333333,581.2666666666667
2021-04-10 16:45:00,551.9333333333333,,162.13333333333333,,607.2666666666667,,150.73333333333332,585.7333333333333,,,575.0,581.5333333333333,622.4,259.6,,664.8666666666667,569.7333333333333
2021-04-10 17:00:00,629.0,,54.46666666666667,,626.1333333333333,,136.2,571.3333333333334,,,569.1333333333333,622.2666666666667,636.0666666666667,258.4,,636.4,556.8666666666667
2021-04-10 17:15:00,695.0666666666667,,89.66666666666667,,646.7333333333333,,151.86666666666667,566.9333333333333,,,570.1333333333333,637.4,632.6,278.8666666666667,,763.4666666666667,550.8
2021-04-10 17:30:00,606.7333333333333,,77.33333333333333,,585.9333333333333,,142.46666666666667,569.2,,,574.5333333333333,672.2,613.4,503.26666666666665,,593.1333333333333,537.8666666666667
2021-04-10 17:45:00,570.8666666666667,,49.333333333333336,,582.7333333333333,,125.6,557.4,,505.57142857142856,563.6,645.9333333333333,608.4666666666667,520.2666666666667,,616.0,529.6666666666666
2021-04-10 18:00:00,591.4,,58.06666666666667,,567.4666666666667,,108.13333333333334,586.8,,533.5333333333333,553.6666666666666,600.4666666666667,602.5333333333333,598.5333333333333,,584.3333333333334,517.0666666666667
2021-04-10 18:15:00,598.0666666666667,,48.666666666666664,,544.8,,107.66666666666667,517.8,,517.4666666666667,543.2,634.5333333333333,609.4666666666667,770.4,,587.6666666666666,515.3333333333334
2021-04-10 18:30:00,539.8666666666667,,60.93333333333333,,533.8666666666667,,114.66666666666667,527.5333333333333,,499.26666666666665,518.9333333333333,595.2666666666667,593.4666666666667,715.2,,561.0,515.7333333333333
2021-04-10 18:45:00,523.4,,73.06666666666666,,526.8,,112.66666666666667,507.2,,481.0,514.5333333333333,589.9333333333333,605.6,530.5333333333333,,509.2,529.6
2021-04-10 19:00:00,490.4,,140.26666666666668,,547.2,,261.3333333333333,535.1333333333333,,510.53333333333336,516.7333333333333,630.3333333333334,627.2666666666667,459.26666666666665,,540.5333333333333,540.2666666666667
2021-04-10 19:15:00,509.73333333333335,,140.46666666666667,,540.4666666666667,,247.53333333333333,538.6666666666666,,519.4,507.8,674.6666666666666,764.4666666666667,681.2666666666667,,526.8666666666667,551.8666666666667
2021-04-10 19:30:00,518.6,,168.26666666666668,,555.1333333333333,,176.73333333333332,552.0666666666667,,496.6,551.2,678.2,600.0666666666667,741.3333333333334,,536.0666666666667,584.9333333333333
2021-04-10 19:45:00,621.6666666666666,,58.53333333333333,,582.6666666666666,,209.06666666666666,543.1333333333333,,507.4,537.4,671.1333333333333,598.3333333333334,638.5333333333333,,542.8666666666667,587.9333333333333
2021-04-10 20:00:00,697.5333333333333,,50.8,,575.6666666666666,,211.0,583.7333333333333,,508.1333333333333,546.4,675.8,651.4666666666667,585.6,,459.53333333333336,626.5333333333333
2021-04-10 20:15:00,602.1333333333333,,21.333333333333332,,613.2666666666667,,237.13333333333333,594.1333333333333,,523.7333333333333,562.3333333333334,732.2666666666667,644.3333333333334,607.4666666666667,,419.3333333333333,626.8666666666667
2021-04-10 20:30:00,554.3333333333334,,11.266666666666667,,708.0666666666667,,244.13333333333333,691.2666666666667,,620.9333333333333,642.1333333333333,2539.866666666667,793.2666666666667,573.4666666666667,,397.8666666666667,664.3333333333334
2021-04-10 20:45:00,644.8666666666667,,47.4,,773.2666666666667,,215.13333333333333,718.6,,749.1333333333333,735.1333333333333,1139.1333333333334,866.0,497.73333333333335,,417.3333333333333,859.1333333333333
2021-04-10 21:00:00,618.8,,74.53333333333333,,883.7333333333333,,233.46666666666667,834.6,,858.6666666666666,803.7333333333333,961.5333333333333,942.7333333333333,443.93333333333334,,439.06666666666666,1013.2
2021-04-10 21:15:00,680.4,,100.73333333333333,,1112.5333333333333,,176.13333333333333,2193.6,,1016.6,902.0,1070.4666666666667,1003.8666666666667,461.73333333333335,,432.53333333333336,1085.8666666666666
