Date/Time,8941_O_DOWN,5571_O_BUFF,4431_O_WBG,5624_O_BUFF,2484_O_MTLE,8579_O_CLRN,1342_O_ELZT,5784_O_USCL,4430_O_RBN,2759_O_BRHT,3762_O_MNLL,2559_O_BLOO,2302_O_FXCP,2071_O_NOSD,2220_O_NSEW
2019-06-14 15:00:00,24.071428571428573,24.928571428571427,23.928571428571427,24.928571428571427,,29.166666666666668,,,,47.0,,,,,841.0
2019-06-14 15:15:00,23.666666666666668,25.066666666666666,23.2,25.066666666666666,,18.533333333333335,,,,28.6,,,,,981.2
2019-06-14 15:30:00,23.4,70.4,21.466666666666665,70.4,,21.933333333333334,,,,31.733333333333334,,,,,890.4
2019-06-14 15:45:00,28.6,83.4,21.4,83.4,,20.266666666666666,,,,31.333333333333332,,,26.363636363636363,,681.3333333333334
2019-06-14 16:00:00,31.466666666666665,81.53333333333333,20.133333333333333,81.53333333333333,,16.866666666666667,,,,28.933333333333334,,,25.6,,905.2
2019-06-14 16:15:00,41.93333333333333,24.933333333333334,22.266666666666666,24.933333333333334,,15.8,,,,24.4,,,24.733333333333334,,874.2666666666667
2019-06-14 16:30:00,25.533333333333335,24.8,22.266666666666666,24.8,,16.066666666666666,,,,23.466666666666665,,,26.0,,753.1333333333333
2019-06-14 16:45:00,34.666666666666664,22.733333333333334,18.533333333333335,22.733333333333334,,15.666666666666666,,,,26.066666666666666,,,22.666666666666668,,462.2
2019-06-14 17:00:00,26.866666666666667,24.733333333333334,20.2,24.733333333333334,,13.533333333333333,,,,64.8,,,22.666666666666668,,676.1333333333333
2019-06-14 17:15:00,25.133333333333333,28.466666666666665,22.333333333333332,28.466666666666665,,13.933333333333334,,,,32.86666666666667,,,21.066666666666666,,1063.8666666666666
2019-06-14 17:30:00,27.266666666666666,24.4,22.0,24.4,,15.866666666666667,,,,38.333333333333336,,,22.133333333333333,,914.0666666666667
2019-06-14 17:45:00,32.666666666666664,27.4,20.666666666666668,27.4,,16.866666666666667,,,,44.2,,,21.8,,658.7333333333333
2019-06-14 18:00:00,30.666666666666668,26.066666666666666,22.533333333333335,26.066666666666666,,16.333333333333332,,,,46.266666666666666,,,22.733333333333334,,786.5333333333333
2019-06-14 18:15:00,28.666666666666668,26.066666666666666,20.533333333333335,26.066666666666666,,14.866666666666667,,,,106.2,,,21.733333333333334,,675.3333333333334
2019-06-14 18:30:00,37.46666666666667,27.066666666666666,20.8,27.066666666666666,,15.0,,,,58.46666666666667,,,22.133333333333333,,552.7333333333333
2019-06-14 18:45:00,31.4,28.266666666666666,20.8,28.266666666666666,,17.8,,,,34.2,,,21.4,,773.2666666666667
2019-06-14 19:00:00,36.46666666666667,34.8,20.533333333333335,34.8,,16.866666666666667,,,,32.6,,,23.733333333333334,,514.3333333333334
2019-06-14 19:15:00,31.2,28.2,22.133333333333333,28.2,,17.933333333333334,,,,36.46666666666667,,,25.2,,265.8
2019-06-14 19:30:00,26.133333333333333,26.266666666666666,21.066666666666666,26.266666666666666,,19.333333333333332,,,,32.13333333333333,,,26.666666666666668,,296.26666666666665
2019-06-14 19:45:00,24.666666666666668,30.4,19.866666666666667,30.4,46.875,19.266666666666666,,,,32.53333333333333,,,24.533333333333335,,195.8
2019-06-14 20:00:00,23.533333333333335,39.666666666666664,21.6,39.666666666666664,26.866666666666667,20.266666666666666,,,,29.0,,,42.06666666666667,,195.8
2019-06-14 20:15:00,23.0,47.266666666666666,25.666666666666668,47.266666666666666,32.4,20.2,,,,32.53333333333333,,,189.33333333333334,,248.2
2019-06-14 20:30:00,21.866666666666667,29.133333333333333,30.6,29.133333333333333,32.6,21.866666666666667,,,,32.733333333333334,,,66.06666666666666,,275.6
2019-06-14 20:45:00,20.733333333333334,25.866666666666667,31.666666666666668,25.866666666666667,29.533333333333335,26.466666666666665,,,,37.53333333333333,,,31.333333333333332,,157.2
2019-06-14 21:00:00,19.933333333333334,28.066666666666666,36.86666666666667,28.066666666666666,31.2,27.066666666666666,,,,35.93333333333333,,,24.933333333333334,,155.4
2019-06-14 21:15:00,20.066666666666666,26.6,38.13333333333333,26.6,31.066666666666666,26.733333333333334,,,,39.8,,,26.666666666666668,,195.0
2019-06-14 21:30:00,20.933333333333334,28.933333333333334,40.733333333333334,28.933333333333334,37.46666666666667,27.466666666666665,,,,43.46666666666667,,,26.6,,374.73333333333335
2019-06-14 21:45:00,21.0,29.2,45.13333333333333,29.2,34.8,26.266666666666666,,,,42.266666666666666,,,29.666666666666668,,188.73333333333332
2019-06-14 22:00:00,21.4,36.333333333333336,47.333333333333336,36.333333333333336,46.46666666666667,24.133333333333333,,,,55.46666666666667,,,29.133333333333333,,184.66666666666666
2019-06-14 22:15:00,32.46666666666667,34.266666666666666,47.0,34.266666666666666,44.13333333333333,21.8,,,,59.93333333333333,,,30.0,,161.0
2019-06-14 22:30:00,24.4,32.06666666666667,48.53333333333333,32.06666666666667,37.733333333333334,24.2,,,,59.8,,,33.0,,211.26666666666668
2019-06-14 22:45:00,24.2,34.266666666666666,49.53333333333333,34.266666666666666,29.333333333333332,24.533333333333335,,,,57.06666666666667,,,34.13333333333333,,255.66666666666666
2019-06-14 23:00:00,22.933333333333334,31.8,48.266666666666666,31.8,27.666666666666668,27.666666666666668,,,,70.33333333333333,,,33.2,,259.93333333333334
2019-06-14 23:15:00,21.866666666666667,35.8,44.666666666666664,35.8,29.666666666666668,29.466666666666665,,,,62.13333333333333,,,31.533333333333335,,310.8
