Date/Time,1502_O_BLPK,2071_O_NOSD,2676_O_ESLG,3127_O_PTBZ,3555_O_SCLL,3914_O_SOSD,4387_O_EDWD,4431_O_WBG,4530_O_CNTP,5179_O_SHRP,5444_O_HMSD,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,5878_O_BLOO,6017_O_BRHT,6018_O_PTBZ,6312_O_SQHS,6582_O_OAKD,7543_O_MILL,8356_O_OHRA,8941_O_MTLE
2017-12-10 15:00:00,,1913.2142857142856,,2093.8571428571427,1188.9285714285713,1687.5,2874.0714285714284,749.3571428571429,,,1466.357142857143,890.4285714285713,,1959.857142857143,,1157.642857142857,,1470.357142857143,1033.5,,1583.7857142857144,1853.9285714285716
2017-12-10 15:15:00,,1612.0,,1779.8,1185.3333333333333,1538.0666666666666,2946.933333333333,680.9,,,1356.1333333333334,907.8,,1639.4,,1052.2666666666667,,1319.0,954.3333333333335,,1591.8666666666666,1695.466666666667
2017-12-10 15:30:00,,1527.6,,1513.9333333333334,1157.0,1304.1333333333334,2554.8,,,,1267.7333333333333,970.9333333333333,,1437.2,,945.2666666666668,,1125.2,930.4666666666667,,1420.666666666667,1504.4
2017-12-10 15:45:00,,1370.4666666666667,,1403.1333333333334,1100.9333333333334,1249.8,2287.6666666666665,,,,1158.4,929.9333333333333,,1400.0,,852.6666666666665,,1066.0,888.0666666666667,,1298.5333333333333,1376.466666666667
2017-12-10 16:00:00,,1286.0666666666666,,1365.0,1074.6666666666667,1183.0666666666666,2073.6,,,,1205.6666666666667,981.7333333333332,,1311.5333333333333,,843.0666666666667,,1029.3333333333333,820.2666666666668,,1146.7333333333333,1253.7333333333333
2017-12-10 16:15:00,,1417.2,,1313.3333333333333,1002.4,1194.5333333333333,2017.7333333333331,,,,1222.2666666666667,990.0666666666667,,1179.8,,824.2666666666668,,1004.3333333333335,823.4,,1143.0666666666666,1115.9333333333334
2017-12-10 16:30:00,,1395.333333333333,,1294.6666666666667,986.7333333333332,1361.5333333333333,1834.466666666667,,,,1688.8666666666666,1016.0,,1035.0666666666666,,793.2666666666668,,980.6,809.7333333333332,,1050.5333333333333,1062.5333333333333
2017-12-10 16:45:00,,1342.8,,1260.6666666666667,921.6666666666665,1252.0666666666666,1625.8,,,,1505.9333333333334,1009.0666666666667,,1021.2666666666668,,793.4666666666667,,1947.666666666667,859.8,,908.2666666666668,1076.6666666666667
2017-12-10 17:00:00,,1444.9333333333334,,1292.4,907.8,2742.933333333333,1576.1333333333334,,,,1415.0666666666666,1083.2,,989.2666666666668,,871.8,,1927.6,926.8,,929.3333333333335,1048.8
2017-12-10 17:15:00,,1429.533333333333,,1277.1333333333334,891.6666666666665,4184.8,1573.7333333333331,,,,1392.6,1081.7333333333333,,897.8,,995.6,,1694.9333333333334,953.1333333333333,,889.3333333333335,984.0
2017-12-10 17:30:00,,1800.7333333333331,,1331.6,883.4666666666667,1610.0666666666666,1449.8666666666666,,,,1321.3333333333333,1014.8,,970.5333333333333,,978.2666666666668,,1748.466666666667,941.3333333333335,,836.0,1060.2
2017-12-10 17:45:00,,1433.0666666666666,,1362.3333333333333,893.3333333333335,1374.0666666666666,1449.2666666666669,,,,1529.0666666666666,922.5333333333333,,959.6,,915.2666666666668,,1137.2666666666667,918.5333333333333,,1015.2000000000002,1058.4666666666667
2017-12-10 18:00:00,,1408.9333333333334,,1387.4,877.8666666666667,1371.1333333333334,1443.2,,,,1324.0666666666666,847.9333333333333,,962.4666666666667,,903.2666666666668,,5361.0,890.5333333333333,,1126.4,1121.1333333333334
2017-12-10 18:15:00,,1455.333333333333,,1365.5333333333333,840.0,1290.4666666666667,1481.2666666666669,458.8461538461538,,,1578.0666666666666,834.3333333333335,,998.9333333333333,,926.8,,2249.0,901.8,,1053.4666666666667,1271.0666666666666
2017-12-10 18:30:00,,1361.8666666666666,,1334.2666666666667,826.8666666666667,1384.4,1516.0,721.6,,,1363.6,796.6,,1041.8666666666666,,904.6666666666665,,1079.6,893.6,,1247.1333333333334,1367.4666666666667
2017-12-10 18:45:00,,1258.6666666666667,,1288.1333333333334,818.1333333333333,1866.2,1437.9333333333334,799.3333333333335,,,1255.7333333333333,848.7333333333332,,1042.0,,984.6666666666665,,1696.6,867.8,,1450.8,1204.4
2017-12-10 19:00:00,,1243.0,,1212.6,804.6,1377.6,1597.9333333333334,783.6666666666665,,,1091.9333333333334,878.8666666666667,,1133.6,,1105.3333333333333,,2034.466666666667,869.4,,1138.4666666666667,1311.4666666666667
2017-12-10 19:15:00,,1164.8666666666666,,1133.7333333333333,865.0666666666667,1634.1333333333334,1650.533333333333,780.2666666666668,,,1113.9333333333334,870.4,,1065.4,,1171.8666666666666,,4406.6,836.1333333333333,,1133.0666666666666,1267.2
2017-12-10 19:30:00,,1119.4666666666667,,1103.1333333333334,872.5333333333333,1243.2666666666667,1572.7333333333331,804.2666666666668,,,1042.2,903.4,,1077.0666666666666,,1086.3333333333333,,2033.666666666667,827.6666666666665,,1194.2,1155.5333333333333
2017-12-10 19:45:00,,1113.1333333333334,,1085.9333333333334,944.8666666666667,1174.7333333333333,1616.1333333333334,794.1333333333333,,,1087.7333333333333,938.1333333333333,,965.2666666666668,,1068.0,,1654.9333333333334,808.6666666666665,,1388.9333333333334,1098.0666666666666
2017-12-10 20:00:00,,1098.8,,1084.7333333333333,958.4666666666667,1270.9333333333334,1479.466666666667,757.5333333333333,,,1169.4,951.4,,908.7333333333332,,1091.6666666666667,,1705.8,840.2,,1061.5333333333333,1051.8666666666666
