Date/Time,1282_O_BCVW,1502_O_BLPK,2071_O_NOSD,2281_O_HiPK,4431_O_WBG,4492_O_MOON,4632_O_BNAR,4669_O_ELIB,4880_O_ELIB,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6227_O_ELIB,7543_O_MILL,8749_O_CRFT,8941_O_MTLE
2017-03-19 15:00:00,,7154.142857142857,6366.714285714284,,2871.9285714285716,,,,,4384.071428571428,4384.071428571428,7126.428571428572,,,8699.857142857143,
2017-03-19 15:15:00,,7063.733333333334,5718.0,,3160.5333333333333,,,,,5189.133333333333,5189.133333333333,7032.666666666668,,,8387.6,
2017-03-19 15:30:00,,7310.466666666666,5581.2,,2814.066666666666,,,,,4804.266666666666,4804.266666666666,6037.866666666668,,,8029.0,
2017-03-19 15:45:00,,7502.0,5688.0,,2481.5333333333333,,,,,4842.666666666667,4842.666666666667,5672.9333333333325,,,7875.866666666668,
2017-03-19 16:00:00,,7407.0,5812.266666666666,,2462.0,,,,,5161.933333333333,5161.933333333333,5930.6,,,8038.133333333332,
2017-03-19 16:15:00,,7314.133333333332,5922.733333333334,,2572.333333333333,,,,,5036.2,5036.2,6623.6,,,8113.133333333332,
2017-03-19 16:30:00,,6899.666666666668,6052.333333333332,,2847.133333333333,,,,,5174.266666666666,5174.266666666666,6801.0666666666675,,,7963.8,
2017-03-19 16:45:00,,6959.6,6117.2,,2884.066666666666,,,,,5356.0,5356.0,6365.333333333332,,,8084.2,
2017-03-19 17:00:00,,7026.466666666666,6296.6,,2843.4,,,,,5518.2,5518.2,6510.733333333334,,,8244.333333333334,
2017-03-19 17:15:00,,7227.9333333333325,5916.333333333332,,2839.2,,,,,5763.333333333332,5763.333333333332,6799.2,,,8053.6,
2017-03-19 17:30:00,,7513.466666666666,5763.333333333332,,2959.866666666667,,,,,5929.866666666668,5929.866666666668,6340.8,,,7925.733333333334,
2017-03-19 17:45:00,,7743.9333333333325,5795.466666666666,,3760.066666666666,,,,,5651.333333333332,5651.333333333332,6164.4,,,8236.866666666667,
2017-03-19 18:00:00,,7950.6,6183.0666666666675,,3800.2,,,,,5862.6,5862.6,6412.466666666666,,,8380.666666666666,
2017-03-19 18:15:00,,7805.333333333332,6116.8,,4092.8,,,,,6086.8,6086.8,6805.333333333332,,,8122.666666666668,
2017-03-19 18:30:00,,7901.0666666666675,5747.733333333334,,4021.666666666666,,,,,6088.333333333332,6088.333333333332,6319.0666666666675,,,8062.0,
2017-03-19 18:45:00,,7959.0666666666675,5973.2,,3922.4666666666662,,,,,6454.533333333334,6454.533333333334,6230.0666666666675,,,7968.333333333332,
2017-03-19 19:00:00,,7945.2,5924.6,,3910.4,,,,,6528.0,6528.0,6922.8,,,7871.0,
2017-03-19 19:15:00,,8074.533333333334,6109.0,,3919.066666666666,,,,,6484.866666666668,6484.866666666668,7211.266666666666,,,7808.266666666666,
2017-03-19 19:30:00,,8117.4,5988.0666666666675,,4095.066666666666,,,,,6445.666666666668,6445.666666666668,7173.0666666666675,,,8161.0,
2017-03-19 19:45:00,,8040.666666666668,6166.4,,3971.133333333333,,,,,6786.666666666668,6786.666666666668,7230.2,,,8440.4,
2017-03-19 20:00:00,,8003.666666666668,6544.733333333334,,4259.133333333333,,,,,6841.2,6841.2,7372.866666666668,,,8525.2,
2017-03-19 20:15:00,,7797.533333333334,6838.0,,5396.866666666667,,,,,7272.4,7272.4,7406.733333333334,,,8659.0,
2017-03-19 20:30:00,,7981.733333333334,6886.866666666668,,4863.4,,,,,7425.2,7425.2,7527.866666666668,,,8715.066666666668,
2017-03-19 20:45:00,,8324.533333333333,7031.333333333332,,4247.133333333333,,,,,8024.8,8024.8,7691.533333333334,,,8779.533333333333,
2017-03-19 21:00:00,,8218.533333333333,6968.333333333332,,4577.666666666667,,,,,7697.9333333333325,7697.9333333333325,7646.866666666668,,,8466.933333333332,
2017-03-19 21:15:00,,8186.2,6776.8,,4656.2,,,,,8188.2,8188.2,7458.333333333332,,,8467.533333333333,
2017-03-19 21:30:00,,8449.733333333334,6474.133333333332,,4296.733333333334,,,,,8579.066666666668,8579.066666666668,7442.333333333332,,,8538.266666666666,
2017-03-19 21:45:00,,8586.8,6555.8,,3900.066666666666,,,,,8799.666666666666,8799.666666666666,7433.2,,,8441.866666666667,
2017-03-19 22:00:00,,8695.733333333334,6603.666666666668,,4576.533333333334,,,,,9075.8,9075.8,7400.333333333332,,,8104.0666666666675,
2017-03-19 22:15:00,,8808.533333333333,6352.333333333332,,4004.066666666666,,,,,8709.2,8709.2,7480.266666666666,,,8142.533333333334,
2017-03-19 22:30:00,,8699.266666666666,6352.666666666668,,4057.4,,,,,9082.133333333333,9082.133333333333,7288.533333333334,,,8394.333333333334,
2017-03-19 22:45:00,,8620.2,6425.133333333332,,4229.666666666667,,,,,9114.0,9114.0,7300.0,,,8200.8,
2017-03-19 23:00:00,,8710.8,6417.0666666666675,,4562.533333333334,,,,,9196.4,9196.4,7301.9333333333325,,,8218.666666666666,
2017-03-19 23:15:00,,8753.533333333333,6506.4,,4822.133333333333,,,,,9629.733333333334,9629.733333333334,7200.4,,,8523.133333333333,
2017-03-19 23:30:00,,8813.733333333334,6233.9333333333325,,5119.8,,,,,9296.8,9296.8,7275.0666666666675,,,8560.0,
2017-03-19 23:45:00,,8960.6,6376.266666666666,,5044.266666666666,,,,,9063.333333333334,9063.333333333334,7245.4,,,8718.533333333333,
2017-03-20 00:00:00,,8982.4,6799.533333333334,,4866.066666666667,,,,,8530.4,8530.4,7290.133333333332,,,9215.333333333334,
