Date/Time,4164_O_ROSS,6035_O_WLKG,5464_O_SQHL,4450_O_CRFT,4430_O_WASH,5999_O_DORM,8157_O_NVLL,5514_O_MNMP,7233_O_MEBA,1254_O_MTLE
2025-04-11 10:45:00,49.0,,,,,,,,,
2025-04-11 11:00:00,183.93333333333334,,,,,,,,,
2025-04-11 11:15:00,232.66666666666666,,,,,,,,,
2025-04-11 11:30:00,69.13333333333334,,,,,,,,,
2025-04-11 11:45:00,95.86666666666666,,,,,14.0,,,,
2025-04-11 12:00:00,12.8,,,,,17.666666666666668,,,,
2025-04-11 12:15:00,107.66666666666667,,,,,13.066666666666666,,,,
2025-04-11 12:30:00,15.466666666666667,,,,,14.4,,,,
2025-04-11 12:45:00,75.06666666666666,,,,,12.866666666666667,10.866666666666667,,,
2025-04-11 13:00:00,8.6,,,,,12.466666666666667,7.466666666666667,,,
2025-04-11 13:15:00,7.2,,,,,10.866666666666667,7.866666666666666,,,
2025-04-11 13:30:00,8.2,,,,,13.266666666666667,8.466666666666667,,,
2025-04-11 13:45:00,8.733333333333333,,,,,17.066666666666666,9.2,,,
2025-04-11 14:00:00,9.0,,,,,14.266666666666667,21.0,,,
2025-04-11 14:15:00,8.6,,,,,16.466666666666665,10.2,,,
2025-04-11 14:30:00,8.066666666666666,,,82.83333333333333,,15.2,16.4,,,
2025-04-11 14:45:00,7.666666666666667,,,21.533333333333335,,18.933333333333334,11.066666666666666,,,
2025-04-11 15:00:00,7.4,,,18.4,,19.0,21.266666666666666,,,
2025-04-11 15:15:00,9.133333333333333,,,18.2,,49.46666666666667,27.866666666666667,,,
2025-04-11 15:30:00,10.066666666666666,,,24.666666666666668,,17.533333333333335,12.333333333333334,,,
2025-04-11 15:45:00,10.333333333333334,,,29.4,,14.666666666666666,15.933333333333334,,,
2025-04-11 16:00:00,11.0,,,17.2,,16.266666666666666,14.266666666666667,,,
2025-04-11 16:15:00,10.333333333333334,,,18.6,,17.133333333333333,13.0,,,
2025-04-11 16:30:00,11.533333333333333,,,20.066666666666666,,16.2,14.0,,,
2025-04-11 16:45:00,13.066666666666666,,,14.266666666666667,,15.933333333333334,13.2,,,
2025-04-11 17:00:00,11.066666666666666,,,14.333333333333334,,16.333333333333332,11.266666666666667,,,
2025-04-11 17:15:00,11.933333333333334,,,14.933333333333334,,16.866666666666667,10.666666666666666,,,
2025-04-11 17:30:00,10.733333333333333,,,13.2,,18.066666666666666,17.8,,,
2025-04-11 17:45:00,9.0,,,12.866666666666667,,18.6,27.466666666666665,,,
2025-04-11 18:00:00,7.666666666666667,,,12.8,,16.066666666666666,12.2,,,
2025-04-11 18:15:00,6.733333333333333,,,14.2,,18.8,10.8,,,
2025-04-11 18:30:00,8.133333333333333,,,15.666666666666666,,19.333333333333332,13.6,,,
2025-04-11 18:45:00,9.533333333333333,,,12.133333333333333,,19.466666666666665,12.533333333333333,,,
2025-04-11 19:00:00,12.733333333333333,,,14.466666666666667,,15.6,12.466666666666667,,,
2025-04-11 19:15:00,13.266666666666667,,,14.2,,16.666666666666668,11.866666666666667,,,
2025-04-11 19:30:00,11.8,,,14.533333333333333,,17.8,11.6,,,
2025-04-11 19:45:00,14.0,,,15.266666666666667,,18.2,12.666666666666666,,,
2025-04-11 20:00:00,13.6,,,15.333333333333334,,18.333333333333332,13.266666666666667,,,
2025-04-11 20:15:00,16.333333333333332,,,16.2,,18.866666666666667,13.0,,,
2025-04-11 20:30:00,13.933333333333334,,,16.0,,19.933333333333334,12.533333333333333,,,
2025-04-11 20:45:00,14.133333333333333,,,15.733333333333333,,19.866666666666667,13.466666666666667,,,
2025-04-11 21:00:00,14.933333333333334,,,16.333333333333332,,21.0,14.6,,,
2025-04-11 21:15:00,16.2,,,16.4,,21.466666666666665,14.066666666666666,,,
2025-04-11 21:30:00,15.2,,,16.866666666666667,,23.4,13.533333333333333,,,
2025-04-11 21:45:00,17.666666666666668,,,17.8,,23.4,13.2,,,
2025-04-11 22:00:00,19.666666666666668,,,18.4,,21.6,13.6,,,
2025-04-11 22:15:00,19.666666666666668,,,17.466666666666665,,21.866666666666667,15.0,,,
2025-04-11 22:30:00,19.666666666666668,,,17.6,,20.733333333333334,15.0,,,
2025-04-11 22:45:00,18.4,,,18.866666666666667,,19.666666666666668,15.666666666666666,,,
2025-04-11 23:00:00,17.8,,,17.333333333333332,,20.333333333333332,13.266666666666667,,,
2025-04-11 23:15:00,16.933333333333334,,,17.333333333333332,,17.533333333333335,11.8,,,
2025-04-11 23:30:00,16.8,,,16.666666666666668,,16.266666666666666,14.333333333333334,,,
2025-04-11 23:45:00,14.866666666666667,,,16.8,,14.2,14.866666666666667,,,
2025-04-12 00:00:00,13.2,,,13.266666666666667,,15.2,15.066666666666666,,,
2025-04-12 00:15:00,11.666666666666666,,,13.533333333333333,,15.733333333333333,16.066666666666666,,,
2025-04-12 00:30:00,10.866666666666667,,,12.333333333333334,,16.266666666666666,19.266666666666666,,,
2025-04-12 00:45:00,11.0,,,11.6,,18.466666666666665,19.266666666666666,,,
2025-04-12 01:00:00,12.466666666666667,,,12.4,,18.4,15.466666666666667,,,
2025-04-12 01:15:00,13.866666666666667,,,12.266666666666667,,18.733333333333334,15.866666666666667,,,
2025-04-12 01:30:00,14.933333333333334,,,13.6,,20.133333333333333,15.8,,,
2025-04-12 01:45:00,15.6,,,13.6,,21.0,13.6,,,
2025-04-12 02:00:00,17.6,,,14.333333333333334,,19.933333333333334,14.3,,,
2025-04-12 02:15:00,17.866666666666667,,,15.333333333333334,,24.866666666666667,,,,
