Date/Time,2020_O_CASM_CA,8931_O_WGSQ,8445_O_BRHT,6132_O_MONG,6274_O_GNFD,8750_O_DOWN,7674_O_WMIF,8335_O_CRHT,6784_O_SQHL,1724_O_DSVL,1542_O_WIMD_WI,4431_O_WBG,3930_O_XXXX
2021-07-08 15:00:00,,,,101.5,,93.92857142857143,,,,,,,
2021-07-08 15:15:00,,,,102.73333333333333,,88.86666666666666,,,,,,,
2021-07-08 15:30:00,,,,104.26666666666667,,86.53333333333333,,,,,,,
2021-07-08 15:45:00,,,,104.4,80.5,83.13333333333334,,,,,,,
2021-07-08 16:00:00,,,,104.6,81.33333333333333,84.0,,,,,,,
2021-07-08 16:15:00,,,,103.46666666666667,83.73333333333333,77.4,,,,,,,
2021-07-08 16:30:00,,,,102.46666666666667,62.333333333333336,85.33333333333333,,,,,,,
2021-07-08 16:45:00,,,,101.73333333333333,88.53333333333333,90.26666666666667,,,,,,,
2021-07-08 17:00:00,,,,102.6,113.13333333333334,79.73333333333333,,,,,,,
2021-07-08 17:15:00,,,,104.06666666666666,88.53333333333333,81.6,,,,,,,
2021-07-08 17:30:00,,,,108.86666666666666,70.06666666666666,138.0,,,,,,,
2021-07-08 17:45:00,,,,107.2,94.73333333333333,96.13333333333334,,,,,,,
2021-07-08 18:00:00,,,,103.93333333333334,99.73333333333333,81.06666666666666,,,,,,,
2021-07-08 18:15:00,,,,106.8,100.2,65.66666666666667,,,,,,,
2021-07-08 18:30:00,,,,121.4,131.8,57.46666666666667,,,,,,,
2021-07-08 18:45:00,,,,124.8,121.86666666666666,54.93333333333333,,,,,,,
2021-07-08 19:00:00,,,,310.6666666666667,109.6,60.93333333333333,,,,,,,
2021-07-08 19:15:00,,,,168.2,70.86666666666666,68.06666666666666,,,,,,,
2021-07-08 19:30:00,,,,125.66666666666667,51.93333333333333,59.4,,,,,,,
2021-07-08 19:45:00,,,,72.4,46.0,47.13333333333333,,,,,,,
2021-07-08 20:00:00,,,,61.13333333333333,28.933333333333334,43.13333333333333,,,,,,,
2021-07-08 20:15:00,,,,66.73333333333333,36.93333333333333,43.4,,,,,,,
2021-07-08 20:30:00,,,,59.333333333333336,58.8,45.53333333333333,,,,,,,
2021-07-08 20:45:00,,,,52.46666666666667,69.2,109.26666666666667,,,,,,,
2021-07-08 21:00:00,,106.75,,56.86666666666667,71.33333333333333,52.6,,,,,,,
2021-07-08 21:15:00,,130.93333333333334,,62.86666666666667,68.86666666666666,48.13333333333333,,,,,,,
2021-07-08 21:30:00,,92.93333333333334,,69.2,71.86666666666666,51.666666666666664,,,,,,,
2021-07-08 21:45:00,,103.66666666666667,,80.2,69.0,168.06666666666666,,,,,,,
2021-07-08 22:00:00,,119.26666666666667,,85.2,82.46666666666667,106.73333333333333,,,,,,,
2021-07-08 22:15:00,,114.8,,93.2,87.93333333333334,55.733333333333334,,,,,,,
2021-07-08 22:30:00,,132.06666666666666,,91.53333333333333,84.86666666666666,62.4,,,,,,,
2021-07-08 22:45:00,,131.26666666666668,,92.8,94.46666666666667,44.06666666666667,,,,,,,
2021-07-08 23:00:00,,132.46666666666667,,98.86666666666666,103.46666666666667,39.266666666666666,,,,,,,
2021-07-08 23:15:00,,113.46666666666667,,95.93333333333334,94.86666666666666,36.46666666666667,,,,,,,
2021-07-08 23:30:00,,115.66666666666667,,102.46666666666667,87.93333333333334,35.0,,,,,,,
2021-07-08 23:45:00,,118.13333333333334,,103.86666666666666,83.0,32.333333333333336,,,,,,,
2021-07-09 00:00:00,,130.13333333333333,,118.8,87.4,33.6,,,,,,,
2021-07-09 00:15:00,,152.26666666666668,,105.53333333333333,82.73333333333333,30.666666666666668,,,,,,,
2021-07-09 00:30:00,,124.0,,71.93333333333334,83.4,31.066666666666666,,,,,,,
2021-07-09 00:45:00,,101.8,,60.733333333333334,89.26666666666667,32.4,,,,,,,
2021-07-09 01:00:00,,117.2,,56.733333333333334,94.6,34.8,,,,,,,
2021-07-09 01:15:00,,122.46666666666667,,45.333333333333336,97.8,34.86666666666667,,,,,,,
2021-07-09 01:30:00,,119.06666666666666,,50.733333333333334,91.46666666666667,38.86666666666667,,,,,,,
2021-07-09 01:45:00,,116.73333333333333,,67.13333333333334,89.26666666666667,38.13333333333333,,,,,,,
2021-07-09 02:00:00,,121.0,,206.4,98.26666666666667,42.53333333333333,,,,,,,
2021-07-09 02:15:00,,128.33333333333334,,1814.0666666666666,99.8,44.733333333333334,,,,,,,
2021-07-09 02:30:00,,131.8,,1830.4666666666667,92.93333333333334,49.06666666666667,,,,,,,
2021-07-09 02:45:00,,128.4,,678.1333333333333,98.06666666666666,51.0,,,,,,,
2021-07-09 03:00:00,,126.13333333333334,,310.6,96.46666666666667,57.266666666666666,,,,,,,
2021-07-09 03:15:00,,127.26666666666667,,86.06666666666666,100.6,61.13333333333333,,,,,,,
2021-07-09 03:30:00,,132.2,,73.06666666666666,96.66666666666667,65.13333333333334,,,,,,,
2021-07-09 03:45:00,,123.0,,79.8,98.4,65.2,,,,,,,
2021-07-09 04:00:00,,120.73333333333333,,95.6,108.0,63.666666666666664,,,,,,,
2021-07-09 04:15:00,,111.06666666666666,,864.4666666666667,115.73333333333333,63.333333333333336,,,,,,,
2021-07-09 04:30:00,,116.0,,110.06666666666666,116.26666666666667,61.0,,,,,,,
2021-07-09 04:45:00,,114.06666666666666,,127.86666666666666,109.06666666666666,63.666666666666664,,,,,,,
2021-07-09 05:00:00,,107.86666666666666,,142.86666666666667,103.13333333333334,57.2,,,,,,,
