Date/Time,4008_O_OHRA,1399_O_LWCV,1414_O_LWCV,3487_O_LWCV,8598_O_GNFD,1396_O_CRFT,4530_O_CNTP,8941_O_DOWN,5571_O_BUFF,4431_O_WBG,2229_O_BAHT,5624_O_BUFF,2413_O_XXXX,2071_O_NOSD,2759_O_BRHT,2220_O_NSEW,6089_O_XXXX,3883_O_NOSD,3555_O_SCLL
2019-03-22 15:00:00,,,,,,,8.714285714285714,31.928571428571427,5.714285714285714,12.357142857142858,,5.714285714285714,,,,9.785714285714286,10.928571428571429,,
2019-03-22 15:15:00,,,,,,,7.266666666666667,23.133333333333333,5.4,10.533333333333333,,5.4,,,,11.133333333333333,8.6,,
2019-03-22 15:30:00,,,,,,,5.933333333333334,25.733333333333334,4.733333333333333,9.733333333333333,,4.733333333333333,,,,11.4,7.8,,
2019-03-22 15:45:00,,,,,,,7.333333333333333,28.133333333333333,4.4,10.933333333333334,,4.4,,,,10.0,9.4,,
2019-03-22 16:00:00,,,,,,,7.8,26.8,4.2,6.0,,4.2,,,,10.466666666666667,8.733333333333333,,
2019-03-22 16:15:00,,,,,,,6.466666666666667,28.733333333333334,4.266666666666667,5.933333333333334,,4.266666666666667,,,,10.2,8.8,,
2019-03-22 16:30:00,,,,,,,12.266666666666667,32.93333333333333,4.066666666666666,6.0,,4.066666666666666,,,,10.2,8.466666666666667,,
2019-03-22 16:45:00,,,,,,,10.533333333333333,28.866666666666667,4.866666666666666,6.133333333333334,,4.866666666666666,,,,10.666666666666666,9.066666666666666,,
2019-03-22 17:00:00,,,,,,,10.066666666666666,22.8,5.0,4.8,,5.0,,,,10.466666666666667,7.4,,
2019-03-22 17:15:00,,,,,,,12.133333333333333,26.0,5.533333333333333,5.933333333333334,,5.533333333333333,,,,9.533333333333333,8.133333333333333,,
2019-03-22 17:30:00,,,,,,,11.133333333333333,25.6,8.466666666666667,5.933333333333334,,8.466666666666667,,,,9.0,10.666666666666666,,
2019-03-22 17:45:00,,,,,,,7.266666666666667,53.46666666666667,8.466666666666667,6.733333333333333,,8.466666666666667,,,,7.733333333333333,9.666666666666666,,
2019-03-22 18:00:00,,,,,,,7.933333333333334,46.13333333333333,9.2,9.066666666666666,,9.2,,,,7.933333333333334,7.333333333333333,,
2019-03-22 18:15:00,,,,,,,7.0,29.6,9.2,9.6,,9.2,,,,11.8,9.6,,
