Date/Time,4431_O_WBG,5267_O_HIPK,5571_O_BUFF,7841_O_nan
2016-05-01 00:00:00,6016.214285714284,,9148.92857142857,
2016-05-01 00:15:00,5636.533333333334,,9031.666666666666,
2016-05-01 00:30:00,5067.066666666667,,8699.866666666667,
2016-05-01 00:45:00,5638.666666666668,,8239.933333333332,
2016-05-01 01:00:00,5317.533333333334,,8780.0,
2016-05-01 01:15:00,5433.733333333334,,8650.466666666667,
2016-05-01 01:30:00,5288.4,,7844.0666666666675,
2016-05-01 01:45:00,5310.533333333334,,6993.733333333334,
2016-05-01 02:00:00,4856.066666666667,,6695.333333333332,
2016-05-01 02:15:00,4423.866666666667,,6277.0,
2016-05-01 02:30:00,3911.4666666666662,,5943.266666666666,
2016-05-01 02:45:00,2610.866666666667,,5793.2,
2016-05-01 03:00:00,2410.266666666667,,5095.8,
2016-05-01 03:15:00,2336.733333333333,,4684.0,
2016-05-01 03:30:00,2211.2,,3708.8,
2016-05-01 03:45:00,1974.333333333333,,3625.6,
2016-05-01 04:00:00,1679.0,,3102.866666666667,
2016-05-01 04:15:00,1536.9333333333334,,2732.0,
2016-05-01 04:30:00,1381.7333333333331,,2433.8,
2016-05-01 04:45:00,1202.9333333333334,,2315.0,
2016-05-01 05:00:00,1077.4666666666667,,2383.4666666666667,
2016-05-01 05:15:00,947.1333333333333,,2458.0,
2016-05-01 05:30:00,911.6,,2378.6666666666665,
2016-05-01 05:45:00,912.8666666666667,,2331.4666666666667,
2016-05-01 06:00:00,902.5333333333333,,2334.933333333333,
2016-05-01 06:15:00,994.2666666666668,,2289.6,
2016-05-01 06:30:00,1015.9333333333333,,2248.6,
2016-05-01 06:45:00,966.6,,2226.5333333333333,
2016-05-01 07:00:00,963.2,,2032.1333333333332,
2016-05-01 07:15:00,924.6,,1817.2666666666669,
2016-05-01 07:30:00,859.8,,1679.9333333333334,
2016-05-01 07:45:00,805.0666666666667,,1540.533333333333,
2016-05-01 08:00:00,773.1333333333333,,1440.8666666666666,
2016-05-01 08:15:00,726.2,,1415.7333333333331,
2016-05-01 08:30:00,703.0,,1336.6,
2016-05-01 08:45:00,691.5333333333333,,1422.666666666667,
2016-05-01 09:00:00,675.3333333333334,,1509.466666666667,
2016-05-01 09:15:00,656.0,,1360.9333333333334,
2016-05-01 09:30:00,671.6,,1338.4,
2016-05-01 09:45:00,659.1333333333333,,1262.7333333333333,
2016-05-01 10:00:00,679.1333333333333,,1228.2,
2016-05-01 10:15:00,629.4666666666667,,1279.0666666666666,
2016-05-01 10:30:00,663.6666666666666,,1097.0,
2016-05-01 10:45:00,715.9333333333333,,1096.0666666666666,
2016-05-01 11:00:00,755.9333333333333,,1305.7333333333333,
2016-05-01 11:15:00,758.7333333333332,,1324.3333333333333,
2016-05-01 11:30:00,729.2666666666668,,1315.0,
2016-05-01 11:45:00,768.6,,1004.4,
2016-05-01 12:00:00,737.1333333333333,,880.4666666666667,
2016-05-01 12:15:00,727.4666666666667,,1085.4666666666667,
2016-05-01 12:30:00,757.4,2284.9,1063.5333333333333,
2016-05-01 12:45:00,778.0666666666667,2245.333333333333,907.7333333333332,
2016-05-01 13:00:00,782.2666666666668,2341.333333333333,1180.4666666666667,
2016-05-01 13:15:00,811.0,1831.333333333333,1794.466666666667,
2016-05-01 13:30:00,717.2666666666668,1579.1333333333334,1685.7333333333331,
2016-05-01 13:45:00,672.3333333333334,1458.6,864.8666666666667,
2016-05-01 14:00:00,711.8666666666667,1183.7333333333333,582.3333333333334,
2016-05-01 14:15:00,650.2,1083.5333333333333,744.4,
2016-05-01 14:30:00,637.6,999.0666666666667,738.4666666666667,
2016-05-01 14:45:00,582.0,1018.2,912.6,
2016-05-01 15:00:00,596.7333333333332,976.8666666666667,1054.6666666666667,
2016-05-01 15:15:00,615.8,990.6666666666665,1245.0,
2016-05-01 15:30:00,574.6,905.6666666666665,1309.5333333333333,
2016-05-01 15:45:00,564.9333333333333,881.0,1263.4666666666667,
2016-05-01 16:00:00,506.13333333333327,903.4666666666667,1451.8666666666666,
2016-05-01 16:15:00,556.0666666666667,786.7333333333332,2153.733333333333,
2016-05-01 16:30:00,594.7333333333332,865.6,3053.2,
2016-05-01 16:45:00,616.3333333333334,1002.4666666666667,1902.4,
2016-05-01 17:00:00,631.4,780.1333333333333,1534.666666666667,
2016-05-01 17:15:00,636.5333333333333,819.9333333333333,1432.666666666667,
2016-05-01 17:30:00,1562.533333333333,896.8666666666667,1551.333333333333,
2016-05-01 17:45:00,781.8666666666667,1151.3333333333333,744.4666666666667,
2016-05-01 18:00:00,700.8,1378.2,590.9333333333333,
2016-05-01 18:15:00,740.4,1892.0666666666666,725.3333333333335,
2016-05-01 18:30:00,725.8,2063.6,898.2666666666668,
2016-05-01 18:45:00,534.8666666666667,1739.9333333333334,910.6666666666665,
2016-05-01 19:00:00,418.6,1026.6,877.2,
2016-05-01 19:15:00,423.9333333333333,884.0,1046.4,
2016-05-01 19:30:00,506.73333333333335,1068.4666666666667,1039.0,
2016-05-01 19:45:00,505.13333333333327,1160.8,931.6,
2016-05-01 20:00:00,641.4,1090.8666666666666,987.1333333333333,
2016-05-01 20:15:00,531.2666666666668,1290.5333333333333,1132.3333333333333,
2016-05-01 20:30:00,714.0666666666667,1270.8,1235.3333333333333,
2016-05-01 20:45:00,763.6666666666665,1171.0,1301.2,
2016-05-01 21:00:00,938.0666666666667,1076.4666666666667,1473.666666666667,
2016-05-01 21:15:00,921.1333333333333,1313.0,1435.8666666666666,
