Date/Time,1022_O_RGSQ,1282_O_BCVW,1404_O_TROY,1502_O_BLPK,1639_O_ELIB,1741_O_PTBZ,1870_O_BLPK,1955_O_PETE,2071_O_NOSD,2281_O_HiPK,2319_O_DWNTN,2326_O_USCL,4321_O_HMTP,4431_O_WBG,4530_O_CNTP,5283_O_PTBZ,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6227_O_ELIB,7543_O_MILL,8284_O_SWPK,8749_O_CRFT,8941_O_MTLE
2017-02-17 01:30:00,,,,,5497.266666666666,,,,,5705.4,2779.866666666667,,,,,7209.0666666666675,,,,,,7580.2,,
2017-02-17 01:45:00,,,,,5959.9333333333325,,,,,5240.8,2790.933333333333,,,,,7222.0666666666675,,,,,,8387.066666666668,,
2017-02-17 02:00:00,,,,,6875.266666666666,,,,,5589.8,2585.333333333333,,,,,7385.4,,,,,,9258.866666666667,,
2017-02-17 02:15:00,,,,,7951.333333333332,,,,,6015.533333333334,2587.8,,,,,7748.533333333334,,,,,,10270.066666666668,,
2017-02-17 02:30:00,,,,,8540.133333333333,,,,,6299.333333333332,2692.866666666667,,,,,8511.6,,,,,,9863.866666666667,,
2017-02-17 02:45:00,,,,,9676.6,,,,,6749.733333333334,2813.6,,,,,9668.466666666667,,,,,,12554.0,,
2017-02-17 03:00:00,,,,,10960.666666666666,,,,,7595.133333333332,2954.266666666667,,,,,10250.266666666666,,,,,,13381.066666666668,,
2017-02-17 03:15:00,,,,,11345.866666666667,,,,,8023.733333333334,2877.4,,,,,11669.066666666668,,,,,,11230.666666666664,,
2017-02-17 03:30:00,,,,,12336.133333333333,,,,,8744.8,2843.4,,,,,12009.666666666664,,,,,,10096.866666666667,,
2017-02-17 03:45:00,,,,,11999.466666666667,,,,,10419.733333333334,2769.4,,,,,10333.866666666667,,,,,,9357.066666666668,,
2017-02-17 04:00:00,,,,,9659.333333333334,,,,,11153.533333333333,2667.4,,,,,8921.733333333334,,,,,,8472.933333333332,,
2017-02-17 04:15:00,,,,,8251.133333333333,,,,,13102.933333333332,2671.266666666667,,,,,7990.4,,,,,,6792.0,,
2017-02-17 04:30:00,,,,,8087.8,,,,,13307.733333333335,2787.0,,,,,7567.133333333332,,,,,,6637.6,,
2017-02-17 04:45:00,,,,,7573.866666666668,,,,,11958.866666666667,3027.066666666666,,,,,6525.733333333334,,,,,,6590.333333333332,,
2017-02-17 05:00:00,,,,,6832.866666666668,,,,,10832.466666666667,3561.5333333333333,,,,,5962.866666666668,,,,,,7120.666666666668,,
2017-02-17 05:15:00,,,,,6430.2,,,,,9841.4,3938.6,,,,,6056.733333333334,,,,,,6846.866666666668,,
2017-02-17 05:30:00,,,,,6524.866666666668,,,,,9537.266666666666,3899.133333333333,,,,,7310.8,,,,,,6437.4,,
2017-02-17 05:45:00,,,,,7590.133333333332,,,,,8292.2,4073.0,,,,,6838.866666666668,,,,,,6044.2,,
2017-02-17 06:00:00,,,,,6645.333333333332,,,,,7598.6,4733.533333333334,,,,,5831.733333333334,,,,,,5675.866666666668,,
2017-02-17 06:15:00,,,,,4738.0,,,,,7487.666666666668,4392.6,,,,,5348.2,,,,,,5352.666666666667,,
2017-02-17 06:30:00,,,,,4214.0,,,,,7287.2,3528.0,,,,,5280.066666666667,,,,,,5236.6,,
2017-02-17 06:45:00,,,,,4352.066666666667,,,,,6877.133333333332,3868.0,,,,,4997.0,,,,,,5606.9333333333325,,
2017-02-17 07:00:00,,,,,4811.8,,,,,6143.133333333332,3004.8,,,,,4997.666666666667,,,,,,5992.8,,
2017-02-17 07:15:00,,,,,4832.266666666666,,,,,5976.733333333334,3006.4,,,,,5308.2,,,,,,6146.6,,
2017-02-17 07:30:00,,,,,4951.2,,,,,6732.0666666666675,4216.266666666666,,,,,5688.133333333332,,,,,,6209.133333333332,,
2017-02-17 07:45:00,,,,,5980.8,,,,,7021.333333333332,3608.0,,,,,5720.733333333334,,,,,,5994.733333333334,,
2017-02-17 08:00:00,,,,,5120.866666666667,,,,,7137.6,3318.8,,,,,5459.733333333334,,,,,,4976.933333333333,,
2017-02-17 08:15:00,,,,,5079.466666666666,,,,,7357.0666666666675,3278.4666666666667,,,,,5575.666666666668,,,,,,4761.133333333333,,
2017-02-17 08:30:00,,,,,4092.8,,,,,7311.6,3240.733333333333,,,,,5113.6,,,,,,4936.133333333333,,
2017-02-17 08:45:00,,,,,3786.2,,,,,7374.2,3303.6,,,,,4964.533333333334,,,,,,5315.266666666666,,
2017-02-17 09:00:00,,,,,3147.066666666666,,,,,7290.0666666666675,3560.666666666666,,,,,4897.866666666667,,,,,,5128.933333333333,,
2017-02-17 09:15:00,,,,,3207.333333333333,,,,,6671.533333333334,3168.733333333333,2683.0,,,,4513.4,,,,,,5404.2,,
2017-02-17 09:30:00,,,,,3232.933333333333,,,,,6709.333333333332,3313.5333333333333,3471.2,,,,4374.6,,,,,,4351.0,,
2017-02-17 09:45:00,,,,,2727.133333333333,,,,,6879.666666666668,3257.4666666666667,3785.933333333333,,,,4734.733333333334,,,,,,3889.266666666667,,
2017-02-17 10:00:00,,,,,2465.933333333333,,,,,6298.0,3166.066666666666,3469.133333333333,,,,4365.733333333334,,,,,,3970.4,,
2017-02-17 10:15:00,,,,,2489.5333333333333,,,,,5977.4,3227.2,3949.6,,,,4105.6,,,,,,3744.2,,
2017-02-17 10:30:00,,,,,2845.4,,,,,6065.0666666666675,3286.866666666667,2868.066666666666,,,,3901.733333333333,,,,,,3602.5333333333333,,
2017-02-17 10:45:00,,,,,2482.0,,,,,5976.0666666666675,3139.666666666666,2660.733333333333,,,,3638.4666666666662,,,,,,3630.0,,
2017-02-17 11:00:00,,,,,2289.733333333333,,,,,5455.2,3025.0,2743.2,,,,3594.133333333333,,,,,,3236.066666666666,,
2017-02-17 11:15:00,,,,,2288.866666666667,,,,,4829.466666666666,2722.266666666667,2508.5333333333333,,,,3611.4666666666662,,,,,,4102.8,,
2017-02-17 11:30:00,,,,,2813.266666666667,,,,,4412.133333333333,2456.5333333333333,2398.8,,,,3894.933333333333,,,,,,4121.0,,
2017-02-17 11:45:00,,,,,3071.933333333333,,,,,4269.866666666667,2452.6,2173.866666666667,,,,3447.333333333333,,,,,,3076.933333333333,,
