Date/Time,1502_O_BLPK,1768_O_WLKG,2071_O_NOSD,2281_O_HiPK,2557_O_SHADY,2661_O_ELOT,3555_O_SCLL,4387_O_EDWD,4431_O_WBG,4530_O_CNTP,4710_O_SQHN,5179_O_SHRP,5571_O_BUFF,5679_O_BLOO,6561_O_MRSD,6582_O_OAKD,6949_O_CHWK,7543_O_MILL,8100_O_PTBZ,8356_O_OHRA,8941_O_MTLE,8997_O_XXXX
2017-11-11 15:00:00,815.7142857142858,1052.2857142857142,,1180.857142857143,891.0,,,1596.2142857142858,686.1428571428571,687.0714285714286,,1006.2857142857144,,1177.0714285714287,1054.0714285714287,933.6428571428572,920.5,711.4285714285713,,692.2857142857142,,
2017-11-11 15:15:00,805.3333333333335,1017.4666666666667,,1177.5333333333333,925.0,,,1839.7333333333331,699.6666666666665,690.3333333333335,,1055.6666666666667,,1228.5333333333333,970.4,971.5333333333333,922.8666666666667,774.4,,749.2,,369.25
2017-11-11 15:30:00,792.3333333333335,1027.4,,1203.3333333333333,941.9333333333333,,,1819.0666666666666,709.8,687.3333333333335,,1086.0,,1283.1333333333334,863.0,972.6,981.7333333333332,813.1333333333333,,777.9333333333333,,387.73333333333335
2017-11-11 15:45:00,814.4666666666667,1059.9333333333334,,1236.2666666666667,905.1333333333333,,,1796.8666666666666,699.3333333333335,689.3333333333335,,1159.9333333333334,,1850.9333333333332,852.2666666666668,950.9333333333333,1008.8,831.0666666666667,,772.0,,397.13333333333327
2017-11-11 16:00:00,812.9333333333333,1113.6,,1268.0,962.9333333333333,,,1850.0,770.8666666666667,743.6,,1162.2,,1540.8666666666666,927.5333333333333,970.3333333333335,1156.8,873.1333333333333,,761.0,,416.33333333333326
2017-11-11 16:15:00,841.7333333333332,1062.6666666666667,,1248.3333333333333,1237.8666666666666,,,1877.9333333333332,844.1333333333333,813.5333333333333,,1160.6666666666667,,2329.6,893.4666666666667,993.2666666666668,1056.0666666666666,1047.8666666666666,,757.3333333333335,,421.33333333333326
2017-11-11 16:30:00,914.4,1061.2666666666667,,1263.6666666666667,973.8666666666667,,,1733.533333333333,901.2,765.8,,1154.6666666666667,,1387.8,992.8666666666667,1012.9333333333333,1043.4666666666667,973.6,,711.9333333333333,,433.4
2017-11-11 16:45:00,981.6666666666665,1056.6666666666667,,1256.8,1236.8666666666666,,,1917.0666666666666,911.8,745.0666666666667,,1088.9333333333334,,1482.666666666667,1205.6,1070.6666666666667,1079.8,1080.6666666666667,,716.2,,441.4
2017-11-11 17:00:00,980.6666666666665,1132.6666666666667,,1277.4666666666667,1092.2,,,2322.8,885.4666666666667,817.8666666666667,,1098.8666666666666,,2461.4,1029.5333333333333,1146.4666666666667,1059.8,1089.5333333333333,,718.7333333333332,,445.26666666666665
2017-11-11 17:15:00,1077.5333333333333,1221.1333333333334,,1229.8666666666666,1374.2,,,2097.5333333333333,917.0666666666667,1233.2666666666667,,1129.2666666666667,,2894.0,927.8666666666667,1143.2,1070.7333333333333,1004.9333333333333,,705.5333333333333,,446.86666666666673
2017-11-11 17:30:00,1517.533333333333,1271.2,,1222.4,1012.4,,,2170.5333333333333,1304.4666666666667,1757.7333333333331,,1138.7333333333333,,1352.3333333333333,937.0666666666667,1520.533333333333,1388.2,1008.5333333333333,,713.1333333333333,,442.86666666666673
2017-11-11 17:45:00,2181.8,1353.4666666666667,,1211.8,1468.666666666667,,,2451.8,1310.0,1608.1333333333334,,1201.7333333333333,,1665.0666666666666,926.1333333333333,1861.6,1378.0,1108.0666666666666,,727.8666666666667,,441.2
2017-11-11 18:00:00,1451.6,2074.6,,1330.4,1091.9333333333334,,,2413.333333333333,1120.9333333333334,1254.3333333333333,,1252.7333333333333,,1517.6,890.0666666666667,1309.3333333333333,1406.6,1334.1333333333334,,735.8,,449.86666666666673
2017-11-11 18:15:00,1560.2666666666669,2223.933333333333,,1361.3333333333333,1111.0666666666666,,,2470.4,1435.2,1180.1333333333334,,1391.666666666667,,3056.933333333333,969.3333333333335,1303.0,1258.9333333333334,1467.7333333333331,,984.2,,464.0
2017-11-11 18:30:00,1648.533333333333,2166.6,,1493.333333333333,1120.8,,,2566.6,1444.533333333333,1081.9333333333334,,1253.0666666666666,,1616.6,911.6666666666665,1422.8,1414.666666666667,2585.333333333333,,1026.2666666666667,,483.9333333333333
2017-11-11 18:45:00,2586.5333333333333,1901.0,,1725.7333333333331,1178.1333333333334,,,3034.333333333333,1403.7333333333331,1177.9333333333334,,1566.333333333333,,1964.0,1542.333333333333,1463.6,1604.2666666666669,5195.0,,1480.8,,485.9333333333333
2017-11-11 19:00:00,2608.733333333333,1896.7333333333331,,1433.4,1356.5333333333333,,,3204.733333333333,1303.1333333333334,1351.9333333333334,,1798.666666666667,,2418.6,1442.9333333333334,1934.0666666666666,1640.2666666666669,6385.866666666668,,1281.8666666666666,,574.3333333333334
2017-11-11 19:15:00,4030.0,1976.2,,1552.0,1853.333333333333,,,3357.066666666666,1192.7333333333333,1503.0666666666666,,2205.6,,2316.0666666666666,1188.0,2462.866666666667,2039.8,5916.6,,1014.8666666666667,,1845.0
2017-11-11 19:30:00,5047.8,2368.4666666666667,,1889.2666666666669,1679.0,,,3718.933333333333,1249.9333333333334,1558.4,,1944.7333333333331,,2064.4666666666667,1453.2666666666669,2916.4666666666667,2148.5333333333333,3020.733333333333,,867.3333333333335,,1676.9333333333334
