Date/Time,1040_O_MCCA,2071_O_NOSD,4124_O_FRONT,4431_O_WBG,4584_O_MOON,5571_O_BUFF,5662_O_DOWN,5679_O_BLOO,6227_O_ELIB,6386_O_SOSI,7543_O_MILL,7956_O_BELL
2016-11-10 15:00:00,796.0,859.6428571428571,,453.6428571428572,,439.21428571428567,,,915.1428571428572,,,
2016-11-10 15:15:00,716.2,850.6,,433.9333333333333,,448.2,,,959.0,,,
2016-11-10 15:30:00,773.0666666666667,966.3333333333335,,432.2,,450.26666666666665,,,914.9333333333333,,,
2016-11-10 15:45:00,705.0666666666667,888.1333333333333,,439.86666666666673,,454.53333333333336,,,987.4666666666667,,,
2016-11-10 16:00:00,755.0666666666667,948.7333333333332,,456.86666666666673,,456.4666666666666,,,1001.3333333333335,,,
2016-11-10 16:15:00,682.4,836.8,,461.8,,466.9333333333333,,,1316.7333333333333,,,
2016-11-10 16:30:00,654.3333333333334,898.4666666666667,,468.86666666666673,,476.9333333333333,,,1128.7333333333333,,,
2016-11-10 16:45:00,623.3333333333334,705.0,,483.4,,466.6,,671.25,992.1333333333333,,,
2016-11-10 17:00:00,636.2,704.5333333333333,,604.4,,448.53333333333336,,679.0666666666667,892.4666666666667,,,
2016-11-10 17:15:00,636.8,1077.5333333333333,,1350.0,,444.53333333333336,,674.0666666666667,759.3333333333335,,,
2016-11-10 17:30:00,639.7333333333332,956.8666666666667,,606.6,,433.86666666666673,,702.8,782.2666666666668,,,
2016-11-10 17:45:00,638.6666666666666,715.9333333333333,,602.2666666666668,,434.86666666666673,,777.5333333333333,832.1333333333333,,,
2016-11-10 18:00:00,631.2,676.2,,620.2,,454.0,,886.4666666666667,860.6666666666665,,,
2016-11-10 18:15:00,612.7333333333332,1028.0,,662.6666666666666,,462.4666666666666,,885.5333333333333,762.3333333333335,,,
2016-11-10 18:30:00,576.8666666666667,831.6,,832.1333333333333,,459.2,,822.9333333333333,822.8666666666667,,,
2016-11-10 18:45:00,587.4,798.1333333333333,,992.0,,446.73333333333335,,828.0666666666667,841.0,,,
2016-11-10 19:00:00,595.8666666666667,779.4,,1124.8,,443.06666666666666,,798.6666666666665,914.0,,,
2016-11-10 19:15:00,613.6,774.9333333333333,,1249.9333333333334,,450.33333333333326,,782.0666666666667,952.4,,,
2016-11-10 19:30:00,617.9333333333333,799.8,,911.6,,427.2,,752.2666666666668,947.3333333333335,,,
2016-11-10 19:45:00,660.6,910.3333333333335,,709.0666666666667,,414.86666666666673,,747.7333333333332,934.8,,,
2016-11-10 20:00:00,734.2,713.6666666666665,,746.0,,379.33333333333326,,748.5333333333333,907.2,,,
2016-11-10 20:15:00,744.4,746.4,,645.2,,359.0,,720.2,873.0,,,
2016-11-10 20:30:00,745.4,873.4,,776.7333333333332,,360.33333333333326,,708.5333333333333,931.8666666666667,,,
2016-11-10 20:45:00,759.4,765.9333333333333,,1459.0,,346.6,,680.0,906.9333333333333,,,
2016-11-10 21:00:00,761.2,748.5333333333333,,1202.4666666666667,,329.46666666666664,,613.8666666666667,930.8666666666667,,,
2016-11-10 21:15:00,748.5333333333333,732.6666666666665,,704.6666666666665,,317.2,,635.4666666666667,854.5333333333333,,,
2016-11-10 21:30:00,728.6,645.0666666666667,,522.7333333333332,,308.53333333333336,,576.4,832.7333333333332,,,
2016-11-10 21:45:00,693.2,679.0,,497.0,,303.8,,600.8666666666667,823.6666666666665,,,
2016-11-10 22:00:00,654.6,656.7333333333332,,478.9333333333333,,315.8666666666667,,541.4,765.0,,,
2016-11-10 22:15:00,622.1333333333333,580.0666666666667,,492.26666666666665,,311.93333333333334,,498.66666666666674,740.2,,,
2016-11-10 22:30:00,596.1333333333333,605.3333333333334,,532.5333333333333,,313.2,,473.13333333333327,733.6,,,
2016-11-10 22:45:00,552.8666666666667,553.6666666666666,,585.3333333333334,,449.73333333333335,,457.86666666666673,686.7333333333332,,,
2016-11-10 23:00:00,519.4666666666667,530.1333333333333,,593.2666666666668,,357.26666666666665,,468.0,663.0,,,
2016-11-10 23:15:00,519.1333333333333,472.86666666666673,,602.3333333333334,,385.4666666666666,,460.06666666666666,610.2,,,
2016-11-10 23:30:00,520.6666666666666,454.9333333333333,,588.0666666666667,,420.9333333333333,,485.06666666666666,645.8666666666667,,,
2016-11-10 23:45:00,522.8666666666667,433.73333333333335,,579.7333333333332,,455.26666666666665,,496.8,560.9333333333333,,,
2016-11-11 00:00:00,519.9333333333333,440.33333333333326,,603.0666666666667,,486.53333333333336,,512.6666666666666,547.2,,,
2016-11-11 00:15:00,513.7333333333332,433.9333333333333,,608.8666666666667,,490.26666666666665,,522.9333333333333,540.6666666666666,,,
2016-11-11 00:30:00,516.6,438.33333333333326,,635.9333333333333,,511.33333333333326,,555.8666666666667,549.4666666666667,,,
2016-11-11 00:45:00,526.8666666666667,448.26666666666665,,638.3333333333334,,530.9333333333333,,572.2,582.1333333333333,,,
2016-11-11 01:00:00,529.2666666666668,483.26666666666665,,649.4666666666667,,550.3333333333334,,595.6666666666666,614.2666666666668,,,
2016-11-11 01:15:00,556.2,512.9333333333333,,657.6666666666666,,537.0666666666667,,614.1333333333333,629.8666666666667,,,
2016-11-11 01:30:00,566.9333333333333,516.0,,668.4666666666667,,542.2,,623.7333333333332,662.0666666666667,,,
2016-11-11 01:45:00,588.7333333333332,554.3333333333334,,691.4666666666667,,537.6,,643.5333333333333,670.2,,,
2016-11-11 02:00:00,592.6,603.8666666666667,,689.2,,543.5333333333333,,645.8,686.5333333333333,,,
