Date/Time,4363_O_SQHS,7915_O_ROSS,8998_O_CHAR,5571_O_BUFF,1249_O_GRTR,8367_O_DORM,5088_O_DORM,3794_O_DORM,2759_O_BRHT,5624_O_BUFF,4431_O_WBG,8941_O_MTLE,4179_O_SPHL,5623_O_LWCV,3781_O_EDTW
2018-12-14 15:00:00,2713.5714285714284,3117.6428571428573,5567.0,1036.7857142857142,5048.785714285715,1960.642857142857,6336.857142857143,2192.5,5619.928571428572,1036.7857142857142,,2312.6428571428573,5422.928571428572,4694.714285714285,6345.5
2018-12-14 15:15:00,4762.333333333333,3560.5333333333333,4883.933333333333,654.2666666666667,5593.866666666667,1866.2,3189.8,2261.8,5437.066666666667,654.2666666666667,,2025.0,5606.6,3924.6666666666665,6590.0
2018-12-14 15:30:00,4434.8,3533.4,6098.4,593.6666666666666,6022.333333333333,1914.6666666666667,,2030.9333333333334,5660.933333333333,593.6666666666666,,1714.6,4836.666666666667,3852.4666666666667,6806.666666666667
2018-12-14 15:45:00,2782.9333333333334,3904.0,3099.6666666666665,668.4666666666667,6079.8,4912.0,2618.1428571428573,1889.2,5677.933333333333,668.4666666666667,,1135.0,5052.733333333334,3915.8,6836.4
2018-12-14 16:00:00,2579.266666666667,4735.733333333334,2807.9333333333334,818.5333333333333,5728.933333333333,5175.733333333334,1593.7333333333333,3359.266666666667,6781.0,818.5333333333333,,1005.3333333333334,4914.2,4164.4,6792.466666666666
2018-12-14 16:15:00,3094.2,3741.4666666666667,1958.9333333333334,1156.7333333333333,4801.066666666667,5080.666666666667,1326.9333333333334,4297.8,7332.066666666667,1156.7333333333333,,993.2666666666667,4541.333333333333,3198.8,6674.666666666667
2018-12-14 16:30:00,3473.6666666666665,3605.6,1632.2,1214.8,4850.0,5213.666666666667,1307.5333333333333,4675.2,7227.8,1214.8,,1028.2666666666667,3915.2,3887.6666666666665,6389.266666666666
2018-12-14 16:45:00,3041.0,3814.733333333333,1244.9333333333334,1975.6666666666667,4398.333333333333,3230.4,1467.4,4257.6,6911.733333333334,1975.6666666666667,,1133.4666666666667,2986.6666666666665,4458.6,6104.266666666666
2018-12-14 17:00:00,2650.0666666666666,3745.4,1167.0666666666666,2156.4666666666667,3911.2,1475.0,1537.9333333333334,2048.5333333333333,5563.066666666667,2156.4666666666667,,1225.6,2732.2,2393.5333333333333,5473.266666666666
2018-12-14 17:15:00,2384.4,3988.866666666667,922.8666666666667,3343.133333333333,2865.6666666666665,1204.7333333333333,1721.3333333333333,1090.5333333333333,5200.333333333333,3343.133333333333,,1327.7333333333333,2787.0,1766.1333333333334,5169.6
2018-12-14 17:30:00,2421.6666666666665,3688.3333333333335,904.3333333333334,3449.3333333333335,1442.4,1624.0,2035.0,1121.2666666666667,4491.866666666667,3449.3333333333335,,1678.2666666666667,2846.266666666667,1457.7333333333333,4354.733333333334
2018-12-14 17:45:00,2394.733333333333,3831.266666666667,733.5333333333333,2699.0666666666666,1611.3333333333333,1719.3333333333333,2106.3333333333335,1254.4,3697.2,2699.0666666666666,,3203.2,2053.4666666666667,1468.6666666666667,2116.133333333333
2018-12-14 18:00:00,2694.5333333333333,3835.133333333333,1100.9333333333334,3950.9333333333334,1455.2,1856.0666666666666,2322.0666666666666,1372.9333333333334,2626.6,3950.9333333333334,,4774.333333333333,2014.4,1528.8666666666666,2512.4
2018-12-14 18:15:00,3084.6,3076.8,1162.4666666666667,6042.0,1659.7333333333333,2028.6666666666667,2597.6666666666665,1433.9333333333334,2028.7333333333333,6042.0,,4595.066666666667,2132.266666666667,1742.4666666666667,2636.4666666666667
2018-12-14 18:30:00,3317.0666666666666,3201.866666666667,1413.5333333333333,6501.133333333333,1754.1333333333334,2289.4,2847.6666666666665,1634.8,2232.733333333333,6501.133333333333,,3439.266666666667,2516.4666666666667,2002.7333333333333,2401.5333333333333
2018-12-14 18:45:00,3637.733333333333,3230.2,1234.8,4894.733333333334,1889.4666666666667,2804.6666666666665,3400.0666666666666,1905.2,2319.266666666667,4894.733333333334,,2992.3333333333335,3005.733333333333,2196.866666666667,3019.0666666666666
2018-12-14 19:00:00,4246.933333333333,3453.6666666666665,1133.0,2868.4,2226.9333333333334,3462.733333333333,4123.066666666667,1972.9333333333334,2637.866666666667,2868.4,,2975.2,3521.6,2445.5333333333333,3481.6
2018-12-14 19:15:00,4997.8,3261.6666666666665,1041.8666666666666,3304.8,2543.3333333333335,3883.8,4604.066666666667,2140.133333333333,2677.133333333333,3304.8,,2807.5333333333333,5210.733333333334,3003.3333333333335,4344.266666666666
2018-12-14 19:30:00,5508.733333333334,2925.6666666666665,964.1333333333333,4175.533333333334,2872.266666666667,4066.733333333333,5012.733333333334,2370.3333333333335,2685.133333333333,4175.533333333334,,2287.133333333333,7667.6,2915.9333333333334,5694.533333333334
2018-12-14 19:45:00,5596.8,3066.9333333333334,898.4,4345.0,3201.733333333333,4511.333333333333,5724.6,2741.6,2927.9333333333334,4345.0,,1827.8,8372.2,2560.6,7665.8
2018-12-14 20:00:00,5967.133333333333,3163.4666666666667,826.0,5485.666666666667,3505.0,4369.466666666666,5484.466666666666,3288.3333333333335,2664.25,5485.666666666667,,1958.8,6308.066666666667,2283.0666666666666,7265.333333333333
2018-12-14 20:15:00,6423.866666666667,3305.133333333333,567.5333333333333,4997.333333333333,3442.9333333333334,4150.333333333333,5285.333333333333,3795.733333333333,2379.5,4997.333333333333,,1903.1333333333334,4950.6,2464.3333333333335,6203.266666666666
