Date/Time,1282_O_BCVW,1404_O_TROY,2071_O_NOSD,2281_O_HiPK,3555_O_SCLL,4431_O_WBG,4831_O_HIPK,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6582_O_OAKD,6809_O_SQHS,7460_O_FRHL,7543_O_MILL,7635_O_BRAD,8183_O_MILL,8698_O_NOSD,8941_O_MTLE
2017-07-10 15:00:00,,,387.21428571428567,,,812.2142857142858,261.57142857142856,,,293.57142857142856,345.21428571428567,,,46560.142857142855,1195.857142857143,469.6428571428572,596.7857142857142,3863.785714285714
2017-07-10 15:15:00,,,1894.6,,,1096.3333333333333,666.3333333333334,,,274.73333333333335,364.73333333333335,456.0,,45958.26666666667,1136.2666666666667,356.9333333333333,493.86666666666673,5530.2
2017-07-10 15:30:00,,,1456.9333333333334,,,941.7333333333332,731.7333333333332,,,275.8,372.4666666666666,381.9333333333333,,45693.6,1041.9333333333334,355.06666666666666,669.7333333333332,4520.6
2017-07-10 15:45:00,,,1553.8,,,948.8,663.8,,,277.53333333333336,377.13333333333327,354.9333333333333,,45600.06666666666,1201.1333333333334,342.8,629.3333333333334,812.2
2017-07-10 16:00:00,,,3694.6,,,969.7333333333332,100.06666666666666,,,278.06666666666666,402.6,352.0,,45764.73333333333,1258.9333333333334,356.86666666666673,663.4666666666667,994.4
2017-07-10 16:15:00,,,2129.4,,,1122.0,20.733333333333334,,,636.0,875.2666666666668,398.26666666666665,,46717.0,1129.0,934.1333333333333,1244.9333333333334,735.4
2017-07-10 16:30:00,,,2069.266666666667,,,1098.0,,,,1037.0666666666666,1046.8666666666666,1876.466666666667,,48664.4,1214.4666666666667,690.2,1557.8666666666666,857.4666666666667
2017-07-10 16:45:00,,,1756.8,,,997.4,,,,791.8,1155.6,1560.0666666666666,,49758.2,1531.0,765.3333333333335,1270.5333333333333,252.8
2017-07-10 17:00:00,,,1725.0666666666666,,,951.4,,,,1472.666666666667,1482.9333333333334,1748.1333333333334,,49826.66666666666,1216.1333333333334,1133.9333333333334,3384.2,297.1333333333333
2017-07-10 17:15:00,,,2074.6,,,1104.5333333333333,,,,1247.6666666666667,1472.6,2353.133333333333,,48267.46666666667,1402.466666666667,1125.6,2187.0666666666666,194.33333333333331
2017-07-10 17:30:00,,,1757.0,,,1013.4,,,,954.6666666666665,1487.333333333333,2627.5333333333333,,49435.13333333333,1706.1333333333334,986.3333333333335,2114.4666666666667,76.06666666666666
2017-07-10 17:45:00,,,1871.0,,,762.0,,,,979.4,1391.9333333333334,3166.266666666667,,48046.8,1488.333333333333,860.6,1931.2,51.6
2017-07-10 18:00:00,,,1716.2,,,755.3333333333335,,,,919.9333333333333,1579.4,5751.8,,48700.06666666666,1423.6,731.6666666666665,1730.8,49.93333333333333
2017-07-10 18:15:00,,,1305.1333333333334,,,792.9333333333333,,,,1107.6666666666667,1674.8666666666666,13477.133333333333,,48986.13333333333,1218.8,907.0666666666667,2026.8,48.13333333333333
2017-07-10 18:30:00,,,846.7333333333332,,,735.5333333333333,,,,1333.2666666666667,1803.0666666666666,4196.866666666667,,49005.0,876.0,1036.2,1874.2666666666669,66.33333333333333
2017-07-10 18:45:00,,,685.6,,,686.6666666666666,,,,2309.8,1556.2,2892.2,,48229.8,749.4,1078.3333333333333,1893.1333333333332,30.93333333333333
2017-07-10 19:00:00,,,,,,670.6,,,,1849.2,1096.8666666666666,3286.4666666666667,,48623.06666666666,652.4666666666667,1951.2,2049.4,43.4
2017-07-10 19:15:00,,,,,,741.0,,,,1058.4,732.9333333333333,3420.4,,48192.53333333333,1173.6666666666667,2242.0666666666666,1206.4666666666667,28.73333333333333
2017-07-10 19:30:00,,,,,,777.3333333333335,,,,873.3333333333335,590.6,3649.6,,48445.73333333333,1308.8666666666666,921.9333333333333,776.9333333333333,39.2
2017-07-10 19:45:00,,,,,,739.6666666666665,,,,926.3333333333335,586.9333333333333,2771.5333333333333,,48414.86666666667,936.1333333333333,745.5333333333333,755.9333333333333,33.4
2017-07-10 20:00:00,,,,,,700.8666666666667,,,,867.6,667.1333333333333,1834.8,,48168.53333333333,1017.8666666666667,561.4666666666667,786.1333333333333,33.86666666666667
2017-07-10 20:15:00,,,,,,687.4,,,,715.4666666666667,673.3333333333334,1514.2,,47794.2,921.3333333333335,585.4666666666667,799.1333333333333,29.2
2017-07-10 20:30:00,,,,,,713.0666666666667,,,,650.4,654.6,1120.4,,47394.8,595.6,581.8666666666667,793.3333333333335,171.26666666666668
2017-07-10 20:45:00,,,,,,625.5333333333333,,,,649.0,752.2666666666668,1185.2,,48713.93333333333,578.0666666666667,566.6,595.5333333333333,35.266666666666666
2017-07-10 21:00:00,,,,,,623.0,,,,604.2666666666668,860.8,1272.0,,48740.4,784.6,516.9333333333333,640.2666666666668,31.53333333333333
2017-07-10 21:15:00,,,,,,610.0,,,,649.2666666666668,889.0,1255.0,,48759.93333333333,799.4,515.8,694.4666666666667,10.866666666666667
2017-07-10 21:30:00,,,,,,611.3333333333334,,,,599.1333333333333,870.6,1213.9333333333334,,48892.0,572.9333333333333,533.8666666666667,685.4,41.66666666666666
2017-07-10 21:45:00,,,,,,571.0666666666667,,,,571.0666666666667,797.5333333333333,1313.4,,49045.33333333334,540.7333333333332,561.5333333333333,708.2,46.8
2017-07-10 22:00:00,,,,,,573.1333333333333,,,,544.4,715.1333333333333,,,49448.46666666667,558.4666666666667,553.6666666666666,639.2,48.8
2017-07-10 22:15:00,,,,,,639.8,,,,523.6,717.0,1055.0,,49980.0,625.6,621.4,643.6666666666666,51.26666666666666
