Date/Time,3657_O_BCVW,6122_O_BREN,4900_O_MRSD,7449_O_BCVW,2401_O_OHRA,1154_O_BVTP,2684_O_SHAD,2042_O_ROSS,3369_O_SHLR,8857_O_BRHL,7722_O_MRVL,2651_O_PHLL,3022_O_GRFD,8423_O_FKPK,3018_O_CRAN
2025-02-02 00:00:00,31.5,33.642857142857146,31.0,38.42857142857143,45.42857142857143,,32.142857142857146,54.0,29.357142857142858,33.92857142857143,35.642857142857146,,47.714285714285715,,
2025-02-02 00:15:00,36.6,33.53333333333333,32.46666666666667,34.733333333333334,46.266666666666666,,54.333333333333336,46.733333333333334,32.4,33.46666666666667,37.4,,42.733333333333334,,
2025-02-02 00:30:00,35.266666666666666,31.333333333333332,33.06666666666667,32.4,47.333333333333336,,33.733333333333334,58.266666666666666,30.0,34.266666666666666,43.333333333333336,,46.8,,
2025-02-02 00:45:00,32.0,34.733333333333334,32.93333333333333,36.2,45.333333333333336,,33.13333333333333,109.6,31.0,34.46666666666667,42.13333333333333,,45.06666666666667,,
2025-02-02 01:00:00,28.0,38.266666666666666,32.666666666666664,38.2,49.13333333333333,,32.0,64.33333333333333,30.866666666666667,34.86666666666667,41.333333333333336,,46.266666666666666,,
2025-02-02 01:15:00,30.066666666666666,39.6,36.4,33.333333333333336,55.8,,31.0,122.13333333333334,29.466666666666665,35.333333333333336,38.46666666666667,,45.93333333333333,,
2025-02-02 01:30:00,29.4,39.8,32.8,32.53333333333333,52.53333333333333,,27.133333333333333,138.6,31.466666666666665,35.86666666666667,43.06666666666667,,45.06666666666667,,
2025-02-02 01:45:00,28.733333333333334,38.0,34.666666666666664,30.6,50.4,,30.133333333333333,61.93333333333333,31.8,32.666666666666664,40.8,,44.93333333333333,,
2025-02-02 02:00:00,29.933333333333334,38.13333333333333,35.0,33.2,52.2,,31.533333333333335,75.26666666666667,30.133333333333333,32.93333333333333,40.2,,43.53333333333333,,
2025-02-02 02:15:00,28.466666666666665,39.733333333333334,37.333333333333336,33.8,51.6,,29.8,83.66666666666667,31.333333333333332,33.86666666666667,42.46666666666667,,42.266666666666666,,
2025-02-02 02:30:00,26.266666666666666,43.8,36.06666666666667,35.333333333333336,53.2,,35.666666666666664,75.6,31.266666666666666,34.6,44.93333333333333,,43.333333333333336,,
2025-02-02 02:45:00,27.866666666666667,44.733333333333334,34.46666666666667,34.46666666666667,58.4,,33.333333333333336,57.666666666666664,31.133333333333333,35.666666666666664,46.333333333333336,,45.266666666666666,,
