Date/Time,2784_O_SQHL,3353_O_MEWD,3911_O_HIPK,1571_O_BLPK,8936_O_WMIF,8230_O_OHAK,2544_O_MANA,6098_O_WMIF,8063_O_PTBR,5572_O_MESD,5351_O_PTBR,1213_O_ROSS,1613_O_FDCY,4278_O_EDWD
2024-08-18 00:00:00,3347.9285714285716,4776.857142857143,2717.0714285714284,,2632.214285714286,1910.7142857142858,,,3246.0,8032.071428571428,3229.214285714286,3009.0,,2893.6428571428573
2024-08-18 00:15:00,3189.133333333333,4723.4,2838.3333333333335,,2679.4666666666667,1873.2,,,3473.3333333333335,7849.6,3619.866666666667,2765.4666666666667,,3015.866666666667
2024-08-18 00:30:00,3751.3333333333335,4655.533333333334,3236.4,,2602.866666666667,1890.8,,,3551.133333333333,7602.066666666667,3724.733333333333,3153.6666666666665,,3105.866666666667
2024-08-18 00:45:00,3859.733333333333,4876.533333333334,3203.0666666666666,,2526.6666666666665,2023.0,,,3645.9333333333334,7568.266666666666,3789.8,3665.6,,3035.266666666667
2024-08-18 01:00:00,3742.8,4850.666666666667,3113.4,,2504.5333333333333,2304.866666666667,,,3638.3333333333335,7627.666666666667,3742.0666666666666,3145.2,,2800.3333333333335
2024-08-18 01:15:00,3461.733333333333,4861.533333333334,3145.2,,2247.133333333333,2168.5333333333333,,,3390.2,7442.6,3560.733333333333,2893.0666666666666,,2652.5333333333333
2024-08-18 01:30:00,3039.5333333333333,4980.2,3044.3333333333335,,2030.4666666666667,2045.1333333333334,,,3372.8,7613.4,3452.5333333333333,2500.8,,2468.866666666667
2024-08-18 01:45:00,2396.8,4967.866666666667,2914.133333333333,,1997.4666666666667,2125.0666666666666,,,2809.266666666667,7432.533333333334,2828.6666666666665,2661.5333333333333,,2168.6666666666665
2024-08-18 02:00:00,1866.0,4943.133333333333,2591.5333333333333,,2011.8666666666666,2040.8666666666666,,,2222.0666666666666,7650.733333333334,2466.266666666667,2303.5333333333333,,2046.9333333333334
2024-08-18 02:15:00,1706.8,4991.4,2200.4,,2071.4,1934.8666666666666,,,2000.0666666666666,7716.933333333333,2294.0666666666666,2254.9333333333334,,1936.0
2024-08-18 02:30:00,1655.2666666666667,5110.0,1935.4666666666667,,2111.2,1893.5333333333333,,,2029.5333333333333,7915.066666666667,2196.0,2189.0666666666666,,1876.6666666666667
2024-08-18 02:45:00,1727.9333333333334,5357.133333333333,1806.4666666666667,,2042.6,1869.0,,,2279.9333333333334,8068.866666666667,2170.266666666667,2085.266666666667,,1873.8
2024-08-18 03:00:00,1883.7333333333333,5241.0,1796.4,,2033.6,1859.9333333333334,,,2553.4666666666667,7940.933333333333,2247.866666666667,2102.5333333333333,,2021.4666666666667
2024-08-18 03:15:00,1913.6666666666667,5310.866666666667,1845.0666666666666,,1995.5333333333333,1868.4,,,2549.6,8037.933333333333,2465.6,2108.6,,2423.6
2024-08-18 03:30:00,1748.9333333333334,5450.533333333334,1876.8666666666666,,1754.0666666666666,2013.6,,,2420.266666666667,8152.866666666667,2447.4666666666667,2034.5333333333333,,1681.2
2024-08-18 03:45:00,1555.2666666666667,5430.733333333334,1947.5333333333333,,1653.2666666666667,2011.8666666666666,,,2253.0,8172.0,2254.8,1982.0,,2101.2
2024-08-18 04:00:00,1409.6,5564.2,1901.8666666666666,,1666.8,1868.8,,,1848.8,8146.8,2039.7333333333333,1895.2,,1566.4666666666667
2024-08-18 04:15:00,1322.0,5723.266666666666,1644.1333333333334,,1492.2,1786.3333333333333,,,1654.3333333333333,8587.133333333333,1842.4666666666667,1888.0,,1409.0
2024-08-18 04:30:00,1376.3333333333333,5730.866666666667,1668.2,,1458.6,1782.0,,,1569.4666666666667,8431.6,1706.0,2265.4,,1325.2
2024-08-18 04:45:00,1676.0666666666666,5493.333333333333,1782.6,,1421.0,1730.5333333333333,,,1733.0666666666666,8368.8,1823.5333333333333,2346.8,,1559.4
2024-08-18 05:00:00,1698.7333333333333,5451.0,1739.4,,1331.6666666666667,1709.2666666666667,,,1706.4,8456.8,1706.2666666666667,2214.266666666667,,1580.9333333333334
2024-08-18 05:15:00,1563.3333333333333,5404.666666666667,1621.4,,1266.2666666666667,1772.4666666666667,,,1660.5333333333333,8595.333333333334,1664.9333333333334,2188.6,,1553.0
2024-08-18 05:30:00,1505.6,5583.333333333333,1544.4666666666667,,1268.9333333333334,1816.7333333333333,,,1747.2666666666667,8836.866666666667,1716.1333333333334,1948.3333333333333,,1389.6
2024-08-18 05:45:00,1469.3333333333333,5815.066666666667,1593.1333333333334,,1197.4666666666667,1996.7333333333333,,,1695.1333333333334,8700.133333333333,1707.5333333333333,1995.3333333333333,,1476.5333333333333
2024-08-18 06:00:00,1476.0666666666666,5733.8,1553.2,,1168.4,2046.8666666666666,,,1584.1333333333334,9077.533333333333,1601.7333333333333,2071.6,,1426.3333333333333
2024-08-18 06:15:00,1420.4666666666667,5783.666666666667,1466.6,,1158.6666666666667,2179.2,,,1554.0666666666666,8578.933333333332,1573.0666666666666,2180.2,,1344.6
2024-08-18 06:30:00,1384.2,5513.533333333334,1418.9333333333334,,1153.3333333333333,2273.9333333333334,,,1540.2,8026.866666666667,1578.9333333333334,2168.733333333333,,1311.0666666666666
2024-08-18 06:45:00,1350.3333333333333,5549.866666666667,1365.7333333333333,,1131.1333333333334,2422.6666666666665,,,1443.1333333333334,8243.666666666666,1458.5333333333333,2160.8,,1360.8666666666666
2024-08-18 07:00:00,1363.4,5370.933333333333,1285.3333333333333,,1089.0,2433.0,,,1388.3333333333333,7794.533333333334,1411.8,2233.6,,1314.3333333333333
