Date/Time,1519_O_WHLL,2251_O_MILL,2794_O_LWCV,4431_O_WBG,5676_O_ELIB,7752_O_ELIZ
2016-02-06 01:30:00,,,2849.8,3496.666666666666,,
2016-02-06 01:45:00,,,2669.5333333333333,3424.0,,
2016-02-06 02:00:00,,,2670.266666666667,3348.866666666667,,
2016-02-06 02:15:00,,,2565.4666666666667,3774.4666666666662,,
2016-02-06 02:30:00,,,2403.0,4371.6,,
2016-02-06 02:45:00,,,2313.4,4587.133333333333,,
2016-02-06 03:00:00,,,2143.4,4977.8,,
2016-02-06 03:15:00,,,2077.266666666667,5203.333333333333,,
2016-02-06 03:30:00,,,1989.666666666667,5096.866666666667,,
2016-02-06 03:45:00,,,1908.466666666667,4655.6,,
2016-02-06 04:00:00,,,1850.8,3601.933333333333,,
2016-02-06 04:15:00,,,1824.4,3924.333333333334,,
2016-02-06 04:30:00,,,1791.0,4745.266666666666,,
2016-02-06 04:45:00,,,1717.2,4490.266666666666,,
2016-02-06 05:00:00,,,1660.8,4460.933333333333,,
2016-02-06 05:15:00,,,1592.1333333333334,4041.5333333333333,,
2016-02-06 05:30:00,,,1413.8666666666666,3722.4,,
2016-02-06 05:45:00,,,1321.8,3509.133333333333,,
2016-02-06 06:00:00,,,1305.0,3937.133333333333,,
2016-02-06 06:15:00,,,1237.8666666666666,2616.6,,
2016-02-06 06:30:00,,,1191.4,2987.4,,
2016-02-06 06:45:00,,,1161.0666666666666,2303.6,,
2016-02-06 07:00:00,,,1084.0666666666666,2395.933333333333,,
2016-02-06 07:15:00,,,1059.1333333333334,3153.933333333333,,
2016-02-06 07:30:00,,,1048.0,3296.2,,
2016-02-06 07:45:00,,,1055.2,2614.0666666666666,,
2016-02-06 08:00:00,,,1082.8,1654.0,,
2016-02-06 08:15:00,,,1100.3333333333333,1572.4,,
2016-02-06 08:30:00,,,1097.8666666666666,1266.1333333333334,,
2016-02-06 08:45:00,,,1064.6666666666667,1093.9333333333334,,
2016-02-06 09:00:00,,,1032.0666666666666,996.4666666666667,,
2016-02-06 09:15:00,,,919.2666666666668,898.2,,
2016-02-06 09:30:00,,,883.8666666666667,919.6,,
2016-02-06 09:45:00,,,818.0666666666667,823.7333333333332,,
2016-02-06 10:00:00,,,811.7333333333332,684.0,,
2016-02-06 10:15:00,,,855.2,608.0666666666667,,
2016-02-06 10:30:00,,,841.2,583.0666666666667,,
2016-02-06 10:45:00,,,864.3333333333335,586.7333333333332,,
2016-02-06 11:00:00,,,850.7333333333332,621.8,,
2016-02-06 11:15:00,,,918.4,617.7333333333332,,
2016-02-06 11:30:00,,,1005.6666666666665,652.6,,
2016-02-06 11:45:00,,,1063.2666666666667,663.8,,
2016-02-06 12:00:00,,,1141.4,757.2666666666668,,
2016-02-06 12:15:00,,,1248.2,820.4,,
2016-02-06 12:30:00,,,2144.0666666666666,839.7333333333332,,
2016-02-06 12:45:00,,,1362.6666666666667,798.2666666666668,,
2016-02-06 13:00:00,,,1284.9333333333334,814.5333333333333,,
