Date/Time,1754_O_CLRN,8677_O_ELZT,1947_O_ELZT,1342_O_ELZT,1854_O_GIBS,6773_O_MCKP,3319_O_ELZT,4530_O_CNTP,5571_O_BUFF,4431_O_WBG,8131_O_DVBG,3764_O_MTVN,5624_O_BUFF,8257_O_OAKL,5957_O_BLDL
2019-09-12 15:00:00,,,,,,,,348.85714285714283,,,,,,,
2019-09-12 15:15:00,,,,,,,,377.3333333333333,,,,,,,
2019-09-12 15:30:00,,,,,,,,352.1333333333333,,,,,,,
2019-09-12 15:45:00,,,,,,,,299.93333333333334,,,,,,,
2019-09-12 16:00:00,,,,,,,,262.53333333333336,,,,,,,
2019-09-12 16:15:00,,,,,,,,246.53333333333333,,,,,,,
2019-09-12 16:30:00,,,,,,,,213.2,,,,,,,
2019-09-12 16:45:00,,,,,,,,173.8,,,,,,,
2019-09-12 17:00:00,,,,,,,,201.86666666666667,,,,,,,
2019-09-12 17:15:00,,,,,,,,150.26666666666668,,,,,,,
2019-09-12 17:30:00,,,,,,,,200.6,,,,,,,
2019-09-12 17:45:00,,,,,,,,172.26666666666668,,,,,,,
2019-09-12 18:00:00,,,,,,,,142.6,,,,,,,
2019-09-12 18:15:00,,,,,,,,163.53333333333333,,,,,,,
2019-09-12 18:30:00,,,,,,,,166.2,,,,,,,
2019-09-12 18:45:00,,,,,,,,237.2,,,,,,,
2019-09-12 19:00:00,,,,,,,,359.93333333333334,,,,,,,
2019-09-12 19:15:00,,,,,,,,368.93333333333334,,,,,,,
2019-09-12 19:30:00,,,,,,,,404.2,,,,,,,
2019-09-12 19:45:00,,,,,,,,444.8666666666667,,,,,,,
2019-09-12 20:00:00,,1134.5,,,,,,497.6666666666667,,,,,,,
2019-09-12 20:15:00,,,,,,,,522.5333333333333,,,,,,,
2019-09-12 20:30:00,,,,,,,,549.3333333333334,,,,,,,
2019-09-12 20:45:00,,,,,,,,564.6666666666666,,,,,,,
2019-09-12 21:00:00,,,,,,,,630.7333333333333,,,,,,,
2019-09-12 21:15:00,,,,,,,,579.0,,,1318.0,,,,
2019-09-12 21:30:00,,,,,,,,562.2666666666667,,,890.6,,,,
2019-09-12 21:45:00,,,,,1163.0,,,563.8,,,808.3333333333334,,,,
2019-09-12 22:00:00,,,,,959.0,,,635.8666666666667,,,833.4666666666667,,,,
2019-09-12 22:15:00,,,,,,,,698.4,,,885.5333333333333,,,,
2019-09-12 22:30:00,,,,,,,,703.7333333333333,,,883.8,,,,
2019-09-12 22:45:00,,,,,,,,734.8,,,965.7333333333333,,,,
2019-09-12 23:00:00,,,,,823.0,,,756.5333333333333,,,922.8,,,,
2019-09-12 23:15:00,,,,,,,,767.2,,,882.1333333333333,,,,
2019-09-12 23:30:00,,,,,,,,797.8,,,850.4,,,,
2019-09-12 23:45:00,,,,,,,,793.6666666666666,,,845.0666666666667,,,,
2019-09-13 00:00:00,,,,,823.0,,,822.4666666666667,,,884.7333333333333,,,,
2019-09-13 00:15:00,,,,,,,,866.9333333333333,,,817.8666666666667,,,,
2019-09-13 00:30:00,,,,,,,,901.4666666666667,,,838.2666666666667,,,,
2019-09-13 00:45:00,,,,,,,,928.7333333333333,,,860.2666666666667,,,,
2019-09-13 01:00:00,,,,,675.0,,,1013.3333333333334,,,887.4666666666667,,,,
2019-09-13 01:15:00,,,,,,,,994.6,,,848.7333333333333,,,,
2019-09-13 01:30:00,,,,,,,,996.1333333333333,,,829.2666666666667,,,,
2019-09-13 01:45:00,,,,,,,,997.0,,,841.4,,,,
2019-09-13 02:00:00,,,,,763.0,,,967.4,,,873.1333333333333,,,,
2019-09-13 02:15:00,,,,,,,,969.2666666666667,,,904.7333333333333,,,,
2019-09-13 02:30:00,,,,,,,,952.6,,,927.3333333333334,,,,
2019-09-13 02:45:00,,,,,,,,975.2,,,944.8,,,,
2019-09-13 03:00:00,,,,,858.0,,,1114.8,,,998.2666666666667,,,,
2019-09-13 03:15:00,,,,,,,,1291.7333333333333,,,1064.0666666666666,,,,
2019-09-13 03:30:00,,,,,,,,1421.4666666666667,,,1005.1333333333333,,,,
2019-09-13 03:45:00,,,,,,,,1357.2666666666667,,,997.0,,,,
2019-09-13 04:00:00,,,,,567.0,,,1225.1333333333334,,,956.8666666666667,,,,
2019-09-13 04:15:00,,,,,,,,1196.7333333333333,,,924.0,,,,
2019-09-13 04:30:00,,,,,,,,1110.6666666666667,,,947.8666666666667,,,,
2019-09-13 04:45:00,,,,,,,,1061.6,,,922.3333333333334,,,,
2019-09-13 05:00:00,,,,,697.0,,,1043.8666666666666,,,919.8666666666667,,,,
2019-09-13 05:15:00,,,,,,,,1070.2666666666667,,,990.8,,,,
2019-09-13 05:30:00,,,,,,,,1036.0666666666666,,,1015.4,,,,
2019-09-13 05:45:00,,,,,,,,1012.3333333333334,,,997.2666666666667,,,,
2019-09-13 06:00:00,,,,,796.0,,,999.9333333333333,,,1027.3333333333333,,,,
2019-09-13 06:15:00,,,,,,,,1020.9333333333333,,,1074.3333333333333,,,,
2019-09-13 06:30:00,,,,,,,,1064.6,,,1102.2666666666667,,,,
2019-09-13 06:45:00,,,,,,,,1040.0,,,1169.7333333333333,,,,
2019-09-13 07:00:00,,,,,1039.0,,,1077.6666666666667,,,1262.9333333333334,,,,
2019-09-13 07:15:00,,,,,,,,1109.0666666666666,,,1330.8666666666666,,,,
2019-09-13 07:30:00,,,,,,,,1163.8666666666666,,,1177.2666666666667,,,,
2019-09-13 07:45:00,,,,,,,,1083.0,,,950.6666666666666,,,,
