Date/Time,7924_O_DMBR,2366_O_DMBR,4074_O_SQHN,3671_O_LGNR,5712_O_IOCY_IO,2239_O_MRVL,4876_O_DMBR,3844_O_FRHL,2020_O_CASM_CA,1039_O_BRHT,6393_O_MRVL,5012_O_PTBR,7209_O_MTLE,8014_O_MWSH,1384_O_KSLW_KS,6712_O_MNNH_MN,4674_O_GNFD,7993_O_WLKG,7710_O_ELIB,8750_O_DOWN,4431_O_WBG,6132_O_MONG,8508_O_XXXX,4436_O_XXXX
2022-03-01 15:00:00,558.2857142857143,471.35714285714283,,969.0714285714286,482.64285714285717,619.3571428571429,897.3571428571429,649.8571428571429,877.7142857142857,817.6428571428571,715.0,685.3571428571429,683.9285714285714,827.4285714285714,440.7857142857143,3334.4285714285716,626.1428571428571,598.2142857142857,690.4285714285714,,418.875,541.4285714285714,,
2022-03-01 15:15:00,530.4,423.53333333333336,,896.0666666666667,343.46666666666664,602.8666666666667,730.0,644.5333333333333,800.0,764.6,680.8,693.5333333333333,614.0666666666667,835.0666666666667,407.6,3359.0,601.3333333333334,605.9333333333333,652.6666666666666,,399.8666666666667,510.1333333333333,,
2022-03-01 15:30:00,477.6,428.46666666666664,,820.4,359.46666666666664,592.6666666666666,827.6666666666666,627.5333333333333,744.2666666666667,748.8666666666667,622.4666666666667,687.3333333333334,583.0,809.4666666666667,402.06666666666666,3382.6,572.6,632.0666666666667,697.9333333333333,,387.8666666666667,493.6,,
2022-03-01 15:45:00,458.3333333333333,433.0,,901.3333333333334,381.46666666666664,584.2,892.3333333333334,648.1333333333333,803.1333333333333,740.0,687.5333333333333,705.4666666666667,539.4666666666667,761.4666666666667,337.8666666666667,3425.0,604.3333333333334,741.4,708.9333333333333,,414.8,493.3333333333333,,
2022-03-01 16:00:00,383.06666666666666,400.2,,596.6,320.06666666666666,686.7333333333333,820.1333333333333,617.2,922.3333333333334,684.7333333333333,632.4666666666667,637.0666666666667,534.8666666666667,708.8666666666667,320.93333333333334,3600.3333333333335,530.4,624.7333333333333,623.6,,398.3333333333333,487.8666666666667,,
2022-03-01 16:15:00,400.1333333333333,371.4,,488.8666666666667,268.6666666666667,676.7333333333333,779.4,582.6666666666666,753.4666666666667,697.6666666666666,578.7333333333333,591.3333333333334,566.6,665.5333333333333,311.3333333333333,3747.8,529.4,624.0666666666667,626.2,,366.0,467.73333333333335,,
2022-03-01 16:30:00,422.26666666666665,367.06666666666666,,577.1333333333333,291.93333333333334,432.6666666666667,8137.266666666666,607.3333333333334,547.8666666666667,761.0666666666667,604.1333333333333,621.2666666666667,628.1333333333333,775.5333333333333,297.53333333333336,3821.733333333333,535.0666666666667,563.8,655.6,,342.2,461.1333333333333,,
2022-03-01 16:45:00,442.6,333.0,,606.6,409.6,342.8666666666667,12661.266666666666,628.2,501.8666666666667,819.0,662.7333333333333,731.8,733.6,841.9333333333333,319.4,3943.6666666666665,639.0666666666667,632.8,828.6,,325.6,463.8666666666667,,
2022-03-01 17:00:00,431.73333333333335,359.1333333333333,,590.8,464.0,441.8,14133.90909090909,785.4666666666667,604.3333333333334,641.8666666666667,733.5333333333333,819.4666666666667,788.2666666666667,975.6,310.4,3934.4,831.4666666666667,731.8666666666667,735.0,,327.0,496.2,,
2022-03-01 17:15:00,486.0,396.93333333333334,,554.6,500.8,523.0,,674.8666666666667,539.6,492.0,847.8666666666667,660.5333333333333,846.6666666666666,815.0,330.06666666666666,4022.733333333333,746.2,590.6,513.5333333333333,,327.8,542.9333333333333,,
2022-03-01 17:30:00,511.0,395.6,,509.46666666666664,646.4666666666667,600.6666666666666,,468.6,856.8666666666667,405.4,702.1333333333333,481.0,758.5333333333333,782.0666666666667,362.6,4077.8,565.9333333333333,438.73333333333335,389.2,,430.26666666666665,563.6,,
2022-03-01 17:45:00,506.53333333333336,403.46666666666664,,521.7333333333333,574.4666666666667,538.7333333333333,,396.26666666666665,1066.5333333333333,546.1333333333333,448.53333333333336,444.8,650.8,583.6,407.0,4402.4,424.73333333333335,413.26666666666665,537.6,,412.4,550.0,,
2022-03-01 18:00:00,498.2,418.73333333333335,,509.1333333333333,532.4,457.06666666666666,,530.5333333333333,746.8,683.4,464.0,650.6,610.3333333333334,643.6666666666666,514.2666666666667,4665.466666666666,535.8666666666667,562.3571428571429,658.4,,413.0,559.2,,
2022-03-01 18:15:00,504.06666666666666,421.6666666666667,,462.73333333333335,708.0666666666667,458.73333333333335,,729.8666666666667,840.0,807.6666666666666,609.0666666666667,773.2,531.4666666666667,955.8,485.53333333333336,4862.866666666667,699.2666666666667,687.2,809.8666666666667,,401.73333333333335,569.1333333333333,,
2022-03-01 18:30:00,503.26666666666665,430.06666666666666,,461.93333333333334,552.8,455.8666666666667,,873.3333333333334,997.1333333333333,833.0,782.8666666666667,884.0,746.4,1372.4,715.4,5001.066666666667,869.0666666666667,743.4666666666667,828.4,,425.0,646.4666666666667,,
2022-03-01 18:45:00,541.4,468.4,,503.8,635.8,383.53333333333336,,815.6,1279.0666666666666,801.1333333333333,782.3333333333334,812.5333333333333,960.6666666666666,1044.0,993.7333333333333,5317.2,844.1333333333333,717.7333333333333,729.3333333333334,,468.8666666666667,617.8666666666667,,
2022-03-01 19:00:00,625.5333333333333,442.93333333333334,,573.8666666666667,806.8,333.26666666666665,,780.1333333333333,1147.2666666666667,770.8,682.9333333333333,756.5333333333333,1020.5333333333333,1051.6,1158.5333333333333,5725.933333333333,843.4,695.9333333333333,719.9333333333333,,403.53333333333336,554.9333333333333,,
