Date/Time,1282_O_BCVW,1404_O_TROY,2071_O_NOSD,2281_O_HiPK,2319_O_DWNTN,3283_O_LEET,3555_O_SCLL,4431_O_WBG,4530_O_CNTP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6582_O_OAKD,6809_O_SQHS,7134_O_LWCV,7543_O_MILL,8183_O_MILL,8304_O_SQHS,8698_O_NOSD,8699_O_BLOO,8850_O_LWCV,8941_O_MTLE
2017-09-01 15:00:00,,,839.8571428571429,,843.7857142857142,,739.2142857142858,1105.357142857143,,685.8571428571429,685.8571428571429,589.3571428571429,,632.3571428571429,,625.8571428571429,934.1428571428572,672.0714285714286,591.3571428571429,,,
2017-09-01 15:15:00,,,840.7333333333332,,679.6,,769.3333333333335,1019.6666666666665,,676.3333333333334,676.3333333333334,560.6,,629.9333333333333,,500.76923076923083,843.5333333333333,681.0666666666667,577.6,,,
2017-09-01 15:30:00,,,864.5333333333333,,688.3333333333335,,731.1333333333333,966.7333333333332,,675.7333333333332,675.7333333333332,650.8,,653.8666666666667,,627.2,2122.8,670.6,709.9333333333333,,,
2017-09-01 15:45:00,,,908.7333333333332,,946.4666666666667,,700.5333333333333,925.6666666666665,,689.1333333333333,689.1333333333333,590.8666666666667,,684.9333333333333,,681.8,746.5333333333333,726.6666666666665,643.9333333333333,,,
2017-09-01 16:00:00,,,918.8,,1003.8,,713.8666666666667,905.2,,706.0666666666667,706.0666666666667,613.6,,750.1333333333333,,761.6666666666665,769.6,763.0666666666667,653.2666666666668,,,
2017-09-01 16:15:00,,,945.1333333333333,,615.0,,731.2666666666668,877.4666666666667,,701.4,701.4,635.2666666666668,,768.0666666666667,,753.8666666666667,787.4666666666667,759.0666666666667,657.5333333333333,,,
2017-09-01 16:30:00,,,975.2,,617.8,,738.9333333333333,879.9333333333333,,707.1333333333333,707.1333333333333,658.0666666666667,,837.1333333333333,,758.4,778.0666666666667,793.9333333333333,692.9333333333333,,,
2017-09-01 16:45:00,,,1079.1333333333334,,606.0,,750.8,866.2666666666668,,726.5333333333333,726.5333333333333,693.8,,827.1333333333333,,785.1333333333333,974.5333333333333,814.3333333333335,703.5333333333333,,,
2017-09-01 17:00:00,,,1225.4666666666667,,616.3333333333334,,758.4666666666667,891.4,,734.4666666666667,734.4666666666667,734.0666666666667,,802.3333333333335,,796.9333333333333,932.1333333333333,858.2666666666668,754.9333333333333,,,
2017-09-01 17:15:00,,,1285.8666666666666,,605.8666666666667,,858.6,924.6,,757.4666666666667,757.4666666666667,723.6,,837.6666666666665,,821.6,916.0,872.0666666666667,747.6666666666665,,,
2017-09-01 17:30:00,,,1246.0666666666666,,611.4666666666667,,805.6,904.5333333333333,,758.5333333333333,758.5333333333333,757.9333333333333,,881.0666666666667,,843.5333333333333,997.6,921.0,776.6666666666665,,,
2017-09-01 17:45:00,,,1180.4,,616.8,,817.6,905.6666666666665,,747.0,747.0,900.9333333333333,,903.6666666666665,,884.6666666666665,1154.0666666666666,938.6666666666665,794.5333333333333,,,
2017-09-01 18:00:00,,,1144.2,,640.3333333333334,,820.2666666666668,937.6,,756.2666666666668,756.2666666666668,861.3333333333335,,913.2,,871.2666666666668,881.4666666666667,936.6,819.6,,,
2017-09-01 18:15:00,,,1218.2,,654.6,,826.7333333333332,942.2666666666668,,776.6666666666665,776.6666666666665,863.4666666666667,,939.6,,960.7333333333332,849.4666666666667,944.8666666666667,888.0,,,
2017-09-01 18:30:00,,,1257.0666666666666,,673.5333333333333,,848.2666666666668,889.8666666666667,,797.8666666666667,797.8666666666667,1079.2,,976.4666666666667,,1020.4,880.4666666666667,1011.0666666666667,928.2,,,
2017-09-01 18:45:00,,,1507.0666666666666,255.0,777.1333333333333,,912.0,857.3333333333335,,831.9333333333333,831.9333333333333,982.5333333333333,,1026.5333333333333,,956.9333333333333,1073.6666666666667,1024.6666666666667,937.4,,,
2017-09-01 19:00:00,,,1392.2,,1406.666666666667,,918.6,855.2666666666668,,863.6,863.6,1116.1333333333334,,1024.6666666666667,,952.0666666666667,933.4666666666667,1014.1333333333333,869.6666666666665,,,
2017-09-01 19:15:00,,,1340.4666666666667,,974.2,,953.3333333333335,880.9333333333333,,875.0,875.0,956.4666666666667,,1052.4666666666667,,1058.2,950.2666666666668,1020.6666666666665,827.6,,,
2017-09-01 19:30:00,,,1289.2,,2172.4666666666667,,978.1333333333333,892.3333333333335,,920.2666666666668,920.2666666666668,975.6666666666665,,1002.6666666666665,,1085.7333333333333,1463.8666666666666,993.6,883.0666666666667,,,
2017-09-01 19:45:00,,,1303.0666666666666,,2326.0,,1048.6666666666667,895.8,,919.4,919.4,1065.8,,1014.4666666666667,,1157.8666666666666,1099.3333333333333,991.1333333333333,1229.4666666666667,,,
2017-09-01 20:00:00,,873.2666666666668,1270.0666666666666,,1197.9333333333334,,1065.1333333333334,801.4,,924.6666666666665,924.6666666666665,1037.8,,1034.6666666666667,,1158.4666666666667,1039.5333333333333,1001.8,1221.2,,,
2017-09-01 20:15:00,,858.2666666666668,1258.5333333333333,,823.2,,1101.2,809.0666666666667,,950.2,950.2,1031.9333333333334,,1041.1333333333334,,1173.2,1047.5333333333333,1009.4,1093.4666666666667,,,
2017-09-01 20:30:00,,818.0666666666667,1237.0,,690.8666666666667,,1063.9333333333334,843.2,,942.2,942.2,1086.6666666666667,,1065.3333333333333,,1217.9333333333334,1059.6,1028.2666666666667,1049.8,,,
