Date/Time,2071_O_NOSD,2281_O_HiPK,2427_O_ELIB,4431_O_WBG,4841_O_STDT,5571_O_BUFF,5624_O_BUFF,6189_O_LARM,6227_O_ELIB,7220_O_SHADY,7543_O_MILL,7568_O_GIBS,8185_O_SWPK
2016-09-08 15:00:00,667.8571428571429,,1006.2142857142856,809.8571428571429,,767.2142857142858,767.2142857142858,,613.2142857142858,,,,2722.0
2016-09-08 15:15:00,695.4666666666667,,1048.0,817.5333333333333,,606.8,606.8,,615.4,,,,2890.0
2016-09-08 15:30:00,692.6666666666665,,1047.8,898.6666666666665,,796.7333333333332,796.7333333333332,,601.1333333333333,,,,2997.666666666666
2016-09-08 15:45:00,666.6666666666666,,992.8666666666667,936.2,,628.7333333333332,628.7333333333332,,578.6,,,,2921.733333333333
2016-09-08 16:00:00,628.7333333333332,,954.0,935.7333333333332,,589.2666666666668,589.2666666666668,,578.0666666666667,,,,2963.2
2016-09-08 16:15:00,646.2,,971.0666666666667,893.2,,572.2666666666668,572.2666666666668,,557.9333333333333,,,,2982.5333333333333
2016-09-08 16:30:00,628.4,,962.2,907.6666666666665,,577.5333333333333,577.5333333333333,,558.5333333333333,,,,3059.933333333333
2016-09-08 16:45:00,629.5333333333333,,963.1333333333333,972.6666666666665,,574.5333333333333,574.5333333333333,,541.6666666666666,,,,3030.266666666667
2016-09-08 17:00:00,622.9333333333333,,965.7333333333332,960.1333333333333,,571.0666666666667,571.0666666666667,,547.0,,,,3000.4
2016-09-08 17:15:00,669.7333333333332,,1004.0666666666667,956.2,,610.2,610.2,,561.2,,,,3019.2
2016-09-08 17:30:00,622.4666666666667,,1008.0,927.2,,607.4,607.4,,555.0,,,,3034.133333333333
2016-09-08 17:45:00,638.6666666666666,,1005.5333333333333,1048.4,,618.3333333333334,618.3333333333334,,545.4666666666667,,,,3037.8
2016-09-08 18:00:00,625.1333333333333,,1031.7333333333333,1235.3333333333333,,654.4,654.4,,560.4666666666667,,,,3059.6
2016-09-08 18:15:00,647.4666666666667,,1044.9333333333334,1353.0,,662.0666666666667,662.0666666666667,,572.4,,,,3035.0
2016-09-08 18:30:00,633.3333333333334,,1048.0,1342.8666666666666,,681.1333333333333,681.1333333333333,,575.4666666666667,,,,3069.4666666666667
2016-09-08 18:45:00,651.4666666666667,,1093.1333333333334,1392.0,,1235.2666666666667,1235.2666666666667,,582.2666666666668,,,,3071.2
2016-09-08 19:00:00,655.1333333333333,,1064.9333333333334,1491.2,,1219.1333333333334,1219.1333333333334,,575.1333333333333,,,,3046.866666666667
2016-09-08 19:15:00,657.8666666666667,,1033.4666666666667,1547.9333333333334,,841.2,841.2,,586.2666666666668,,,,3038.733333333333
2016-09-08 19:30:00,654.5333333333333,,1049.6666666666667,1593.333333333333,,932.8666666666667,932.8666666666667,,578.6,,,,2927.266666666667
2016-09-08 19:45:00,646.7333333333332,,1057.6,1612.333333333333,,1007.1333333333333,1007.1333333333333,,582.2666666666668,,,,2896.266666666667
2016-09-08 20:00:00,833.9333333333333,,1101.2,1616.0,,1136.8666666666666,1136.8666666666666,,614.1333333333333,,,,2767.866666666667
2016-09-08 20:15:00,658.6666666666666,,1087.8666666666666,1676.1333333333334,,1071.2,1071.2,,596.6,,,,2742.133333333333
2016-09-08 20:30:00,674.6,,1088.2,1695.0666666666666,,1017.6,1017.6,,593.3333333333334,,,,2616.2
2016-09-08 20:45:00,719.0,,1072.4,1735.4,,1012.4666666666667,1012.4666666666667,,599.2,,,,2650.333333333333
2016-09-08 21:00:00,876.0,,1060.0,1615.2,,1109.6666666666667,1109.6666666666667,,593.9333333333333,,,,2564.866666666667
2016-09-08 21:15:00,674.8,,1065.4666666666667,1507.8666666666666,,1047.0,1047.0,,589.1333333333333,,,,2360.0
2016-09-08 21:30:00,674.4,,1060.9333333333334,1394.333333333333,,995.8,995.8,,584.6666666666666,,,,2341.8
2016-09-08 21:45:00,654.4,,1214.9333333333334,1316.8,,917.8,917.8,,620.2666666666668,,,,2320.4
2016-09-08 22:00:00,704.2666666666668,,828.3333333333335,1258.9333333333334,,875.8,875.8,,573.4666666666667,,,,2313.933333333333
2016-09-08 22:15:00,760.8666666666667,,841.2,1229.5333333333333,,870.9333333333333,870.9333333333333,,584.0,,,,2308.866666666667
2016-09-08 22:30:00,774.0,,835.3333333333335,1202.4666666666667,,901.8666666666667,901.8666666666667,,564.4,,,,1878.0666666666666
2016-09-08 22:45:00,788.0666666666667,,814.1333333333333,1239.2666666666667,,848.3333333333335,848.3333333333335,,554.0666666666667,,,,1235.7333333333333
2016-09-08 23:00:00,790.4,,804.1333333333333,1306.8666666666666,,825.2,825.2,,699.1333333333333,,,,1008.1333333333333
2016-09-08 23:15:00,692.6666666666665,,868.0,1434.4,,818.1333333333333,818.1333333333333,,771.0666666666667,,,,941.4666666666667
2016-09-08 23:30:00,747.6666666666665,,764.8,1457.8666666666666,,806.8,806.8,,689.6,,,,926.2666666666668
2016-09-08 23:45:00,541.0,,683.9333333333333,1975.6,,824.7333333333332,824.7333333333332,,548.7333333333332,,,,931.6666666666665
2016-09-09 00:00:00,527.3333333333334,,686.6,1532.2666666666669,,875.1333333333333,875.1333333333333,,549.6,,,,940.0
2016-09-09 00:15:00,503.9333333333333,,711.3333333333335,1572.4,,915.4666666666667,915.4666666666667,,548.3333333333334,,,,956.0666666666667
2016-09-09 00:30:00,531.8666666666667,,711.2666666666668,1594.466666666667,,906.4,906.4,,553.2666666666668,,,,993.8666666666667
