Date/Time,3780_O_HZWD,2071_O_NOSD,6227_O_ELIB,3653_O_MARS,8581_O_SOSD,5624_O_BUFF,5571_O_BUFF,4431_O_WBG,3555_O_SCLL,7543_O_MILL,1639_O_ELIB
2016-10-05 15:00:00,,41.07142857142857,,,19.642857142857142,,,46.214285714285715,,32.0,46.142857142857146
2016-10-05 15:15:00,,38.666666666666664,,,17.466666666666665,,,44.53333333333333,,40.6,48.266666666666666
2016-10-05 15:30:00,,37.46666666666667,,,18.333333333333332,,,44.0,,53.4,44.6
2016-10-05 15:45:00,,49.6,,,18.133333333333333,,,45.6,,27.866666666666667,45.266666666666666
2016-10-05 16:00:00,,38.333333333333336,,,19.0,,,49.4,,14.266666666666667,44.13333333333333
2016-10-05 16:15:00,,38.4,,,,,,53.46666666666667,,13.333333333333334,50.733333333333334
2016-10-05 16:30:00,,34.06666666666667,,,,,,52.666666666666664,,13.0,43.06666666666667
2016-10-05 16:45:00,,37.86666666666667,,,,,,53.8,,10.066666666666666,43.06666666666667
2016-10-05 17:00:00,,36.0,,,,,,51.733333333333334,,7.6,43.13333333333333
2016-10-05 17:15:00,,35.6,,,,,,55.86666666666667,,,50.86666666666667
2016-10-05 17:30:00,,38.666666666666664,,,,,,59.733333333333334,,,49.6
2016-10-05 17:45:00,,41.46666666666667,,,,,,60.0,,,55.53333333333333
2016-10-05 18:00:00,,48.6,,,,,,62.53333333333333,,,63.46666666666667
2016-10-05 18:15:00,,53.06666666666667,,,,,,65.13333333333334,,,63.13333333333333
2016-10-05 18:30:00,,55.4,,,,,,77.4,,,70.73333333333333
2016-10-05 18:45:00,,57.13333333333333,,,,,,84.33333333333333,,,70.4
2016-10-05 19:00:00,,57.0,,,,,,90.93333333333334,,,70.4
2016-10-05 19:15:00,,65.8,,,,,,91.66666666666667,,,75.33333333333333
2016-10-05 19:30:00,,59.666666666666664,,,,,,94.26666666666667,,,74.93333333333334
2016-10-05 19:45:00,,60.53333333333333,,,,,,95.8,,,81.8
2016-10-05 20:00:00,,60.93333333333333,,,,,,93.13333333333334,,,82.46666666666667
2016-10-05 20:15:00,,61.46666666666667,,,,,,98.73333333333333,,,87.66666666666667
2016-10-05 20:30:00,,60.86666666666667,,,,,,103.93333333333334,,,78.2
2016-10-05 20:45:00,,62.13333333333333,,,,,,95.8,,,82.33333333333333
2016-10-05 21:00:00,,63.733333333333334,,,,,,112.86666666666666,,,80.53333333333333
2016-10-05 21:15:00,,63.6,,,,,,124.2,,,78.8
2016-10-05 21:30:00,,61.333333333333336,,,,,,166.86666666666667,,,87.46666666666667
2016-10-05 21:45:00,,64.26666666666667,,,,,,453.3333333333333,,,87.8
2016-10-05 22:00:00,,66.26666666666667,,,,,,229.0,,,80.33333333333333
2016-10-05 22:15:00,,74.26666666666667,,,,,,792.1333333333333,,,84.93333333333334
2016-10-05 22:30:00,,90.53333333333333,,,,,,530.4,,,89.73333333333333
2016-10-05 22:45:00,,128.26666666666668,,,,,,279.73333333333335,,,97.4
2016-10-05 23:00:00,,89.8,,,,,,239.0,,,92.2
2016-10-05 23:15:00,,79.26666666666667,,,,,,160.46666666666667,,,84.53333333333333
2016-10-05 23:30:00,,76.26666666666667,,,,,,273.6,,,86.86666666666666
2016-10-05 23:45:00,,74.53333333333333,87.6,,,,,662.8,,,96.46666666666667
2016-10-06 00:00:00,,76.2,93.66666666666667,,,,,327.3333333333333,,,89.93333333333334
2016-10-06 00:15:00,,81.4,86.93333333333334,,,,,192.0,,,93.53333333333333
2016-10-06 00:30:00,,80.4,94.13333333333334,,,,,262.6,,,91.33333333333333
2016-10-06 00:45:00,,82.26666666666667,96.66666666666667,,,,,383.46666666666664,,,92.26666666666667
2016-10-06 01:00:00,,82.33333333333333,96.0,,,,,348.2,,,97.13333333333334
2016-10-06 01:15:00,,81.73333333333333,102.46666666666667,,,,,258.53333333333336,,,98.73333333333333
2016-10-06 01:30:00,,86.46666666666667,105.46666666666667,,,,,349.3333333333333,,,96.33333333333333
2016-10-06 01:45:00,,88.86666666666666,105.86666666666666,,,,,268.8,,,97.06666666666666
2016-10-06 02:00:00,,92.73333333333333,110.33333333333333,,,,,279.93333333333334,,,100.06666666666666
2016-10-06 02:15:00,,88.46666666666667,108.66666666666667,,,,,192.0,,,106.8
2016-10-06 02:30:00,,89.53333333333333,112.0,,,,,351.6,,,106.06666666666666
2016-10-06 02:45:00,,91.4,117.53333333333333,,,,,208.93333333333334,,,104.73333333333333
2016-10-06 03:00:00,,86.6,115.33333333333333,,,,,187.8,,,109.66666666666667
2016-10-06 03:15:00,,88.26666666666667,119.53333333333333,,,,,103.66666666666667,,,114.4
2016-10-06 03:30:00,,89.6,115.6,,,,,111.2,,,112.13333333333334
2016-10-06 03:45:00,,91.6,115.66666666666667,,,,,89.26666666666667,,,109.6
2016-10-06 04:00:00,,88.66666666666667,117.8,,,,,99.26666666666667,,,109.6
2016-10-06 04:15:00,,90.8,117.93333333333334,,,,,137.0,,,108.93333333333334
2016-10-06 04:30:00,,93.0,111.4,,,,,124.26666666666667,,,110.86666666666666
2016-10-06 04:45:00,,95.73333333333333,111.13333333333334,,,,,98.66666666666667,,,110.66666666666667
2016-10-06 05:00:00,,94.93333333333334,106.53333333333333,,,,,184.13333333333333,,,114.06666666666666
2016-10-06 05:15:00,,92.46666666666667,105.86666666666666,,,,,172.53333333333333,,,104.46666666666667
2016-10-06 05:30:00,,93.73333333333333,113.2,,,,,153.8,,,105.73333333333333
