Date/Time,8941_O_DOWN,5571_O_BUFF,4431_O_WBG,5624_O_BUFF,2484_O_MTLE,8579_O_CLRN,1342_O_ELZT,5784_O_USCL,4430_O_RBN,2759_O_BRHT,3762_O_MNLL,2559_O_BLOO,2302_O_FXCP,2071_O_NOSD,2220_O_NSEW
2019-06-14 15:00:00,247.71428571428572,198.71428571428572,196.78571428571428,198.71428571428572,,184.33333333333334,,,,297.14285714285717,,,,,7161.714285714285
2019-06-14 15:15:00,251.46666666666667,199.8,193.73333333333332,199.8,,162.0,,,,252.66666666666666,,,,,7983.466666666666
2019-06-14 15:30:00,316.26666666666665,362.26666666666665,208.53333333333333,362.26666666666665,,176.46666666666667,,,,278.53333333333336,,,,,7526.866666666667
2019-06-14 15:45:00,309.46666666666664,534.6,183.0,534.6,,155.73333333333332,,,,280.8666666666667,,,244.27272727272728,,6508.0
2019-06-14 16:00:00,315.6666666666667,572.5333333333333,170.4,572.5333333333333,,131.6,,,,245.46666666666667,,,232.4,,7599.733333333334
2019-06-14 16:15:00,398.6666666666667,210.33333333333334,170.86666666666667,210.33333333333334,,116.2,,,,217.73333333333332,,,228.8,,7437.0
2019-06-14 16:30:00,285.2,199.8,168.66666666666666,199.8,,121.86666666666666,,,,221.86666666666667,,,228.4,,7044.0
2019-06-14 16:45:00,273.93333333333334,197.53333333333333,161.8,197.53333333333333,,120.46666666666667,,,,221.86666666666667,,,217.13333333333333,,6310.333333333333
2019-06-14 17:00:00,321.2,204.4,164.26666666666668,204.4,,112.86666666666666,,,,302.93333333333334,,,210.66666666666666,,7826.933333333333
2019-06-14 17:15:00,259.6,213.53333333333333,172.13333333333333,213.53333333333333,,104.86666666666666,,,,249.93333333333334,,,206.53333333333333,,12078.4
2019-06-14 17:30:00,336.0,206.26666666666668,175.33333333333334,206.26666666666668,,117.86666666666666,,,,355.3333333333333,,,219.93333333333334,,11723.333333333334
2019-06-14 17:45:00,282.26666666666665,217.86666666666667,167.0,217.86666666666667,,141.73333333333332,,,,323.1333333333333,,,226.53333333333333,,9156.2
2019-06-14 18:00:00,403.4,224.33333333333334,171.13333333333333,224.33333333333334,,135.93333333333334,,,,337.4,,,220.66666666666666,,9856.6
2019-06-14 18:15:00,353.06666666666666,221.86666666666667,165.8,221.86666666666667,,114.86666666666666,,,,403.06666666666666,,,222.33333333333334,,9212.266666666666
2019-06-14 18:30:00,327.8666666666667,228.86666666666667,174.73333333333332,228.86666666666667,,124.66666666666667,,,,359.46666666666664,,,227.93333333333334,,8748.733333333334
2019-06-14 18:45:00,307.73333333333335,229.53333333333333,175.86666666666667,229.53333333333333,,146.26666666666668,,,,287.6,,,231.46666666666667,,11283.266666666666
2019-06-14 19:00:00,308.0,229.2,172.46666666666667,229.2,,146.86666666666667,,,,279.53333333333336,,,236.8,,10154.6
2019-06-14 19:15:00,279.8,215.26666666666668,173.26666666666668,215.26666666666668,,155.66666666666666,,,,258.93333333333334,,,231.06666666666666,,9461.333333333334
2019-06-14 19:30:00,260.4,211.53333333333333,170.93333333333334,211.53333333333333,,168.26666666666668,,,,246.06666666666666,,,239.86666666666667,,10260.2
2019-06-14 19:45:00,259.4,236.8,175.8,236.8,963.5,179.53333333333333,,,,252.8,,,243.2,,10965.733333333334
2019-06-14 20:00:00,248.73333333333332,271.53333333333336,227.73333333333332,271.53333333333336,292.4,222.4,,,,263.8,,,280.8666666666667,,10835.066666666668
2019-06-14 20:15:00,238.53333333333333,334.46666666666664,252.26666666666668,334.46666666666664,481.0,265.26666666666665,,,,276.0,,,578.6,,11939.466666666667
2019-06-14 20:30:00,231.86666666666667,259.6,359.3333333333333,259.6,395.6,309.73333333333335,,,,299.8,,,350.4,,12984.0
2019-06-14 20:45:00,227.13333333333333,243.2,333.3333333333333,243.2,402.73333333333335,321.8666666666667,,,,342.26666666666665,,,314.06666666666666,,11736.133333333333
2019-06-14 21:00:00,229.26666666666668,252.2,367.1333333333333,252.2,349.73333333333335,323.93333333333334,,,,365.0,,,320.8666666666667,,11514.6
2019-06-14 21:15:00,230.86666666666667,250.2,343.1333333333333,250.2,406.06666666666666,334.0,,,,428.26666666666665,,,363.8666666666667,,12168.6
2019-06-14 21:30:00,228.13333333333333,267.73333333333335,369.6,267.73333333333335,1289.8666666666666,352.73333333333335,,,,523.3333333333334,,,375.0,,12289.933333333332
2019-06-14 21:45:00,226.13333333333333,328.4,406.8,328.4,952.4666666666667,362.06666666666666,,,,568.6666666666666,,,401.0,,9705.866666666667
2019-06-14 22:00:00,225.66666666666666,511.4,415.73333333333335,511.4,1777.3333333333333,367.8,,,,737.4,,,426.6666666666667,,10744.8
2019-06-14 22:15:00,244.13333333333333,431.4,436.93333333333334,431.4,1162.8,333.4,,,,1033.4666666666667,,,478.8,,10283.666666666666
2019-06-14 22:30:00,224.6,385.46666666666664,460.4,385.46666666666664,957.2,350.6666666666667,,,,1152.0666666666666,,,516.5333333333333,,11840.933333333332
2019-06-14 22:45:00,227.13333333333333,460.3333333333333,477.06666666666666,460.3333333333333,664.6,372.46666666666664,,,,1198.0666666666666,,,543.6666666666666,,12651.733333333334
2019-06-14 23:00:00,220.4,378.0,481.2,378.0,533.5333333333333,460.0,,,,1783.6666666666667,,,557.6666666666666,,13650.8
2019-06-14 23:15:00,224.4,386.1333333333333,474.93333333333334,386.1333333333333,502.73333333333335,615.1333333333333,,,,2920.733333333333,,,546.2666666666667,,15456.066666666668
