Date/Time,2220_O_NSEW,8457_O_EDWD,5571_O_BUFF,2499_O_NOSD,5624_O_BUFF,6071_O_PHLL,5560_O_UPTN,7543_O_MILL,3746_O_BVFL,4530_O_CNTP,8797_O_GRTR,8941_O_DOWN,3881_O_SRRY,4431_O_WBG,2400_O_MRSD
2019-02-20 00:45:00,80.5333333333,,64.0666666667,,64.0666666667,,,,48.8666666667,43.2666666667,,69.0,,75.0666666667,51.3333333333
2019-02-20 01:00:00,85.9333333333,,67.3333333333,,67.3333333333,,,,50.0,44.5333333333,,58.5333333333,,71.6666666667,48.4666666667
2019-02-20 01:15:00,91.6666666667,,64.0,,64.0,,,,48.1333333333,43.5333333333,,59.1333333333,,73.0,48.5333333333
2019-02-20 01:30:00,89.9333333333,,66.4666666667,,66.4666666667,,,,51.9333333333,48.3333333333,,63.8,,71.9333333333,47.9333333333
2019-02-20 01:45:00,89.2666666667,,64.0,,64.0,,,,56.4,47.8,,71.5333333333,,73.0666666667,53.4666666667
2019-02-20 02:00:00,87.2666666667,,63.8,,63.8,,,,59.3333333333,49.0666666667,,68.3333333333,,72.8,45.0666666667
2019-02-20 02:15:00,80.9333333333,,65.2666666667,,65.2666666667,,,,58.0666666667,48.8666666667,,92.9333333333,,77.8666666667,46.4
2019-02-20 02:30:00,73.6666666667,,64.4666666667,,64.4666666667,,,,55.3333333333,48.3333333333,,79.6666666667,,78.0,44.9333333333
2019-02-20 02:45:00,70.8,,67.6,,67.6,,,,54.5333333333,53.0666666667,,83.6666666667,,74.3333333333,48.0
2019-02-20 03:00:00,65.7333333333,,65.9333333333,,65.9333333333,,,,56.2,50.7333333333,,153.066666667,,73.7333333333,46.5333333333
2019-02-20 03:15:00,65.8666666667,,65.3333333333,,65.3333333333,,,,54.0666666667,50.8,,115.2,,82.5333333333,46.7333333333
2019-02-20 03:30:00,63.4,,62.8,,62.8,,,,51.8,52.4,,112.466666667,,79.1333333333,47.6666666667
2019-02-20 03:45:00,64.4,,70.2,,70.2,,,,50.0666666667,54.0,,108.933333333,,74.3333333333,47.2
2019-02-20 04:00:00,66.5333333333,,64.2666666667,,64.2666666667,,,,54.7333333333,50.8,,131.8,,75.3333333333,45.6
2019-02-20 04:15:00,70.4666666667,,63.8,,63.8,,,,51.8666666667,51.9333333333,,169.333333333,,81.1333333333,49.3333333333
2019-02-20 04:30:00,66.4666666667,,67.4666666667,,67.4666666667,,,,49.4666666667,47.8666666667,,151.933333333,,81.8666666667,48.8666666667
2019-02-20 04:45:00,87.0666666667,,74.3333333333,,74.3333333333,,,,52.1333333333,48.4666666667,,209.2,,86.0666666667,51.4
2019-02-20 05:00:00,100.8,,81.2,,81.2,,,,57.8666666667,50.6,,140.666666667,,84.7333333333,51.7333333333
2019-02-20 05:15:00,78.1333333333,,89.6,,89.6,,,,59.0666666667,80.4,,104.266666667,,89.9333333333,47.3333333333
2019-02-20 05:30:00,76.4666666667,,100.133333333,,100.133333333,,,,55.0666666667,86.2666666667,,128.2,,87.5333333333,50.7333333333
2019-02-20 05:45:00,80.0666666667,,103.2,,103.2,,,,51.4666666667,119.333333333,,105.333333333,,95.2,55.6
2019-02-20 06:00:00,83.2666666667,,94.3333333333,,94.3333333333,,,,56.6,79.1333333333,,87.3333333333,,103.533333333,64.2
2019-02-20 06:15:00,85.5333333333,,109.4,,109.4,,,,61.3333333333,59.4666666667,,71.8666666667,,107.2,64.2666666667
2019-02-20 06:30:00,88.6,,116.2,,116.2,,,,61.6,66.8,,56.5333333333,,109.533333333,68.3333333333
