Date/Time,1502_O_BLPK,1639_O_ELIB,2071_O_NOSD,2931_O_SQHL,4431_O_WBG,4915_O_ECON,5160_O_MOON,5202_O_SOSP,5571_O_BUFF,5624_O_BUFF,5816_O_SQHL,6227_O_ELIB,6399_O_GLEN,7543_O_MILL,8284_O_SWPK
2016-12-09 15:00:00,,2985.0,,,,,,,,,,4144.0,,3469.4285714285716,
2016-12-09 15:15:00,,2889.333333333333,,,,,,,,,,4150.4,,3860.0,
2016-12-09 15:30:00,,3079.5333333333333,,,,,,,,,,4179.4,,3390.666666666666,
2016-12-09 15:45:00,,2696.4,,,,,,,,,,4280.6,,3325.5333333333333,
2016-12-09 16:00:00,,2595.4666666666667,,,,,,,,,,4200.666666666667,,3561.2,
2016-12-09 16:15:00,,2515.133333333333,,,,,,,,,,4106.533333333334,,3344.8,
2016-12-09 16:30:00,,2432.4666666666667,,,,,,,,,,4046.0,,3036.133333333333,
2016-12-09 16:45:00,,2368.933333333333,,,,,,,,,,3863.133333333333,,2865.733333333333,
2016-12-09 17:00:00,,2368.733333333333,,,,,,,,,,3714.266666666667,,2734.8,
2016-12-09 17:15:00,,2369.6,,,,,,,,,,3604.4666666666662,,2768.733333333333,
2016-12-09 17:30:00,,2387.6,,,,,,,,,,3544.2,,2602.6,
2016-12-09 17:45:00,,2511.0666666666666,,,,,,,,,,3425.733333333333,,2601.733333333333,
2016-12-09 18:00:00,,2682.4666666666667,,,,,,,,,,3401.133333333333,,2612.4,
2016-12-09 18:15:00,,2859.266666666667,,,,,,,,,1362.0,3309.4666666666667,,2677.6666666666665,
2016-12-09 18:30:00,,2750.8,,,,,,,,,2086.333333333333,3350.866666666667,,2693.933333333333,
2016-12-09 18:45:00,,2656.933333333333,,,,,,,,,2435.0,3562.0,,2813.0,
2016-12-09 19:00:00,,2736.5333333333333,,,,,,,,,2517.0666666666666,3766.333333333334,,2805.866666666667,
2016-12-09 19:15:00,,2866.133333333333,,,,,,,,,2530.8,4178.266666666666,,3035.2,
2016-12-09 19:30:00,,2951.866666666667,,,,,,,,,2562.0,3823.933333333333,,2802.133333333333,
2016-12-09 19:45:00,,3012.6,,,,,,,,,2667.6,3711.066666666666,,2865.8,
2016-12-09 20:00:00,,3242.666666666666,,,,,,,,,2926.733333333333,3729.333333333334,,3170.866666666667,
2016-12-09 20:15:00,,3636.4,,,,,,,,,3220.4666666666667,3989.6,,3136.4666666666667,
2016-12-09 20:30:00,,3987.4666666666662,,,,,,,,,3570.066666666666,4099.0,,3225.5333333333333,
2016-12-09 20:45:00,,4189.8,,,,,,,,,3793.133333333333,4126.6,,3404.866666666667,
2016-12-09 21:00:00,,4413.933333333333,,,,,,,,,4008.266666666667,4438.6,,3629.0,
2016-12-09 21:15:00,,4760.533333333334,,,,,,,,,4185.533333333334,4902.933333333333,,3948.933333333333,
2016-12-09 21:30:00,,5035.8,,,,,,,,,4415.0,5411.0,,4431.466666666666,
2016-12-09 21:45:00,,5183.066666666667,,,,,,,,,4445.333333333333,5622.133333333332,,4841.666666666667,
2016-12-09 22:00:00,,5146.6,,,,,,,,,4374.266666666666,6066.533333333334,,5182.0,
2016-12-09 22:15:00,,5179.4,,,,,,,,,4334.0,6444.6,,5488.133333333333,
2016-12-09 22:30:00,,5144.4,,,,,,,2861.285714285714,2861.285714285714,4478.866666666667,6721.0,,5786.0,
2016-12-09 22:45:00,,5150.066666666667,,,,,,,3274.0,3274.0,4552.8,7096.8,,5877.0666666666675,
2016-12-09 23:00:00,,5211.466666666666,,,,,,,3475.733333333333,3475.733333333333,4611.333333333333,6888.133333333332,,6415.733333333334,739.8333333333335
2016-12-09 23:15:00,,5155.0,,,,,,,3395.8,3395.8,4575.666666666667,6956.0666666666675,,5925.2,2766.666666666666
2016-12-09 23:30:00,,5136.733333333334,,,,,,,3451.733333333333,3451.733333333333,4303.6,8680.933333333332,,5977.333333333332,4311.533333333334
2016-12-09 23:45:00,,4917.266666666666,,,,,,,3554.333333333333,3554.333333333333,4176.666666666667,7063.533333333334,,5925.2,4547.8
2016-12-10 00:00:00,,4775.266666666666,,,,,,,3675.5333333333333,3675.5333333333333,4180.0,7016.133333333332,,5878.0666666666675,4494.466666666666
2016-12-10 00:15:00,,4811.4,,,,,,,3553.0,3553.0,4118.2,6998.333333333332,,5874.9333333333325,4502.2
2016-12-10 00:30:00,,4843.266666666666,,,,,,,3306.4,3306.4,4079.866666666667,6933.6,,5777.333333333332,4453.466666666666
2016-12-10 00:45:00,,4700.066666666667,,,,,,,3310.733333333333,3310.733333333333,4085.8,6726.533333333334,,5645.6,4355.6
2016-12-10 01:00:00,,4511.8,,,,,,,3414.0,3414.0,3979.6,6515.6,,5888.8,4146.933333333333
2016-12-10 01:15:00,,4611.933333333333,,,,,,,3677.8,3677.8,4043.5333333333333,6544.8,,5619.533333333334,4080.333333333334
2016-12-10 01:30:00,,4627.466666666666,,,,,,,3825.666666666666,3825.666666666666,4036.8,6710.533333333334,,5532.0,4193.866666666667
2016-12-10 01:45:00,,4553.333333333333,,,,,,,3991.8,3991.8,4064.6,6434.733333333334,,5327.733333333334,4428.533333333334
2016-12-10 02:00:00,,4649.8,,,,,,,4034.933333333333,4034.933333333333,4192.733333333334,6336.2,,5183.933333333333,4524.333333333333
2016-12-10 02:15:00,,4787.533333333334,,,,,,,4072.8,4072.8,4323.533333333334,6232.533333333334,,5250.2,4586.8
2016-12-10 02:30:00,,4934.733333333334,,,,,,,4153.6,4153.6,4456.8,6390.333333333332,,5131.666666666667,4645.133333333333
