Date/Time,1130_O_MILL,1502_O_BLPK,2071_O_NOSD,2490_O_MILL,2535_O_RGSQ,3555_O_SCLL,3576_O_ETNA,4431_O_WBG,4860_O_SQHN,5571_O_BUFF,5679_O_BLOO,5882_O_Glenshaw,6582_O_OAKD,6765_O_XXXX,6923_O_MILL,7408_O_XXXX,7778_O_XXXX,8717_O_HMWD,8938_O_XXXX,8941_O_MTLE
2018-06-02 02:30:00,,,735.8666666666667,,,,,,,,552.1333333333333,,12020.466666666667,,,,,,,434.13333333333327
2018-06-02 02:45:00,,,734.7333333333332,,,,,,,,529.4666666666667,,12074.0,,,,,,,425.06666666666666
2018-06-02 03:00:00,,,703.9333333333333,,,,,,,,527.8666666666667,,11826.266666666665,,,,,,,432.06666666666666
2018-06-02 03:15:00,,,713.2666666666668,,,,,,,,543.8666666666667,,11454.6,,,,,,,446.9333333333333
2018-06-02 03:30:00,,,778.8666666666667,,,,,,,,570.2,,11098.533333333333,,,,,,,483.4666666666666
2018-06-02 03:45:00,,,778.4,,,,,,,,579.8,,10823.8,,,,,,,585.7333333333332
2018-06-02 04:00:00,,,780.8,,,,,,,,605.0666666666667,,9842.0,,,,,,,587.0
2018-06-02 04:15:00,,,762.8,,,,,,,,683.1333333333333,,9811.0,,,,,,,542.5333333333333
2018-06-02 04:30:00,,,792.5333333333333,,,,,,,,766.8,,10086.066666666668,,,,,,,510.86666666666673
2018-06-02 04:45:00,,,778.8666666666667,,,,,,,,805.5333333333333,,9570.066666666668,,,,,,,486.13333333333327
2018-06-02 05:00:00,,,930.5333333333333,,,,,,,,896.8,,9202.0,,,,,,,481.06666666666666
2018-06-02 05:15:00,,,1376.533333333333,,,,,,,,1040.6,,9242.466666666667,,,,,,,471.26666666666665
2018-06-02 05:30:00,,,2080.5333333333333,,,,,,,,1413.0,,9282.466666666667,,,,,,,505.73333333333335
2018-06-02 05:45:00,,,2552.8,,,,,,,,1636.0,,8992.0,,,,,,,535.0
2018-06-02 06:00:00,,,2620.333333333333,,,,,,,,1971.0666666666666,,8785.0,,,,,,,626.6
2018-06-02 06:15:00,,,2470.133333333333,,,,,,,,2191.333333333333,,8433.333333333334,,,,,,,579.5333333333333
2018-06-02 06:30:00,,,2506.133333333333,,,,,,,,2355.0,,8080.133333333332,,,,,,,606.8666666666667
2018-06-02 06:45:00,,,2472.866666666667,,,,,,,,2225.933333333333,,7658.266666666666,,,,,,,662.1333333333333
2018-06-02 07:00:00,,,2581.266666666667,,,,,,,,2291.333333333333,,7491.866666666668,,,,,,,686.6
2018-06-02 07:15:00,,,2660.6,,,,,,,,2349.2,,7489.333333333332,,,,,,,696.4666666666667
2018-06-02 07:30:00,,,2349.933333333333,,,,,,,,2233.6666666666665,,7507.466666666666,,,,,,,700.4666666666667
2018-06-02 07:45:00,,,2366.0666666666666,,,,,,,,1866.9333333333332,,7254.8,,,,,,,716.4
2018-06-02 08:00:00,,,2281.333333333333,,,,,,,,1707.333333333333,,6972.266666666666,,,,,,,720.7333333333332
2018-06-02 08:15:00,,,2232.8,,,,,,,,1748.666666666667,,6930.6,,,,,,,715.3333333333335
2018-06-02 08:30:00,,,2178.0,,,,,,,,1995.0666666666666,,6820.0,,,,,,,742.6
2018-06-02 08:45:00,,,2060.333333333333,,,,,,,,2339.0666666666666,,6846.0666666666675,,,,,,,729.9333333333333
2018-06-02 09:00:00,,,2038.9333333333332,,,,,,,,1945.8666666666666,,7081.6,,,,,,,736.2
2018-06-02 09:15:00,,,1816.533333333333,,,,,,,,1393.533333333333,,7036.333333333332,,,,,,,763.7333333333332
2018-06-02 09:30:00,,,1751.666666666667,,,,,,,,1437.8666666666666,,6841.733333333334,,,,,,,766.4
2018-06-02 09:45:00,,,1676.466666666667,,,,,,,,1654.533333333333,,6837.133333333332,,,,,,,790.0
2018-06-02 10:00:00,,,1826.666666666667,,,,,,,,1417.0,,6881.9333333333325,,,,,,,798.2
2018-06-02 10:15:00,,,1775.1333333333334,,,,,,,,1382.6,,7057.266666666666,,,,,,,790.0
2018-06-02 10:30:00,,,1691.6,,,,,,,,1375.7333333333331,,7145.8,,,,,,,798.2666666666668
2018-06-02 10:45:00,,,1804.4,,,,,,,,1617.9333333333334,,7559.866666666668,,,,,,,819.0666666666667
2018-06-02 11:00:00,,,1753.6,,,,,,,,1317.0,,7781.0666666666675,,,,,,,820.6666666666665
2018-06-02 11:15:00,,,1851.4,,,,,,,,1243.4,,7629.0,,,,,,,840.5333333333333
2018-06-02 11:30:00,,,1680.333333333333,,,,,,,,1215.4666666666667,,7998.9333333333325,,,,,,,852.7333333333332
2018-06-02 11:45:00,,,1278.2666666666667,,,,,,,,912.8666666666667,,8956.133333333333,,,,,,,865.6666666666665
2018-06-02 12:00:00,,,1046.9333333333334,,,,,,,,779.9333333333333,,9585.4,,,,,,,959.8666666666667
2018-06-02 12:15:00,,,1095.1333333333334,,,,,,,,745.6666666666665,,8776.266666666666,,,,,,,949.2
2018-06-02 12:30:00,,,1059.6666666666667,,,,,,,,607.4,,8479.133333333333,,,,,,,922.6666666666665
2018-06-02 12:45:00,,,952.4666666666667,,,,,,,,587.0,,8614.0,,,,,,,879.6666666666665
2018-06-02 13:00:00,,,1040.6666666666667,,,,,,,,612.9333333333333,,8734.8,,,,,,,870.3333333333335
2018-06-02 13:15:00,,,918.8,,,,,,,,511.06666666666666,,8359.133333333333,,,,,,,876.8666666666667
2018-06-02 13:30:00,,,767.0,,,,,,,,477.86666666666673,,8210.066666666668,,,,,,,846.4
2018-06-02 13:45:00,,,792.8,,,,,,,,446.86666666666673,,8319.2,,,,,,,844.5333333333333
2018-06-02 14:00:00,,,773.5333333333333,,,,,,,,426.13333333333327,,8386.733333333334,,,,,,,867.0666666666667
2018-06-02 14:15:00,,,636.4666666666667,,,,,,,,455.86666666666673,,8480.266666666666,,,,,,,824.2666666666668
2018-06-02 14:30:00,,,601.9333333333333,,,,,,,,406.53333333333336,,7587.6,,,,,,,794.9333333333333
2018-06-02 14:45:00,,,595.1333333333333,,,,,,,,359.06666666666666,,7498.333333333332,,,,,,,777.2666666666668
2018-06-02 15:00:00,,,553.2666666666668,,,,,,,,393.8,,7513.266666666666,,,,,,,773.1333333333333
2018-06-02 15:15:00,,,577.3333333333334,,,,,,,,442.8,,6908.0666666666675,,,,,,,775.8
2018-06-02 15:30:00,,,668.5333333333333,,,,,,,,487.26666666666665,,7523.133333333332,,,,,,,731.0666666666667
2018-06-02 15:45:00,,,712.0666666666667,,,,,,,,636.0,,7155.9333333333325,,,,,,,709.2666666666668
2018-06-02 16:00:00,,,541.4,,,,,,,,667.7333333333332,,7581.2,,,,,,,727.2666666666668
2018-06-02 16:15:00,,,516.8666666666667,,,,,,,,720.0666666666667,,7209.9333333333325,,,,,,,800.0
2018-06-02 16:30:00,,,479.8,,,,,,,,640.2,,7233.2,,,,,,,848.4
2018-06-02 16:45:00,,,505.4,,,,,,,,619.6,,7252.666666666668,,,,,,,844.0
2018-06-02 17:00:00,,,547.0666666666667,,,,,,,,466.8,,7711.0,,,,,,,880.4
2018-06-02 17:15:00,,,492.66666666666674,,,,,,,,406.26666666666665,,7963.6,,,,,,,858.5333333333333
2018-06-02 17:30:00,,,462.6,,,,,,,,344.6,,8575.0,,,,,,,832.9333333333333
2018-06-02 17:45:00,,,399.86666666666673,,,,,,,,318.1333333333333,,9018.4,,,,,,,829.9333333333333
2018-06-02 18:00:00,,,362.2,,,,,,,,303.6,,8963.866666666667,,,,,,,828.9333333333333
2018-06-02 18:15:00,,,411.73333333333335,,,,,,,,323.8666666666667,,8886.866666666667,,,,,,,775.3333333333335
2018-06-02 18:30:00,,,456.4666666666666,,,,,,,,394.13333333333327,,9015.866666666667,,,,,,,735.6
