Date/Time,7999_O_SWVL,7970_O_MILL,6218_O_WSTD,1561_O_SWPK,4388_O_BLPK,6582_O_OAKD,5179_O_SHRP,2071_O_NOSD,5571_O_BUFF,1502_O_BLPK,8941_O_MTLE,3555_O_SCLL,4530_O_CNTP,4431_O_WBG,5679_O_BLOO,5624_O_BUFF,7543_O_MILL,4669_O_ELIB
2018-01-12 15:00:00,12.285714285714286,,,11.357142857142858,,38.57142857142857,10.857142857142858,,7.0,10.0,36.214285714285715,24.5,6.357142857142857,19.214285714285715,13.714285714285714,7.0,113.21428571428571,
2018-01-12 15:15:00,6.8,,,9.666666666666666,,36.4,8.4,,6.533333333333333,9.8,45.266666666666666,22.6,9.333333333333334,10.0,10.2,6.533333333333333,94.0,
2018-01-12 15:30:00,21.6,,,9.466666666666667,,34.93333333333333,12.066666666666666,,12.4,10.6,33.111111111111114,11.2,9.066666666666666,6.666666666666667,11.066666666666666,12.4,111.13333333333334,
2018-01-12 15:45:00,19.2,,,10.066666666666666,,36.46666666666667,11.933333333333334,,9.4,12.8,,7.0,10.666666666666666,20.4,12.733333333333333,9.4,119.86666666666666,
2018-01-12 16:00:00,11.333333333333334,,,9.8,,39.86666666666667,12.933333333333334,,9.066666666666666,26.533333333333335,53.45454545454545,6.4,8.533333333333333,50.2,12.733333333333333,9.066666666666666,110.13333333333334,
2018-01-12 16:15:00,62.266666666666666,,,19.733333333333334,,39.266666666666666,26.133333333333333,,8.866666666666667,39.46666666666667,31.933333333333334,7.933333333333334,9.4,18.333333333333332,10.066666666666666,8.866666666666667,119.8,
2018-01-12 16:30:00,33.2,,,17.0,,35.8,34.4,,9.2,37.46666666666667,21.0,10.8,8.333333333333334,16.0,8.866666666666667,9.2,132.8,
2018-01-12 16:45:00,30.333333333333332,,,20.8,,35.86666666666667,27.8,,8.8,41.2,24.866666666666667,11.2,7.8,11.533333333333333,10.533333333333333,8.8,127.33333333333333,
2018-01-12 17:00:00,25.4,,,15.666666666666666,,38.2,20.733333333333334,,9.333333333333334,24.733333333333334,38.6,29.2,10.066666666666666,10.933333333333334,8.0,9.333333333333334,180.13333333333333,
2018-01-12 17:15:00,24.066666666666666,,,18.333333333333332,,39.0,20.533333333333335,,8.266666666666667,20.266666666666666,76.2,19.4,10.666666666666666,10.666666666666666,27.4,8.266666666666667,111.86666666666666,
2018-01-12 17:30:00,20.866666666666667,,,18.866666666666667,,36.8,24.066666666666666,,9.733333333333333,20.333333333333332,79.4,11.733333333333333,7.733333333333333,8.066666666666666,40.06666666666667,9.733333333333333,112.73333333333333,
2018-01-12 17:45:00,26.0,,,40.666666666666664,,39.0,25.666666666666668,,9.466666666666667,25.0,67.06666666666666,13.533333333333333,8.133333333333333,7.2,32.266666666666666,9.466666666666667,93.66666666666667,
2018-01-12 18:00:00,19.533333333333335,,,51.13333333333333,,39.93333333333333,26.666666666666668,,7.133333333333334,24.4,36.46666666666667,10.8,5.2,9.933333333333334,26.666666666666668,7.133333333333334,96.2,
2018-01-12 18:15:00,18.4,,,28.866666666666667,,36.86666666666667,20.933333333333334,,7.2,22.2,37.8,20.933333333333334,5.8,7.533333333333333,17.866666666666667,7.2,90.86666666666666,
2018-01-12 18:30:00,12.066666666666666,,,13.4,,40.53333333333333,15.666666666666666,,8.2,12.866666666666667,35.86666666666667,14.933333333333334,7.133333333333334,7.866666666666666,18.733333333333334,8.2,102.86666666666666,
2018-01-12 18:45:00,15.133333333333333,,,14.733333333333333,,35.13333333333333,18.2,,6.466666666666667,8.8,44.2,33.733333333333334,6.666666666666667,7.466666666666667,30.533333333333335,6.466666666666667,119.46666666666667,
2018-01-12 19:00:00,15.266666666666667,,,12.133333333333333,,37.2,19.266666666666666,,6.066666666666666,9.733333333333333,38.46666666666667,20.866666666666667,5.6,8.133333333333333,17.666666666666668,6.066666666666666,148.86666666666667,
2018-01-12 19:15:00,11.2,,,8.266666666666667,,44.333333333333336,20.0,,4.933333333333334,10.4,28.2,17.133333333333333,7.133333333333334,9.866666666666667,11.866666666666667,4.933333333333334,117.93333333333334,
2018-01-12 19:30:00,10.6,,,9.666666666666666,,44.266666666666666,20.866666666666667,,7.2,11.666666666666666,24.266666666666666,13.4,8.2,10.6,10.333333333333334,7.2,113.13333333333334,
2018-01-12 19:45:00,14.733333333333333,,,12.6,,42.8,18.133333333333333,,8.2,10.2,20.866666666666667,26.0,7.6,8.066666666666666,10.733333333333333,8.2,124.6,
2018-01-12 20:00:00,17.533333333333335,,,11.733333333333333,,39.46666666666667,20.2,,6.333333333333333,13.933333333333334,25.6,19.933333333333334,8.933333333333334,9.333333333333334,9.8,6.333333333333333,118.6,
2018-01-12 20:15:00,15.866666666666667,,,15.533333333333333,,41.93333333333333,24.2,,6.533333333333333,12.666666666666666,20.8,16.4,8.4,6.866666666666666,9.2,6.533333333333333,126.0,
2018-01-12 20:30:00,14.2,,,16.466666666666665,,43.8,26.8,,8.666666666666666,15.6,21.866666666666667,13.733333333333333,8.866666666666667,5.866666666666666,11.933333333333334,8.666666666666666,112.33333333333333,
2018-01-12 20:45:00,15.933333333333334,,,21.933333333333334,,43.266666666666666,19.6,,9.8,18.533333333333335,19.0,17.4,7.866666666666666,7.666666666666667,11.066666666666666,9.8,181.46666666666667,
2018-01-12 21:00:00,16.866666666666667,,,18.733333333333334,,41.4,23.666666666666668,,12.4,18.466666666666665,28.666666666666668,23.466666666666665,9.933333333333334,10.333333333333334,13.066666666666666,12.4,183.46666666666667,
