Date/Time,8304_O_SQHS,7134_O_LWCV,8699_O_BLOO,8183_O_MILL,4530_O_CNTP,6809_O_SQHS,1404_O_TROY,7543_O_MILL,4431_O_WBG,3555_O_SCLL,5571_O_BUFF,8941_O_MTLE,5624_O_BUFF,8850_O_LWCV,3283_O_LEET,1282_O_BCVW,2071_O_NOSD,2319_O_DWNTN,8698_O_NOSD,6582_O_OAKD,2281_O_HiPK
2017-09-01 15:00:00,19.571428571428573,,,47.642857142857146,,24.857142857142858,,30.928571428571427,35.142857142857146,32.142857142857146,36.357142857142854,,36.357142857142854,,,,27.5,102.92857142857143,24.357142857142858,,
2017-09-01 15:15:00,21.866666666666667,,,41.666666666666664,,22.933333333333334,,36.38461538461539,36.93333333333333,43.8,36.333333333333336,,36.333333333333336,,,,28.666666666666668,45.93333333333333,29.333333333333332,,
2017-09-01 15:30:00,18.4,,,166.0,,20.933333333333334,,35.333333333333336,40.333333333333336,29.466666666666665,38.2,,38.2,,,,35.86666666666667,50.46666666666667,27.666666666666668,,
2017-09-01 15:45:00,25.4,,,36.733333333333334,,21.2,,33.4,37.8,29.2,36.733333333333334,,36.733333333333334,,,,31.266666666666666,50.6,21.066666666666666,,
2017-09-01 16:00:00,38.2,,,35.266666666666666,,37.8,,41.13333333333333,38.666666666666664,29.6,39.0,,39.0,,,,25.933333333333334,33.6,24.266666666666666,,
2017-09-01 16:15:00,25.0,,,39.13333333333333,,44.6,,36.733333333333334,34.2,34.46666666666667,37.86666666666667,,37.86666666666667,,,,26.466666666666665,24.866666666666667,24.733333333333334,,
2017-09-01 16:30:00,30.8,,,36.86666666666667,,33.666666666666664,,36.666666666666664,33.266666666666666,29.6,35.86666666666667,,35.86666666666667,,,,28.333333333333332,25.066666666666666,30.133333333333333,,
2017-09-01 16:45:00,26.466666666666665,,,41.93333333333333,,45.13333333333333,,34.666666666666664,34.46666666666667,29.4,39.333333333333336,,39.333333333333336,,,,27.266666666666666,26.066666666666666,21.4,,
2017-09-01 17:00:00,24.266666666666666,,,32.6,,24.933333333333334,,35.266666666666666,40.0,32.266666666666666,38.0,,38.0,,,,27.2,23.8,23.333333333333332,,
2017-09-01 17:15:00,23.2,,,30.2,,25.266666666666666,,30.8,40.46666666666667,42.733333333333334,40.13333333333333,,40.13333333333333,,,,28.333333333333332,21.4,24.2,,
2017-09-01 17:30:00,32.93333333333333,,,32.4,,24.666666666666668,,35.666666666666664,36.8,37.53333333333333,40.333333333333336,,40.333333333333336,,,,31.0,20.333333333333332,24.2,,
2017-09-01 17:45:00,36.46666666666667,,,38.93333333333333,,24.266666666666666,,33.46666666666667,37.266666666666666,36.266666666666666,36.733333333333334,,36.733333333333334,,,,32.733333333333334,20.6,23.2,,
2017-09-01 18:00:00,35.86666666666667,,,41.6,,24.066666666666666,,31.866666666666667,52.86666666666667,36.13333333333333,37.733333333333334,,37.733333333333334,,,,29.333333333333332,22.666666666666668,23.666666666666668,,
2017-09-01 18:15:00,25.066666666666666,,,25.733333333333334,,23.133333333333333,,37.666666666666664,46.93333333333333,35.06666666666667,37.93333333333333,,37.93333333333333,,,,35.333333333333336,22.466666666666665,22.266666666666666,,
2017-09-01 18:30:00,48.333333333333336,,,25.133333333333333,,24.466666666666665,,41.8,34.8,32.266666666666666,36.13333333333333,,36.13333333333333,,,,40.6,21.8,33.06666666666667,,
2017-09-01 18:45:00,25.0,,,31.6,,25.6,,31.066666666666666,32.733333333333334,32.4,31.933333333333334,,31.933333333333334,,,,36.86666666666667,20.4,28.8,,34.5
2017-09-01 19:00:00,23.466666666666665,,,25.4,,25.666666666666668,,31.8,32.8,29.2,30.866666666666667,,30.866666666666667,,,,32.8,20.0,30.266666666666666,,
2017-09-01 19:15:00,22.866666666666667,,,23.333333333333332,,28.733333333333334,,33.666666666666664,32.53333333333333,29.4,31.066666666666666,,31.066666666666666,,,,31.0,23.066666666666666,41.53333333333333,,
2017-09-01 19:30:00,20.8,,,70.2,,25.933333333333334,,39.0,31.6,32.666666666666664,32.46666666666667,,32.46666666666667,,,,31.066666666666666,39.2,32.8,,
2017-09-01 19:45:00,26.466666666666665,,,35.333333333333336,,25.6,,41.733333333333334,42.13333333333333,46.733333333333334,31.2,,31.2,,,,30.466666666666665,29.866666666666667,30.2,,
2017-09-01 20:00:00,21.133333333333333,,,26.066666666666666,,24.333333333333332,25.733333333333334,33.6,28.133333333333333,38.4,30.6,,30.6,,,,30.6,36.86666666666667,29.533333333333335,,
2017-09-01 20:15:00,19.4,,,27.2,,23.6,26.8,31.2,37.0,33.13333333333333,30.4,,30.4,,,,36.13333333333333,26.333333333333332,27.466666666666665,,
2017-09-01 20:30:00,27.266666666666666,,,26.2,,26.733333333333334,26.2,40.266666666666666,32.46666666666667,30.4,27.266666666666666,,27.266666666666666,,,,28.333333333333332,21.933333333333334,26.8,,
2017-09-01 20:45:00,26.6,,,26.066666666666666,,29.533333333333335,25.0,31.533333333333335,40.06666666666667,29.066666666666666,29.266666666666666,,29.266666666666666,,,,29.066666666666666,23.2,26.533333333333335,,
2017-09-01 21:00:00,24.2,,,28.0,,26.4,25.0,35.6,34.666666666666664,33.6,30.0,,30.0,,,,27.8,21.066666666666666,34.733333333333334,,
2017-09-01 21:15:00,23.266666666666666,,,26.066666666666666,,25.733333333333334,26.066666666666666,30.533333333333335,33.666666666666664,41.13333333333333,30.333333333333332,,30.333333333333332,,,,31.466666666666665,23.666666666666668,25.2,,
