Date/Time,1502_O_BLPK,1561_O_SWPK,2071_O_NOSD,3555_O_SCLL,4388_O_BLPK,4431_O_WBG,4530_O_CNTP,4669_O_ELIB,5179_O_SHRP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6218_O_WSTD,6582_O_OAKD,7543_O_MILL,7970_O_MILL,7999_O_SWVL,8941_O_MTLE
2018-01-12 15:00:00,145.57142857142858,153.0,,132.07142857142858,,121.35714285714286,66.71428571428571,,142.07142857142858,78.28571428571429,78.28571428571429,133.42857142857142,,549.2142857142857,1182.5714285714287,,185.07142857142856,475.1428571428572
2018-01-12 15:15:00,125.6,134.6,,134.4,,98.4,103.26666666666668,,193.33333333333331,75.46666666666667,75.46666666666667,112.4,,515.3333333333334,858.6,,125.2,396.4
2018-01-12 15:30:00,150.66666666666666,134.26666666666668,,99.4,,72.13333333333334,94.13333333333334,,418.9333333333333,99.4,99.4,142.66666666666666,,488.86666666666673,910.8666666666667,,1030.0,294.5555555555556
2018-01-12 15:45:00,138.33333333333334,131.93333333333334,,91.73333333333332,,162.53333333333333,166.26666666666668,,246.8,99.06666666666666,99.06666666666666,145.06666666666666,,514.0,1181.2,,408.06666666666666,
2018-01-12 16:00:00,193.46666666666667,114.26666666666668,,90.26666666666668,,318.46666666666664,100.33333333333331,,194.0,92.53333333333332,92.53333333333332,146.46666666666667,,542.2,1221.6666666666667,,161.93333333333334,244.54545454545453
2018-01-12 16:15:00,250.9333333333333,185.2,,72.66666666666667,,154.33333333333334,106.8,,234.86666666666667,104.66666666666669,104.66666666666669,122.53333333333332,,526.2,1195.1333333333334,,429.4,402.4666666666666
2018-01-12 16:30:00,258.06666666666666,195.9333333333333,,90.06666666666666,,113.13333333333334,80.93333333333334,,340.1333333333333,106.2,106.2,110.6,,485.8,1763.0666666666666,,273.8,692.2666666666668
2018-01-12 16:45:00,274.8666666666667,489.13333333333327,,94.86666666666666,,102.2,126.4,,284.4,121.4,121.4,122.2,,485.66666666666674,1812.533333333333,,300.73333333333335,519.8666666666667
2018-01-12 17:00:00,255.0,291.06666666666666,,187.9333333333333,,101.0,295.93333333333334,,219.0,124.13333333333334,124.13333333333334,94.46666666666668,,532.3333333333334,3387.333333333333,,265.6,471.33333333333326
2018-01-12 17:15:00,238.53333333333333,594.4666666666667,,168.0,,103.73333333333332,316.6666666666667,,219.06666666666663,140.13333333333333,140.13333333333333,186.0,,513.0666666666667,1207.8666666666666,,275.0,667.1333333333333
2018-01-12 17:30:00,256.2,352.86666666666673,,119.46666666666668,,91.8,195.13333333333333,,314.0,146.4,146.4,264.8666666666667,,540.6,1503.0,,267.6666666666667,1206.1333333333334
2018-01-12 17:45:00,303.8,2257.866666666667,,141.73333333333332,,107.2,131.33333333333334,,728.8,167.6,167.6,229.13333333333333,,632.1333333333333,1108.4,,338.1333333333333,670.3333333333334
2018-01-12 18:00:00,481.4,2249.5333333333333,,128.8,,115.93333333333334,121.4,,507.13333333333327,160.4,160.4,225.33333333333331,,667.6666666666666,1149.8666666666666,,262.8666666666667,477.06666666666666
2018-01-12 18:15:00,380.2,1052.4,,287.3333333333333,,118.33333333333331,130.26666666666668,,305.53333333333336,138.8,138.8,296.0,,638.5333333333333,934.6666666666665,,295.73333333333335,484.06666666666666
2018-01-12 18:30:00,227.13333333333333,352.8,,465.66666666666674,,131.73333333333332,151.06666666666666,,236.33333333333331,164.2,164.2,433.9333333333333,,637.1333333333333,1358.2666666666667,,257.93333333333334,423.53333333333336
2018-01-12 18:45:00,219.33333333333331,301.4,,276.06666666666666,,116.4,173.46666666666667,,239.2,139.6,139.6,399.0,,501.2,2239.5333333333333,,305.6,566.8666666666667
2018-01-12 19:00:00,248.53333333333333,257.26666666666665,,251.66666666666663,,130.53333333333333,181.66666666666663,,260.0,184.0,184.0,278.8,,569.3333333333334,2796.8,,275.93333333333334,507.66666666666674
2018-01-12 19:15:00,270.53333333333336,202.53333333333333,,210.6,,167.2,211.2,,263.46666666666664,123.53333333333332,123.53333333333332,254.13333333333333,,710.8,2246.6666666666665,,246.13333333333333,417.8
2018-01-12 19:30:00,328.6666666666667,550.7333333333332,,201.66666666666663,,183.9333333333333,246.06666666666663,,270.53333333333336,180.06666666666663,180.06666666666663,231.46666666666667,,681.7333333333332,2154.933333333333,,296.06666666666666,386.13333333333327
2018-01-12 19:45:00,277.8,562.5333333333333,,278.53333333333336,,169.8,272.6,,273.06666666666666,184.2,184.2,201.66666666666663,,698.0,2481.866666666667,,306.4,344.4
2018-01-12 20:00:00,356.66666666666674,286.73333333333335,,231.9333333333333,,160.93333333333334,300.46666666666664,,296.06666666666666,196.33333333333331,196.33333333333331,213.46666666666667,,736.6666666666665,1843.8666666666666,,358.06666666666666,321.1333333333333
2018-01-12 20:15:00,309.46666666666664,290.3333333333333,,231.0,,141.8,322.2,,395.06666666666666,233.4,233.4,249.7333333333333,,787.5333333333333,2053.2,,325.73333333333335,304.2
2018-01-12 20:30:00,398.4,390.13333333333327,,268.26666666666665,,148.13333333333333,378.33333333333326,,597.0,302.1333333333333,302.1333333333333,272.6,,846.0,1360.3333333333333,,348.0,323.53333333333336
2018-01-12 20:45:00,424.8,475.66666666666674,,275.6666666666667,,161.0,437.0,,347.26666666666665,366.66666666666674,366.66666666666674,271.06666666666666,,882.7333333333332,2828.933333333333,,366.73333333333335,330.26666666666665
2018-01-12 21:00:00,442.66666666666674,971.2666666666668,,309.1333333333333,,169.0,551.4,,437.06666666666666,414.6,414.6,298.06666666666666,,844.7333333333332,2876.866666666667,,372.26666666666665,319.8
