Date/Time,2648_O_BLOO,2999_O_NOHU,4431_O_WBG,5165_O_GIBS,6227_O_ELIB,7506_O_BLOO,7588_O_WBG,8622_O_ALPK,8972_O_SHADY
2015-09-24 14:45:00,235.06666666666663,,,,,,,,
2015-09-24 15:00:00,222.7333333333333,,,,,,,,
2015-09-24 15:15:00,216.66666666666663,,,,,,,,
2015-09-24 15:30:00,203.66666666666663,,,,,,,,
2015-09-24 15:45:00,210.46666666666667,,,,,,,,
2015-09-24 16:00:00,219.53333333333333,,,,,,,,
2015-09-24 16:15:00,208.26666666666668,,,,,,,,
2015-09-24 16:30:00,202.6,,,,,,,,
2015-09-24 16:45:00,199.13333333333333,,,,,,,,
2015-09-24 17:00:00,203.26666666666668,,,,,,,,
2015-09-24 17:15:00,195.66666666666663,,,,,,,,
2015-09-24 17:30:00,199.33333333333331,,,,,,,,
2015-09-24 17:45:00,232.0,,,,,,,,
2015-09-24 18:00:00,216.33333333333331,,,,,,,,
2015-09-24 18:15:00,212.53333333333333,,,,,,,,
2015-09-24 18:30:00,247.46666666666667,,,,,,,,
2015-09-24 18:45:00,257.46666666666664,,,,,,,,
2015-09-24 19:00:00,255.53333333333333,,,,,,,,
2015-09-24 19:15:00,277.46666666666664,,,,,,,,
2015-09-24 19:30:00,315.0,,,,,,,,
2015-09-24 19:45:00,315.2,,,,,,,,
2015-09-24 20:00:00,329.46666666666664,,,,,,,,
2015-09-24 20:15:00,322.73333333333335,,,,,,,,
2015-09-24 20:30:00,309.26666666666665,,,,,,,,
2015-09-24 20:45:00,317.26666666666665,,,,,,,,
2015-09-24 21:00:00,322.8666666666667,,,,,,,,
2015-09-24 21:15:00,333.8666666666667,,,,,,,,
2015-09-24 21:30:00,348.53333333333336,,,,,,,,
2015-09-24 21:45:00,348.2,,,,,,,,
2015-09-24 22:00:00,338.3333333333333,,,,,,,,
2015-09-24 22:15:00,396.13333333333327,,,,,,,,
2015-09-24 22:30:00,370.2,,,,,,,,
2015-09-24 22:45:00,342.53333333333336,,,,,,,,
2015-09-24 23:00:00,309.8666666666667,,,,,,,,
2015-09-24 23:15:00,343.4,,,,,,,,
2015-09-24 23:30:00,341.6666666666667,,,,,,,,
2015-09-24 23:45:00,350.26666666666665,,,,,,,,841.4
2015-09-25 00:00:00,343.46666666666664,,,,,,,,810.4
2015-09-25 00:15:00,349.7333333333333,,,,,,,,525.2666666666668
2015-09-25 00:30:00,364.9333333333333,,,,,,,,479.26666666666665
2015-09-25 00:45:00,376.26666666666665,,,,,,,,477.53333333333336
2015-09-25 01:00:00,445.66666666666674,,,,,,,,528.6
2015-09-25 01:15:00,474.06666666666666,,,,,,,,625.8666666666667
2015-09-25 01:30:00,543.1333333333333,,,,,,,,703.1333333333333
2015-09-25 01:45:00,590.8,,,,,,,,734.6666666666665
2015-09-25 02:00:00,621.1333333333333,,,,,,,,771.1333333333333
2015-09-25 02:15:00,661.1333333333333,,,,,,,,818.6666666666665
2015-09-25 02:30:00,662.2666666666668,,,,,,,,850.0666666666667
2015-09-25 02:45:00,672.6666666666666,,,,,,,,913.5333333333333
2015-09-25 03:00:00,752.2,,,,,,,,902.7333333333332
2015-09-25 03:15:00,777.6666666666665,,,,,,,,905.0
2015-09-25 03:30:00,750.9333333333333,,,,,,,,894.2666666666668
2015-09-25 03:45:00,726.1333333333333,,,,,,,,844.7333333333332
2015-09-25 04:00:00,741.5333333333333,,,,,,,,875.3333333333335
2015-09-25 04:15:00,746.0,,,,,,,,889.2
2015-09-25 04:30:00,772.2666666666668,,,,,,,,885.6666666666665
2015-09-25 04:45:00,794.0666666666667,,,,,,,,905.6
2015-09-25 05:00:00,755.9333333333333,,,,,,,,870.4666666666667
2015-09-25 05:15:00,834.2,,,,,,,,958.4666666666667
2015-09-25 05:30:00,884.7333333333332,,,,,,,,958.2666666666668
2015-09-25 05:45:00,941.9333333333333,,,,,,,,1061.0
2015-09-25 06:00:00,931.9333333333333,,,,,,,,1086.4
2015-09-25 06:15:00,919.0666666666667,,,,,,,,1062.0666666666666
2015-09-25 06:30:00,894.9333333333333,,,,,,,,1065.2666666666667
2015-09-25 06:45:00,904.9333333333333,,,,,,,,1108.6666666666667
2015-09-25 07:00:00,903.2,,,,,,,,1215.2666666666667
2015-09-25 07:15:00,918.2666666666668,,,,,,,,1510.466666666667
2015-09-25 07:30:00,913.7333333333332,,,,,,,,2031.333333333333
2015-09-25 07:45:00,914.5333333333333,,,,,,,,1814.6
2015-09-25 08:00:00,923.8666666666667,,,,,,,,1585.666666666667
2015-09-25 08:15:00,875.3333333333335,,,,,,,,1404.6
2015-09-25 08:30:00,823.2,,,,,,,,1172.0
2015-09-25 08:45:00,786.0666666666667,,,,,,,,1162.8
2015-09-25 09:00:00,776.5333333333333,,,,,,,,1080.3333333333333
2015-09-25 09:15:00,748.7333333333332,,,,,,,,1180.5333333333333
2015-09-25 09:30:00,747.6,,,,,,,,1461.8
2015-09-25 09:45:00,744.6,,,,,,,,744.0
2015-09-25 10:00:00,647.9333333333333,,,,,,,,723.4666666666667
2015-09-25 10:15:00,576.5333333333333,,,,,,,,750.2666666666668
2015-09-25 10:30:00,541.4,,,,,,,,533.4666666666667
2015-09-25 10:45:00,450.9333333333333,,,,,,,,400.6
2015-09-25 11:00:00,431.4,,,,,,,,416.4
2015-09-25 11:15:00,437.06666666666666,,,,,,,,407.8
2015-09-25 11:30:00,368.33333333333326,,,,,,,,375.2
2015-09-25 11:45:00,361.2,,,,,,,,348.26666666666665
2015-09-25 12:00:00,328.6666666666667,,,,,,,,349.26666666666665
2015-09-25 12:15:00,324.4,,,,,,,,392.6
2015-09-25 12:30:00,286.4,,,,,,,,334.73333333333335
2015-09-25 12:45:00,261.93333333333334,,,,,,,,372.0
2015-09-25 13:00:00,293.2,,,,,,,,431.53333333333336
2015-09-25 13:15:00,325.93333333333334,,,,,,,,379.33333333333326
2015-09-25 13:30:00,285.3333333333333,,,,,,,,534.0666666666667
2015-09-25 13:45:00,306.06666666666666,,,,,,,,676.2666666666668
2015-09-25 14:00:00,315.6,,,,,,,,429.0
2015-09-25 14:15:00,280.93333333333334,,,,,,,,407.9333333333333
2015-09-25 14:30:00,422.4666666666666,,,,,,,,388.0
2015-09-25 14:45:00,294.53333333333336,,,,,,,,348.13333333333327
