Date/Time,6189_O_LARM,2071_O_NOSD,5624_O_BUFF,5571_O_BUFF,6227_O_ELIB,8185_O_SWPK,7568_O_GIBS,7220_O_SHADY,2427_O_ELIB,2281_O_HiPK,4841_O_STDT
2016-09-08 15:00:00,,59.57142857142857,162.28571428571428,162.28571428571428,63.0,60.92857142857143,,,78.35714285714286,,
2016-09-08 15:15:00,,63.13333333333333,60.666666666666664,60.666666666666664,59.333333333333336,69.86666666666666,,,81.6,,
2016-09-08 15:30:00,,62.06666666666667,153.73333333333332,153.73333333333332,57.6,70.46666666666667,,,73.33333333333333,,
2016-09-08 15:45:00,,65.6,66.53333333333333,66.53333333333333,59.86666666666667,59.6,,,75.6,,
2016-09-08 16:00:00,,58.06666666666667,58.93333333333333,58.93333333333333,56.8,71.66666666666667,,,70.53333333333333,,
2016-09-08 16:15:00,,60.8,56.266666666666666,56.266666666666666,54.06666666666667,62.266666666666666,,,68.66666666666667,,
2016-09-08 16:30:00,,57.46666666666667,51.733333333333334,51.733333333333334,58.13333333333333,57.46666666666667,,,73.6,,
2016-09-08 16:45:00,,61.4,62.6,62.6,55.46666666666667,58.4,,,69.66666666666667,,
2016-09-08 17:00:00,,57.2,50.93333333333333,50.93333333333333,51.93333333333333,54.666666666666664,,,69.26666666666667,,
2016-09-08 17:15:00,,57.6,66.6,66.6,58.6,58.6,,,68.26666666666667,,
2016-09-08 17:30:00,,52.733333333333334,56.93333333333333,56.93333333333333,52.2,59.8,,,66.4,,
2016-09-08 17:45:00,,52.6,58.06666666666667,58.06666666666667,49.6,60.93333333333333,,,66.93333333333334,,
2016-09-08 18:00:00,,53.8,61.333333333333336,61.333333333333336,49.46666666666667,62.2,,,62.2,,
2016-09-08 18:15:00,,53.4,60.4,60.4,48.6,57.06666666666667,,,65.46666666666667,,
2016-09-08 18:30:00,,50.666666666666664,53.46666666666667,53.46666666666667,50.733333333333334,62.93333333333333,,,62.93333333333333,,
2016-09-08 18:45:00,,53.86666666666667,141.0,141.0,49.8,65.53333333333333,,,74.2,,
2016-09-08 19:00:00,,53.4,97.46666666666667,97.46666666666667,48.13333333333333,69.0,,,61.333333333333336,,
2016-09-08 19:15:00,,52.86666666666667,50.0,50.0,48.13333333333333,64.66666666666667,,,59.666666666666664,,
2016-09-08 19:30:00,,51.333333333333336,53.86666666666667,53.86666666666667,47.06666666666667,63.266666666666666,,,57.93333333333333,,
2016-09-08 19:45:00,,50.0,57.4,57.4,46.13333333333333,57.8,,,61.06666666666667,,
2016-09-08 20:00:00,,51.266666666666666,65.0,65.0,47.733333333333334,64.46666666666667,,,59.46666666666667,,
2016-09-08 20:15:00,,48.4,58.666666666666664,58.666666666666664,47.0,54.333333333333336,,,58.8,,
2016-09-08 20:30:00,,50.733333333333334,54.6,54.6,45.86666666666667,58.93333333333333,,,59.4,,
2016-09-08 20:45:00,,48.2,55.93333333333333,55.93333333333333,45.13333333333333,64.13333333333334,,,56.266666666666666,,
2016-09-08 21:00:00,,52.13333333333333,57.53333333333333,57.53333333333333,45.46666666666667,85.66666666666667,,,54.6,,
2016-09-08 21:15:00,,47.2,53.0,53.0,44.8,91.66666666666667,,,57.4,,
2016-09-08 21:30:00,,51.333333333333336,52.13333333333333,52.13333333333333,42.86666666666667,46.333333333333336,,,54.333333333333336,,
2016-09-08 21:45:00,,46.13333333333333,46.93333333333333,46.93333333333333,38.53333333333333,57.86666666666667,,,51.86666666666667,,
2016-09-08 22:00:00,,41.266666666666666,48.93333333333333,48.93333333333333,35.333333333333336,49.46666666666667,,,52.8,,
2016-09-08 22:15:00,,40.4,45.86666666666667,45.86666666666667,32.666666666666664,61.0,,,42.6,,
2016-09-08 22:30:00,,41.266666666666666,49.2,49.2,30.733333333333334,74.33333333333333,,,43.333333333333336,,
2016-09-08 22:45:00,,40.666666666666664,48.2,48.2,32.266666666666666,71.13333333333334,,,41.13333333333333,,
2016-09-08 23:00:00,,45.8,43.266666666666666,43.266666666666666,33.4,46.0,,,38.8,,
2016-09-08 23:15:00,,40.0,46.333333333333336,46.333333333333336,40.4,51.2,,,47.93333333333333,,
2016-09-08 23:30:00,,49.53333333333333,43.733333333333334,43.733333333333334,37.86666666666667,43.06666666666667,,,47.93333333333333,,
2016-09-08 23:45:00,,27.466666666666665,45.6,45.6,28.666666666666668,36.06666666666667,,,37.4,,
2016-09-09 00:00:00,,25.333333333333332,46.733333333333334,46.733333333333334,24.866666666666667,37.733333333333334,,,29.333333333333332,,
2016-09-09 00:15:00,,20.733333333333334,43.53333333333333,43.53333333333333,23.6,41.8,,,29.066666666666666,,
2016-09-09 00:30:00,,24.733333333333334,45.8,45.8,23.333333333333332,52.46666666666667,,,29.133333333333333,,
2016-09-09 00:45:00,,25.066666666666666,48.266666666666666,48.266666666666666,20.533333333333335,83.0,,,29.8,,
2016-09-09 01:00:00,,23.466666666666665,53.6,53.6,22.8,81.26666666666667,,,32.0,,
2016-09-09 01:15:00,,28.066666666666666,50.06666666666667,50.06666666666667,22.6,218.8,,,27.933333333333334,,
2016-09-09 01:30:00,,50.53333333333333,90.66666666666667,90.66666666666667,36.4,144.06666666666666,,,52.8,,
2016-09-09 01:45:00,,94.06666666666666,126.8,126.8,52.46666666666667,144.86666666666667,,,65.06666666666666,,
2016-09-09 02:00:00,,103.6,114.53333333333333,114.53333333333333,57.4,128.6,,,77.26666666666667,,
2016-09-09 02:15:00,,54.333333333333336,89.66666666666667,89.66666666666667,45.2,128.2,,,65.2,,
