Date/Time,3415_O_EDTW,8271_O_VAKT,5355_O_PTBR,6046_O_PTBR,7523_O_OITP,7807_O_FRHL,3989_O_OAKL,6132_O_MONG,2284_O_XXXX,7234_O_HIPK,1216_O_RGSQ,5518_O_WDER,8750_O_DOWN,7665_O_BEVR,1259_O_SHLR,2315_O_NJHD,8935_O_MOON,4431_O_WBG
2023-02-22 04:15:00,,,,,,2070.133333333333,,1838.9333333333334,,,,,1040.1333333333334,,,,,
2023-02-22 04:30:00,,,,,,2074.9333333333334,,1794.1333333333334,,,,,1034.9333333333334,,,,,
2023-02-22 04:45:00,,,,,,2097.266666666667,,1695.4,,,,,1029.6,,,,,
2023-02-22 05:00:00,,,,,,2064.133333333333,,1676.4,,,,,1022.3333333333334,,,,,
2023-02-22 05:15:00,,,,,,2037.4,,1644.8666666666666,,,,,1024.8,,,,,
2023-02-22 05:30:00,,,,,,2018.8666666666666,,1616.0,,,,,1064.1333333333334,,,,,
2023-02-22 05:45:00,,,,,,1963.4666666666667,,1584.2666666666667,,,,,1065.6666666666667,,,,,
2023-02-22 06:00:00,,,,,,1870.6,,1607.1333333333334,,,,,1157.8666666666666,,,,,
2023-02-22 06:15:00,,,,,,1765.6666666666667,,1739.4666666666667,,,,,1204.3333333333333,,,,,
2023-02-22 06:30:00,,,,,,1731.9333333333334,,1663.4,,,,,1230.2666666666667,,,,,
2023-02-22 06:45:00,,,,,,2210.6,,1513.2666666666667,,,,,2252.866666666667,,,,,
2023-02-22 07:00:00,,,,,,2557.8,,1648.8666666666666,,,,,3175.5333333333333,,,,,
2023-02-22 07:15:00,,,,,,2649.6,,1970.3333333333333,,,,,1777.2666666666667,,,,,
2023-02-22 07:30:00,,,,,,2916.133333333333,,2480.0666666666666,,,,,1882.0666666666666,,,,,
2023-02-22 07:45:00,,,,,,3103.866666666667,,2518.266666666667,,,,,4510.133333333333,,,,,
2023-02-22 08:00:00,,,,,,3196.4666666666667,,2679.266666666667,,,,,2912.6666666666665,,,,,
2023-02-22 08:15:00,,,,,,3178.133333333333,,2682.8,,,,,5295.733333333334,,,,,
2023-02-22 08:30:00,,,,,,3435.3333333333335,,2432.133333333333,,,,,2906.3333333333335,,,,,
2023-02-22 08:45:00,,,,,,3512.866666666667,,2403.866666666667,,,,,4320.733333333334,,,,,
2023-02-22 09:00:00,,,,,,3581.0666666666666,,2270.3333333333335,,,,,3991.866666666667,,,,,
2023-02-22 09:15:00,,,,,,3039.2,,2037.0,,,,,3003.266666666667,,,,,
2023-02-22 09:30:00,,,,,,2868.4,,2467.266666666667,,,,,2006.1333333333334,,,,,
2023-02-22 09:45:00,,,,,,2636.3333333333335,,2820.9333333333334,,,,,3671.0666666666666,,,,,
2023-02-22 10:00:00,,,,,,2711.0666666666666,,3115.133333333333,,,,,6185.8,,,,,
