Date/Time,1295_O_BCVW,4972_O_MTLE,5571_O_BUFF,4431_O_WBG,5624_O_BUFF,3422_O_HICK,8185_O_SWPK
2016-03-03 00:00:00,,,90.78571428571429,50.0,90.78571428571429,,55.214285714285715
2016-03-03 00:15:00,,,91.6,55.2,91.6,,56.53333333333333
2016-03-03 00:30:00,,,91.46666666666667,58.8,91.46666666666667,,58.46666666666667
2016-03-03 00:45:00,,,95.0,77.8,95.0,,63.86666666666667
2016-03-03 01:00:00,,,98.66666666666667,134.4,98.66666666666667,,59.733333333333334
2016-03-03 01:15:00,,,101.93333333333334,105.4,101.93333333333334,,57.8
2016-03-03 01:30:00,,,105.66666666666667,96.2,105.66666666666667,,58.0
2016-03-03 01:45:00,,,141.6,75.46666666666667,141.6,,60.53333333333333
2016-03-03 02:00:00,,,178.46666666666667,69.6,178.46666666666667,,62.2
2016-03-03 02:15:00,,,126.86666666666666,77.26666666666667,126.86666666666666,,64.26666666666667
2016-03-03 02:30:00,,,115.33333333333333,72.73333333333333,115.33333333333333,,64.53333333333333
2016-03-03 02:45:00,,,119.46666666666667,74.33333333333333,119.46666666666667,,67.33333333333333
2016-03-03 03:00:00,,,171.53333333333333,116.4,171.53333333333333,,69.93333333333334
2016-03-03 03:15:00,,,139.46666666666667,123.13333333333334,139.46666666666667,,71.46666666666667
2016-03-03 03:30:00,,,143.86666666666667,107.26666666666667,143.86666666666667,,69.73333333333333
2016-03-03 03:45:00,,,147.73333333333332,121.06666666666666,147.73333333333332,,73.4
2016-03-03 04:00:00,,,183.6,97.13333333333334,183.6,,73.33333333333333
2016-03-03 04:15:00,,,183.6,84.93333333333334,183.6,,79.33333333333333
2016-03-03 04:30:00,,,231.2,123.13333333333334,231.2,,81.33333333333333
2016-03-03 04:45:00,,,220.8,119.86666666666666,220.8,,81.73333333333333
2016-03-03 05:00:00,,,183.86666666666667,122.6,183.86666666666667,,84.13333333333334
2016-03-03 05:15:00,,,196.0,117.53333333333333,196.0,,80.66666666666667
2016-03-03 05:30:00,,,185.6,96.66666666666667,185.6,,87.53333333333333
2016-03-03 05:45:00,,,175.66666666666666,87.53333333333333,175.66666666666666,,85.66666666666667
2016-03-03 06:00:00,,,171.26666666666668,129.73333333333332,171.26666666666668,,94.26666666666667
2016-03-03 06:15:00,,,192.13333333333333,144.33333333333334,192.13333333333333,,104.93333333333334
2016-03-03 06:30:00,,,185.93333333333334,157.33333333333334,185.93333333333334,,121.0
2016-03-03 06:45:00,,,181.73333333333332,180.0,181.73333333333332,,114.73333333333333
2016-03-03 07:00:00,,,173.33333333333334,179.26666666666668,173.33333333333334,,104.93333333333334
2016-03-03 07:15:00,,,148.86666666666667,167.86666666666667,148.86666666666667,,108.2
2016-03-03 07:30:00,,,146.2,148.73333333333332,146.2,,123.06666666666666
2016-03-03 07:45:00,,,140.66666666666666,110.46666666666667,140.66666666666666,,123.93333333333334
2016-03-03 08:00:00,,,140.0,104.8,140.0,,116.2
2016-03-03 08:15:00,,,133.33333333333334,96.2,133.33333333333334,,125.4
2016-03-03 08:30:00,,,126.0,91.26666666666667,126.0,,125.8
2016-03-03 08:45:00,,,109.26666666666667,77.6,109.26666666666667,,132.4
2016-03-03 09:00:00,,,100.06666666666666,64.26666666666667,100.06666666666666,,104.93333333333334
2016-03-03 09:15:00,,,95.0,59.8,95.0,,82.66666666666667
2016-03-03 09:30:00,,,86.66666666666667,64.53333333333333,86.66666666666667,,76.2
2016-03-03 09:45:00,,,82.06666666666666,56.46666666666667,82.06666666666666,,53.53333333333333
2016-03-03 10:00:00,,,75.46666666666667,58.0,75.46666666666667,,48.8
2016-03-03 10:15:00,,,72.46666666666667,48.06666666666667,72.46666666666667,,46.8
2016-03-03 10:30:00,,,65.93333333333334,49.2,65.93333333333334,,40.8
2016-03-03 10:45:00,,,57.666666666666664,50.8,57.666666666666664,,44.53333333333333
2016-03-03 11:00:00,,,46.86666666666667,53.8,46.86666666666667,,42.13333333333333
2016-03-03 11:15:00,,,48.13333333333333,50.53333333333333,48.13333333333333,,38.53333333333333
2016-03-03 11:30:00,,,53.4,44.733333333333334,53.4,,43.53333333333333
2016-03-03 11:45:00,,,52.4,44.2,52.4,,39.06666666666667
2016-03-03 12:00:00,,,49.8,41.06666666666667,49.8,,42.4
2016-03-03 12:15:00,,,43.8,40.8,43.8,,42.4
2016-03-03 12:30:00,,,42.13333333333333,40.6,42.13333333333333,,48.8
2016-03-03 12:45:00,,,43.333333333333336,49.733333333333334,43.333333333333336,,49.53333333333333
2016-03-03 13:00:00,,,42.666666666666664,44.0,42.666666666666664,,54.0
2016-03-03 13:15:00,,,44.93333333333333,43.86666666666667,44.93333333333333,,59.93333333333333
2016-03-03 13:30:00,,,42.93333333333333,43.0,42.93333333333333,,54.333333333333336
2016-03-03 13:45:00,,,44.0,39.333333333333336,44.0,,55.13333333333333
2016-03-03 14:00:00,,,47.46666666666667,69.0,47.46666666666667,,43.93333333333333
2016-03-03 14:15:00,,,45.13333333333333,39.333333333333336,45.13333333333333,,47.733333333333334
2016-03-03 14:30:00,,,48.4,50.13333333333333,48.4,,54.333333333333336
2016-03-03 14:45:00,,,47.13333333333333,60.2,47.13333333333333,,46.93333333333333
2016-03-03 15:00:00,,,44.0,50.06666666666667,44.0,,47.46666666666667
2016-03-03 15:15:00,,,42.53333333333333,54.8,42.53333333333333,,48.6
2016-03-03 15:30:00,,,44.266666666666666,57.06666666666667,44.266666666666666,,50.4
2016-03-03 15:45:00,,,44.733333333333334,61.2,44.733333333333334,,52.13333333333333
