Date/Time,6913_O_MTLE_ME,6442_O_MNMP_MN,1217_O_MEKE,9675_O_SHAD,1989_O_PTBZ,6321_O_DOYL,2024_O_BADN,3328_O_TROY,5406_O_PLHL,2467_O_BAVN,4252_O_HZWD,6721_O_ETNA
2025-09-11 17:45:00,,,55.53333333,,,,,,,,,
2025-09-11 18:00:00,,,57.26666667,,,,,,,,,
2025-09-11 18:15:00,,,56.06666667,,,,,,,,,
2025-09-11 18:30:00,,,57,,,,,,,,,
2025-09-11 18:45:00,,,58.2,,,,,,,,,
2025-09-11 19:00:00,,,60.8,,,,,,,,,
2025-09-11 19:15:00,,,58.8,,,,,,,,,
2025-09-11 19:30:00,,,61.26666667,,,,,,,,,
2025-09-11 19:45:00,,,63.06666667,,,,,,,55.5,,
2025-09-11 20:00:00,,,69.33333333,,,,,,,37.26666667,,
2025-09-11 20:15:00,,,74.4,,,,,,,43.2,,
2025-09-11 20:30:00,,,75.26666667,,,,,,,45.26666667,,
2025-09-11 20:45:00,,,78.46666667,,,,,,,45.86666667,,
2025-09-11 21:00:00,,,79.66666667,,,,,,,53.66666667,,
2025-09-11 21:15:00,,,56.93333333,,,,,,,56,,
2025-09-11 21:30:00,,,51.73333333,,,,,,,49.86666667,,
2025-09-11 21:45:00,,,56.46666667,,,,,,,53.06666667,,
2025-09-11 22:00:00,,,63.6,,,,,,,48.26666667,,
2025-09-11 22:15:00,,,60.73333333,,,,,,,52.06666667,,
2025-09-11 22:30:00,,,53.2,,,,,,,41.86666667,,
2025-09-11 22:45:00,,,60.66666667,,,,,,,43.06666667,,
2025-09-11 23:00:00,,,53.26666667,,,,,,,45,,
2025-09-11 23:15:00,,,47.33333333,,,,,,,49.53333333,,
2025-09-11 23:30:00,,,45.86666667,,,,,,,58.33333333,,
2025-09-11 23:45:00,,,40.06666667,,,,,,,52.66666667,,
2025-09-12 0:00:00,,,34,,,,,,,50,,
2025-09-12 0:15:00,,,34.2,,,,,,,52,,
2025-09-12 0:30:00,,,33,,,,,,,49.93333333,,
2025-09-12 0:45:00,,,35.73333333,,,,,,,50.53333333,,
2025-09-12 1:00:00,,,34.26666667,,,,,,,52.73333333,,
2025-09-12 1:15:00,,,33.8,,,,,,,53.26666667,,
2025-09-12 1:30:00,,,31.53333333,,,,,,,52.93333333,,
2025-09-12 1:45:00,,,31.86666667,,,,,,,50.2,,
2025-09-12 2:00:00,,,31.53333333,,,,,,,48.46666667,,
2025-09-12 2:15:00,,,31.26666667,,,,,,,51.93333333,,
2025-09-12 2:30:00,,,31.2,,,,,,,46.8,,
2025-09-12 2:45:00,,,33.06666667,,,,,,,47.26666667,,
2025-09-12 3:00:00,,,31.4,,,,,,,48.2,,
2025-09-12 3:15:00,,,30.86666667,,,,,,,48.6,,
2025-09-12 3:30:00,,,32.2,,,,,,,48.53333333,,
2025-09-12 3:45:00,,,32.26666667,,,,,,,51.4,,
2025-09-12 4:00:00,,,32.2,,,,,,,50.53333333,,
2025-09-12 4:15:00,,,30.33333333,,,,,,,49.4,,
2025-09-12 4:30:00,,,32.33333333,,,,,,,48.53333333,,
2025-09-12 4:45:00,,,30.13333333,,,,,,,48.66666667,,
2025-09-12 5:00:00,,,31.6,,,,,,,46.2,,
2025-09-12 5:15:00,,,31.06666667,,,,,,,47.33333333,,
2025-09-12 5:30:00,,,31.33333333,,,,,,,48.46666667,,
