Date/Time,2071_O_NOSD,7635_O_BRAD,8941_O_MTLE,4431_O_WBG,6809_O_SQHS,8183_O_MILL,4831_O_HIPK,2281_O_HiPK,1282_O_BCVW,5679_O_BLOO,5624_O_BUFF,5571_O_BUFF,7460_O_FRHL,7543_O_MILL,8698_O_NOSD,6582_O_OAKD,1404_O_TROY
2017-07-10 15:00:00,50.57142857142857,70.42857142857143,102.64285714285714,52.857142857142854,,53.357142857142854,265.0,,,49.857142857142854,,,,40073.642857142855,39.785714285714285,45.142857142857146,
2017-07-10 15:15:00,270.3333333333333,75.26666666666667,453.8666666666667,71.06666666666666,59.666666666666664,49.666666666666664,668.4666666666667,,,44.93333333333333,,,,39168.13333333333,40.733333333333334,54.93333333333333,
2017-07-10 15:30:00,83.4,71.93333333333334,1414.4666666666667,58.0,55.4,51.13333333333333,721.4666666666667,,,47.46666666666667,,,,38603.4,41.86666666666667,51.0,
2017-07-10 15:45:00,103.46666666666667,81.73333333333333,333.46666666666664,46.4,52.266666666666666,48.06666666666667,649.0666666666667,,,47.46666666666667,,,,37911.2,40.4,49.2,
2017-07-10 16:00:00,390.8,87.86666666666666,387.3333333333333,47.93333333333333,50.93333333333333,54.4,101.8,,,45.0,,,,38433.6,39.4,42.6,
2017-07-10 16:15:00,111.06666666666666,76.53333333333333,265.8666666666667,46.733333333333334,51.333333333333336,104.0,21.333333333333332,,,80.26666666666667,,,,41464.0,167.26666666666668,66.13333333333334,
2017-07-10 16:30:00,103.8,83.4,292.4,49.53333333333333,226.66666666666666,55.333333333333336,,,,90.26666666666667,,,,45740.26666666667,83.73333333333333,64.26666666666667,
2017-07-10 16:45:00,85.46666666666667,98.33333333333333,89.0,44.4,125.73333333333333,58.266666666666666,,,,60.8,,,,47219.333333333336,55.8,67.8,
2017-07-10 17:00:00,86.26666666666667,85.06666666666666,113.6,44.6,107.6,87.0,,,,102.66666666666667,,,,47284.8,672.4,77.6,
2017-07-10 17:15:00,113.33333333333333,81.46666666666667,72.4,47.46666666666667,170.66666666666666,80.26666666666667,,,,99.4,,,,45771.2,190.46666666666667,71.86666666666666,
2017-07-10 17:30:00,91.33333333333333,93.33333333333333,24.933333333333334,53.13333333333333,197.06666666666666,75.0,,,,62.4,,,,46685.13333333333,128.2,69.53333333333333,
2017-07-10 17:45:00,91.26666666666667,82.66666666666667,16.333333333333332,50.53333333333333,471.53333333333336,65.33333333333333,,,,64.66666666666667,,,,45354.46666666667,95.46666666666667,60.8,
2017-07-10 18:00:00,81.86666666666666,82.73333333333333,17.133333333333333,53.2,195.73333333333332,60.2,,,,61.4,,,,45761.933333333334,86.66666666666667,77.4,
2017-07-10 18:15:00,65.46666666666667,82.66666666666667,17.066666666666666,49.733333333333334,460.2,67.93333333333334,,,,74.13333333333334,,,,46267.933333333334,170.86666666666667,78.6,
2017-07-10 18:30:00,49.6,67.33333333333333,26.666666666666668,55.46666666666667,242.06666666666666,74.26666666666667,,,,68.66666666666667,,,,46273.46666666667,112.6,80.26666666666667,
2017-07-10 18:45:00,47.0,64.66666666666667,12.933333333333334,57.733333333333334,219.46666666666667,74.33333333333333,,,,74.26666666666667,,,,45691.4,107.46666666666667,70.13333333333334,
2017-07-10 19:00:00,,54.8,17.733333333333334,63.86666666666667,235.46666666666667,86.2,,,,75.86666666666666,,,,46063.46666666667,88.6,60.8,
2017-07-10 19:15:00,,65.53333333333333,10.066666666666666,57.06666666666667,164.66666666666666,74.2,,,,65.86666666666666,,,,45832.666666666664,60.266666666666666,44.8,
2017-07-10 19:30:00,,81.53333333333333,15.733333333333333,62.4,159.93333333333334,57.4,,,,57.86666666666667,,,,46097.86666666667,43.8,41.0,
2017-07-10 19:45:00,,63.266666666666666,12.533333333333333,60.666666666666664,122.4,57.93333333333333,,,,61.53333333333333,,,,46087.46666666667,43.93333333333333,44.53333333333333,
2017-07-10 20:00:00,,63.6,14.666666666666666,51.46666666666667,94.13333333333334,57.733333333333334,,,,58.333333333333336,,,,45820.0,48.53333333333333,48.8,
2017-07-10 20:15:00,,62.733333333333334,11.466666666666667,55.8,82.46666666666667,68.93333333333334,,,,55.86666666666667,,,,45444.13333333333,47.93333333333333,49.46666666666667,
2017-07-10 20:30:00,,57.86666666666667,73.4,62.0,66.66666666666667,64.8,,,,55.266666666666666,,,,45401.333333333336,50.93333333333333,45.53333333333333,
2017-07-10 20:45:00,,61.06666666666667,13.066666666666666,53.93333333333333,67.93333333333334,59.666666666666664,,,,57.13333333333333,,,,46995.933333333334,37.86666666666667,49.46666666666667,
2017-07-10 21:00:00,,73.73333333333333,11.066666666666666,51.86666666666667,76.2,58.2,,,,50.13333333333333,,,,47022.066666666666,42.93333333333333,56.333333333333336,
2017-07-10 21:15:00,,74.66666666666667,4.8,55.266666666666666,75.93333333333334,59.8,,,,53.266666666666666,,,,46977.933333333334,46.733333333333334,61.666666666666664,
2017-07-10 21:30:00,,63.46666666666667,15.2,50.53333333333333,75.46666666666667,61.13333333333333,,,,49.666666666666664,,,,47156.6,47.46666666666667,62.266666666666666,
2017-07-10 21:45:00,,58.46666666666667,18.533333333333335,51.2,77.9,65.86666666666666,,,,49.53333333333333,,,,47216.333333333336,45.4,58.86666666666667,
2017-07-10 22:00:00,,63.06666666666667,19.266666666666666,52.06666666666667,,67.53333333333333,,,,49.06666666666667,,,,47640.333333333336,47.06666666666667,55.733333333333334,
2017-07-10 22:15:00,,65.93333333333334,20.4,53.4,71.16666666666667,87.46666666666667,,,,49.266666666666666,,,,48169.6,43.53333333333333,56.53333333333333,
