Date/Time,4164_O_ROSS,6035_O_WLKG,5464_O_SQHL,4450_O_CRFT,4430_O_WASH,5999_O_DORM,8157_O_NVLL,5514_O_MNMP,7233_O_MEBA,1254_O_MTLE
2025-04-11 10:45:00,228.0,,,,,,,,,
2025-04-11 11:00:00,831.7333333333333,,,,,,,,,
2025-04-11 11:15:00,1218.8,,,,,,,,,
2025-04-11 11:30:00,798.7333333333333,,,,,,,,,
2025-04-11 11:45:00,981.6666666666666,,,,,490.06666666666666,,,,
2025-04-11 12:00:00,698.2666666666667,,,,,873.5333333333333,,,,
2025-04-11 12:15:00,1259.0,,,,,699.0666666666667,,,,
2025-04-11 12:30:00,665.4666666666667,,,,,664.6666666666666,,,,
2025-04-11 12:45:00,1130.4,,,,,515.7333333333333,285.3333333333333,,,
2025-04-11 13:00:00,347.46666666666664,,,,,442.8666666666667,240.86666666666667,,,
2025-04-11 13:15:00,283.1333333333333,,,,,400.8666666666667,243.53333333333333,,,
2025-04-11 13:30:00,310.4,,,,,407.2,265.53333333333336,,,
2025-04-11 13:45:00,376.8,,,,,465.2,285.46666666666664,,,
2025-04-11 14:00:00,411.26666666666665,,,,,458.93333333333334,476.6666666666667,,,
2025-04-11 14:15:00,412.4,,,,,535.0666666666667,334.53333333333336,,,
2025-04-11 14:30:00,393.2,,,617.8333333333334,,552.8666666666667,378.8666666666667,,,
2025-04-11 14:45:00,390.06666666666666,,,432.8,,655.6,328.4,,,
2025-04-11 15:00:00,415.93333333333334,,,454.26666666666665,,656.9333333333333,525.4666666666667,,,
2025-04-11 15:15:00,488.6,,,477.0,,1984.1333333333334,516.7333333333333,,,
2025-04-11 15:30:00,562.0666666666667,,,581.8666666666667,,618.2,361.46666666666664,,,
2025-04-11 15:45:00,522.0,,,952.6666666666666,,564.0666666666667,392.53333333333336,,,
2025-04-11 16:00:00,584.2,,,824.1333333333333,,595.2666666666667,412.53333333333336,,,
2025-04-11 16:15:00,651.4,,,655.2666666666667,,726.6,455.73333333333335,,,
2025-04-11 16:30:00,697.6666666666666,,,545.1333333333333,,822.1333333333333,639.8666666666667,,,
2025-04-11 16:45:00,829.6666666666666,,,475.3333333333333,,1023.1333333333333,737.3333333333334,,,
2025-04-11 17:00:00,839.4666666666667,,,549.2,,1179.9333333333334,683.0,,,
2025-04-11 17:15:00,1007.7333333333333,,,674.8666666666667,,1319.3333333333333,639.5333333333333,,,
2025-04-11 17:30:00,1096.2,,,779.6,,1446.4666666666667,778.9333333333333,,,
2025-04-11 17:45:00,1054.6,,,885.6,,1441.0666666666666,851.0,,,
2025-04-11 18:00:00,965.0666666666667,,,1076.9333333333334,,1348.4,759.0,,,
2025-04-11 18:15:00,877.8666666666667,,,1137.8666666666666,,1451.4,730.7333333333333,,,
2025-04-11 18:30:00,863.2666666666667,,,1203.7333333333333,,1500.3333333333333,800.8,,,
2025-04-11 18:45:00,993.5333333333333,,,1068.0,,1548.3333333333333,816.2666666666667,,,
2025-04-11 19:00:00,1178.5333333333333,,,1274.6666666666667,,1574.0666666666666,848.2,,,
2025-04-11 19:15:00,1320.2666666666667,,,1329.6,,1733.9333333333334,876.9333333333333,,,
2025-04-11 19:30:00,1459.6666666666667,,,1294.1333333333334,,1723.4666666666667,896.4,,,
2025-04-11 19:45:00,1491.0666666666666,,,1402.1333333333334,,1746.1333333333334,943.2666666666667,,,
2025-04-11 20:00:00,1490.2666666666667,,,1551.3333333333333,,1753.3333333333333,909.4,,,
2025-04-11 20:15:00,1409.1333333333334,,,1653.6,,1810.6666666666667,904.9333333333333,,,
2025-04-11 20:30:00,1450.1333333333334,,,1594.0666666666666,,1882.8666666666666,860.4666666666667,,,
2025-04-11 20:45:00,1467.3333333333333,,,1550.0,,1751.8,818.6,,,
2025-04-11 21:00:00,1448.2666666666667,,,1561.1333333333334,,1949.1333333333334,890.3333333333334,,,
2025-04-11 21:15:00,1508.0666666666666,,,1708.8666666666666,,2051.133333333333,1087.8,,,
2025-04-11 21:30:00,1623.0,,,1634.2666666666667,,2148.266666666667,1119.4,,,
2025-04-11 21:45:00,1738.1333333333334,,,1656.8666666666666,,2134.8,1211.2,,,
2025-04-11 22:00:00,1696.3333333333333,,,1800.7333333333333,,2116.6,1227.9333333333334,,,
2025-04-11 22:15:00,1607.4666666666667,,,1865.6,,2174.8,1114.7333333333333,,,
2025-04-11 22:30:00,1616.4666666666667,,,1924.7333333333333,,2244.133333333333,1115.4,,,
2025-04-11 22:45:00,1611.5333333333333,,,1874.4666666666667,,2260.133333333333,1107.0,,,
2025-04-11 23:00:00,1585.2,,,1828.9333333333334,,2145.866666666667,1111.6,,,
2025-04-11 23:15:00,1542.9333333333334,,,1822.9333333333334,,1791.2666666666667,1099.8,,,
2025-04-11 23:30:00,1505.7333333333333,,,1864.8666666666666,,1696.8666666666666,1270.1333333333334,,,
2025-04-11 23:45:00,1492.5333333333333,,,1777.2666666666667,,1741.8666666666666,1217.0666666666666,,,
2025-04-12 00:00:00,1497.9333333333334,,,1580.4666666666667,,1791.4,1281.8666666666666,,,
2025-04-12 00:15:00,1541.4666666666667,,,1530.4666666666667,,1969.0,1384.5333333333333,,,
2025-04-12 00:30:00,1606.0666666666666,,,1555.2,,2197.733333333333,1611.3333333333333,,,
2025-04-12 00:45:00,1764.6,,,1669.6,,2481.6666666666665,1686.0,,,
2025-04-12 01:00:00,1949.0666666666666,,,1854.7333333333333,,2737.5333333333333,1912.6666666666667,,,
2025-04-12 01:15:00,2299.0,,,2163.8,,2879.9333333333334,2018.7333333333333,,,
