Date/Time,1282_O_BCVW,1404_O_TROY,1502_O_BLPK,1639_O_ELIB,2071_O_NOSD,4386_O_MTLE,4431_O_WBG,4576_O_EMSW,5008_O_HWD,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6227_O_ELIB,6582_O_OAKD,6809_O_SQHS,7543_O_MILL,8183_O_MILL,8941_O_MTLE
2017-04-26 15:00:00,,,155.78571428571428,,252.14285714285717,,183.14285714285717,,326.92857142857144,169.64285714285714,169.64285714285714,310.85714285714283,,,,,,513.2142857142857
2017-04-26 15:15:00,,,161.73333333333332,,243.66666666666663,336.0,195.8,,328.4,181.0,181.0,278.6,,,,,,477.13333333333327
2017-04-26 15:30:00,,,194.46666666666667,,256.0,,181.26666666666668,,343.26666666666665,195.46666666666667,195.46666666666667,268.73333333333335,,,,,,411.6
2017-04-26 15:45:00,,,181.8,,245.33333333333331,,189.06666666666663,,260.6,189.2,189.2,218.4,,,,,,463.9333333333333
2017-04-26 16:00:00,,,173.86666666666667,,239.0,,188.13333333333333,,232.06666666666663,189.7333333333333,189.7333333333333,261.93333333333334,,,,,,340.06666666666666
2017-04-26 16:15:00,,,172.6,,236.0,,190.86666666666667,,323.1333333333333,173.8,173.8,226.66666666666663,,,,,,322.26666666666665
2017-04-26 16:30:00,,,172.4,,229.7333333333333,,181.46666666666667,,228.53333333333333,195.0,195.0,202.2,,,,,,272.6666666666667
2017-04-26 16:45:00,,,167.8,,271.4,,175.8,,244.66666666666663,212.53333333333333,212.53333333333333,193.7333333333333,,,,,,297.6666666666667
2017-04-26 17:00:00,,,174.13333333333333,,260.8,,180.4,,290.8,165.13333333333333,165.13333333333333,185.53333333333333,,,,,,293.53333333333336
2017-04-26 17:15:00,,,178.8,,307.53333333333336,,190.8,,290.8666666666667,175.26666666666668,175.26666666666668,195.13333333333333,,,,,,266.1333333333333
2017-04-26 17:30:00,,,221.86666666666667,,348.26666666666665,,172.86666666666667,,295.6,213.0,213.0,202.66666666666663,,,,,,242.26666666666668
2017-04-26 17:45:00,,,216.0,,457.13333333333327,,586.5333333333333,,292.4,151.4,151.4,197.86666666666667,,,,,,319.6
2017-04-26 18:00:00,,,448.4,,426.33333333333326,,1190.7333333333333,,258.6,155.4,155.4,237.6,,,,,,227.33333333333331
2017-04-26 18:15:00,,,867.7333333333332,,413.66666666666674,,1126.2666666666667,,240.7333333333333,205.0,205.0,239.53333333333333,,,,,,205.8
2017-04-26 18:30:00,,,261.26666666666665,,518.6666666666666,,354.13333333333327,,248.6,160.73333333333332,160.73333333333332,270.1333333333333,,,,,,196.26666666666668
2017-04-26 18:45:00,,,4795.933333333333,,443.2,,187.26666666666668,,314.3333333333333,172.8,172.8,276.53333333333336,,,,,,200.06666666666663
2017-04-26 19:00:00,,,7231.4,,426.8,,203.2,,327.73333333333335,174.26666666666668,174.26666666666668,258.46666666666664,,,,,,205.26666666666668
2017-04-26 19:15:00,,,3062.8,,765.8,,221.8,,338.8666666666667,212.86666666666667,212.86666666666667,326.0,,,,,,204.46666666666667
2017-04-26 19:30:00,,,1694.7333333333331,,1360.6666666666667,,236.66666666666663,,313.8,237.06666666666663,237.06666666666663,283.93333333333334,,,,,,198.06666666666663
2017-04-26 19:45:00,,,1862.7333333333331,,1136.9333333333334,,232.33333333333331,,329.46666666666664,262.06666666666666,262.06666666666666,355.0,,,,,,206.6
2017-04-26 20:00:00,,,8322.733333333334,,835.8,,252.53333333333333,,383.6,261.3333333333333,261.3333333333333,447.4666666666666,,,,,,261.4
2017-04-26 20:15:00,,,1782.333333333333,,779.5333333333333,,230.8,,519.4666666666667,303.2,303.2,399.8,,,,,,252.9333333333333
2017-04-26 20:30:00,,,1500.1333333333334,,673.6,,257.2,,592.9333333333333,327.8,327.8,431.57142857142856,,,,,,246.8
2017-04-26 20:45:00,,,843.0,,615.6,,317.4,,418.73333333333335,345.06666666666666,345.06666666666666,,,,,,,275.93333333333334
2017-04-26 21:00:00,,,1071.5333333333333,,614.0,,281.4,,409.8,348.2,348.2,,,,,,,327.73333333333335
2017-04-26 21:15:00,,,603.4,,606.9333333333333,,345.6,,465.8,345.13333333333327,345.13333333333327,,,,,,,358.6
2017-04-26 21:30:00,,,488.06666666666666,,727.2,,300.26666666666665,,546.6666666666666,289.1333333333333,289.1333333333333,,,,,,,362.33333333333326
2017-04-26 21:45:00,,,603.8666666666667,,787.6,,319.8666666666667,,588.0666666666667,276.06666666666666,276.06666666666666,,,,,,,386.66666666666674
2017-04-26 22:00:00,,,601.9333333333333,,828.6,,305.8,,536.4,336.0,336.0,,,,,,,451.73333333333335
2017-04-26 22:15:00,,,585.6,,922.8666666666667,,310.73333333333335,,534.4666666666667,333.46666666666664,333.46666666666664,,,,,,,540.2
2017-04-26 22:30:00,,,533.8,,1017.5333333333333,,315.1333333333333,,537.9333333333333,293.73333333333335,293.73333333333335,,,,,,,649.1333333333333
2017-04-26 22:45:00,,2567.333333333333,495.86666666666673,,1138.2666666666667,,305.06666666666666,,648.6,287.93333333333334,287.93333333333334,,,,,,,704.8
2017-04-26 23:00:00,,992.3333333333335,518.5333333333333,,1217.6666666666667,,322.53333333333336,,837.4666666666667,363.2,363.2,,,,,,,713.4666666666667
2017-04-26 23:15:00,,1003.5333333333333,512.9333333333333,,1191.2666666666667,,319.93333333333334,,760.3333333333335,374.13333333333327,374.13333333333327,,,,,,,693.6666666666665
2017-04-26 23:30:00,,1048.1333333333334,514.8,,1237.6,,336.73333333333335,,699.9333333333333,469.53333333333336,469.53333333333336,,,,,,,641.0
