Date/Time,2071_O_NOSD,2229_O_BAHT,2281_O_HiPK,2898_O_AVLN,4431_O_WBG,4576_O_EMSW,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,5708_O_XXXX,5952_O_EDWD,6140_O_FRHL,6196_O_MWSH,6496_O_MTLE,6809_O_SQHS,7543_O_MILL,8183_O_MILL,8941_O_MTLE
2017-05-31 15:00:00,4427.428571428572,,249.07142857142856,,,275.42857142857144,177.35714285714286,177.35714285714286,207.5,,,,,,228.28571428571428,244.92857142857144,,0.07142857142857142
2017-05-31 15:15:00,1062.0666666666666,,249.46666666666667,,,377.6,187.8,187.8,218.33333333333331,,,,,,223.33333333333331,252.26666666666668,,3657.4
2017-05-31 15:30:00,547.5333333333333,,315.53333333333336,,,364.6,184.66666666666663,184.66666666666663,227.6,,,,,,221.7333333333333,263.53333333333336,,4188.0
2017-05-31 15:45:00,549.4666666666667,,233.6,,,329.1333333333333,188.66666666666663,188.66666666666663,229.26666666666668,,,,,,208.0,305.0,,2.066666666666667
2017-05-31 16:00:00,599.0666666666667,,243.26666666666668,,,339.6666666666667,237.7333333333333,237.7333333333333,251.9333333333333,,,,,,215.66666666666663,370.66666666666674,,62.06666666666667
2017-05-31 16:15:00,581.3333333333334,,318.2,,,390.06666666666666,204.06666666666663,204.06666666666663,632.6666666666666,,,,,,446.2,666.6,,3316.6
2017-05-31 16:30:00,602.4666666666667,,,,,401.0,201.0,201.0,423.4666666666666,,,,,,598.5333333333333,919.2666666666668,,4267.733333333334
2017-05-31 16:45:00,471.4666666666666,,,,,543.1333333333333,492.86666666666673,492.86666666666673,414.66666666666674,,,,,,605.9333333333333,1037.8666666666666,,3903.6
2017-05-31 17:00:00,435.53333333333336,,,,,611.2666666666668,431.9333333333333,431.9333333333333,412.2,,,,,,597.6666666666666,747.9333333333333,,2747.4666666666667
2017-05-31 17:15:00,407.6,,,,,620.8666666666667,420.13333333333327,420.13333333333327,413.73333333333335,,,,,,521.4666666666667,617.7333333333332,,3512.0
2017-05-31 17:30:00,355.33333333333326,,,,,771.6,389.8,389.8,474.66666666666674,,,,,,617.0666666666667,979.8,,2773.066666666666
2017-05-31 17:45:00,323.1333333333333,,,,,476.9333333333333,360.26666666666665,360.26666666666665,391.0,,,,,,617.6666666666666,605.2,,2579.4
2017-05-31 18:00:00,321.0,,,,,478.6,323.93333333333334,323.93333333333334,361.8,,,,,,559.0,546.1333333333333,,4736.066666666667
2017-05-31 18:15:00,349.66666666666674,,,,,363.4,337.4,337.4,327.1333333333333,,,,,,385.73333333333335,479.53333333333336,,6215.0666666666675
2017-05-31 18:30:00,368.2,,,,,360.4666666666666,370.06666666666666,370.06666666666666,266.73333333333335,,,,,,361.13333333333327,410.13333333333327,,7853.333333333332
2017-05-31 18:45:00,394.4,,,,,268.2,310.06666666666666,310.06666666666666,237.33333333333331,,,,,,321.53333333333336,351.2,,8533.2
2017-05-31 19:00:00,448.13333333333327,,,,,357.2,270.4,270.4,271.46666666666664,,,,,,347.66666666666674,332.8,,7207.6
2017-05-31 19:15:00,584.0,,,,,395.33333333333326,310.3333333333333,310.3333333333333,300.1333333333333,,,,,,403.06666666666666,441.26666666666665,,4146.0
2017-05-31 19:30:00,570.1333333333333,,,,,392.13333333333327,297.4,297.4,300.73333333333335,,,,,,443.2,560.3333333333334,,1626.466666666667
2017-05-31 19:45:00,599.4,,,,,398.8,291.8666666666667,291.8666666666667,321.26666666666665,,,,,,469.86666666666673,778.1333333333333,,1386.7333333333331
2017-05-31 20:00:00,701.6666666666665,,,,,477.06666666666666,290.8,290.8,345.9333333333333,,,,,,455.6,1059.4666666666667,,1344.3333333333333
2017-05-31 20:15:00,656.5333333333333,,,,,457.9333333333333,300.26666666666665,300.26666666666665,312.46666666666664,,,,,,447.53333333333336,1355.9333333333334,,1309.5333333333333
2017-05-31 20:30:00,541.9333333333333,,,,,480.66666666666674,304.73333333333335,304.73333333333335,347.6,,,,,,450.2,908.8666666666667,,1093.4
2017-05-31 20:45:00,426.66666666666674,,,,,450.6,305.1333333333333,305.1333333333333,366.13333333333327,,,,,,451.53333333333336,1063.0666666666666,,806.8
2017-05-31 21:00:00,416.4,,,,,429.06666666666666,326.53333333333336,326.53333333333336,367.86666666666673,,,,,,469.9333333333333,1235.1333333333334,,920.6666666666665
2017-05-31 21:15:00,440.13333333333327,,,,,460.13333333333327,377.33333333333326,377.33333333333326,362.33333333333326,,,,,,613.6,1618.9333333333334,,1078.0
2017-05-31 21:30:00,400.13333333333327,,,,,507.4,385.9333333333333,385.9333333333333,380.26666666666665,,,,,,659.5333333333333,1236.4666666666667,,883.8
2017-05-31 21:45:00,216.33333333333331,,,,,523.0666666666667,405.9333333333333,405.9333333333333,370.13333333333327,,,,,,576.0666666666667,1244.5333333333333,,814.7333333333332
2017-05-31 22:00:00,229.46666666666667,,,,,473.53333333333336,445.6,445.6,369.4,,,,,,526.5333333333333,1098.7333333333333,,918.0
2017-05-31 22:15:00,374.6,,,,,531.6666666666666,462.66666666666674,462.66666666666674,378.8,,,,,,462.4,941.9333333333333,,805.4666666666667
2017-05-31 22:30:00,455.33333333333326,,,,,557.3333333333334,475.53333333333336,475.53333333333336,410.6,,,,,,453.2,986.3333333333335,,773.8
2017-05-31 22:45:00,503.8,,,,,710.4,470.66666666666674,470.66666666666674,396.26666666666665,,,,,,442.86666666666673,890.0666666666667,,788.7333333333332
