Date/Time,4431_O_WBG,5571_O_BUFF,4584_O_MOON,5662_O_DOWN,4124_O_FRONT,7956_O_BELL,1040_O_MCCA,6227_O_ELIB,6386_O_SOSI
2016-11-10 15:00:00,21.785714285714285,27.5,,,,,46.42857142857143,44.5,
2016-11-10 15:15:00,21.866666666666667,29.866666666666667,,,,,30.2,62.86666666666667,
2016-11-10 15:30:00,22.2,29.933333333333334,,,,,61.733333333333334,44.8,
2016-11-10 15:45:00,23.266666666666666,29.866666666666667,,,,,33.8,48.53333333333333,
2016-11-10 16:00:00,29.866666666666667,30.333333333333332,,,,,34.06666666666667,46.86666666666667,
2016-11-10 16:15:00,26.133333333333333,29.8,,,,,34.333333333333336,46.6,
2016-11-10 16:30:00,25.0,29.6,,,,,30.733333333333334,50.53333333333333,
2016-11-10 16:45:00,25.933333333333334,30.333333333333332,,,,,31.333333333333332,46.2,
2016-11-10 17:00:00,30.666666666666668,27.266666666666666,,,,,34.333333333333336,45.13333333333333,
2016-11-10 17:15:00,41.86666666666667,28.933333333333334,,,,,34.46666666666667,43.53333333333333,
2016-11-10 17:30:00,34.666666666666664,26.333333333333332,,,,,40.13333333333333,47.6,
2016-11-10 17:45:00,32.2,27.066666666666666,,,,,36.4,65.6,
2016-11-10 18:00:00,44.333333333333336,27.666666666666668,,,,,39.333333333333336,91.86666666666666,
2016-11-10 18:15:00,45.06666666666667,27.0,,,,,38.4,54.53333333333333,
2016-11-10 18:30:00,60.666666666666664,24.8,,,,,36.93333333333333,53.8,
2016-11-10 18:45:00,53.13333333333333,22.8,,,,,37.8,55.333333333333336,
2016-11-10 19:00:00,68.46666666666667,24.133333333333333,,,,,38.0,59.4,
2016-11-10 19:15:00,62.13333333333333,22.666666666666668,,,,,37.13333333333333,56.53333333333333,
2016-11-10 19:30:00,46.2,22.066666666666666,,,,,38.333333333333336,55.2,
2016-11-10 19:45:00,36.6,22.4,,,,,42.2,51.733333333333334,
2016-11-10 20:00:00,39.4,20.466666666666665,,,,,45.53333333333333,50.93333333333333,
2016-11-10 20:15:00,38.0,20.333333333333332,,,,,44.86666666666667,45.0,
2016-11-10 20:30:00,38.2,21.8,,,,,43.06666666666667,45.6,
2016-11-10 20:45:00,65.0,20.466666666666665,,,,,42.0,42.46666666666667,
2016-11-10 21:00:00,50.2,20.533333333333335,,,,,39.53333333333333,45.53333333333333,
2016-11-10 21:15:00,32.6,20.333333333333332,,,,,38.6,42.46666666666667,
2016-11-10 21:30:00,26.866666666666667,20.0,,,,,38.4,40.0,
2016-11-10 21:45:00,27.466666666666665,19.666666666666668,,,,,34.53333333333333,38.93333333333333,
2016-11-10 22:00:00,24.133333333333333,21.133333333333333,,,,,35.06666666666667,36.0,
2016-11-10 22:15:00,24.2,19.933333333333334,,,,,31.6,35.93333333333333,
2016-11-10 22:30:00,24.933333333333334,19.8,,,,,30.2,35.46666666666667,
2016-11-10 22:45:00,26.4,23.8,,,,,31.133333333333333,35.666666666666664,
2016-11-10 23:00:00,26.866666666666667,22.266666666666666,,,,,30.466666666666665,34.266666666666666,
2016-11-10 23:15:00,28.666666666666668,22.0,,,,,32.8,31.8,
2016-11-10 23:30:00,29.0,24.4,,,,,35.2,35.4,
2016-11-10 23:45:00,25.6,24.933333333333334,,,,,34.266666666666666,35.8,
2016-11-11 00:00:00,28.8,25.466666666666665,,,,,32.333333333333336,33.6,
2016-11-11 00:15:00,29.266666666666666,26.733333333333334,,,,,34.333333333333336,33.46666666666667,
2016-11-11 00:30:00,29.6,27.2,,,,,34.333333333333336,33.93333333333333,
2016-11-11 00:45:00,30.666666666666668,30.2,,,,,35.46666666666667,36.46666666666667,
2016-11-11 01:00:00,32.53333333333333,30.866666666666667,,,,,34.93333333333333,35.6,
2016-11-11 01:15:00,32.733333333333334,28.866666666666667,,,,,35.13333333333333,36.0,
2016-11-11 01:30:00,33.6,31.8,,,,,36.46666666666667,37.8,
2016-11-11 01:45:00,38.4,33.266666666666666,,,,,35.2,36.8,
2016-11-11 02:00:00,37.93333333333333,31.866666666666667,,,,,34.86666666666667,37.0,
2016-11-11 02:15:00,36.8,32.733333333333334,,,,,34.86666666666667,37.666666666666664,
2016-11-11 02:30:00,37.8,33.13333333333333,,,,,35.266666666666666,38.13333333333333,
2016-11-11 02:45:00,37.2,32.4,,,,,33.333333333333336,38.86666666666667,
2016-11-11 03:00:00,38.46666666666667,31.8,,,,,34.13333333333333,39.53333333333333,
2016-11-11 03:15:00,40.0,33.06666666666667,,,,,35.733333333333334,42.86666666666667,
2016-11-11 03:30:00,39.266666666666666,32.06666666666667,,,,,37.0,43.06666666666667,
2016-11-11 03:45:00,40.4,32.2,,,,,36.666666666666664,43.2,
2016-11-11 04:00:00,42.666666666666664,35.53333333333333,,,,,38.13333333333333,41.2,
2016-11-11 04:15:00,42.0,37.333333333333336,,,,,38.86666666666667,44.06666666666667,
2016-11-11 04:30:00,78.0,36.0,,,,,37.6,45.4,
2016-11-11 04:45:00,43.666666666666664,35.666666666666664,,,,,40.666666666666664,45.86666666666667,
2016-11-11 05:00:00,45.06666666666667,37.333333333333336,,,,,41.4,45.86666666666667,
2016-11-11 05:15:00,44.6,35.86666666666667,,,,,42.46666666666667,44.93333333333333,
2016-11-11 05:30:00,43.86666666666667,21.133333333333333,,,,,41.733333333333334,49.0,
2016-11-11 05:45:00,46.06666666666667,29.266666666666666,,,,,46.8,53.266666666666666,
2016-11-11 06:00:00,47.0,24.866666666666667,,,,,44.4,53.93333333333333,
