Date/Time,8304_O_SQHS,7543_O_MILL,4431_O_WBG,5571_O_BUFF,5624_O_BUFF,6360_O_PTBR,4363_O_SQHS,2130_O_MTOV,5761_O_SOSD,8356_O_OHRA,2071_O_NOSD,8941_O_MTLE,3555_O_SCLL,2281_O_HiPK,4530_O_CNTP,8183_O_MILL,2535_O_RGSQ,3798_O_BRKN,1637_O_BELL,1502_O_BLPK,5679_O_BLOO
2017-10-01 15:00:00,12.5,12.571428571428571,10.285714285714286,10.071428571428571,10.071428571428571,,,,,,20.142857142857142,,9.428571428571429,18.642857142857142,11.5,11.214285714285714,,,,,
2017-10-01 15:15:00,14.066666666666666,10.2,15.466666666666667,10.533333333333333,10.533333333333333,,,,,,17.133333333333333,,8.2,18.466666666666665,62.2,12.4,,,,,
2017-10-01 15:30:00,15.333333333333334,11.333333333333334,16.533333333333335,10.4,10.4,,,,,,26.6,,8.266666666666667,18.533333333333335,20.333333333333332,11.133333333333333,,,,,
2017-10-01 15:45:00,15.333333333333334,12.066666666666666,13.933333333333334,11.666666666666666,11.666666666666666,,,,,,21.933333333333334,,8.333333333333334,18.533333333333335,12.133333333333333,12.066666666666666,,,,,
2017-10-01 16:00:00,15.266666666666667,12.133333333333333,23.8,11.733333333333333,11.733333333333333,,,,,,23.6,,8.133333333333333,20.2,12.533333333333333,12.8,,,,,
2017-10-01 16:15:00,14.0,11.866666666666667,17.333333333333332,23.533333333333335,23.533333333333335,,,,,,23.866666666666667,,7.866666666666666,19.4,13.333333333333334,11.866666666666667,,,,,
2017-10-01 16:30:00,14.6,14.2,14.333333333333334,20.666666666666668,20.666666666666668,,,,,,17.133333333333333,,8.666666666666666,18.4,13.0,15.733333333333333,,,,,
2017-10-01 16:45:00,12.2,14.733333333333333,15.466666666666667,19.0,19.0,,,,,,27.0,,9.733333333333333,18.666666666666668,16.6,13.933333333333334,,,,,
2017-10-01 17:00:00,12.733333333333333,14.8,19.266666666666666,36.53333333333333,36.53333333333333,,,,,,18.933333333333334,,7.933333333333334,19.333333333333332,15.066666666666666,17.666666666666668,,,,,
2017-10-01 17:15:00,13.6,18.6,16.533333333333335,12.6,12.6,,,,,,22.133333333333333,,19.666666666666668,16.466666666666665,64.8,22.8,,,,,
2017-10-01 17:30:00,13.466666666666667,18.2,38.0,11.866666666666667,11.866666666666667,,,,,,23.0,,14.933333333333334,20.533333333333335,14.933333333333334,22.066666666666666,,,,,
2017-10-01 17:45:00,13.666666666666666,18.533333333333335,46.0,13.0,13.0,,,,,,25.933333333333334,,9.866666666666667,19.133333333333333,35.2,24.066666666666666,,,,,
2017-10-01 18:00:00,26.733333333333334,27.6,138.66666666666666,20.533333333333335,20.533333333333335,,,,,,37.53333333333333,,14.866666666666667,17.266666666666666,29.533333333333335,23.133333333333333,,,,,
2017-10-01 18:15:00,15.4,59.53333333333333,104.8,21.666666666666668,21.666666666666668,,,,,,51.666666666666664,,12.666666666666666,20.666666666666668,16.266666666666666,28.133333333333333,,,,,
2017-10-01 18:30:00,17.533333333333335,44.666666666666664,874.1333333333333,19.0,19.0,,,,,,41.86666666666667,,23.133333333333333,18.666666666666668,14.866666666666667,29.066666666666666,,,,,
2017-10-01 18:45:00,18.466666666666665,60.53333333333333,931.3333333333334,14.866666666666667,14.866666666666667,,,,,,39.13333333333333,,9.666666666666666,16.533333333333335,23.933333333333334,31.466666666666665,,,,,
2017-10-01 19:00:00,21.2,53.13333333333333,1148.6666666666667,15.333333333333334,15.333333333333334,,,,,,38.266666666666666,,14.933333333333334,16.8,72.26666666666667,27.333333333333332,,,,,
2017-10-01 19:15:00,20.133333333333333,53.333333333333336,1200.2,16.666666666666668,16.666666666666668,,,,,,45.06666666666667,,15.466666666666667,16.066666666666666,30.466666666666665,32.06666666666667,,,,,
2017-10-01 19:30:00,22.8,54.4,347.06666666666666,17.0,17.0,,,,,,33.6,,14.0,18.866666666666667,35.46666666666667,39.06666666666667,,,,,
2017-10-01 19:45:00,22.133333333333333,51.733333333333334,197.53333333333333,17.866666666666667,17.866666666666667,,,,,,33.333333333333336,42.333333333333336,13.333333333333334,21.066666666666666,19.4,60.2,,,,,
2017-10-01 20:00:00,21.8,47.2,143.46666666666667,18.533333333333335,18.533333333333335,,,,,,35.266666666666666,43.6,19.333333333333332,19.4,15.733333333333333,62.86666666666667,,,,,
2017-10-01 20:15:00,19.4,45.0,282.6666666666667,22.6,22.6,,,,,,34.93333333333333,46.333333333333336,18.2,17.2,14.333333333333334,44.4,,,,,
2017-10-01 20:30:00,19.866666666666667,43.266666666666666,351.6,74.73333333333333,74.73333333333333,,,,,,37.6,47.46666666666667,19.6,14.4,15.333333333333334,37.8,,,,,
2017-10-01 20:45:00,20.333333333333332,42.86666666666667,260.93333333333334,96.8,96.8,,,,,,39.8,46.53333333333333,19.066666666666666,14.933333333333334,17.066666666666666,34.4,,,,,
2017-10-01 21:00:00,19.8,38.86666666666667,166.6,41.13333333333333,41.13333333333333,,,,,,37.4,42.06666666666667,19.4,18.266666666666666,17.6,35.6,,,,,
2017-10-01 21:15:00,19.266666666666666,42.333333333333336,146.4,37.8,37.8,,,,,,36.46666666666667,44.46666666666667,23.666666666666668,81.6,16.666666666666668,30.666666666666668,,,,,
2017-10-01 21:30:00,20.266666666666666,41.8,389.3333333333333,33.2,33.2,,,,,,32.6,51.06666666666667,27.733333333333334,416.06666666666666,24.533333333333335,32.46666666666667,,,,,
