Date/Time,1354_O_SHADY,5571_O_BUFF,5906_O_OH,6294_O_GNFD,8755_O_MTLE,8859_O_SQHL
2015-11-24 17:15:00,3987.866666666667,,,,1776.4,
2015-11-24 17:30:00,3192.666666666666,,,,1916.4,
2015-11-24 17:45:00,2612.8,,,,2027.9333333333332,
2015-11-24 18:00:00,2604.2,,,,2158.0,
2015-11-24 18:15:00,2281.266666666667,,,,2319.0666666666666,
2015-11-24 18:30:00,1695.0,,,,2597.266666666667,
2015-11-24 18:45:00,1431.7333333333331,,,,2943.066666666666,
2015-11-24 19:00:00,1328.8,,,,2873.6,
2015-11-24 19:15:00,1416.9333333333334,,,,2856.266666666667,
2015-11-24 19:30:00,1326.8666666666666,,,,2675.6,
2015-11-24 19:45:00,1340.2,,,,2575.5333333333333,
2015-11-24 20:00:00,1841.466666666667,,,,2503.0,
2015-11-24 20:15:00,2174.846153846154,,,,2738.133333333333,
2015-11-24 20:30:00,2398.714285714286,,,,2854.6,
2015-11-24 20:45:00,2395.2,,,1773.2,2474.866666666667,
2015-11-24 21:00:00,2272.8,,,1626.428571428571,2655.6,
2015-11-24 21:15:00,2635.4,,,,3004.4666666666667,
2015-11-24 21:30:00,2623.4666666666667,,,,3144.6,
2015-11-24 21:45:00,2657.2,,,,2739.933333333333,
2015-11-24 22:00:00,2922.933333333333,,,,2174.0,
2015-11-24 22:15:00,3119.733333333333,,,,1946.9333333333332,
2015-11-24 22:30:00,3071.933333333333,,,,1915.2,
2015-11-24 22:45:00,3213.666666666666,,,,2026.8666666666666,
2015-11-24 23:00:00,3360.5333333333333,,,,2189.6,
2015-11-24 23:15:00,3554.5333333333333,,,,2207.266666666667,
2015-11-24 23:30:00,3570.5333333333333,,,,2193.2,
2015-11-24 23:45:00,3821.4666666666662,,,,2113.5333333333333,
2015-11-25 00:00:00,3900.4,,,,2176.8,
2015-11-25 00:15:00,4100.666666666667,,,,2311.8,
2015-11-25 00:30:00,4185.2,,,,2396.5333333333333,
2015-11-25 00:45:00,4095.4666666666662,,,,2641.733333333333,
2015-11-25 01:00:00,4366.666666666667,,,,2820.333333333333,
2015-11-25 01:15:00,4570.733333333334,,,,3339.933333333333,
2015-11-25 01:30:00,4515.133333333333,,,,3625.2,
2015-11-25 01:45:00,4559.8,,,,3471.8,
2015-11-25 02:00:00,4615.666666666667,,,,3343.866666666667,
2015-11-25 02:15:00,,,,,3564.4,
2015-11-25 02:30:00,,,,,3642.4,
2015-11-25 02:45:00,,,,,4064.866666666667,
2015-11-25 03:00:00,,,,,4146.066666666667,
2015-11-25 03:15:00,,,,,3950.0,
2015-11-25 03:30:00,,,,,3931.733333333333,
2015-11-25 03:45:00,,,,,4054.733333333333,
2015-11-25 04:00:00,,,,,4122.066666666667,
2015-11-25 04:15:00,,,,,4253.2,
2015-11-25 04:30:00,,,,,4622.133333333333,
2015-11-25 04:45:00,,,,,5532.0666666666675,
2015-11-25 05:00:00,,,,,5499.533333333334,
2015-11-25 05:15:00,,,,,5689.533333333334,
2015-11-25 05:30:00,,,,,5601.733333333334,
2015-11-25 05:45:00,,,,,5467.533333333334,
2015-11-25 06:00:00,,,,,5339.266666666666,
2015-11-25 06:15:00,,,,,5436.6,
2015-11-25 06:30:00,,,,,5304.8,
2015-11-25 06:45:00,,,,,5484.866666666667,
2015-11-25 07:00:00,,,,,5430.8,
2015-11-25 07:15:00,,,,,5379.533333333334,
2015-11-25 07:30:00,,,,,5351.8,
2015-11-25 07:45:00,,,,,5380.4,
2015-11-25 08:00:00,,,,,5355.466666666666,
2015-11-25 08:15:00,,,,,5576.266666666666,
2015-11-25 08:30:00,,,,,5497.4,
2015-11-25 08:45:00,,,,,5275.6,
2015-11-25 09:00:00,,,,,5063.6,
2015-11-25 09:15:00,,,,,4630.333333333333,
2015-11-25 09:30:00,,,,,4576.666666666667,
2015-11-25 09:45:00,,,,,3891.133333333333,
2015-11-25 10:00:00,,,,,2429.4666666666667,
2015-11-25 10:15:00,,,,,1736.0666666666666,
2015-11-25 10:30:00,,,,,1650.7333333333331,
2015-11-25 10:45:00,,,,,1575.8,
2015-11-25 11:00:00,,,,,1535.0666666666666,
2015-11-25 11:15:00,,,,,1497.4,
2015-11-25 11:30:00,,,,,1563.2666666666669,
2015-11-25 11:45:00,,,,,1317.6666666666667,
2015-11-25 12:00:00,,,,,1192.0666666666666,
2015-11-25 12:15:00,,,,,1105.4666666666667,
2015-11-25 12:30:00,,,,,991.0666666666667,
2015-11-25 12:45:00,,,,,1012.2666666666668,
2015-11-25 13:00:00,,,,,922.8666666666667,
2015-11-25 13:15:00,,,,,808.1333333333333,
2015-11-25 13:30:00,,,,,759.8666666666667,
2015-11-25 13:45:00,,,,,684.0,
2015-11-25 14:00:00,,,,,709.0666666666667,
2015-11-25 14:15:00,,,,,702.9333333333333,
2015-11-25 14:30:00,,,,,673.2666666666668,
2015-11-25 14:45:00,,,,,729.8,
2015-11-25 15:00:00,,,,,681.9333333333333,
2015-11-25 15:15:00,,,,,644.7333333333332,
2015-11-25 15:30:00,,,,,590.7333333333332,
2015-11-25 15:45:00,,,,,659.2,
2015-11-25 16:00:00,,,,,697.4,
2015-11-25 16:15:00,,,,,764.4666666666667,
2015-11-25 16:30:00,,,,,777.9333333333333,
2015-11-25 16:45:00,,,,1382.0,837.6666666666665,
2015-11-25 17:00:00,,,,1495.2,901.0666666666667,
2015-11-25 17:15:00,,,,1623.666666666667,951.6666666666665,
2015-11-25 17:30:00,,,,1678.8666666666666,943.4,
2015-11-25 17:45:00,,,,1598.4,1044.4,
2015-11-25 18:00:00,,,,1442.466666666667,1191.8666666666666,
2015-11-25 18:15:00,,,,1503.2666666666669,1512.6,
2015-11-25 18:30:00,,,,1670.9333333333334,2276.266666666667,
2015-11-25 18:45:00,,,,1959.2,3230.266666666667,
2015-11-25 19:00:00,,,,2253.866666666667,2547.333333333333,
2015-11-25 19:15:00,,,,2284.266666666667,2027.9333333333332,
2015-11-25 19:30:00,,,,2205.4666666666667,1847.0,
2015-11-25 19:45:00,,,,2222.8,1872.533333333333,
2015-11-25 20:00:00,,,,2490.4666666666667,1937.7333333333331,
2015-11-25 20:15:00,,,,2648.6,2000.8666666666666,
2015-11-25 20:30:00,,,,2736.4,2051.733333333333,
2015-11-25 20:45:00,,,,2815.866666666667,2177.4,
2015-11-25 21:00:00,,,,2704.0,2175.133333333333,
2015-11-25 21:15:00,,,,2715.733333333333,2259.6666666666665,
2015-11-25 21:30:00,,,,2795.866666666667,2330.6666666666665,
2015-11-25 21:45:00,,,,2758.333333333333,2392.4,
2015-11-25 22:00:00,,,,2748.2,2389.933333333333,
2015-11-25 22:15:00,,,,2681.0,2327.6666666666665,
2015-11-25 22:30:00,,,,2608.8,2317.866666666667,
2015-11-25 22:45:00,,,,2453.0666666666666,2240.4666666666667,
2015-11-25 23:00:00,,,,2298.6,1977.0,
2015-11-25 23:15:00,,,,2165.2,1773.2,
2015-11-25 23:30:00,,,,2104.733333333333,1700.8666666666666,
2015-11-25 23:45:00,,,,2050.2,1731.1333333333334,
2015-11-26 00:00:00,,,,1949.466666666667,1736.1333333333334,
2015-11-26 00:15:00,,,,1784.666666666667,1690.0,
2015-11-26 00:30:00,,,,1776.2666666666669,1574.466666666667,
2015-11-26 00:45:00,,,,1749.0666666666666,1486.7333333333331,
2015-11-26 01:00:00,,,,1522.6,1377.1333333333334,
2015-11-26 01:15:00,,,,1467.466666666667,1304.9333333333334,
2015-11-26 01:30:00,,,,1385.8666666666666,1282.6666666666667,
2015-11-26 01:45:00,,,,1319.2666666666667,1236.3333333333333,
2015-11-26 02:00:00,,,,1337.8,1192.0666666666666,
2015-11-26 02:15:00,,,,1388.666666666667,1148.5333333333333,
2015-11-26 02:30:00,,,,1535.6,1135.9333333333334,
2015-11-26 02:45:00,,,,1584.466666666667,1108.4666666666667,
2015-11-26 03:00:00,,,,1688.333333333333,1077.6,
2015-11-26 03:15:00,,,,1862.9333333333332,1038.3333333333333,
2015-11-26 03:30:00,,,,2186.5333333333333,1032.8,
2015-11-26 03:45:00,,,,3226.666666666666,976.8666666666667,
2015-11-26 04:00:00,,,,3273.5333333333333,947.2666666666668,
2015-11-26 04:15:00,,,,2915.733333333333,926.0666666666667,
2015-11-26 04:30:00,,,,3142.5333333333333,900.0,
2015-11-26 04:45:00,,,,2938.266666666667,853.8666666666667,
2015-11-26 05:00:00,,,,2698.266666666667,811.5333333333333,
2015-11-26 05:15:00,,,,3705.0,792.6,
2015-11-26 05:30:00,,,,3919.5333333333333,776.2,
2015-11-26 05:45:00,,,,2929.733333333333,753.0,
