Date/Time,2963_O_LWCV,5938_O_SOSD,2427_O_ELIB,1955_O_PETE,7543_O_MILL,4645_O_SOSD,6227_O_ELIB,5624_O_BUFF,5571_O_BUFF,4431_O_WBG,8185_O_SWPK,8581_O_SOSD
2016-08-05 15:00:00,,,,,,,47.214285714285715,26.142857142857142,26.142857142857142,51.92857142857143,,41.142857142857146
2016-08-05 15:15:00,,,,,,,43.93333333333333,28.133333333333333,28.133333333333333,42.06666666666667,,34.13333333333333
2016-08-05 15:30:00,,,,,,,41.0,29.466666666666665,29.466666666666665,56.53333333333333,,46.733333333333334
2016-08-05 15:45:00,,,,,,40.642857142857146,42.6,19.866666666666667,19.866666666666667,34.4,,37.46666666666667
2016-08-05 16:00:00,,,,,,46.333333333333336,50.733333333333334,19.8,19.8,64.86666666666666,,36.53333333333333
2016-08-05 16:15:00,,,,,,35.266666666666666,39.333333333333336,18.933333333333334,18.933333333333334,40.86666666666667,,33.733333333333334
2016-08-05 16:30:00,,,,,,35.53333333333333,36.266666666666666,27.066666666666666,27.066666666666666,35.4,,27.266666666666666
2016-08-05 16:45:00,,,,,,28.066666666666666,33.93333333333333,24.4,24.4,30.4,,29.466666666666665
2016-08-05 17:00:00,,,,,,29.133333333333333,34.13333333333333,30.266666666666666,30.266666666666666,46.6,,26.333333333333332
2016-08-05 17:15:00,,,,,,25.933333333333334,38.53333333333333,37.46666666666667,37.46666666666667,42.0,,24.733333333333334
2016-08-05 17:30:00,,,,,,29.2,30.8,27.333333333333332,27.333333333333332,21.0,,28.533333333333335
2016-08-05 17:45:00,,,,,,23.666666666666668,34.266666666666666,30.666666666666668,30.666666666666668,17.866666666666667,,22.6
2016-08-05 18:00:00,,,,,,22.666666666666668,59.86666666666667,23.266666666666666,23.266666666666666,22.533333333333335,,21.2
2016-08-05 18:15:00,,,,,,23.466666666666665,102.13333333333334,29.2,29.2,22.666666666666668,,23.466666666666665
2016-08-05 18:30:00,,,,,,22.0,41.86666666666667,33.733333333333334,33.733333333333334,19.866666666666667,,23.266666666666666
2016-08-05 18:45:00,,,,,,25.133333333333333,28.8,38.4,38.4,43.666666666666664,,24.333333333333332
2016-08-05 19:00:00,,,,,,29.666666666666668,28.76923076923077,32.2,32.2,32.86666666666667,,25.933333333333334
2016-08-05 19:15:00,,,,,,29.0,37.25,28.4,28.4,76.6,,28.933333333333334
2016-08-05 19:30:00,,,,,,25.133333333333333,55.6,30.733333333333334,30.733333333333334,63.13333333333333,,24.6
2016-08-05 19:45:00,,,,,,28.333333333333332,41.8,28.533333333333335,28.533333333333335,51.13333333333333,,25.533333333333335
2016-08-05 20:00:00,,,,,,31.6,30.2,31.4,31.4,70.2,,25.533333333333335
2016-08-05 20:15:00,,,,,,27.466666666666665,27.333333333333332,32.666666666666664,32.666666666666664,75.66666666666667,,25.6
2016-08-05 20:30:00,,,,,,27.466666666666665,25.933333333333334,33.86666666666667,33.86666666666667,70.0,,26.666666666666668
2016-08-05 20:45:00,,,,,,27.466666666666665,25.266666666666666,36.8,36.8,76.8,,27.266666666666666
2016-08-05 21:00:00,,,,,,27.066666666666666,25.666666666666668,39.733333333333334,39.733333333333334,83.0,,23.933333333333334
2016-08-05 21:15:00,,,,,,23.133333333333333,23.333333333333332,39.06666666666667,39.06666666666667,76.46666666666667,,24.333333333333332
2016-08-05 21:30:00,,,,,,23.533333333333335,24.4,37.13333333333333,37.13333333333333,63.333333333333336,,24.466666666666665
2016-08-05 21:45:00,,,,,,26.733333333333334,28.4,41.4,41.4,56.13333333333333,,26.2
2016-08-05 22:00:00,,,,,,29.866666666666667,26.666666666666668,42.13333333333333,42.13333333333333,63.266666666666666,,26.866666666666667
2016-08-05 22:15:00,,,,,,41.333333333333336,26.866666666666667,46.4,46.4,84.46666666666667,,28.2
2016-08-05 22:30:00,,,,,,43.2,29.2,48.0,48.0,95.86666666666666,,31.066666666666666
2016-08-05 22:45:00,,61.0,,,,30.933333333333334,27.6,53.4,53.4,90.46666666666667,,31.666666666666668
2016-08-05 23:00:00,,60.13333333333333,,,,36.6,32.93333333333333,54.666666666666664,54.666666666666664,95.66666666666667,,33.86666666666667
2016-08-05 23:15:00,,67.86666666666666,,,,36.733333333333334,37.4,54.8,54.8,78.0,,36.86666666666667
2016-08-05 23:30:00,,68.6,,,,41.13333333333333,39.666666666666664,55.53333333333333,55.53333333333333,96.86666666666666,,40.2
2016-08-05 23:45:00,,65.6,,,,42.333333333333336,41.0,55.333333333333336,55.333333333333336,94.33333333333333,,43.13333333333333
2016-08-06 00:00:00,,59.2,,,,48.2,42.6,59.13333333333333,59.13333333333333,94.4,,42.666666666666664
2016-08-06 00:15:00,,90.33333333333333,,,,47.666666666666664,45.733333333333334,61.0,61.0,87.33333333333333,,44.86666666666667
2016-08-06 00:30:00,,158.73333333333332,,,,46.0,49.666666666666664,63.93333333333333,63.93333333333333,79.73333333333333,,49.46666666666667
2016-08-06 00:45:00,,102.26666666666667,,,,49.666666666666664,52.2,63.8,63.8,82.33333333333333,,51.53333333333333
2016-08-06 01:00:00,,106.66666666666667,,,,54.2,52.666666666666664,63.6,63.6,74.26666666666667,,52.86666666666667
2016-08-06 01:15:00,,81.13333333333334,,,,53.6,58.2,66.6,66.6,81.66666666666667,,49.06666666666667
2016-08-06 01:30:00,,74.13333333333334,,,,52.13333333333333,58.4,68.33333333333333,68.33333333333333,80.53333333333333,,51.8
2016-08-06 01:45:00,,53.13333333333333,,,,79.8,75.13333333333334,66.73333333333333,66.73333333333333,82.46666666666667,,70.06666666666666
