Date/Time,1295_O_BCVW,3422_O_HICK,4431_O_WBG,4972_O_MTLE,5571_O_BUFF,5624_O_BUFF,8185_O_SWPK
2016-03-03 00:00:00,,,1523.571428571429,,2084.1428571428573,2084.1428571428573,1890.857142857143
2016-03-03 00:15:00,,,1761.533333333333,,2149.6666666666665,2149.6666666666665,2025.2666666666669
2016-03-03 00:30:00,,,1955.666666666667,,2161.2,2161.2,2132.6666666666665
2016-03-03 00:45:00,,,2286.333333333333,,2161.133333333333,2161.133333333333,2017.2666666666669
2016-03-03 01:00:00,,,4111.666666666667,,2204.933333333333,2204.933333333333,1824.6
2016-03-03 01:15:00,,,3504.0,,2297.2,2297.2,1678.8666666666666
2016-03-03 01:30:00,,,3087.6,,2445.333333333333,2445.333333333333,1639.1333333333334
2016-03-03 01:45:00,,,2645.8,,2739.4666666666667,2739.4666666666667,1652.6
2016-03-03 02:00:00,,,2333.6,,3570.666666666666,3570.666666666666,1770.2
2016-03-03 02:15:00,,,2778.4,,2902.066666666666,2902.066666666666,1898.9333333333332
2016-03-03 02:30:00,,,2471.933333333333,,2643.933333333333,2643.933333333333,1969.0666666666666
2016-03-03 02:45:00,,,2436.333333333333,,2679.5333333333333,2679.5333333333333,2003.533333333333
2016-03-03 03:00:00,,,3381.866666666667,,3507.333333333333,3507.333333333333,2080.5333333333333
2016-03-03 03:15:00,,,3742.066666666666,,3259.866666666667,3259.866666666667,2115.0666666666666
2016-03-03 03:30:00,,,3451.5333333333333,,3448.133333333333,3448.133333333333,2137.4
2016-03-03 03:45:00,,,4220.466666666666,,3479.4666666666667,3479.4666666666667,2227.133333333333
2016-03-03 04:00:00,,,3578.266666666667,,3880.4666666666662,3880.4666666666662,2248.866666666667
2016-03-03 04:15:00,,,2794.933333333333,,3938.666666666666,3938.666666666666,2297.4666666666667
2016-03-03 04:30:00,,,3729.4,,4623.133333333333,4623.133333333333,2390.0666666666666
2016-03-03 04:45:00,,,3794.866666666667,,4672.6,4672.6,2459.733333333333
2016-03-03 05:00:00,,,3864.133333333333,,4236.666666666667,4236.666666666667,2455.4
2016-03-03 05:15:00,,,3649.6,,4423.133333333333,4423.133333333333,2426.6666666666665
2016-03-03 05:30:00,,,3358.866666666667,,4319.8,4319.8,2500.866666666667
2016-03-03 05:45:00,,,2973.666666666666,,3975.0,3975.0,2476.933333333333
2016-03-03 06:00:00,,,4590.2,,4011.133333333333,4011.133333333333,2499.6666666666665
2016-03-03 06:15:00,,,4830.133333333333,,4467.066666666667,4467.066666666667,2541.6666666666665
2016-03-03 06:30:00,,,5522.266666666666,,4485.866666666667,4485.866666666667,2644.8
2016-03-03 06:45:00,,,6414.733333333334,,4201.466666666666,4201.466666666666,2630.733333333333
2016-03-03 07:00:00,,,5559.466666666666,,4155.733333333334,4155.733333333334,2774.933333333333
2016-03-03 07:15:00,,,4745.933333333333,,3925.266666666667,3925.266666666667,3095.866666666667
2016-03-03 07:30:00,,,4445.4,,3892.4666666666662,3892.4666666666662,3110.266666666667
2016-03-03 07:45:00,,,3907.066666666666,,3786.333333333334,3786.333333333334,3050.4
2016-03-03 08:00:00,,,4373.266666666666,,3845.933333333333,3845.933333333333,3103.933333333333
2016-03-03 08:15:00,,,4130.733333333334,,3812.8,3812.8,3398.933333333333
2016-03-03 08:30:00,,,3558.133333333333,,3893.2,3893.2,3263.5333333333333
2016-03-03 08:45:00,,,3119.933333333333,,3464.066666666666,3464.066666666666,3434.8
2016-03-03 09:00:00,,,2688.0666666666666,,3219.733333333333,3219.733333333333,2661.0666666666666
2016-03-03 09:15:00,,,2028.8666666666666,,3192.8,3192.8,2202.6666666666665
2016-03-03 09:30:00,,,1954.6,,2944.066666666666,2944.066666666666,1974.7333333333331
2016-03-03 09:45:00,,,2112.133333333333,,2764.4666666666667,2764.4666666666667,1613.4
2016-03-03 10:00:00,,,1920.7333333333331,,2501.4666666666667,2501.4666666666667,1676.0
2016-03-03 10:15:00,,,1712.8,,2338.6,2338.6,1634.7333333333331
2016-03-03 10:30:00,,,1546.2,,2162.866666666667,2162.866666666667,1408.4
2016-03-03 10:45:00,,,1522.2,,1923.1333333333332,1923.1333333333332,1486.8
2016-03-03 11:00:00,,,1516.8666666666666,,2281.333333333333,2281.333333333333,1517.1333333333334
2016-03-03 11:15:00,,,1460.7333333333331,,2184.4,2184.4,1629.6
2016-03-03 11:30:00,,,1274.8,,1907.2666666666669,1907.2666666666669,1638.2
2016-03-03 11:45:00,,,1109.8,,1772.2666666666669,1772.2666666666669,1621.0666666666666
2016-03-03 12:00:00,,,961.0666666666667,,1818.0,1818.0,1713.333333333333
2016-03-03 12:15:00,,,942.4666666666667,,2341.933333333333,2341.933333333333,1781.2
2016-03-03 12:30:00,,,958.8,,3060.866666666667,3060.866666666667,1978.533333333333
2016-03-03 12:45:00,,,1025.3333333333333,,2382.8,2382.8,2096.4666666666667
2016-03-03 13:00:00,,,1029.5333333333333,,2132.866666666667,2132.866666666667,2229.6
2016-03-03 13:15:00,,,1132.1333333333334,,2063.2,2063.2,2173.2
2016-03-03 13:30:00,,,1175.4,,1845.666666666667,1845.666666666667,2123.866666666667
2016-03-03 13:45:00,,,1096.9333333333334,,1912.0666666666666,1912.0666666666666,2009.8666666666666
2016-03-03 14:00:00,,,1081.8,,1972.0,1972.0,1904.8666666666666
2016-03-03 14:15:00,,,1042.9333333333334,,2006.2666666666669,2006.2666666666669,1745.2
2016-03-03 14:30:00,,,1094.5333333333333,,2063.0666666666666,2063.0666666666666,1696.9333333333334
