Date/Time,1639_O_ELIB,2071_O_NOSD,3555_O_SCLL,3653_O_MARS,3780_O_HZWD,4431_O_WBG,5571_O_BUFF,5624_O_BUFF,6227_O_ELIB,7543_O_MILL,8581_O_SOSD
2016-10-05 15:00:00,535.7142857142857,561.4285714285714,,,,1129.642857142857,,,,266.85714285714283,232.5
2016-10-05 15:15:00,529.3333333333334,530.8666666666667,,,,1220.6,,,,283.3333333333333,209.2
2016-10-05 15:30:00,509.0,500.4,,,,1315.2666666666667,,,,319.2,197.46666666666667
2016-10-05 15:45:00,513.2666666666668,530.8,,,,1341.6666666666667,,,,264.93333333333334,191.53333333333333
2016-10-05 16:00:00,488.73333333333335,500.13333333333327,,,,1272.8,,,,193.6,191.66666666666663
2016-10-05 16:15:00,497.13333333333327,465.0,,,,947.9333333333333,,,,196.26666666666668,
2016-10-05 16:30:00,489.4666666666666,450.66666666666674,,,,906.4666666666667,,,,217.06666666666663,
2016-10-05 16:45:00,488.6,466.4666666666666,,,,912.2666666666668,,,,196.46666666666667,
2016-10-05 17:00:00,495.06666666666666,444.6,,,,869.5333333333333,,,,169.2,
2016-10-05 17:15:00,521.6,459.9333333333333,,,,853.6666666666665,,,,,
2016-10-05 17:30:00,526.2,465.9333333333333,,,,893.2,,,,,
2016-10-05 17:45:00,596.4,527.6666666666666,,,,914.6,,,,,
2016-10-05 18:00:00,637.9333333333333,587.4,,,,1025.7333333333333,,,,,
2016-10-05 18:15:00,670.9333333333333,632.6666666666666,,,,1162.0,,,,,
2016-10-05 18:30:00,772.2666666666668,696.4666666666667,,,,1338.9333333333334,,,,,
2016-10-05 18:45:00,823.8666666666667,654.9333333333333,,,,1672.1333333333334,,,,,
2016-10-05 19:00:00,765.1333333333333,724.6666666666665,,,,2049.6666666666665,,,,,
2016-10-05 19:15:00,794.6,892.6,,,,2339.5333333333333,,,,,
2016-10-05 19:30:00,981.4666666666667,759.8666666666667,,,,2533.866666666667,,,,,
2016-10-05 19:45:00,884.7333333333332,889.0,,,,2736.0,,,,,
2016-10-05 20:00:00,877.6666666666665,847.3333333333335,,,,2879.133333333333,,,,,
2016-10-05 20:15:00,922.2666666666668,819.3333333333335,,,,3969.666666666666,,,,,
2016-10-05 20:30:00,892.5333333333333,793.6666666666665,,,,4353.666666666667,,,,,
2016-10-05 20:45:00,942.0666666666667,829.0,,,,4768.4,,,,,
2016-10-05 21:00:00,901.2,785.2666666666668,,,,5996.533333333334,,,,,
2016-10-05 21:15:00,911.3333333333335,794.2,,,,6374.333333333332,,,,,
2016-10-05 21:30:00,985.0,837.0,,,,7763.0666666666675,,,,,
2016-10-05 21:45:00,1244.6,819.3333333333335,,,,18146.13333333333,,,,,
2016-10-05 22:00:00,1034.9333333333334,835.2,,,,9329.266666666666,,,,,
2016-10-05 22:15:00,1028.6,900.4666666666667,,,,17575.933333333334,,,,,
2016-10-05 22:30:00,1054.6,997.2666666666668,,,,15393.2,,,,,
2016-10-05 22:45:00,1216.3333333333333,1240.4,,,,10757.866666666667,,,,,
2016-10-05 23:00:00,1311.8666666666666,1167.4666666666667,,,,9420.8,,,,,
2016-10-05 23:15:00,1392.4,1116.4666666666667,,,,5801.9333333333325,,,,,
2016-10-05 23:30:00,1495.4,1180.1333333333334,,,,7102.2,,,,,
2016-10-05 23:45:00,2579.5333333333333,1175.2666666666667,,,,12826.133333333333,,,1459.1,,
2016-10-06 00:00:00,1606.466666666667,1233.0666666666666,,,,8254.2,,,1603.333333333333,,
2016-10-06 00:15:00,1684.0,1378.333333333333,,,,5780.533333333334,,,1585.7333333333331,,
2016-10-06 00:30:00,1687.8666666666666,1291.8,,,,6999.9333333333325,,,1738.2,,
2016-10-06 00:45:00,1743.333333333333,1327.4666666666667,,,,8802.066666666668,,,1901.0666666666666,,
2016-10-06 01:00:00,2662.866666666667,1407.8,,,,8648.466666666667,,,1841.2666666666669,,
2016-10-06 01:15:00,2009.2666666666669,1336.5333333333333,,,,6831.4,,,1781.9333333333334,,
2016-10-06 01:30:00,1847.533333333333,1358.8666666666666,,,,6949.0,,,1949.8666666666666,,
2016-10-06 01:45:00,1907.1333333333332,1434.2666666666669,,,,6272.266666666666,,,2051.733333333333,,
2016-10-06 02:00:00,1962.0666666666666,1471.8,,,,6348.0,,,2096.4,,
2016-10-06 02:15:00,2071.933333333333,1492.333333333333,,,,4680.4,,,2127.0,,
2016-10-06 02:30:00,2061.333333333333,1546.2,,,,6158.733333333334,,,2311.733333333333,,
2016-10-06 02:45:00,2081.5333333333333,1602.533333333333,,,,4666.333333333333,,,2321.5333333333333,,
2016-10-06 03:00:00,2124.0666666666666,1537.8666666666666,,,,4799.133333333333,,,2422.8,,
2016-10-06 03:15:00,2239.0,1496.9333333333334,,,,3648.733333333333,,,2504.333333333333,,
2016-10-06 03:30:00,2237.4666666666667,1539.6,,,,3767.133333333333,,,2405.733333333333,,
2016-10-06 03:45:00,2290.0,1560.6,,,,3330.8,,,2528.333333333333,,
2016-10-06 04:00:00,2265.0666666666666,1608.1333333333334,,,,3329.733333333333,,,2594.4,,
2016-10-06 04:15:00,2262.933333333333,1651.1333333333334,,,,4089.266666666667,,,2634.6,,
2016-10-06 04:30:00,2417.8,1670.8,,,,3885.333333333334,,,2612.866666666667,,
2016-10-06 04:45:00,2462.133333333333,1761.0,,,,3203.0,,,2497.6666666666665,,
2016-10-06 05:00:00,2581.0,1762.533333333333,,,,3628.6,,,2406.333333333333,,
2016-10-06 05:15:00,2526.266666666667,1824.2666666666669,,,,3873.4,,,2507.6666666666665,,
