Date/Time,7024_O_DRRY,8750_O_DOWN,7807_O_FRHL,7521_O_WDER,4150_O_ELIB,1185_O_NOSD,8980_O_SOAK,4431_O_WBG,6063_O_BRHT,6132_O_MONG,6693_O_DCCH_DC,6565_O_MANT_MA,3390_O_ROSS,6255_O_MTLE,4606_O_XXXX,2814_O_MCCA,3283_O_LWCV
2022-12-01 15:00:00,,53.142857142857146,,,,55.357142857142854,,25.142857142857142,,,57.785714285714285,,42.714285714285715,,,,
2022-12-01 15:15:00,,56.333333333333336,,,,51.06666666666667,,25.2,,,30.133333333333333,,44.86666666666667,,,,
2022-12-01 15:30:00,,44.86666666666667,,,,51.8,,29.933333333333334,,,32.2,,47.4,,,,
2022-12-01 15:45:00,,46.06666666666667,,,,50.0,,32.0,,,36.4,,45.06666666666667,,,,
2022-12-01 16:00:00,,42.4,,,,51.86666666666667,,29.0,,,30.533333333333335,,47.8,,,,
2022-12-01 16:15:00,,40.333333333333336,,,,59.266666666666666,,30.466666666666665,,,33.06666666666667,,45.2,,,,
2022-12-01 16:30:00,,94.73333333333333,,,,55.6,,32.86666666666667,,,41.2,,45.8,,,,
2022-12-01 16:45:00,,54.53333333333333,,,,70.06666666666666,,31.733333333333334,,,36.86666666666667,,47.46666666666667,,,,
2022-12-01 17:00:00,,52.8,,,,59.733333333333334,,33.93333333333333,,,33.6,,44.6,,,,
2022-12-01 17:15:00,,45.266666666666666,,,,52.13333333333333,,34.86666666666667,,,32.4,,44.666666666666664,,,,
2022-12-01 17:30:00,,43.733333333333334,,,,54.2,,37.266666666666666,,,32.53333333333333,,46.4,,10.0,,
2022-12-01 17:45:00,,53.4,,,,58.4,,37.53333333333333,,,36.2,,47.53333333333333,,10.4,,
2022-12-01 18:00:00,,45.266666666666666,,,,60.733333333333334,,44.2,,,36.53333333333333,,49.46666666666667,,31.733333333333334,,
2022-12-01 18:15:00,,48.46666666666667,,,,69.8,,47.733333333333334,,,41.2,,50.93333333333333,,67.13333333333334,,
2022-12-01 18:30:00,,48.86666666666667,,,,80.6,,48.86666666666667,,,47.93333333333333,,54.13333333333333,,152.86666666666667,,
2022-12-01 18:45:00,,50.8,,,,80.26666666666667,,48.53333333333333,,,58.13333333333333,,61.266666666666666,,240.06666666666666,,
2022-12-01 19:00:00,,65.13333333333334,,,,93.6,,51.2,,,40.0,,62.0,,278.73333333333335,,
2022-12-01 19:15:00,,56.46666666666667,,,,92.46666666666667,,58.46666666666667,,,37.0,,63.266666666666666,,272.0,,
2022-12-01 19:30:00,,90.2,,,,92.46666666666667,,53.6,,,37.6,,63.86666666666667,,172.73333333333332,,
2022-12-01 19:45:00,,74.53333333333333,,,,93.13333333333334,,51.266666666666666,,,44.0,,70.93333333333334,,107.73333333333333,,
2022-12-01 20:00:00,,72.33333333333333,,,,96.53333333333333,,53.733333333333334,,,45.333333333333336,,76.73333333333333,,62.06666666666667,,
2022-12-01 20:15:00,,75.93333333333334,,,,101.6,,57.53333333333333,,,45.53333333333333,,78.53333333333333,,40.666666666666664,,
2022-12-01 20:30:00,,76.73333333333333,,,,104.66666666666667,,55.6,97.0,,48.4,,80.86666666666666,,33.53333333333333,,
2022-12-01 20:45:00,,75.33333333333333,,,,107.73333333333333,,54.53333333333333,96.8,,49.13333333333333,,90.0,,27.866666666666667,,
2022-12-01 21:00:00,,84.2,,,,96.86666666666666,,55.4,88.4,,59.46666666666667,,101.93333333333334,,22.866666666666667,,
2022-12-01 21:15:00,,78.93333333333334,,,,102.4,,56.666666666666664,93.73333333333333,,55.333333333333336,,101.6,,21.266666666666666,,
2022-12-01 21:30:00,,85.8,,,,102.26666666666667,,72.0,93.93333333333334,,54.46666666666667,,101.2,,21.066666666666666,,
2022-12-01 21:45:00,,84.8,,,,122.86666666666666,,62.4,95.13333333333334,,60.333333333333336,,101.93333333333334,,19.533333333333335,,
2022-12-01 22:00:00,,93.13333333333334,,,,113.86666666666666,,60.46666666666667,104.8,,56.333333333333336,,109.06666666666666,,18.066666666666666,,
2022-12-01 22:15:00,,87.46666666666667,,,,108.4,,63.0,109.4,,59.666666666666664,,109.06666666666666,,18.8,,
2022-12-01 22:30:00,,87.2,,,,115.93333333333334,,63.266666666666666,110.06666666666666,,61.266666666666666,,110.66666666666667,,17.733333333333334,,
2022-12-01 22:45:00,,143.66666666666666,,,,117.93333333333334,,59.93333333333333,121.8,,70.4,,116.06666666666666,,18.2,,
2022-12-01 23:00:00,,110.8,,,,110.8,,76.06666666666666,120.86666666666666,,79.26666666666667,,116.06666666666666,,16.933333333333334,,
2022-12-01 23:15:00,,102.66666666666667,,,,120.13333333333334,,79.33333333333333,109.33333333333333,,81.46666666666667,,114.13333333333334,,18.4,,
2022-12-01 23:30:00,,94.0,,,,118.73333333333333,,69.2,109.73333333333333,,88.66666666666667,,117.4,,17.533333333333335,,
2022-12-01 23:45:00,,100.4,,,,123.0,,71.93333333333334,109.6,,97.93333333333334,,117.8,,16.733333333333334,,
2022-12-02 00:00:00,,95.86666666666666,,,,125.73333333333333,,62.8,107.6,,94.4,,120.46666666666667,,18.533333333333335,,
2022-12-02 00:15:00,,87.6,,,,123.4,,66.0,108.93333333333334,,96.26666666666667,,114.66666666666667,,18.333333333333332,,
2022-12-02 00:30:00,,86.06666666666666,,,,126.86666666666666,,64.86666666666666,106.13333333333334,,90.46666666666667,,111.0,,19.866666666666667,,
2022-12-02 00:45:00,,93.06666666666666,,,,129.93333333333334,,69.2,111.26666666666667,,89.46666666666667,,108.13333333333334,,20.2,,
