Date/Time,2238_O_GNFD,4918_O_MEHL_ME,4114_O_BLKR,4757_O_PNHL,3192_O_BRKN,4431_O_WBG,2693_O_CAPA_CA,5158_O_NYCT_NY,6228_O_ASPW,5502_O_SQHS,8624_O_BCVW,5451_O_LWCV
2021-01-21 11:45:00,,,,,,1036.7333333333333,,,,,,
2021-01-21 12:00:00,,,,,,987.2666666666667,,,,,,
2021-01-21 12:15:00,,,,,,971.7333333333333,,,,,,
2021-01-21 12:30:00,,,,,,921.7333333333333,,,,,,
2021-01-21 12:45:00,,,,,,850.3333333333334,,,,,,
2021-01-21 13:00:00,,,,,,836.8,,,,,,
2021-01-21 13:15:00,,,,,,822.2,,,,,,
2021-01-21 13:30:00,,,,,,835.8,,,,,,
2021-01-21 13:45:00,,,,,,832.5333333333333,,,,,,
2021-01-21 14:00:00,,,,,,760.2666666666667,,,,,,
2021-01-21 14:15:00,,,,,,769.2666666666667,,,,,,
2021-01-21 14:30:00,,,,,,759.2666666666667,,,,,,
2021-01-21 14:45:00,,,,,,717.9333333333333,,,,,,
2021-01-21 15:00:00,,,,,,702.9333333333333,,,,,,
2021-01-21 15:15:00,,,,,,699.6666666666666,,,,,,
2021-01-21 15:30:00,,,,,,719.2,,,,,,
2021-01-21 15:45:00,,,,,,606.6666666666666,,,,,,
2021-01-21 16:00:00,,,,,,581.8666666666667,,,,,,
2021-01-21 16:15:00,,,,,,592.6,,,,,,
2021-01-21 16:30:00,,,,,,591.6666666666666,,,,,,
2021-01-21 16:45:00,,,,,,628.4,,,,,,
2021-01-21 17:00:00,,,,,,627.0,,,,,,
2021-01-21 17:15:00,,,,,,586.9333333333333,,,,,,
2021-01-21 17:30:00,,,,,,598.6666666666666,,,,,,
2021-01-21 17:45:00,,,,,,625.4,,,,,,
2021-01-21 18:00:00,,,,,,630.6,,,,,,
2021-01-21 18:15:00,,,,,,603.0,,,,,,
2021-01-21 18:30:00,,,,,,654.4666666666667,,,,,,
2021-01-21 18:45:00,,,,,,660.8666666666667,,,,,,
2021-01-21 19:00:00,,,,,,666.0,,,,,,
2021-01-21 19:15:00,,,,,,699.0,,,,,,
2021-01-21 19:30:00,,,,,,722.9333333333333,,,,454.2857142857143,,
2021-01-21 19:45:00,7383.0,,,,,758.8666666666667,,,,358.4,,
2021-01-21 20:00:00,,,,,,779.4,,,,,,
2021-01-21 20:15:00,,,,,,808.4,,,,,,
2021-01-21 20:30:00,,,,,,810.1333333333333,,,,,,
2021-01-21 20:45:00,,,,,,815.6,,,,,,
2021-01-21 21:00:00,,,,,,864.5333333333333,,,,,,
2021-01-21 21:15:00,,,,,,931.5333333333333,,,,,,
2021-01-21 21:30:00,,,,,,959.7333333333333,,,,,,
2021-01-21 21:45:00,,,,,,984.4,,,,,,
2021-01-21 22:00:00,,,,,,1023.5333333333333,,,,,,
2021-01-21 22:15:00,,,,,,1019.6,,,,,,
2021-01-21 22:30:00,,,,,,1053.9333333333334,,,,,,
2021-01-21 22:45:00,,,,,,1106.3333333333333,,,,,,
2021-01-21 23:00:00,,,,,,1136.0,,,,,,
2021-01-21 23:15:00,,,,,,1160.8666666666666,,,,,,
2021-01-21 23:30:00,,,,,,1198.6,,,,,,
2021-01-21 23:45:00,,,,,,1229.0,,,,,,
2021-01-22 00:00:00,,,,,,1204.0,,,,,,
2021-01-22 00:15:00,,,,,,1207.6,,,,,,
2021-01-22 00:30:00,,,,,,1017.7333333333333,,,,,,
2021-01-22 00:45:00,,,,,,995.2666666666667,,,,,,
2021-01-22 01:00:00,,,,,,995.8,,,,,,
2021-01-22 01:15:00,,,,,,1037.3333333333333,,,,,,
2021-01-22 01:30:00,,,,,,1105.6,,,,,,
2021-01-22 01:45:00,,,,,,1015.2666666666667,,,,,,
2021-01-22 02:00:00,,,,,,877.3333333333334,,,,,,
2021-01-22 02:15:00,,,,,,1011.4,,,,,,
2021-01-22 02:30:00,,,,,,1056.4,,,,,,
2021-01-22 02:45:00,,,,,,1170.1333333333334,,,,,,
2021-01-22 03:00:00,,,,,,1293.0,,,,,,
2021-01-22 03:15:00,,,,,,1352.9333333333334,,,,,,
2021-01-22 03:30:00,,,,,,1384.4666666666667,,,,,,
2021-01-22 03:45:00,,,,,,1454.6,,,,,,
2021-01-22 04:00:00,,,,,,1599.4666666666667,,,,,,
2021-01-22 04:15:00,,,,,,1656.3333333333333,,,,,,
2021-01-22 04:30:00,,,,,,1632.3333333333333,,,,,,
2021-01-22 04:45:00,,,,,,1667.3333333333333,,,,,,
2021-01-22 05:00:00,,,,,,1682.6,,,,,,
2021-01-22 05:15:00,,,,,,1658.7333333333333,,,,,,
2021-01-22 05:30:00,,,,,,1454.7333333333333,,,,,,
2021-01-22 05:45:00,,,,,,841.2666666666667,,,,,,
2021-01-22 06:00:00,,,,,,635.6666666666666,,,,,,
2021-01-22 06:15:00,,,,,,616.5333333333333,,,,,,
