Date/Time,2348_O_HILL,7324_O_NSHR,8485_O_FRSP,2759_O_BRHT,6959_O_ELIB,8609_O_DOWN,6582_O_OAKD,2533_O_ALTN,5575_O_ETNA
2018-08-17 17:45:00,,59.46666666666667,,,34.266666666666666,,,,
2018-08-17 18:00:00,,57.46666666666667,,,32.733333333333334,,,,
2018-08-17 18:15:00,,57.333333333333336,,,40.2,,,,
2018-08-17 18:30:00,,66.6,,,39.266666666666666,,,,
2018-08-17 18:45:00,,69.93333333333334,,,41.2,,,,
2018-08-17 19:00:00,,90.4,,,57.6,,,,
2018-08-17 19:15:00,,71.73333333333333,,,62.13333333333333,,,,
2018-08-17 19:30:00,,62.4,,,55.666666666666664,,,,
2018-08-17 19:45:00,,56.0,,,53.666666666666664,,,,
2018-08-17 20:00:00,,46.53333333333333,,,40.93333333333333,,,,
2018-08-17 20:15:00,,49.06666666666667,,,41.46666666666667,,,,
2018-08-17 20:30:00,,53.266666666666666,,,37.266666666666666,,,,
2018-08-17 20:45:00,,44.93333333333333,,,37.333333333333336,,,,
2018-08-17 21:00:00,,43.266666666666666,,,32.86666666666667,,,,
2018-08-17 21:15:00,,66.06666666666666,,,41.06666666666667,,,,
2018-08-17 21:30:00,,87.4,,,40.333333333333336,,,,
2018-08-17 21:45:00,,58.0,,,44.666666666666664,,,,
2018-08-17 22:00:00,,64.93333333333334,,,44.4,,,,
2018-08-17 22:15:00,,67.46666666666667,,,48.666666666666664,,,,
2018-08-17 22:30:00,,70.4,,,54.333333333333336,,,,
2018-08-17 22:45:00,,70.46666666666667,,,68.46666666666667,,,,
2018-08-17 23:00:00,,65.73333333333333,,,60.86666666666667,,,,
2018-08-17 23:15:00,,67.53333333333333,,,65.2,,,,
2018-08-17 23:30:00,,73.26666666666667,,,65.93333333333334,,,,
2018-08-17 23:45:00,,80.13333333333334,,,71.13333333333334,,,,
2018-08-18 00:00:00,,85.0,,,65.8,,,,
2018-08-18 00:15:00,,86.46666666666667,,,63.333333333333336,,,,
2018-08-18 00:30:00,,84.93333333333334,,,50.86666666666667,,,,
2018-08-18 00:45:00,,89.33333333333333,,,67.0,,,,
2018-08-18 01:00:00,,95.46666666666667,,,62.06666666666667,,,,
2018-08-18 01:15:00,,104.66666666666667,,,69.33333333333333,,,,
2018-08-18 01:30:00,,110.4,,,62.13333333333333,,,,
2018-08-18 01:45:00,,130.06666666666666,,,74.06666666666666,,,,
2018-08-18 02:00:00,,115.6,,,67.6,,,,
2018-08-18 02:15:00,,113.06666666666666,,,80.66666666666667,,,,
2018-08-18 02:30:00,,118.73333333333333,,,78.66666666666667,,,,
2018-08-18 02:45:00,,119.73333333333333,,,85.4,,,,
2018-08-18 03:00:00,,121.26666666666667,,,88.86666666666666,,,,
2018-08-18 03:15:00,,133.46666666666667,,,89.93333333333334,,,,
2018-08-18 03:30:00,,151.8,,,87.0,,,,
2018-08-18 03:45:00,,116.66666666666667,,,86.66666666666667,,,,
2018-08-18 04:00:00,,119.66666666666667,,,84.4,,,,
2018-08-18 04:15:00,,102.4,,,93.06666666666666,,,,
2018-08-18 04:30:00,,95.33333333333333,,,81.4,,,,
2018-08-18 04:45:00,,102.13333333333334,,,70.86666666666666,,,,
2018-08-18 05:00:00,,97.6,,,72.53333333333333,,,,
2018-08-18 05:15:00,,92.6,,,77.93333333333334,,,,
2018-08-18 05:30:00,,92.93333333333334,,,60.53333333333333,,,,
2018-08-18 05:45:00,,90.2,,,55.666666666666664,,,,
2018-08-18 06:00:00,,90.4,,,58.666666666666664,,,,
2018-08-18 06:15:00,,88.6,,,64.66666666666667,,,,
2018-08-18 06:30:00,,85.33333333333333,,,64.93333333333334,,,,
2018-08-18 06:45:00,,82.2,,,64.4,,,,
2018-08-18 07:00:00,,80.33333333333333,,,61.666666666666664,,,,
2018-08-18 07:15:00,,78.13333333333334,,,61.6,,,,
2018-08-18 07:30:00,,79.6,,,58.93333333333333,,,,
2018-08-18 07:45:00,,81.2,,,61.4,,,,
2018-08-18 08:00:00,,72.53333333333333,,,63.86666666666667,,,,
2018-08-18 08:15:00,,67.46666666666667,,,63.4,,,,
2018-08-18 08:30:00,,67.13333333333334,,,56.6,,,,
2018-08-18 08:45:00,,59.13333333333333,,,61.6,,,,
2018-08-18 09:00:00,,48.0,,,58.733333333333334,,,,
2018-08-18 09:15:00,,46.666666666666664,,,51.46666666666667,,,,
2018-08-18 09:30:00,53.6,42.86666666666667,,,46.06666666666667,,,,
2018-08-18 09:45:00,52.0,45.2,,,51.333333333333336,,,,
2018-08-18 10:00:00,63.733333333333334,52.666666666666664,,,53.2,,,,
2018-08-18 10:15:00,65.93333333333334,49.2,,,53.93333333333333,,,,
2018-08-18 10:30:00,74.26666666666667,51.0,,,52.46666666666667,,,,
2018-08-18 10:45:00,71.26666666666667,52.86666666666667,,,56.266666666666666,,,,
2018-08-18 11:00:00,69.26666666666667,56.53333333333333,,86.88888888888889,53.6,,,,
2018-08-18 11:15:00,67.73333333333333,51.86666666666667,,100.4,52.06666666666667,,,,
2018-08-18 11:30:00,63.53333333333333,53.46666666666667,,88.33333333333333,47.93333333333333,,,,
2018-08-18 11:45:00,62.86666666666667,48.733333333333334,,89.8,45.13333333333333,,,,
2018-08-18 12:00:00,57.333333333333336,47.93333333333333,,85.53333333333333,41.333333333333336,,,,
2018-08-18 12:15:00,58.333333333333336,50.666666666666664,,81.66666666666667,41.13333333333333,,,,
2018-08-18 12:30:00,50.06666666666667,44.266666666666666,,73.93333333333334,36.2,,,,
2018-08-18 12:45:00,36.266666666666666,36.0,,58.53333333333333,32.733333333333334,,,,
