Date/Time,1441_O_CARN,1502_O_BLPK,1712_O_SQHS,2071_O_NOSD,3037_O_BLPK,4431_O_WBG,4530_O_CNTP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6582_O_OAKD,7075_O_BLOO,8941_O_MTLE
2018-02-09 15:00:00,4004.9285714285716,,,,,934.5,1418.7857142857142,1632.928571428571,1632.928571428571,,2430.142857142857,,4450.071428571428
2018-02-09 15:15:00,3981.2,,,,,884.8666666666667,1307.2,1628.533333333333,1628.533333333333,,2311.5333333333333,,4820.2
2018-02-09 15:30:00,4400.266666666666,,,,,860.9333333333333,1249.8,1574.9333333333334,1574.9333333333334,,2254.333333333333,,4531.333333333333
2018-02-09 15:45:00,6534.133333333332,,,,,774.4666666666667,1208.1333333333334,1554.8,1554.8,,2214.733333333333,,4423.533333333334
2018-02-09 16:00:00,3108.133333333333,,,,,702.2,1310.8,1542.0,1542.0,,2040.8,,3594.4
2018-02-09 16:15:00,2588.133333333333,,,,783.3333333333335,714.2666666666668,1272.6,1494.6,1494.6,,1979.8,,4345.0
2018-02-09 16:30:00,2247.866666666667,,,,1817.8,621.2,1363.4,1344.8666666666666,1344.8666666666666,,1835.7333333333331,,3739.5333333333333
2018-02-09 16:45:00,1947.7333333333331,,,,3007.666666666666,599.9333333333333,1539.6,1306.4666666666667,1306.4666666666667,,1951.666666666667,,2539.133333333333
2018-02-09 17:00:00,3228.0,,,,2625.6666666666665,556.3333333333334,1639.2666666666669,1281.4,1281.4,,2157.6666666666665,,896.7777777777777
2018-02-09 17:15:00,2470.5333333333333,,1842.2857142857144,,2462.866666666667,633.7333333333332,1847.666666666667,1234.7333333333333,1234.7333333333333,,2206.0666666666666,,685.5
2018-02-09 17:30:00,2432.6,,2356.6666666666665,,2487.933333333333,706.0,2147.333333333333,1247.8,1247.8,,2571.933333333333,,676.2
2018-02-09 17:45:00,2408.733333333333,,2548.0666666666666,,2558.133333333333,936.9333333333333,1771.2666666666669,1158.2666666666667,1158.2666666666667,,3491.333333333333,,568.6666666666666
2018-02-09 18:00:00,2532.866666666667,,2501.6,,2878.4,1536.6,1770.1333333333334,974.6666666666665,974.6666666666665,,3495.4,,633.8666666666667
2018-02-09 18:15:00,2313.5333333333333,,2140.6666666666665,,2714.6,841.3333333333335,1797.4,1215.4666666666667,1215.4666666666667,,4090.4666666666662,,1187.4666666666667
2018-02-09 18:30:00,2491.6,,1900.0666666666666,,2769.8,685.4666666666667,1566.2666666666669,1140.3333333333333,1140.3333333333333,,4169.0,,1918.333333333333
2018-02-09 18:45:00,3015.266666666667,,1703.6,,2977.0,666.2,1452.6,1731.9333333333334,1731.9333333333334,,3943.933333333333,,3289.266666666667
2018-02-09 19:00:00,2828.5333333333333,,1813.4,,2977.4666666666667,793.5333333333333,1395.533333333333,2945.6,2945.6,,3673.4,,4322.466666666666
2018-02-09 19:15:00,3370.8,,1941.466666666667,,2970.5333333333333,992.8666666666667,1515.2666666666669,2506.8,2506.8,,3701.8,,3079.5333333333333
2018-02-09 19:30:00,4173.666666666667,,1884.8666666666666,,3054.333333333333,947.4666666666667,1922.2666666666669,1018.3333333333335,1018.3333333333335,,3645.866666666667,,2390.0666666666666
2018-02-09 19:45:00,6833.266666666666,,1916.333333333333,,3071.8,1091.9333333333334,1478.533333333333,825.2666666666668,825.2666666666668,,3386.5333333333333,,3166.266666666667
2018-02-09 20:00:00,3034.2,,2043.0666666666666,,3141.4666666666667,935.3333333333335,1319.0,747.0,747.0,,3312.8,,3474.6
2018-02-09 20:15:00,2530.4,,2596.2,,3598.4666666666667,894.0666666666667,1285.2666666666667,708.3333333333335,708.3333333333335,,3338.4666666666667,,3611.333333333334
2018-02-09 20:30:00,5338.133333333333,,3514.266666666667,,3943.0,1192.7333333333333,1302.4,655.8666666666667,655.8666666666667,,3429.4,,3583.133333333333
2018-02-09 20:45:00,6611.0,,3958.6,,6573.2,920.8666666666667,1182.3333333333333,637.4,637.4,,4179.866666666667,,3769.666666666666
2018-02-09 21:00:00,6692.866666666668,,4589.666666666667,,5925.6,943.6666666666665,1108.2666666666667,625.3333333333334,625.3333333333334,,4217.133333333333,,3870.4
2018-02-09 21:15:00,5517.9333333333325,,6097.2,,2525.266666666667,1210.0,1141.2666666666667,650.0666666666667,650.0666666666667,,4120.8,,3577.0
2018-02-09 21:30:00,5080.066666666667,,6236.466666666666,,1914.0666666666666,1172.0666666666666,1709.333333333333,603.0,603.0,,4392.8,,3492.733333333333
2018-02-09 21:45:00,3578.666666666666,,7464.8,,1872.0666666666666,1430.6,1558.333333333333,579.8,579.8,,4395.0,,3861.933333333333
2018-02-09 22:00:00,4643.866666666667,,8097.866666666668,,1694.4,835.0666666666667,2145.2,607.8666666666667,607.8666666666667,,4468.066666666667,,3459.333333333333
2018-02-09 22:15:00,10200.6,,8300.6,,1633.8666666666666,789.7333333333332,1391.2,572.1333333333333,572.1333333333333,,4304.533333333334,,3207.933333333333
2018-02-09 22:30:00,5362.866666666667,,8529.333333333334,,1536.2,785.4666666666667,1149.3333333333333,547.0,547.0,,4056.0,,3225.8
2018-02-09 22:45:00,6135.4,,6657.4,,1385.4,783.6666666666665,2829.266666666667,611.4666666666667,611.4666666666667,,4325.133333333333,,3277.733333333333
2018-02-09 23:00:00,4078.866666666667,,6403.733333333334,,1256.2666666666667,918.1333333333333,4842.2,650.6,650.6,,4628.4,,3430.666666666666
2018-02-09 23:15:00,5289.0,,7025.4,,1200.8,1004.8666666666667,1730.533333333333,940.8,940.8,,4844.0,,3527.733333333333
