Date/Time,7898_O_WLCK,5249_O_MTLE,1598_O_MUNH,7489_O_FRHL,1138_O_MEBP,7697_O_RGSQ,3707_O_HIPK,5571_O_BUFF,4431_O_WBG,8348_O_GNFD,6815_O_MEAG,3867_O_MAAR,2264_O_XXXX,2508_O_DOWN,6002_O_MCMR,8893_O_USCL,2368_O_CLRN,5624_O_BUFF
2020-04-17 05:00:00,,,3648.266666666667,,,,,,,,,,3688.733333333333,1713.2666666666667,,,,
2020-04-17 05:15:00,,,3904.5333333333333,,,,,,,,,,3644.866666666667,1854.4,,,,
2020-04-17 05:30:00,,,4070.266666666667,,,,,,,,,,3705.866666666667,1887.8,,,,
2020-04-17 05:45:00,,,4519.733333333334,,,,4235.333333333333,,,,,,3867.866666666667,1855.7333333333333,,,,
2020-04-17 06:00:00,,,4085.266666666667,,,,4232.466666666666,,,,,,4429.266666666666,2019.0,,,,
2020-04-17 06:15:00,,,3761.5333333333333,,,,4427.333333333333,,,,,,4331.133333333333,2394.5333333333333,,,,
2020-04-17 06:30:00,,,3591.266666666667,,,,4546.866666666667,,,,,,4123.933333333333,2446.4666666666667,,,,
2020-04-17 06:45:00,,,3583.866666666667,,,,5069.6,,,,,,4351.333333333333,2458.133333333333,,,,
2020-04-17 07:00:00,,,3382.3333333333335,,,,5101.2,,,,,,4825.0,2289.4666666666667,,,,
2020-04-17 07:15:00,,,3378.2,,,,5004.533333333334,,,,,,4961.333333333333,2345.2,,,,
2020-04-17 07:30:00,,,3399.4,,,,4604.333333333333,,,,,,5069.4,2332.0666666666666,,,,
2020-04-17 07:45:00,,,3640.8,,,,4327.533333333334,,,,,,4670.333333333333,2288.733333333333,,,,
2020-04-17 08:00:00,,,3758.0,,,,4190.066666666667,,,,,,4347.133333333333,2122.866666666667,,,,
2020-04-17 08:15:00,,,3683.266666666667,,,,4368.333333333333,,,,,,4179.466666666666,2976.5333333333333,,,,
2020-04-17 08:30:00,,,3590.133333333333,,,,4428.466666666666,,,,,,3928.5333333333333,2245.133333333333,,,,
2020-04-17 08:45:00,,,3020.733333333333,,,,4282.266666666666,,,,,,3862.0666666666666,2210.733333333333,,,,
2020-04-17 09:00:00,,,3645.266666666667,,,,3688.0666666666666,,,,,,3878.6666666666665,2887.6,,,,
2020-04-17 09:15:00,,,3351.3333333333335,,,,3272.6666666666665,,,,,,3809.133333333333,2200.0,,,,
2020-04-17 09:30:00,,,3047.5333333333333,,,,3003.866666666667,,,,,,3351.733333333333,1695.8666666666666,,,,
2020-04-17 09:45:00,,,2044.2,,,,2539.2,,,,,,2767.8,1661.6,,,,
2020-04-17 10:00:00,,,1597.4,,,,2330.133333333333,,,,,,2068.6,1654.0,,,,
2020-04-17 10:15:00,,,1466.6,,,,2087.733333333333,,,,,,2049.4666666666667,2637.9333333333334,,,,
2020-04-17 10:30:00,,,1449.2666666666667,,,,1813.6,,,,,,1991.4,1955.6,,,,
2020-04-17 10:45:00,,,1515.9333333333334,,,,1915.6,,,,,,1890.9333333333334,2228.4666666666667,,,,
2020-04-17 11:00:00,,,1521.9333333333334,,,,1841.0666666666666,,,,,,1882.4666666666667,4259.2,,,,
2020-04-17 11:15:00,,,1503.6,,,,1813.2666666666667,,,,,,1851.6666666666667,1918.9333333333334,,,,
2020-04-17 11:30:00,,,1509.5333333333333,,,,1868.1333333333334,,,,,,1947.8666666666666,2625.6666666666665,,,,
2020-04-17 11:45:00,,,1543.1333333333334,,,,1855.8666666666666,,,,,,1944.9333333333334,1750.2,,,,
2020-04-17 12:00:00,,,1520.2666666666667,,,,1874.8666666666666,,,,,,1996.5333333333333,2466.8,,,,
2020-04-17 12:15:00,,,1629.3333333333333,,,,1912.3333333333333,,,,,,1970.0,1784.4,,,,
2020-04-17 12:30:00,,,1744.8,,,,1986.5333333333333,,,,,,2043.9333333333334,2160.5333333333333,,,,
2020-04-17 12:45:00,,,1812.8666666666666,,,,2107.8,,,,,,2219.733333333333,2442.6,,,,
2020-04-17 13:00:00,,,1913.4,,,,2252.0666666666666,,,,,,2407.6666666666665,1725.6666666666667,,,,
2020-04-17 13:15:00,,,1932.4,,,,2368.6,,,,,,2498.6,1649.7333333333333,,,,
2020-04-17 13:30:00,,,1870.6666666666667,,,,2457.3333333333335,,,,,,2518.0,1758.6666666666667,,,,
2020-04-17 13:45:00,,,1812.5333333333333,,,,2429.4666666666667,,,,,,2489.866666666667,1744.8,,,,
2020-04-17 14:00:00,,,1763.0,,,,2396.266666666667,,,,,,2358.0666666666666,1782.5333333333333,,,,
2020-04-17 14:15:00,,,1730.4,,,,2367.2,,,,,,2348.0,1754.4666666666667,,,,
2020-04-17 14:30:00,,,1717.2,,,,2443.0,,,,,,2422.0666666666666,1728.6666666666667,,,,
2020-04-17 14:45:00,,,1756.5333333333333,,,,2524.6,,,,,,2392.5333333333333,1779.1333333333334,,,,
2020-04-17 15:00:00,,,1690.0666666666666,,,,2491.9333333333334,,,1406.6666666666667,,,2329.866666666667,1776.4666666666667,,,,
2020-04-17 15:15:00,,,1731.8,,,,2308.2,,,1682.3333333333333,,,2289.6666666666665,2503.133333333333,,,,
2020-04-17 15:30:00,,,1771.6666666666667,,,,2545.6,,,1834.8666666666666,,,2299.0666666666666,2008.6,,,,
2020-04-17 15:45:00,,,1773.2666666666667,,,,2660.0,,,1862.5333333333333,,,2409.6666666666665,3799.6666666666665,,,,
2020-04-17 16:00:00,,,1922.5333333333333,,,,3082.5333333333333,,,1839.6,,,2533.6666666666665,2643.6666666666665,,,,
2020-04-17 16:15:00,,,2449.866666666667,,,,3508.9333333333334,,,1733.6,,,2809.2,1417.1333333333334,,,,
2020-04-17 16:30:00,,,2676.4666666666667,,,,3811.4,,,1711.6,,,2911.6,2181.8,,,,
2020-04-17 16:45:00,,,2939.266666666667,,,,3021.6,,,1722.0,,,3202.6,1619.0666666666666,,,,
2020-04-17 17:00:00,,,3080.0666666666666,,,,3081.6666666666665,,,1847.0,,,3609.4666666666667,1929.5333333333333,,,,
2020-04-17 17:15:00,,,3380.0666666666666,,,,3914.266666666667,,,2110.8,,,3914.9333333333334,2152.5333333333333,,,,
