Date/Time,6030_O_BELL,2071_O_NOSD,1502_O_BLPK,4431_O_WBG,4387_O_EDWD,5571_O_BUFF,3259_O_BRAD,8941_O_MTLE,3555_O_SCLL,8100_O_PTBZ,5679_O_BLOO,6560_O_MTLE,5052_O_PennHills,5060_O_LWCV,3108_O_STDT,1441_O_CARN,7543_O_MILL,6582_O_OAKD,4530_O_CNTP,5624_O_BUFF,4533_O_ALPK,3732_O_BCVW
2018-03-22 15:00:00,,28.428571428571427,,57.785714285714285,,30.285714285714285,,,29.285714285714285,,30.357142857142858,,,,,,79.28571428571429,21.785714285714285,10.5,30.285714285714285,,
2018-03-22 15:15:00,,28.066666666666666,,42.46666666666667,,34.53333333333333,,,28.266666666666666,,27.933333333333334,,,,,,125.93333333333334,22.133333333333333,12.933333333333334,34.53333333333333,,
2018-03-22 15:30:00,,29.933333333333334,,38.266666666666666,,32.13333333333333,,,25.8,,30.133333333333333,,,,,,241.8,21.066666666666666,12.133333333333333,32.13333333333333,,
2018-03-22 15:45:00,,23.6,,47.8,,28.666666666666668,,,29.533333333333335,,25.266666666666666,,,,,,190.86666666666667,19.933333333333334,13.466666666666667,28.666666666666668,,
2018-03-22 16:00:00,,25.933333333333334,,70.0,,23.666666666666668,,,29.133333333333333,,27.666666666666668,,,,,,70.93333333333334,21.6,12.4,23.666666666666668,,
2018-03-22 16:15:00,,29.133333333333333,,41.53333333333333,,26.733333333333334,,,30.866666666666667,,26.933333333333334,,,,,,46.8,22.733333333333334,13.333333333333334,26.733333333333334,,
2018-03-22 16:30:00,,34.8,,28.666666666666668,,29.733333333333334,,,32.666666666666664,,29.333333333333332,,,,,,37.6,22.0,12.733333333333333,29.733333333333334,,
2018-03-22 16:45:00,,30.866666666666667,,37.06666666666667,,27.133333333333333,,,28.4,,24.133333333333333,,,,,,33.53333333333333,24.2,16.8,27.133333333333333,,
2018-03-22 17:00:00,,31.533333333333335,,32.2,,27.466666666666665,,,32.333333333333336,,23.6,,,,,,38.266666666666666,22.4,12.933333333333334,27.466666666666665,,
2018-03-22 17:15:00,,28.733333333333334,,27.4,,25.6,,,24.133333333333333,,28.8,,,,,,32.93333333333333,23.333333333333332,13.933333333333334,25.6,,
2018-03-22 17:30:00,,37.666666666666664,,27.8,,26.066666666666666,,,25.066666666666666,,28.333333333333332,,,,,,28.8,26.0,14.066666666666666,26.066666666666666,,
2018-03-22 17:45:00,,36.666666666666664,,24.4,,20.466666666666665,,,22.933333333333334,,24.933333333333334,,,,,,32.13333333333333,28.2,15.733333333333333,20.466666666666665,,
2018-03-22 18:00:00,,36.13333333333333,,29.0,,22.2,,,23.133333333333333,,29.0,,,,,,31.133333333333333,31.533333333333335,17.133333333333333,22.2,,
2018-03-22 18:15:00,,38.6,,34.2,,21.4,,,21.533333333333335,,27.266666666666666,,,,,,34.2,32.333333333333336,21.333333333333332,21.4,,
2018-03-22 18:30:00,,44.733333333333334,,32.46666666666667,,26.2,,,17.6,,27.733333333333334,,,,,,34.93333333333333,34.13333333333333,23.8,26.2,,
2018-03-22 18:45:00,,39.13333333333333,,29.0,,25.266666666666666,,,19.0,,30.666666666666668,,,,,,39.53333333333333,33.86666666666667,27.666666666666668,25.266666666666666,,
2018-03-22 19:00:00,,47.93333333333333,,30.266666666666666,,25.6,,,15.933333333333334,,27.8,,,,,,49.93333333333333,33.13333333333333,27.133333333333333,25.6,,
2018-03-22 19:15:00,,58.93333333333333,,28.066666666666666,,24.266666666666666,,,17.8,,32.266666666666666,,,,,,40.8,34.6,27.533333333333335,24.266666666666666,,
2018-03-22 19:30:00,,61.93333333333333,,42.53333333333333,,24.533333333333335,,,20.0,,33.86666666666667,,,,,,46.266666666666666,35.666666666666664,29.333333333333332,24.533333333333335,,
2018-03-22 19:45:00,,64.2,,26.066666666666666,,24.866666666666667,,,22.133333333333333,,40.46666666666667,,,,,,147.4,37.46666666666667,31.4,24.866666666666667,,
2018-03-22 20:00:00,,62.0,,29.733333333333334,,24.333333333333332,,,18.866666666666667,,37.86666666666667,,,,,,95.33333333333333,42.06666666666667,33.93333333333333,24.333333333333332,,
2018-03-22 20:15:00,,67.6,,25.133333333333333,,25.466666666666665,,,20.666666666666668,,41.06666666666667,,,,,,52.333333333333336,41.6,31.733333333333334,25.466666666666665,,
2018-03-22 20:30:00,,80.6,,26.333333333333332,,25.133333333333333,,,21.8,,43.06666666666667,,,,,,95.4,43.733333333333334,34.2,25.133333333333333,,
2018-03-22 20:45:00,,87.13333333333334,,42.53333333333333,,26.733333333333334,,,21.2,,44.0,,,,,,72.06666666666666,43.6,34.6,26.733333333333334,,
2018-03-22 21:00:00,,92.26666666666667,,56.733333333333334,,29.333333333333332,,,24.8,,46.53333333333333,,,,,,73.13333333333334,43.8,37.4,29.333333333333332,,
2018-03-22 21:15:00,,100.8,,127.13333333333334,,27.4,,,25.333333333333332,,51.333333333333336,,,,,,80.33333333333333,40.46666666666667,39.2,27.4,,
2018-03-22 21:30:00,,96.33333333333333,,75.4,,29.0,,,26.2,,49.0,,,,,,71.73333333333333,44.733333333333334,39.4,29.0,,
2018-03-22 21:45:00,,94.93333333333334,,76.0,,32.06666666666667,,,29.8,,54.666666666666664,,,,,,77.6,48.8,35.733333333333334,32.06666666666667,,
2018-03-22 22:00:00,,93.6,,155.8,,32.2,,,30.2,,58.733333333333334,,,,,,83.73333333333333,55.733333333333334,32.06666666666667,32.2,,
