Date/Time,5624_O_BUFF,8941_O_MTLE,6196_O_MWSH,7543_O_MILL,2281_O_HiPK,2071_O_NOSD,2229_O_BAHT,4576_O_EMSW,2898_O_AVLN,5952_O_EDWD,6809_O_SQHS,8183_O_MILL,6496_O_MTLE,6140_O_FRHL,5708_O_XXXX
2017-05-31 15:00:00,28.071428571428573,0.07142857142857142,,34.07142857142857,36.5,2039.357142857143,,60.357142857142854,,,41.642857142857146,,,,
2017-05-31 15:15:00,33.8,959.3333333333334,,35.6,38.86666666666667,173.93333333333334,,92.8,,,38.8,,,,
2017-05-31 15:30:00,36.46666666666667,393.3333333333333,,36.53333333333333,51.86666666666667,76.86666666666666,,68.2,,,44.53333333333333,,,,
2017-05-31 15:45:00,40.733333333333334,0.8,,38.2,41.86666666666667,70.93333333333334,,96.26666666666667,,,44.266666666666666,,,,
2017-05-31 16:00:00,39.8,17.666666666666668,,59.8,43.4,60.666666666666664,,94.66666666666667,,,44.4,,,,
2017-05-31 16:15:00,36.8,107.06666666666666,,139.4,69.2,59.4,,77.06666666666666,,,95.2,,,,
2017-05-31 16:30:00,39.46666666666667,40.733333333333334,,193.93333333333334,,70.0,,64.06666666666666,,,94.33333333333333,,,,
2017-05-31 16:45:00,100.4,41.8,,139.53333333333333,,51.93333333333333,,86.6,,,87.93333333333334,,,,
2017-05-31 17:00:00,75.2,33.2,,86.13333333333334,,51.733333333333334,,91.26666666666667,,,68.66666666666667,,,,
2017-05-31 17:15:00,75.86666666666666,31.866666666666667,,54.733333333333334,,40.666666666666664,,89.33333333333333,,,60.333333333333336,,,,
2017-05-31 17:30:00,73.33333333333333,30.666666666666668,,186.6,,34.266666666666666,,103.6,,,77.06666666666666,,,,
2017-05-31 17:45:00,67.66666666666667,56.53333333333333,,59.46666666666667,,32.333333333333336,,61.13333333333333,,,63.266666666666666,,,,
2017-05-31 18:00:00,54.266666666666666,254.06666666666666,,49.93333333333333,,34.53333333333333,,56.733333333333334,,,58.06666666666667,,,,
2017-05-31 18:15:00,49.06666666666667,524.6,,44.2,,34.666666666666664,,56.06666666666667,,,45.2,,,,
2017-05-31 18:30:00,51.266666666666666,985.8666666666667,,39.266666666666666,,36.666666666666664,,51.86666666666667,,,41.8,,,,
2017-05-31 18:45:00,39.06666666666667,1349.6666666666667,,32.93333333333333,,38.733333333333334,,38.266666666666666,,,35.06666666666667,,,,
2017-05-31 19:00:00,32.6,769.3333333333334,,27.533333333333335,,43.6,,46.13333333333333,,,36.93333333333333,,,,
2017-05-31 19:15:00,38.86666666666667,157.2,,31.933333333333334,,46.666666666666664,,49.333333333333336,,,35.6,,,,
2017-05-31 19:30:00,37.8,26.133333333333333,,36.2,,49.333333333333336,,49.733333333333334,,,37.13333333333333,,,,
2017-05-31 19:45:00,37.0,18.933333333333334,,40.8,,52.06666666666667,,52.2,,,38.733333333333334,,,,
2017-05-31 20:00:00,37.53333333333333,19.133333333333333,,46.0,,51.46666666666667,,56.8,,,45.733333333333334,,,,
2017-05-31 20:15:00,35.53333333333333,20.733333333333334,,49.46666666666667,,53.333333333333336,,48.4,,,48.6,,,,
2017-05-31 20:30:00,36.733333333333334,23.533333333333335,,54.333333333333336,,47.333333333333336,,48.86666666666667,,,46.53333333333333,,,,
2017-05-31 20:45:00,39.0,21.066666666666666,,61.53333333333333,,40.333333333333336,,51.86666666666667,,,45.86666666666667,,,,
2017-05-31 21:00:00,40.46666666666667,20.666666666666668,,69.86666666666666,,44.13333333333333,,54.0,,,49.13333333333333,,,,
2017-05-31 21:15:00,44.666666666666664,23.4,,74.6,,42.13333333333333,,58.46666666666667,,,54.333333333333336,,,,
2017-05-31 21:30:00,44.53333333333333,24.4,,76.06666666666666,,57.4,,60.4,,,56.53333333333333,,,,
2017-05-31 21:45:00,48.4,24.0,,71.33333333333333,,34.0,,62.86666666666667,,,50.2,,,,
2017-05-31 22:00:00,50.2,25.466666666666665,,70.46666666666667,,37.93333333333333,,63.46666666666667,,,50.86666666666667,,,,
2017-05-31 22:15:00,51.666666666666664,25.866666666666667,,71.86666666666666,,47.2,,63.86666666666667,,,51.333333333333336,,,,
2017-05-31 22:30:00,55.4,26.066666666666666,,69.73333333333333,,50.333333333333336,,66.73333333333333,,,51.8,,,,
2017-05-31 22:45:00,56.0,25.6,,70.4,,53.8,,74.33333333333333,,,54.266666666666666,,,,
2017-05-31 23:00:00,55.8,27.266666666666666,,76.2,,57.8,,68.4,,,53.93333333333333,,,,
2017-05-31 23:15:00,58.6,28.4,,76.86666666666666,,56.4,,71.66666666666667,,,56.333333333333336,,,,
2017-05-31 23:30:00,58.93333333333333,29.4,,74.13333333333334,,62.2,,79.33333333333333,,,56.06666666666667,,,,
2017-05-31 23:45:00,64.13333333333334,30.4,,82.53333333333333,,61.2,,82.86666666666666,,,58.266666666666666,,,,
2017-06-01 00:00:00,63.93333333333333,33.53333333333333,,86.46666666666667,,62.2,,89.53333333333333,,,58.06666666666667,,,,
2017-06-01 00:15:00,68.66666666666667,35.46666666666667,,86.8,,70.53333333333333,,94.33333333333333,,,58.6,,,,
2017-06-01 00:30:00,66.2,35.8,,84.6,,67.93333333333334,,98.2,,,64.13333333333334,,,,
2017-06-01 00:45:00,62.266666666666666,36.06666666666667,,87.0,,69.33333333333333,,97.26666666666667,,,67.4,,,,
2017-06-01 01:00:00,62.8,34.46666666666667,,88.13333333333334,,73.13333333333334,,99.2,,,63.266666666666666,,,,
2017-06-01 01:15:00,63.8,39.06666666666667,,97.26666666666667,,74.4,,93.4,,,64.0,,,,
