Date/Time,2164_O_DMBR,7924_O_LWCV,5809_O_SHGT,6651_O_SHGT,6780_O_FXCP,2130_O_MTOV,2759_O_BRHT,8888_O_MRSD,5624_O_BUFF,2400_O_STGC,7578_O_BVFL,3746_O_DOWN,8941_O_MTLE,5571_O_BUFF,4431_O_WBG,5470_O_SQHS,4667_O_PHLL,2554_O_STCG,4363_O_XXXX,4530_O_CNTP,4463_O_XXXX,8457_O_XXXX
2019-01-11 15:00:00,,,777.5,,,761.7142857142857,,,1456.0,,,,,1456.0,,,,,754.2857142857143,,,
2019-01-11 15:15:00,,,588.7333333333333,,,774.9333333333333,,,1421.0,,,,,1421.0,,,,,768.4666666666667,,,
2019-01-11 15:30:00,,,685.8,,,871.4,,,1502.1333333333334,,,,,1502.1333333333334,,,,,810.2,,,
2019-01-11 15:45:00,,,850.6,,,896.4666666666667,,,1505.0666666666666,,,,,1505.0666666666666,,,,,737.1333333333333,,,
2019-01-11 16:00:00,,,956.3333333333334,,,794.9333333333333,,,1630.9333333333334,,,,,1630.9333333333334,,,,,819.8666666666667,,,
2019-01-11 16:15:00,,,959.1333333333333,,,772.9333333333333,,,1613.2666666666667,,,,,1613.2666666666667,,,,,873.6666666666666,,,
2019-01-11 16:30:00,,,1021.2666666666667,,,778.2666666666667,,,1598.0,,,,,1598.0,,,,,905.0666666666667,,,
2019-01-11 16:45:00,,,1244.1333333333334,,,859.6666666666666,,,1664.2,,,,,1664.2,,,,,1010.1333333333333,,,
2019-01-11 17:00:00,,,1090.8,,,859.2666666666667,,,1551.4,,717.4285714285714,,,1551.4,,,,,1012.0666666666667,,,
2019-01-11 17:15:00,,,1203.9333333333334,,,880.1333333333333,,,1513.4666666666667,,1202.4,,,1513.4666666666667,,,,,1263.2,,,
2019-01-11 17:30:00,,,1385.5333333333333,,,863.1333333333333,,,1569.1333333333334,,1049.2666666666667,,,1569.1333333333334,,,,,973.0666666666667,,,
2019-01-11 17:45:00,,,1517.0,,,971.6666666666666,,,1949.0,,1427.5333333333333,,,1949.0,,,,,1046.2666666666667,,,
2019-01-11 18:00:00,,,1699.4666666666667,1100.0833333333333,,1099.0,,,2128.733333333333,,1732.9333333333334,,,2128.733333333333,,,,,1347.7333333333333,,,
2019-01-11 18:15:00,,,1618.4,1231.6666666666667,,1260.2666666666667,,,2445.0,,1404.6,,,2445.0,,,,,1520.6666666666667,,,
2019-01-11 18:30:00,,,1761.4,1644.0,,1391.3333333333333,,,2480.2,,1670.7333333333333,,,2480.2,,,,,1684.5333333333333,,,
2019-01-11 18:45:00,,,2150.0666666666666,1795.8666666666666,,1560.8666666666666,,,2592.0,,1805.8,,,2592.0,,,,,1816.0666666666666,,,
2019-01-11 19:00:00,,,2358.0,1777.1333333333334,,1679.1333333333334,,,2682.866666666667,,2109.0,,,2682.866666666667,,,,,2063.0666666666666,,,
2019-01-11 19:15:00,,,2851.4666666666667,1705.2,,1880.1333333333334,,,4385.866666666667,,2828.4,,,4385.866666666667,,,,,2265.6,,,
2019-01-11 19:30:00,,,3055.6666666666665,1837.6,,2202.4666666666667,,,3489.866666666667,,2641.4666666666667,,,3489.866666666667,,,,,2522.6666666666665,,,
2019-01-11 19:45:00,,,3094.0,1861.4666666666667,,2513.3333333333335,,,2856.4,,2876.8,,,2856.4,,,,,2662.9333333333334,,,
2019-01-11 20:00:00,,,3380.5333333333333,1963.0,,3040.866666666667,,,3266.4,,3123.0666666666666,,,3266.4,,,,,2851.2,,,
2019-01-11 20:15:00,,,3132.4,2326.6,,4815.4,,,3399.9333333333334,,2821.9333333333334,,,3399.9333333333334,,,,,3012.6,,,
2019-01-11 20:30:00,,,3220.266666666667,2599.8,,3054.6666666666665,,,4146.0,,2745.5333333333333,,,4146.0,,,,,3118.2,,,
2019-01-11 20:45:00,,,3581.266666666667,2628.0666666666666,,3257.133333333333,,,3704.733333333333,,3040.3333333333335,,,3704.733333333333,,,,,3113.2,,,
2019-01-11 21:00:00,,,3464.866666666667,2729.4666666666667,,3650.266666666667,,,3458.5333333333333,,3179.3333333333335,,,3458.5333333333333,,,,,3243.0,,,
2019-01-11 21:15:00,,,4020.4666666666667,2916.133333333333,,4178.2,,,5419.866666666667,,3720.133333333333,,,5419.866666666667,,,,,3424.9333333333334,,,
2019-01-11 21:30:00,,,3897.9333333333334,3222.0666666666666,,4051.733333333333,,,7267.933333333333,,3835.866666666667,,,7267.933333333333,,,,,3470.266666666667,,,
2019-01-11 21:45:00,,,4214.933333333333,3530.6,,4125.466666666666,,,6742.266666666666,,4077.866666666667,,,6742.266666666666,,,,,3805.0666666666666,,,
2019-01-11 22:00:00,,,4900.4,3908.866666666667,,4321.6,,,5569.133333333333,,4878.133333333333,,,5569.133333333333,,,,,3851.8,,,
2019-01-11 22:15:00,,,4487.533333333334,3886.2,,4614.333333333333,,,3786.4,,4078.8,,,3786.4,,,,,3807.133333333333,,,
2019-01-11 22:30:00,,,4285.866666666667,3976.733333333333,,4629.866666666667,,,4234.266666666666,,3908.266666666667,,,4234.266666666666,,,,,3665.6666666666665,,,
2019-01-11 22:45:00,,,4073.0666666666666,4035.4666666666667,,4793.533333333334,,,5155.266666666666,,4326.866666666667,,,5155.266666666666,,,,,3750.3333333333335,,,
2019-01-11 23:00:00,,,4190.0,4265.466666666666,,4828.466666666666,,,5179.733333333334,,4288.333333333333,,,5179.733333333334,,,,,4042.5333333333333,,,
2019-01-11 23:15:00,,,4253.266666666666,4637.6,,5254.066666666667,,,5768.933333333333,,4641.2,,,5768.933333333333,,,,,4128.8,,,
