Date/Time,2020_O_CASM_CA,8931_O_WGSQ,8445_O_BRHT,6132_O_MONG,6274_O_GNFD,8750_O_DOWN,7674_O_WMIF,8335_O_CRHT,6784_O_SQHL,1724_O_DSVL,1542_O_WIMD_WI,4431_O_WBG,3930_O_XXXX
2021-07-08 15:00:00,,,,909.2857142857143,,1037.7857142857142,,,,,,,
2021-07-08 15:15:00,,,,917.0666666666667,,993.4666666666667,,,,,,,
2021-07-08 15:30:00,,,,905.0666666666667,,944.8,,,,,,,
2021-07-08 15:45:00,,,,912.5333333333333,769.75,922.1333333333333,,,,,,,
2021-07-08 16:00:00,,,,945.1333333333333,746.7333333333333,932.2666666666667,,,,,,,
2021-07-08 16:15:00,,,,970.4,730.0,890.5333333333333,,,,,,,
2021-07-08 16:30:00,,,,967.0666666666667,574.8,943.0,,,,,,,
2021-07-08 16:45:00,,,,971.3333333333334,912.7333333333333,910.0666666666667,,,,,,,
2021-07-08 17:00:00,,,,986.0666666666667,981.0666666666667,886.4666666666667,,,,,,,
2021-07-08 17:15:00,,,,1011.2,707.2666666666667,926.2666666666667,,,,,,,
2021-07-08 17:30:00,,,,1024.6666666666667,572.0,1004.6,,,,,,,
2021-07-08 17:45:00,,,,1055.5333333333333,737.2,957.0,,,,,,,
2021-07-08 18:00:00,,,,1028.6,750.8666666666667,886.6,,,,,,,
2021-07-08 18:15:00,,,,1051.0666666666666,759.7333333333333,785.7333333333333,,,,,,,
2021-07-08 18:30:00,,,,1146.2666666666667,1019.0666666666667,756.8666666666667,,,,,,,
2021-07-08 18:45:00,,,,1214.8,1096.7333333333333,764.8,,,,,,,
2021-07-08 19:00:00,,,,2401.5333333333333,1238.2666666666667,878.2,,,,,,,
2021-07-08 19:15:00,,,,1873.9333333333334,846.0666666666667,1040.0,,,,,,,
2021-07-08 19:30:00,,,,1544.1333333333334,548.4666666666667,858.7333333333333,,,,,,,
2021-07-08 19:45:00,,,,1022.8,470.8,679.6,,,,,,,
2021-07-08 20:00:00,,,,875.4666666666667,308.53333333333336,623.6,,,,,,,
2021-07-08 20:15:00,,,,930.5333333333333,355.4,600.6666666666666,,,,,,,
2021-07-08 20:30:00,,,,664.0666666666667,590.8666666666667,583.6666666666666,,,,,,,
2021-07-08 20:45:00,,,,584.9333333333333,722.0,716.6666666666666,,,,,,,
2021-07-08 21:00:00,,702.0,,629.2666666666667,759.4666666666667,600.6,,,,,,,
2021-07-08 21:15:00,,745.4666666666667,,732.6,718.4666666666667,578.8666666666667,,,,,,,
2021-07-08 21:30:00,,824.2666666666667,,777.6666666666666,722.6666666666666,600.2666666666667,,,,,,,
2021-07-08 21:45:00,,883.2666666666667,,830.4666666666667,735.6,801.3333333333334,,,,,,,
2021-07-08 22:00:00,,966.6,,888.2666666666667,1362.6,657.0666666666667,,,,,,,
2021-07-08 22:15:00,,1193.0666666666666,,859.0,1322.3333333333333,518.4666666666667,,,,,,,
2021-07-08 22:30:00,,1429.6,,878.6,1266.2,494.4,,,,,,,
2021-07-08 22:45:00,,1573.4666666666667,,877.4,1437.8666666666666,453.93333333333334,,,,,,,
2021-07-08 23:00:00,,1691.8,,882.6666666666666,1649.4666666666667,424.8666666666667,,,,,,,
2021-07-08 23:15:00,,1391.9333333333334,,873.4666666666667,1440.6666666666667,413.4,,,,,,,
2021-07-08 23:30:00,,1325.6,,908.5333333333333,1057.0666666666666,415.8666666666667,,,,,,,
2021-07-08 23:45:00,,1333.4666666666667,,957.9333333333333,923.1333333333333,408.8666666666667,,,,,,,
2021-07-09 00:00:00,,1554.7333333333333,,1018.8,876.2666666666667,415.26666666666665,,,,,,,
2021-07-09 00:15:00,,1517.0,,988.1333333333333,896.9333333333333,406.8666666666667,,,,,,,
2021-07-09 00:30:00,,1380.0666666666666,,934.2,892.0666666666667,399.6,,,,,,,
2021-07-09 00:45:00,,1098.1333333333334,,751.6,972.0666666666667,393.93333333333334,,,,,,,
2021-07-09 01:00:00,,1184.4,,633.8,1121.6666666666667,394.0,,,,,,,
2021-07-09 01:15:00,,1283.7333333333333,,587.8666666666667,1273.6,393.6,,,,,,,
2021-07-09 01:30:00,,1358.6666666666667,,582.3333333333334,1172.1333333333334,404.8666666666667,,,,,,,
2021-07-09 01:45:00,,1349.9333333333334,,582.8,1097.6666666666667,407.8666666666667,,,,,,,
2021-07-09 02:00:00,,1336.0666666666666,,956.2666666666667,1148.4666666666667,423.0,,,,,,,
2021-07-09 02:15:00,,1302.3333333333333,,2850.266666666667,1155.5333333333333,449.26666666666665,,,,,,,
2021-07-09 02:30:00,,1337.2,,2815.4,1118.5333333333333,466.2,,,,,,,
2021-07-09 02:45:00,,1241.5333333333333,,1566.2666666666667,1016.5333333333333,471.8666666666667,,,,,,,
2021-07-09 03:00:00,,1361.5333333333333,,1209.6666666666667,967.4666666666667,510.06666666666666,,,,,,,
2021-07-09 03:15:00,,1367.9333333333334,,907.2,980.8666666666667,517.0666666666667,,,,,,,
2021-07-09 03:30:00,,1625.3333333333333,,902.4666666666667,962.6666666666666,530.6,,,,,,,
2021-07-09 03:45:00,,1655.1333333333334,,759.0666666666667,972.9333333333333,515.5333333333333,,,,,,,
2021-07-09 04:00:00,,2039.3333333333333,,642.4,1036.9333333333334,502.6666666666667,,,,,,,
2021-07-09 04:15:00,,1893.4666666666667,,1752.8666666666666,1069.8,508.26666666666665,,,,,,,
2021-07-09 04:30:00,,2037.6666666666667,,832.0,1102.4,511.46666666666664,,,,,,,
2021-07-09 04:45:00,,2255.8,,1088.6666666666667,1047.6666666666667,521.2,,,,,,,
