Date/Time,5907_O_EDWD,4634_O_NOSD,1272_O_SQHL,7984_O_PLHL,5093_O_MCCA,2467_O_BAVN,1124_O_PLUM,4924_O_WOAK,2748_O_ALPK,5166_O_AMBR,7896_O_PTBZ,4431_O_WBG,7872_O_SPHL
2026-02-10 20:00:00,,,,,,89.33333333,,,,,,,
2026-02-13 14:45:00,,,,,59.5,,,,,,,,
2026-02-13 15:00:00,,,,,70.33333333,48.36363636,,,,,,,
2026-02-13 15:15:00,,,,,92.46666667,59.33333333,,,,,,,
2026-02-13 15:30:00,,,,,84.86666667,64,,,,,,,
2026-02-13 15:45:00,,,,,87.66666667,59.2,,,,,,,
2026-02-13 16:00:00,,,,,84.66666667,72.66666667,,,,,,,
2026-02-13 16:15:00,,,,,82.4,76.86666667,,,,,,,
2026-02-13 16:30:00,,,,,88.2,66.26666667,,,,,,,
2026-02-13 16:45:00,,,,,86.2,58.06666667,,,,,,,
2026-02-13 17:00:00,,,,,87.13333333,61.86666667,,,,,,,
2026-02-13 17:15:00,,,,,90.8,61.53333333,,,,,,,
2026-02-13 17:30:00,,,,,92.53333333,60.86666667,,,,,,,
2026-02-13 17:45:00,,,,,95.53333333,54,,,,,,,
2026-02-13 18:00:00,,,,,105.9333333,58.53333333,,,,,,,
2026-02-13 18:15:00,,,,,110.6666667,61.53333333,,,,,,,
2026-02-13 18:30:00,,,,,119.0666667,65.46666667,,,,,,,
2026-02-13 18:45:00,,,,,135.8,68.6,,,,,,,
2026-02-13 19:00:00,,,,,144.8666667,68.53333333,,,,,,,
2026-02-13 19:15:00,,,,,191,81.6,,,,,,,
2026-02-13 19:30:00,,,,,170.6,105.2,,,,,,,
2026-02-13 19:45:00,,,,,173.9333333,132.8,,,,,,,
2026-02-13 20:00:00,,,,,186.8,122.6666667,,,,,,,
2026-02-13 20:15:00,,,,,194.7333333,122.5333333,,,,,,,
2026-02-13 20:30:00,,,,,243.3333333,110.7333333,,,,,,,
2026-02-13 20:45:00,,,,,259.9333333,120.4666667,,,,,,,
2026-02-13 21:00:00,,,,,248.2666667,138.4,,,,,,,
2026-02-13 21:15:00,,,,,313.0666667,163.4666667,,,,,,,
2026-02-13 21:30:00,,,,,310.0666667,149.1333333,,,,,,,
2026-02-13 21:45:00,,,,,275,176.2,,,,,,,
2026-02-13 22:00:00,,,,,268.8666667,155.4666667,,,,,,,
2026-02-13 22:15:00,,,,,278.5333333,164,,,,,,,
2026-02-13 22:30:00,,,,,291.6,167.5333333,,,,,,,
2026-02-13 22:45:00,,,,,300.6,169.8666667,,,,,,,
2026-02-13 23:00:00,,,,,324.5333333,169.5333333,,,,,,,
2026-02-13 23:15:00,,,,,322.5333333,125.5333333,,,,,,,
2026-02-13 23:30:00,,,,,319.8,144.7333333,,,,,,,
2026-02-13 23:45:00,,,,,300.3333333,166.6,,,,,,,
2026-02-14 0:00:00,,,,,335.2666667,154,,,,,,,
2026-02-14 0:15:00,,,,,369.5333333,144.2666667,,,,,,,
2026-02-14 0:30:00,,,,,428.6666667,151.2666667,,,,,,,
2026-02-14 0:45:00,,,,,328.5333333,168.4666667,,,,,,,
2026-02-14 1:00:00,,,,,324.5333333,150.6666667,,,,,,,
2026-02-14 1:15:00,,,,,314.6,156.9333333,,,,,,,
2026-02-14 1:30:00,,,,,310.1333333,166.2666667,,,,,,,
2026-02-14 1:45:00,,,,,305.9333333,156.5333333,,,,,,,
2026-02-14 2:00:00,,,,,300.5333333,157.5333333,,,,,,,
2026-02-14 2:15:00,,,,,295.0666667,152.8666667,,,,,,,
2026-02-14 2:30:00,,,,,277.2,139.0666667,,,,,,,
2026-02-14 2:45:00,,,,,268.6666667,122.2,,,,,,,
2026-02-14 3:00:00,,,,,261.8,128.8666667,,,,,,,
2026-02-14 3:15:00,,,,,267.1333333,149.3333333,,,,,,,
2026-02-14 3:30:00,,,,,270.2,154.9333333,,,,,,,
2026-02-14 3:45:00,,,,,244.8666667,147.2666667,,,,,,,
2026-02-14 4:00:00,,,,,241.1333333,138.2,,,,,,,
2026-02-14 4:15:00,,,,,240.9333333,129.4666667,,,,,,,
2026-02-14 4:30:00,,,,,223.2,130.2,,,,,,,
2026-02-14 4:45:00,,,,,206.8,122.6666667,,,,,,,
2026-02-14 5:00:00,,,,,203.2,121.3333333,,,,,,,
2026-02-14 5:15:00,,,,,204.7333333,116.2,,,,,,,
2026-02-14 5:30:00,,,,,206.4,103.6666667,,,,,,,
2026-02-14 5:45:00,,,,,203.6,96.46666667,,,,,,,
2026-02-14 6:00:00,,,,,199.6666667,97.33333333,,,,,,,
2026-02-14 6:15:00,,,,,209.7333333,98.53333333,,,,,,,
2026-02-14 6:30:00,,,,,207.1333333,97.2,,,,,,,
2026-02-14 6:45:00,,,,,226.3333333,96.33333333,,,,,,,
2026-02-14 7:00:00,,,,,238.6,101.8666667,,,,,,,
2026-02-14 7:15:00,,,,,262.7333333,100.6666667,,,,,,,
2026-02-14 7:30:00,,,,,243.4666667,94.66666667,,,,,,,
2026-02-14 7:45:00,,,,,251.8,92.26666667,,,,,,,
2026-02-14 8:00:00,,,,,236.4666667,84,,,,,,,
2026-02-14 8:15:00,,,,,203.0666667,88.33333333,,,,,,,
2026-02-14 8:30:00,,,,,177.5333333,93.26666667,,,,,,,
2026-02-14 8:45:00,,,,,157.8,96.33333333,,,,,,,
2026-02-14 9:00:00,,,,,138.6666667,89.46666667,,,,,,,
2026-02-14 9:15:00,,,,,137.6,75.8,,,,,,,
2026-02-14 9:30:00,,,,,134.9333333,66.2,,,,,,,
2026-02-14 9:45:00,,,,,125.1333333,61.66666667,,,,,,,
2026-02-14 10:00:00,,,,,131.8666667,62.66666667,,,,,64.5,,
2026-02-14 10:15:00,,,,,131.3333333,74.46666667,,,,,63.86666667,,
2026-02-14 10:30:00,,,,,120.9333333,80.33333333,,,,,58.4,,
2026-02-14 10:45:00,,,,,110.4666667,91.26666667,,,,,60.93333333,,
2026-02-14 11:00:00,,,,,113.5333333,90.73333333,,,,,62,,
2026-02-14 11:15:00,,,,,103.2,86.46666667,,,,,57.93333333,,
2026-02-14 11:30:00,,,,,99.8,82.2,,,,,56,,
2026-02-14 11:45:00,,,,,91.73333333,68.86666667,,,,,57.73333333,,
2026-02-14 12:00:00,,,,,86.8,70.26666667,,,,,51.6,,
2026-02-14 12:15:00,,,,,92.2,64.2,,,,,53.66666667,,
2026-02-14 12:30:00,,,,,85.73333333,61.66666667,,,,,56.8,,
2026-02-14 12:45:00,,,,,85.53333333,57.33333333,,,,,52.26666667,,
2026-02-14 13:00:00,,,,,79.13333333,55.66666667,,,,,55.26666667,,
2026-02-14 13:15:00,,,,,78.4,62,,,,,64.13333333,,
2026-02-14 13:30:00,,,,,77.8,55.33333333,,,,,57.8,,
2026-02-14 13:45:00,,,,,79.6,54.26666667,,,,,57.26666667,,
2026-02-14 14:00:00,,,,,76.86666667,50.2,,,,,53.8,,
2026-02-14 14:15:00,,,,,75.93333333,52.73333333,,,,,53.26666667,,
2026-02-14 14:30:00,,,,,76.13333333,48.6,,,,,51.93333333,,
2026-02-14 14:45:00,,,,,77.33333333,50.46666667,,,,,53.26666667,,
2026-02-14 15:00:00,,,,,80.13333333,48.93333333,,,,,53.06666667,,
