Date/Time,1342_O_CLRN,7218_O_ETNA,8029_O_ETNA,2384_O_MILL,5571_O_BUFF,5624_O_BUFF,4880_O_DOWN,5651_O_SHRP,4365_O_ETNA,2071_O_NOSD,4431_O_WBG,6959_O_BRHT,5106_O_ETNA,8119_O_SHRP,4135_O_SHRP,1754_O_SHRP,8457_O_NSEW,8749_O_CNTP
2019-07-25 15:00:00,,,,,2384.785714285714,2384.785714285714,,,,,,824.4285714285714,,,,,,
2019-07-25 15:15:00,,,,,789.2666666666667,789.2666666666667,,,,,,843.0,,,,,,
2019-07-25 15:30:00,,,,,669.3333333333334,669.3333333333334,,,,,,789.3333333333334,,,,,,
2019-07-25 15:45:00,,,,,688.6666666666666,688.6666666666666,,,,,,768.7333333333333,,,,,,
2019-07-25 16:00:00,,,,,676.5333333333333,676.5333333333333,,,,,,753.6,,,,,,
2019-07-25 16:15:00,,,,,707.5333333333333,707.5333333333333,,,,,,737.2666666666667,,,,,,
2019-07-25 16:30:00,,,,,686.6,686.6,,,,,,748.2666666666667,,340.84615384615387,340.84615384615387,,,
2019-07-25 16:45:00,,,,,709.5333333333333,709.5333333333333,,,,,,769.4666666666667,,162.33333333333334,162.33333333333334,,,
2019-07-25 17:00:00,,,,,711.2,711.2,,,,,,772.5333333333333,,167.06666666666666,167.06666666666666,,,
2019-07-25 17:15:00,,,,,727.2666666666667,727.2666666666667,,,,,,770.5333333333333,,200.53333333333333,200.53333333333333,,,
2019-07-25 17:30:00,,,,,770.1333333333333,770.1333333333333,,,,,,772.2666666666667,,205.93333333333334,205.93333333333334,,,
2019-07-25 17:45:00,,,,,726.2666666666667,726.2666666666667,,,,,,791.2666666666667,,216.2,216.2,,,
2019-07-25 18:00:00,,,,,767.8666666666667,767.8666666666667,,,,,,758.4,,282.8,282.8,,,
2019-07-25 18:15:00,,,,,766.5333333333333,766.5333333333333,,,,,,752.5333333333333,,326.26666666666665,326.26666666666665,,,
2019-07-25 18:30:00,,,,,785.6666666666666,785.6666666666666,,,,,,774.4666666666667,,354.0,354.0,,,
2019-07-25 18:45:00,,,,,995.4,995.4,,,,,,836.9333333333333,,361.6,361.6,,,
2019-07-25 19:00:00,,,,,1004.4666666666667,1004.4666666666667,,,,,,798.9333333333333,,410.8,410.8,,,
2019-07-25 19:15:00,,,,,1137.2,1137.2,,,,,,767.9333333333333,,436.3333333333333,436.3333333333333,,,
2019-07-25 19:30:00,,,,,958.6,958.6,,,,,,786.1333333333333,,624.3333333333334,624.3333333333334,,,
2019-07-25 19:45:00,,,,,899.4666666666667,899.4666666666667,,,,,,1567.8666666666666,,857.4666666666667,857.4666666666667,,,
2019-07-25 20:00:00,,,,,962.1333333333333,962.1333333333333,,,,,,901.8666666666667,,715.2666666666667,715.2666666666667,,,
2019-07-25 20:15:00,,,,,1056.6666666666667,1056.6666666666667,,,,,,878.4666666666667,,628.2,628.2,,,
2019-07-25 20:30:00,,,,,1101.4666666666667,1101.4666666666667,,,,,,1953.7333333333333,,622.7333333333333,622.7333333333333,,,
2019-07-25 20:45:00,,,,,1122.5333333333333,1122.5333333333333,,,,,,1038.8,,692.2,692.2,,,
2019-07-25 21:00:00,,,,,1127.5333333333333,1127.5333333333333,,,,,,1101.6666666666667,,720.2,720.2,,,
2019-07-25 21:15:00,,,,,1192.0,1192.0,,,,,,1212.2666666666667,,717.6,717.6,,,
2019-07-25 21:30:00,,,,,1222.6,1222.6,,,,,,1249.6,,738.5333333333333,738.5333333333333,,,
2019-07-25 21:45:00,,,,,1261.4666666666667,1261.4666666666667,,,,,,1249.6666666666667,,840.8,840.8,,,
2019-07-25 22:00:00,,,,,1299.6666666666667,1299.6666666666667,,,,,,1352.4,,848.1333333333333,848.1333333333333,,,
2019-07-25 22:15:00,,,,,1402.8666666666666,1402.8666666666666,,,,,,1682.3333333333333,,833.2666666666667,833.2666666666667,,,
2019-07-25 22:30:00,,,,,1455.7333333333333,1455.7333333333333,,,,,,1864.6,,870.2,870.2,,,
2019-07-25 22:45:00,,,,,1476.5333333333333,1476.5333333333333,,,,,,2245.133333333333,,944.2666666666667,944.2666666666667,,,
2019-07-25 23:00:00,,,,,1535.7333333333333,1535.7333333333333,,,,,,2564.733333333333,,929.4,929.4,,,
2019-07-25 23:15:00,,,,,1569.2,1569.2,,,,,,2964.866666666667,,963.2,963.2,,,
2019-07-25 23:30:00,,,,,1629.1333333333334,1629.1333333333334,,,,,,3339.9333333333334,,1011.2,1011.2,,,
2019-07-25 23:45:00,,,,,1679.0,1679.0,,,,,,4862.333333333333,,1040.8666666666666,1040.8666666666666,,,
2019-07-26 00:00:00,,,,,1759.0666666666666,1759.0666666666666,,,,,,5161.6,,1024.7333333333333,1024.7333333333333,,,
2019-07-26 00:15:00,,,,,1766.3333333333333,1766.3333333333333,,,,,,5427.2,,1015.3333333333334,1015.3333333333334,,,
2019-07-26 00:30:00,,,,,1779.2666666666667,1779.2666666666667,,,,,,5559.533333333334,,1031.2666666666667,1031.2666666666667,,,
2019-07-26 00:45:00,,,,,1832.6,1832.6,,,,,,7061.533333333334,,1132.6,1132.6,,,
2019-07-26 01:00:00,,,,,1808.2,1808.2,,,,,,6620.733333333334,,1081.8,1081.8,,,
2019-07-26 01:15:00,,,,,1796.0,1796.0,,,,,,8075.933333333333,,1093.2666666666667,1093.2666666666667,,,
2019-07-26 01:30:00,,,,,1847.5333333333333,1847.5333333333333,,,,,,8161.0,,1122.7333333333333,1122.7333333333333,,,
