Date/Time,3992_O_CABK_CA,1924_O_WABH_CA,3396_O_TRAF,7808_O_SQHS,2404_O_CLRN ,6007_O_BRHT,1222_O_RGSQ,5874_O_MTLE,4611_O_SHLR ,8195_O_KSOP_KS,7603_O_DORM,7185_O_LWCV,3709_O_MEPL_ME,6704_O_PERN,6530_O_CASC,6352_O_TRTM
2020-11-05 15:00:00,,,,,,,,,584.3571428571429,,,,,584.4285714285714,875.9285714285714,
2020-11-05 15:15:00,,,,,,,,,700.2,,,,,545.2666666666667,1179.3333333333333,
2020-11-05 15:30:00,,,,,,,,,586.0,,,,,539.1333333333333,1204.6,
2020-11-05 15:45:00,,,,,,,,,603.1333333333333,,,,,544.0,1203.2,
2020-11-05 16:00:00,,,,,,,,,647.3333333333334,,,,,544.5333333333333,1460.9333333333334,
2020-11-05 16:15:00,,,,,,,,,608.0666666666667,,,,,581.4666666666667,1425.6,
2020-11-05 16:30:00,,,,,,,,,651.7333333333333,,,,,590.1333333333333,1295.0666666666666,
2020-11-05 16:45:00,,,,,,,,,632.0,,,,,624.3333333333334,1593.0,
2020-11-05 17:00:00,,,,,,,,,626.2666666666667,,,,,623.0,1656.5333333333333,
2020-11-05 17:15:00,,,,,,,,,686.8,,,,,647.2,2076.133333333333,
2020-11-05 17:30:00,,,,,,,,,693.5333333333333,,,,,657.6,2425.133333333333,
2020-11-05 17:45:00,,,,,,,,,701.8666666666667,,,,,692.5333333333333,2743.6666666666665,
2020-11-05 18:00:00,,,,,,,,,778.5333333333333,,,,,774.4666666666667,2509.733333333333,
2020-11-05 18:15:00,,,,,,,,,809.0,,,,,840.7333333333333,1925.9333333333334,
2020-11-05 18:30:00,,,,,,,,,907.6666666666666,,,,,1010.7333333333333,2023.5333333333333,
2020-11-05 18:45:00,,,,,,,,,898.2,,,,,1129.9333333333334,1838.2666666666667,
2020-11-05 19:00:00,,,,,,,,,847.2,,,,,1311.1333333333334,1748.1333333333334,
2020-11-05 19:15:00,,,,,,,,,827.0,,,,,1426.8666666666666,1952.2,
2020-11-05 19:30:00,,,,,,,,,849.4666666666667,,,,,1250.8,1994.5333333333333,
2020-11-05 19:45:00,,,,,,,,,963.8,3683.0,,,,1335.5333333333333,2117.266666666667,
2020-11-05 20:00:00,,,,,,,,,948.6666666666666,1803.3333333333333,,,,1260.6666666666667,1980.9333333333334,
2020-11-05 20:15:00,,,,,,,,,1028.2,1769.0666666666666,,,,1190.6666666666667,1880.4666666666667,
2020-11-05 20:30:00,,,,,,,,,1172.8,1905.8666666666666,,,,1160.8,1765.2666666666667,
2020-11-05 20:45:00,,,,,,,,,1249.8666666666666,1980.6666666666667,,,,1326.7333333333333,1776.0,
2020-11-05 21:00:00,,,,,,,,,1173.6,1963.8,,,,1646.0,1813.3333333333333,
2020-11-05 21:15:00,,,,,,,,,1139.1333333333334,1790.2666666666667,,,,1499.0,2210.4,
2020-11-05 21:30:00,,,,,,,,,1139.3333333333333,1638.6,,,,1482.4,3529.2,
2020-11-05 21:45:00,,,,,,,,,1184.9333333333334,1595.6666666666667,,,,1348.0666666666666,2842.5333333333333,
2020-11-05 22:00:00,,,,,,,,,1425.7333333333333,1531.2666666666667,,,,1294.0,2463.2,
2020-11-05 22:15:00,,,,,,,,,1538.9333333333334,1414.7333333333333,,,,1228.6,2628.6,
2020-11-05 22:30:00,,,,,,,,,1614.4,1308.7333333333333,,,,1295.6666666666667,2540.4666666666667,
2020-11-05 22:45:00,,,,,,,,,1877.3333333333333,1260.8,,,,1211.1333333333334,2303.0666666666666,
2020-11-05 23:00:00,,,,,,,,,2130.0,1296.1333333333334,,,,1057.4,2569.266666666667,
2020-11-05 23:15:00,,,,,,,,,1580.3333333333333,1345.5333333333333,,,,1050.2,2422.266666666667,
2020-11-05 23:30:00,,,,,,,,,1473.0666666666666,1370.2,,,,1192.0666666666666,2257.2,
2020-11-05 23:45:00,,,,,,,,,1167.3333333333333,1440.6,,,,1388.6666666666667,2369.5333333333333,
2020-11-06 00:00:00,,,,,,,,,1144.8666666666666,1481.6666666666667,,,,1910.8,3055.133333333333,
2020-11-06 00:15:00,,,,,,,,,1167.2,1427.8666666666666,,,,1603.1333333333334,2563.0666666666666,
2020-11-06 00:30:00,,,,,,,,,1155.3333333333333,1501.7333333333333,,,,1491.0666666666666,2396.4,
2020-11-06 00:45:00,,,,,,,,,1162.4666666666667,1507.4666666666667,,,,1438.7333333333333,2354.133333333333,
2020-11-06 01:00:00,,,,,,,,,1145.8,1480.4,,,,1504.1333333333334,3334.6666666666665,
2020-11-06 01:15:00,,,,,,,,,1205.4,1386.7333333333333,,,,1514.2666666666667,4577.933333333333,
2020-11-06 01:30:00,,,,,,,,,1265.4,1336.2,,,,1549.4,4721.133333333333,
2020-11-06 01:45:00,,,,,,,,,1308.8666666666666,1321.5333333333333,,,,1610.3333333333333,4472.8,
2020-11-06 02:00:00,,,,,,,,,1687.0666666666666,1317.3333333333333,,,,1645.0666666666666,1998.0666666666666,
2020-11-06 02:15:00,,,,,,,,,1892.8666666666666,1315.4666666666667,,,,1655.4666666666667,1885.9333333333334,
2020-11-06 02:30:00,,,,,,,,,1891.2666666666667,1323.4666666666667,,,,1644.1333333333334,2073.4,
2020-11-06 02:45:00,,,,,,,,,1892.8666666666666,1369.3333333333333,,,,1677.4666666666667,2807.4666666666667,
2020-11-06 03:00:00,,,,,,,,,1867.0,1346.2,,,,1672.2,3133.0666666666666,
2020-11-06 03:15:00,,,,,,,,,1947.7333333333333,1382.0,,,,1681.4,3579.266666666667,
