Date/Time,7543_O_MILL,5571_O_BUFF,2557_O_SHADY,2661_O_ELOT,1768_O_WLKG,2071_O_NOSD,6582_O_OAKD,2281_O_HiPK,8997_O_XXXX,4530_O_CNTP,1502_O_BLPK,4431_O_WBG,8100_O_PTBZ,4710_O_SQHN,6949_O_CHWK,6561_O_MRSD,8356_O_OHRA,5179_O_SHRP,3555_O_SCLL,8941_O_MTLE,5679_O_BLOO,4387_O_EDWD
2017-11-11 15:00:00,27.928571428571427,,37.5,,33.214285714285715,,33.142857142857146,38.857142857142854,,23.714285714285715,33.57142857142857,21.285714285714285,,,42.857142857142854,32.142857142857146,24.571428571428573,27.428571428571427,,,32.57142857142857,37.92857142857143
2017-11-11 15:15:00,30.733333333333334,,36.8,,30.333333333333332,,32.4,36.93333333333333,8.75,23.866666666666667,34.8,28.0,,,31.6,31.4,24.466666666666665,28.733333333333334,,,30.866666666666667,44.13333333333333
2017-11-11 15:30:00,39.06666666666667,,33.53333333333333,,30.733333333333334,,38.13333333333333,37.53333333333333,8.266666666666667,24.2,33.4,26.133333333333333,,,38.46666666666667,32.733333333333334,25.6,26.533333333333335,,,30.6,45.4
2017-11-11 15:45:00,31.6,,29.933333333333334,,33.4,,32.733333333333334,40.733333333333334,7.933333333333334,24.466666666666665,33.666666666666664,24.666666666666668,,,44.666666666666664,29.266666666666666,27.4,28.866666666666667,,,32.666666666666664,40.86666666666667
2017-11-11 16:00:00,31.8,,31.866666666666667,,35.13333333333333,,32.6,42.6,8.933333333333334,26.333333333333332,33.266666666666666,32.06666666666667,,,79.2,32.6,27.0,29.133333333333333,,,33.93333333333333,45.6
2017-11-11 16:15:00,35.46666666666667,,38.13333333333333,,35.0,,34.13333333333333,40.6,8.4,26.4,35.266666666666666,36.4,,,51.13333333333333,34.13333333333333,25.466666666666665,30.0,,,36.0,47.8
2017-11-11 16:30:00,33.8,,35.333333333333336,,38.86666666666667,,35.06666666666667,40.6,8.0,24.733333333333334,39.4,71.33333333333333,,,44.53333333333333,41.6,25.0,39.86666666666667,,,32.4,46.86666666666667
2017-11-11 16:45:00,39.06666666666667,,41.13333333333333,,38.13333333333333,,35.333333333333336,40.8,8.133333333333333,27.866666666666667,41.333333333333336,69.2,,,35.6,51.93333333333333,24.066666666666666,28.733333333333334,,,34.06666666666667,46.06666666666667
2017-11-11 17:00:00,43.93333333333333,,52.266666666666666,,43.4,,35.8,58.13333333333333,9.6,28.2,39.13333333333333,49.266666666666666,,,35.46666666666667,44.0,26.6,34.4,,,35.46666666666667,69.53333333333333
2017-11-11 17:15:00,36.86666666666667,,48.06666666666667,,46.86666666666667,,37.666666666666664,42.4,8.933333333333334,33.8,42.93333333333333,39.46666666666667,,,33.93333333333333,56.13333333333333,25.266666666666666,30.8,,,39.2,55.2
2017-11-11 17:30:00,40.2,,45.733333333333334,,48.0,,46.13333333333333,45.733333333333334,8.933333333333334,36.2,46.666666666666664,56.13333333333333,,,35.8,57.6,25.133333333333333,47.8,,,34.333333333333336,53.666666666666664
2017-11-11 17:45:00,48.6,,56.13333333333333,,52.666666666666664,,48.86666666666667,49.06666666666667,8.266666666666667,34.733333333333334,54.86666666666667,48.4,,,39.13333333333333,58.06666666666667,26.933333333333334,41.86666666666667,,,37.8,58.2
2017-11-11 18:00:00,51.53333333333333,,51.666666666666664,,61.93333333333333,,44.46666666666667,50.0,9.2,33.46666666666667,49.266666666666666,44.733333333333334,,,114.8,54.666666666666664,27.533333333333335,34.733333333333334,,,39.86666666666667,66.33333333333333
2017-11-11 18:15:00,47.333333333333336,,53.0,,60.46666666666667,,45.6,60.86666666666667,9.466666666666667,31.666666666666668,52.266666666666666,51.733333333333334,,,78.93333333333334,50.13333333333333,34.53333333333333,42.6,,,56.8,57.46666666666667
2017-11-11 18:30:00,61.333333333333336,,52.333333333333336,,57.733333333333334,,49.86666666666667,61.13333333333333,9.933333333333334,32.93333333333333,55.2,59.86666666666667,,,91.0,36.333333333333336,36.8,39.666666666666664,,,55.266666666666666,56.666666666666664
2017-11-11 18:45:00,85.26666666666667,,59.666666666666664,,59.53333333333333,,54.8,57.8,11.266666666666667,40.733333333333334,89.2,55.733333333333334,,,169.4,64.86666666666666,40.333333333333336,38.46666666666667,,,61.53333333333333,65.4
2017-11-11 19:00:00,183.0,,72.6,,62.8,,80.6,71.46666666666667,11.533333333333333,47.333333333333336,84.8,51.2,,,110.13333333333334,74.4,34.333333333333336,41.86666666666667,,,63.4,69.46666666666667
2017-11-11 19:15:00,289.93333333333334,,90.13333333333334,,64.2,,119.33333333333333,61.733333333333334,16.933333333333334,43.13333333333333,113.8,43.8,,,100.4,69.13333333333334,34.2,45.93333333333333,,,62.8,75.33333333333333
2017-11-11 19:30:00,81.46666666666667,,89.46666666666667,,64.53333333333333,,124.0,69.6,16.733333333333334,42.266666666666666,116.6,46.333333333333336,,,127.73333333333333,51.666666666666664,36.266666666666666,47.0,,,57.4,86.4
2017-11-11 19:45:00,107.26666666666667,,89.26666666666667,,60.6,,128.6,77.33333333333333,15.4,43.13333333333333,105.46666666666667,48.53333333333333,,,95.86666666666666,53.666666666666664,35.46666666666667,48.733333333333334,,,65.26666666666667,101.53333333333333
2017-11-11 20:00:00,82.26666666666667,52.375,127.4,,58.13333333333333,,109.0,65.13333333333334,14.866666666666667,43.13333333333333,116.0,48.6,,,81.4,79.73333333333333,35.06666666666667,52.4,,,74.6,98.8
