Date/Time,6312_O_SQHS,5444_O_HMSD,3127_O_PTBZ,3914_O_SOSD,6018_O_PTBZ,6017_O_BRHT,2676_O_ESLG,3555_O_SCLL,4431_O_WBG,5571_O_BUFF,6582_O_OAKD,1502_O_BLPK,8941_O_MTLE,5179_O_SHRP,2071_O_NOSD,8356_O_OHRA,4530_O_CNTP,4387_O_EDWD,5878_O_BLOO,5679_O_BLOO,5624_O_BUFF
2017-12-10 15:00:00,20.071428571428573,24.857142857142858,25.0,24.071428571428573,,23.5,,13.5,18.857142857142858,20.428571428571427,20.428571428571427,,30.571428571428573,,26.928571428571427,23.714285714285715,,35.0,,30.785714285714285,
2017-12-10 15:15:00,20.6,23.333333333333332,20.533333333333335,26.133333333333333,,22.4,,13.866666666666667,16.5,19.4,17.266666666666666,,34.93333333333333,,25.533333333333335,25.2,,39.4,,26.333333333333332,
2017-12-10 15:30:00,18.133333333333333,22.533333333333335,21.2,26.533333333333335,,18.4,,12.6,,20.8,20.266666666666666,,28.933333333333334,,23.866666666666667,22.4,,32.0,,26.333333333333332,
2017-12-10 15:45:00,19.8,20.0,21.266666666666666,25.733333333333334,,21.066666666666666,,12.0,,24.666666666666668,19.2,,32.13333333333333,,24.333333333333332,22.933333333333334,,29.866666666666667,,24.133333333333333,
2017-12-10 16:00:00,18.866666666666667,30.2,22.333333333333332,27.066666666666666,,22.466666666666665,,14.6,,38.06666666666667,19.933333333333334,,26.066666666666666,,24.866666666666667,21.666666666666668,,29.133333333333333,,25.0,
2017-12-10 16:15:00,19.0,25.466666666666665,21.333333333333332,25.933333333333334,,20.333333333333332,,12.733333333333333,,21.8,20.933333333333334,,25.466666666666665,,29.733333333333334,21.0,,31.8,,23.066666666666666,
2017-12-10 16:30:00,33.333333333333336,72.6,23.333333333333332,36.4,,23.333333333333332,,13.4,,21.2,23.666666666666668,,27.666666666666668,,31.066666666666666,20.933333333333334,,30.133333333333333,,23.133333333333333,
2017-12-10 16:45:00,22.866666666666667,57.733333333333334,21.666666666666668,30.266666666666666,,20.733333333333334,,11.2,,22.733333333333334,22.266666666666666,,27.466666666666665,,32.333333333333336,20.533333333333335,,27.066666666666666,,23.866666666666667,
2017-12-10 17:00:00,22.866666666666667,51.06666666666667,24.933333333333334,55.8,,22.2,,13.333333333333334,,23.6,22.333333333333332,,28.666666666666668,,29.466666666666665,20.133333333333333,,29.6,,24.133333333333333,
2017-12-10 17:15:00,20.666666666666668,37.333333333333336,23.2,56.86666666666667,,21.0,,13.533333333333333,,23.933333333333334,23.266666666666666,,29.866666666666667,,29.4,22.133333333333333,,30.333333333333332,,23.8,
2017-12-10 17:30:00,20.733333333333334,35.733333333333334,22.4,28.466666666666665,,21.6,,14.4,,23.6,25.266666666666666,,34.86666666666667,,36.93333333333333,22.4,,30.866666666666667,,26.133333333333333,
