Date/Time,1955_O_PETE,2071_O_NOSD,2427_O_ELIB,2963_O_LWCV,4431_O_WBG,4645_O_SOSD,5571_O_BUFF,5624_O_BUFF,5938_O_SOSD,6227_O_ELIB,7543_O_MILL,8185_O_SWPK,8581_O_SOSD
2016-08-05 15:00:00,,,,,1205.357142857143,,426.6428571428572,426.6428571428572,,490.4285714285714,,,413.8571428571428
2016-08-05 15:15:00,,,,,1167.0,,487.26666666666665,487.26666666666665,,470.33333333333326,,,377.53333333333336
2016-08-05 15:30:00,,,,,1205.4666666666667,,456.53333333333336,456.53333333333336,,461.73333333333335,,,414.66666666666674
2016-08-05 15:45:00,,,,,887.0,639.9285714285714,443.4666666666666,443.4666666666666,,478.9333333333333,,,410.4666666666666
2016-08-05 16:00:00,,,,,1172.5333333333333,392.73333333333335,524.1333333333333,524.1333333333333,,556.1333333333333,,,407.33333333333326
2016-08-05 16:15:00,,,,,901.2,380.4,513.6,513.6,,472.4666666666666,,,404.9333333333333
2016-08-05 16:30:00,,,,,685.0666666666667,312.8,512.0666666666667,512.0666666666667,,446.33333333333326,,,318.0
2016-08-05 16:45:00,,,,,658.6666666666666,293.6666666666667,549.7333333333332,549.7333333333332,,435.73333333333335,,,288.8666666666667
2016-08-05 17:00:00,,,,,702.3333333333335,293.06666666666666,607.4666666666667,607.4666666666667,,419.86666666666673,,,264.8
2016-08-05 17:15:00,,,,,695.5333333333333,273.46666666666664,652.2,652.2,,458.73333333333335,,,242.6
2016-08-05 17:30:00,,,,,578.2666666666668,278.8,645.9333333333333,645.9333333333333,,431.9333333333333,,,263.0
2016-08-05 17:45:00,,,,,469.86666666666673,257.93333333333334,625.4666666666667,625.4666666666667,,437.13333333333327,,,248.9333333333333
2016-08-05 18:00:00,,,,,441.06666666666666,262.46666666666664,590.2,590.2,,488.13333333333327,,,226.33333333333331
2016-08-05 18:15:00,,,,,446.4,271.3333333333333,643.2,643.2,,567.0,,,254.4
2016-08-05 18:30:00,,,,,540.4,291.6,701.0666666666667,701.0666666666667,,450.8,,,275.6666666666667
2016-08-05 18:45:00,,,,,868.0,348.26666666666665,695.0666666666667,695.0666666666667,,469.0,,,340.6
2016-08-05 19:00:00,,,,,1022.7333333333332,379.26666666666665,689.7333333333332,689.7333333333332,,493.3076923076923,,,376.2
2016-08-05 19:15:00,,,,,1262.5333333333333,436.6,729.4,729.4,,339.375,,,424.0
2016-08-05 19:30:00,,,,,1329.4666666666667,382.8,796.0666666666667,796.0666666666667,,391.53333333333336,,,390.4
2016-08-05 19:45:00,,,,,1362.2666666666667,384.86666666666673,950.3333333333335,950.3333333333335,,348.46666666666664,,,379.0
2016-08-05 20:00:00,,,,,1580.0666666666666,387.53333333333336,1066.8,1066.8,,479.13333333333327,,,374.4
2016-08-05 20:15:00,,,,,1655.7333333333331,466.86666666666673,1171.2666666666667,1171.2666666666667,,593.4,,,369.6
2016-08-05 20:30:00,,,,,1899.466666666667,393.2,1275.2,1275.2,,606.4666666666667,,,378.26666666666665
2016-08-05 20:45:00,,,,,1965.666666666667,394.0,1384.1333333333334,1384.1333333333334,,514.0666666666667,,,363.9333333333333
2016-08-05 21:00:00,,,,,1980.666666666667,358.7333333333333,1462.466666666667,1462.466666666667,,506.86666666666673,,,353.06666666666666
2016-08-05 21:15:00,,,,,2023.6,340.73333333333335,1600.7333333333331,1600.7333333333331,,514.1333333333333,,,350.4
2016-08-05 21:30:00,,,,,1863.6,386.8,1702.0,1702.0,,544.8,,,390.2
2016-08-05 21:45:00,,,,,1748.7333333333331,459.73333333333335,1828.7333333333331,1828.7333333333331,,583.0666666666667,,,444.9333333333333
2016-08-05 22:00:00,,,,,1756.8666666666666,578.1333333333333,1960.0666666666666,1960.0666666666666,,624.8,,,482.66666666666674
2016-08-05 22:15:00,,,,,1807.2,604.6,2008.8666666666666,2008.8666666666666,,666.6,,,560.0
2016-08-05 22:30:00,,,,,1891.6,631.6,2093.933333333333,2093.933333333333,,746.8,,,592.2666666666668
2016-08-05 22:45:00,,,,,1988.0,636.2666666666668,2163.0,2163.0,959.0,819.7333333333332,,,615.4
2016-08-05 23:00:00,,,,,2133.6666666666665,759.8,2338.333333333333,2338.333333333333,1050.8666666666666,849.2,,,692.4
2016-08-05 23:15:00,,,,,1980.6,758.5333333333333,2476.333333333333,2476.333333333333,1196.8,898.9333333333333,,,755.5333333333333
2016-08-05 23:30:00,,,,,1999.333333333333,860.1333333333333,2367.0,2367.0,1303.8,935.0666666666667,,,849.4666666666667
2016-08-05 23:45:00,,,,,2077.133333333333,899.0666666666667,2279.0666666666666,2279.0666666666666,1352.7333333333333,1003.4666666666667,,,901.1333333333333
2016-08-06 00:00:00,,,,,2030.466666666667,969.1333333333333,2209.6,2209.6,1363.2,1139.2,,,918.2666666666668
2016-08-06 00:15:00,,,,,1927.1333333333332,1083.3333333333333,2262.6,2262.6,1723.0,1222.6,,,978.9333333333333
2016-08-06 00:30:00,,,,,1838.466666666667,1027.3333333333333,2403.0666666666666,2403.0666666666666,3132.666666666666,1320.5333333333333,,,1103.2666666666667
2016-08-06 00:45:00,,,,,1831.6,1133.2,2363.0,2363.0,2319.333333333333,1367.2666666666667,,,1189.3333333333333
2016-08-06 01:00:00,,,,,1782.2,1205.4666666666667,2330.6666666666665,2330.6666666666665,2314.6,1533.0,,,1190.4666666666667
2016-08-06 01:15:00,,,,,1774.0666666666666,1198.8666666666666,2347.866666666667,2347.866666666667,2117.4,1688.333333333333,,,1160.5333333333333
