Date/Time,1502_O_BLPK,1639_O_ELIB,2071_O_NOSD,2281_O_HiPK,2319_O_DWNTN,4209_O_LWCV,4363_O_SQHS,4431_O_WBG,4691_O_SWKY,4919_O_HIPK,5309_O_SQHL,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6227_O_ELIB,6399_O_GLEN,7543_O_MILL,8284_O_SWPK
2017-01-11 15:00:00,,,471.6428571428572,452.78571428571433,483.07142857142856,,,,,,654.3571428571429,,,437.8571428571428,606.9285714285714,459.21428571428567,,558.3571428571429
2017-01-11 15:15:00,,,456.4666666666666,484.9333333333333,492.6,,,,,,673.6666666666666,,,490.53333333333336,574.0666666666667,467.86666666666673,,575.3333333333334
2017-01-11 15:30:00,,,453.8,486.53333333333336,773.4,,,,,,604.4,,,528.4666666666667,541.2,508.13333333333327,,580.8666666666667
2017-01-11 15:45:00,,,497.86666666666673,469.4,1550.533333333333,,,,,,581.4666666666667,,,487.86666666666673,545.8666666666667,567.0,,616.4
2017-01-11 16:00:00,,,549.8,534.4666666666667,1562.666666666667,,,,,,547.0666666666667,,,487.0,572.2,543.4666666666667,,656.2666666666668
2017-01-11 16:15:00,,,563.0,516.2666666666668,693.4666666666667,,,,,,581.9333333333333,,,1048.5333333333333,736.8,521.4666666666667,,587.2666666666668
2017-01-11 16:30:00,,,590.4,495.06666666666666,529.1333333333333,,,,,,832.2,,,586.6,879.7333333333332,563.2,,589.8666666666667
2017-01-11 16:45:00,,,625.0666666666667,457.0,534.2666666666668,,,,,,954.1333333333333,,,659.6666666666666,826.7333333333332,700.8,,611.7333333333332
2017-01-11 17:00:00,,,611.4,506.8,1189.7333333333333,,,,,,818.2666666666668,,,817.2666666666668,792.9333333333333,656.2666666666668,,647.5333333333333
2017-01-11 17:15:00,,,579.1333333333333,567.2666666666668,497.8,,,,,,705.3333333333335,,,562.5333333333333,777.3333333333335,652.0666666666667,,593.2
2017-01-11 17:30:00,,,648.8666666666667,650.8,489.53333333333336,,,,,,719.9333333333333,,,542.7333333333332,931.5333333333333,701.8,,685.9333333333333
2017-01-11 17:45:00,,,687.8,871.5333333333333,523.6,,,,,,841.0,,,630.8666666666667,1038.8,617.4666666666667,,758.4
2017-01-11 18:00:00,,,768.1333333333333,685.2,550.4,,,,,,958.6,,,789.8,963.8,646.4666666666667,,904.4666666666667
2017-01-11 18:15:00,,,840.8666666666667,606.5333333333333,618.3333333333334,,,,,,1052.2,,,1348.8666666666666,872.6666666666665,799.8666666666667,,841.8666666666667
2017-01-11 18:30:00,,,915.4666666666667,708.8,733.8,,,,,,1162.2,,,1075.6,808.6,1138.7333333333333,,1118.3333333333333
2017-01-11 18:45:00,,,920.3333333333335,743.6666666666665,642.0,,,,,,1435.7333333333331,,,1095.5333333333333,923.0,1234.8666666666666,,774.0
2017-01-11 19:00:00,,,1066.7333333333333,859.3333333333335,629.5333333333333,,,,,,1079.8666666666666,,,1201.8666666666666,1058.7333333333333,1260.6,,713.1333333333333
2017-01-11 19:15:00,,,975.0,831.2,648.0666666666667,,,,,,945.9333333333333,,,1072.6,1162.6,1019.0666666666667,,627.3333333333334
2017-01-11 19:30:00,,,903.3333333333335,970.8666666666667,589.7333333333332,,,,,,883.0,,,855.8666666666667,1307.0,750.9333333333333,,722.4
2017-01-11 19:45:00,,,889.8,1462.2,541.1333333333333,,,,,,955.4666666666667,,,930.1333333333333,1564.1333333333334,739.2,3442.166666666666,756.4666666666667
2017-01-11 20:00:00,,,965.5333333333333,1398.8,516.5333333333333,,,,,,1396.4,,,1161.2666666666667,1916.333333333333,1260.1333333333334,1550.6,804.4666666666667
2017-01-11 20:15:00,,,917.9333333333333,1045.2,523.8666666666667,,,,,,2094.0,,,1275.7333333333333,1910.0666666666666,1777.8666666666666,1893.6,993.2
2017-01-11 20:30:00,,,1015.2666666666668,965.6,516.0,,,,,,2806.0,,,929.3333333333335,1417.0,2277.866666666667,2998.866666666667,1689.8666666666666
2017-01-11 20:45:00,,,1036.8,1316.8,519.1333333333333,,,,,,2059.0,,,752.4666666666667,1042.6666666666667,2678.4666666666667,3298.6,2366.4666666666667
2017-01-11 21:00:00,,,1072.4666666666667,1897.0666666666666,546.4666666666667,,,,,,1650.1333333333334,,,805.0666666666667,1084.2666666666667,2474.6,2979.4,2055.933333333333
2017-01-11 21:15:00,,,1145.5333333333333,2138.2,571.8,,,,,,1404.8,,,832.8666666666667,1549.2,2435.8,4337.066666666667,2024.333333333333
2017-01-11 21:30:00,,,1057.4,1367.6,558.6,,,,,,1385.466666666667,,,1074.8666666666666,2199.866666666667,2534.333333333333,3833.333333333334,2011.9333333333332
2017-01-11 21:45:00,,,917.1333333333333,920.5333333333333,652.2,,,,,,1344.4666666666667,,,729.2,2514.6,2305.2,1795.2666666666669,1775.2666666666669
2017-01-11 22:00:00,,,835.0,917.0,618.6666666666666,,,,,,1055.6666666666667,,,648.0666666666667,1550.1333333333334,1883.666666666667,1967.8666666666666,1356.0666666666666
2017-01-11 22:15:00,,,788.6,912.8,500.4666666666666,,,,,,842.0666666666667,,,591.2666666666668,1311.0666666666666,1592.666666666667,2406.8,751.4666666666667
2017-01-11 22:30:00,,,751.8666666666667,893.8666666666667,491.26666666666665,,,,,,792.2666666666668,,,580.8,1355.0666666666666,1403.6,2928.0,626.5333333333333
2017-01-11 22:45:00,,,685.8,806.3333333333335,491.0,,,,,,782.6666666666665,,,582.6,1307.5333333333333,1329.8666666666666,2968.866666666667,607.9333333333333
