Date/Time,5679_O_BLOO,8941_O_MTLE,6812_O_DUQS,5571_O_BUFF,4860_O_SQHN,4431_O_WBG,6582_O_OAKD,4574_O_MTLE,4816_O_GIBS,4839_O_RBN,6517_O_USCL,1354_O_SHADY,6758_O_MTLE,5624_O_BUFF,4530_O_CNTP,1502_O_BLPK
2018-04-22 15:00:00,43.0,44.357142857142854,,39.857142857142854,,,36.214285714285715,,,,,,,39.857142857142854,,
2018-04-22 15:15:00,53.06666666666667,44.93333333333333,,38.93333333333333,,,34.666666666666664,,,,,,,38.93333333333333,,
2018-04-22 15:30:00,72.46666666666667,42.13333333333333,,39.8,,,35.13333333333333,,,,,,,39.8,,
2018-04-22 15:45:00,46.86666666666667,41.0,,39.86666666666667,,,35.0,,,,,,,39.86666666666667,,
2018-04-22 16:00:00,79.26666666666667,40.666666666666664,,37.93333333333333,,,34.4,,,,,,,37.93333333333333,,
2018-04-22 16:15:00,45.06666666666667,42.86666666666667,,38.86666666666667,,,31.866666666666667,,,,,,,38.86666666666667,,
2018-04-22 16:30:00,54.86666666666667,44.333333333333336,,40.0,,,34.733333333333334,,,,,,,40.0,,
2018-04-22 16:45:00,40.733333333333334,43.0,,40.0,,,34.666666666666664,,,,,,,40.0,,
2018-04-22 17:00:00,37.46666666666667,42.8,,40.4,,,33.06666666666667,,,,,,,40.4,,
2018-04-22 17:15:00,38.46666666666667,41.93333333333333,,39.4,,,34.53333333333333,,,,,,,39.4,,
2018-04-22 17:30:00,47.333333333333336,43.0,,38.0,,,34.53333333333333,,,,,,,38.0,,
2018-04-22 17:45:00,50.0,44.733333333333334,,39.2,,33.375,35.8,,,,,,,39.2,,
2018-04-22 18:00:00,37.13333333333333,41.666666666666664,,36.93333333333333,,33.733333333333334,35.8,,,,,,,36.93333333333333,,
2018-04-22 18:15:00,36.8,42.2,,37.86666666666667,,35.2,33.733333333333334,,,,,,,37.86666666666667,,
2018-04-22 18:30:00,33.666666666666664,43.86666666666667,,37.4,,33.53333333333333,36.53333333333333,,,,,,,37.4,,
2018-04-22 18:45:00,41.13333333333333,44.266666666666666,,40.46666666666667,,50.8,37.2,,,,,,,40.46666666666667,,
2018-04-22 19:00:00,36.13333333333333,43.666666666666664,,40.6,,60.266666666666666,37.333333333333336,,,,,,,40.6,,
2018-04-22 19:15:00,41.2,45.53333333333333,,44.13333333333333,,94.4,36.333333333333336,,,,,,,44.13333333333333,,
2018-04-22 19:30:00,38.8,45.733333333333334,,38.53333333333333,,174.13333333333333,39.6,,,,,,,38.53333333333333,,
2018-04-22 19:45:00,40.6,45.0,,41.93333333333333,,51.53333333333333,38.333333333333336,,,,,,,41.93333333333333,,
2018-04-22 20:00:00,40.0,50.6,,42.0,,49.266666666666666,44.333333333333336,,,,,,,42.0,,
2018-04-22 20:15:00,39.333333333333336,55.86666666666667,,42.86666666666667,,58.733333333333334,43.0,,,,,,,42.86666666666667,,
2018-04-22 20:30:00,46.666666666666664,53.266666666666666,,46.6,,54.2,44.46666666666667,,,,,,,46.6,,
2018-04-22 20:45:00,51.666666666666664,52.46666666666667,,48.2,,67.6,44.06666666666667,,,,,,,48.2,,
2018-04-22 21:00:00,48.4,54.06666666666667,,49.53333333333333,,53.53333333333333,48.333333333333336,,,,,,,49.53333333333333,,
2018-04-22 21:15:00,48.0,59.333333333333336,,52.266666666666666,,51.93333333333333,51.333333333333336,,,,,,,52.266666666666666,,
2018-04-22 21:30:00,48.53333333333333,63.6,,53.86666666666667,,46.2,46.0,,,,,,,53.86666666666667,,
2018-04-22 21:45:00,43.13333333333333,81.33333333333333,,63.93333333333333,,46.333333333333336,44.4,,,,,,,63.93333333333333,,
2018-04-22 22:00:00,46.0,141.33333333333334,,60.666666666666664,,46.733333333333334,43.06666666666667,,,,,,,60.666666666666664,,
2018-04-22 22:15:00,40.46666666666667,79.53333333333333,,59.733333333333334,,48.0,41.93333333333333,,,,,,,59.733333333333334,,
2018-04-22 22:30:00,43.53333333333333,102.46666666666667,,62.46666666666667,,56.733333333333334,41.333333333333336,,,,,,,62.46666666666667,,
2018-04-22 22:45:00,41.13333333333333,66.86666666666666,,58.93333333333333,,49.53333333333333,39.93333333333333,,,,,,,58.93333333333333,,
2018-04-22 23:00:00,40.333333333333336,56.6,,57.2,,50.6,39.333333333333336,,,,,,,57.2,,
2018-04-22 23:15:00,40.6,53.86666666666667,,53.53333333333333,,51.8,41.53333333333333,,,,,,,53.53333333333333,,
2018-04-22 23:30:00,42.2,53.266666666666666,,55.53333333333333,,56.13333333333333,41.733333333333334,,,,,,,55.53333333333333,,
2018-04-22 23:45:00,42.46666666666667,78.86666666666666,,55.6,,139.73333333333332,47.86666666666667,,,,,,,55.6,,
